title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,country,specialty,skills,education,job_type,experience_years,work_arrangement,remote_friendly,international,department,post_date,skills_text
Technicien Assurance Qualité en Atelier de Production H/F,AXPLORA,"Lacq, Pau","Dans le cadre d'un nouveau projet innovant, le site de Mourenx recherche 5 techniciens Assurance Qualité en ateliers de production; Sous la responsabilité du QA Shopfloor manager, vos missions seront les suivantes : - Réviser en temps réel les dossiers de fabrication et libérer les produits - Contrôler le respect des procédures et du référentiel BPF sur l'atelier de production - Observer les opérations critiques notamment dans les zones classifiées - Réaliser la pré évaluation des événements qu…",,,,2025-02-13T02:32:27Z,https://www.adzuna.fr/land/ad/5047803446?se=eOdj3y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=A43DED6C231CA74339A44FB95DD1BEF5C57A0AD2,Emplois Fabrication,fr,genie_industriel,[],[],,,onsite,False,False,genie_industriel,2025-04-21,
AGENT DE PRODUCTION F/H,Groupe Randstad France,"Betton, Rennes","Marque Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous  Votre agence Randstad, spécialisée dans les métiers de l'industrie, est en recherche permanente de nouvelles compétences et vous offre de nombreuses opportunités d'emploi. Client Nous recherchons pour le compte de notre client, un opérateur de production avec une évolution sur un poste de superviseur de product…",,,,2025-04-11T15:56:27Z,https://www.adzuna.fr/details/5140513636?utm_medium=api&utm_source=e1ad5111,Emplois Fabrication,fr,genie_industriel,[],[],full_time,,onsite,False,False,genie_industriel,2025-04-21,
OPÉRATEUR DE PRODUCTION (F/H),Groupe Randstad France,"Marchenoir, Blois","Marque Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous  Client Nous recherchons pour le compte de notre client un Opérateur de production (F/H) Poste Vos missions pour ce poste : - Identifier les phases de production et contrôler la qualité des produits finis.- - Gérer l'approvisionnement en matières premières de la machine - Respecter le planning de production - Ré…",,,,2025-04-11T15:56:02Z,https://www.adzuna.fr/details/5140513013?utm_medium=api&utm_source=e1ad5111,Emplois Fabrication,fr,genie_industriel,[],[],full_time,,onsite,False,False,genie_industriel,2025-04-21,
OPERATEUR DE PRODUCTION (F/H),Groupe Randstad France,"Haute-Savoie, Auvergne-Rhône-Alpes","Marque Randstad Inhouse, est un concept unique en France d'agence intérim hébergée au cœur du site de production de nos clients. Forte de plus de 250 agences, nous accompagnons chaque année plus de 65 000 intérimaires. L'esprit de famille incarne notre ADN : étant chez nos clients aux côtés de nos intérimaires, nous “travaillons en famille” Nous rejoindre, c'est également bénéficier de nombreux avantages proposés par notre CE et nos partenaires. Client Nous recherchons pour le compte de nos cli…",,,,2025-04-11T15:56:07Z,https://www.adzuna.fr/details/5140513106?utm_medium=api&utm_source=e1ad5111,Emplois Fabrication,fr,genie_industriel,[],[],temporary,,onsite,False,False,genie_industriel,2025-04-21,
AGENT DE PRODUCTION H/F,Groupe Randstad France,"Breteuil, Clermont","Marque Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous  Client Nous recherchons pour le compte de notre client sur le secteur de Breteuil, une agent de production polyvalent (F/H) Poste Au sein de l'atelier, vos mission seront les suivantes: Savoir conduire une machine et/ou ligne automatisée Régler les machines, contrôler la qualité des produits Faire preuve de con…",,,,2025-04-11T15:56:17Z,https://www.adzuna.fr/details/5140513301?utm_medium=api&utm_source=e1ad5111,Emplois Fabrication,fr,genie_industriel,[],[],full_time,,onsite,False,False,genie_industriel,2025-04-21,
OPÉRATEUR DE PRODUCTION H/F,Groupe Randstad France,"Fay-Sur-Lignon, Le Puy-En-Velay","Marque Chez Randstad, on ne plaisante pas avec le job parfait. Nous sommes déterminés à vous aider à le trouver. Dans l'industrie, trouvez votre place grâce à notre expertise en recrutement. Client Notre client, basé à SAINT JULIEN CHAPTEUIL, opère dans la fabrication de produits en plastique, offrant une gamme variée de produits de haute qualité. Poste Voulez-vous exceller en tant qu'Agent de fabrication (F/H) et relever des défis stimulants ? Rejoignez une entreprise familiale dynamique pour …",,,,2025-04-11T15:56:29Z,https://www.adzuna.fr/details/5140513693?utm_medium=api&utm_source=e1ad5111,Emplois Fabrication,fr,genie_industriel,[],[],,,onsite,False,False,genie_industriel,2025-04-21,
AGENT DE PRODUCTION (H/F),Groupe Randstad France,"Strasbourg, Strasbourg-Ville","Marque Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous  Client Notre client, acteur majeur du secteur de l'industrie cosmétique basé à Strasbourg, recherche un agent de production (H/F) pour renforcer son équipe. Poste Intégré(e) au service conditionnement, vous participerez à la production et à la qualité des produits de soins, parfums, hygiène, capillaire, solaire…",,,,2025-03-27T12:30:38Z,https://www.adzuna.fr/details/5113392016?utm_medium=api&utm_source=e1ad5111,Unknown,fr,genie_industriel,[],[],full_time,,onsite,False,False,genie_industriel,2025-04-21,
AGENT DE PRODUCTION (F/H),Groupe Randstad France,"Strasbourg, Strasbourg-Ville","Marque Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous  Client Nous recherchons actuellement pour le compte de l'un de nos clients situé à Strasbourg et spécialisé dans le secteur de l'industrie cosmétique un agent de production (h/f). Poste Rattaché(e) au service conditionnement des produits soins, parfums, hygiène, capillaire, solaire et maquillage, vous aurez à c…",,,,2025-03-27T12:30:41Z,https://www.adzuna.fr/details/5113392081?utm_medium=api&utm_source=e1ad5111,Unknown,fr,genie_industriel,[],[],full_time,,onsite,False,False,genie_industriel,2025-04-21,
Job in Germany HCM System and Production Control Specialist (m/f/d),RheinEnergie AG,France,"People with energy work for us. People who are passionate about the needs of our customers. Together, we ensure a secure supply of energy and drinking water in the Rhineland region. We are already thinking about tomorrow today. Because as a future-oriented company, we are helping to shape the energy transition at all levels. As an employer, we offer varied and responsible activities, performance-oriented remuneration and excellent social benefits. Our employees work in an attractive professiona…",,,,2025-04-16T06:40:33Z,https://www.adzuna.fr/land/ad/5146873555?se=eOdj3y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=4A94CA4BDB987B10212DA37FA630E76D55BBB68B,Unknown,fr,genie_industriel,[],[],,,onsite,False,False,genie_industriel,2025-04-21,
AGENT DE PRODUCTION AGROALIMENTAIRE (F/H),Groupe Randstad France,"Bulgnéville, Neufchâteau","Marque Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous  Client Notre client, basé sur l'ouest vosgien recherche un agent de production agro alimentaire. Poste Envie de contribuer à des productions alimentaires de qualité en tant qu'Agent de production agroalimentaire (F/H) ? Rejoignez une équipe dynamique pour assurer le bon déroulement des opérations de production …",,,,2025-04-11T15:56:27Z,https://www.adzuna.fr/details/5140513615?utm_medium=api&utm_source=e1ad5111,Emplois Scientifiques et AQ,fr,genie_industriel,[],[],full_time,,onsite,False,False,genie_industriel,2025-04-21,
