title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Marketing Manager,Simplyhealth,"Andover, Hampshire","We’re not just your average health company; we’re aiming to revolutionise access to healthcare in the UK by offering innovative health and wellbeing solutions that are affordable, accessible, and effective. From preventive care to comprehensive medical support, we aim to empower individuals to take charge of their health, inspiring them to make the most of their wellbeing. Added to that we’re the first health insurer in the UK to be awarded B-Corp status in recognition of our significant achiev…",60000,70000,,2025-04-16T13:29:24Z,https://www.adzuna.co.uk/jobs/land/ad/5147345745?se=Bu4TejEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=EF886885C885ED474424DFC1B7290E3FB0C27EC0,"PR, Advertising & Marketing Jobs",business
Marketing Administrator,HAYS,"Darlington, County Durham","Marketing, administration Your new companyMy client is a well-known, national brand who have a fantastic reputation for style and innovation.They are currently seeking a Marketing Administrator to provide support to their established, dynamic Marketing Team. This really is an outstanding opportunity for the right individual to join a forward-thinking organisation and become part of something exciting. Your new roleResponsible for supporting the Marketing Team and ensuring the smooth running of …",23000,25000,,2025-04-11T16:41:48Z,https://www.adzuna.co.uk/jobs/land/ad/5140567353?se=Bu4TejEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=805CDA0986F8106D1F26167A24094804FA928783,"PR, Advertising & Marketing Jobs",business
Head of Sales & Marketing,HAYS,"Lincoln, Lincolnshire","Head of Sales & Marketing | Lincoln | c.£75,000  Car Allowance  Bonus | Lead Growth in Global markets Head of Sales and MarketingLocation: Lincoln Salary: £70,000 - £75,000 base  20% bonus  £5,400 car allowance Lead Growth in Global Markets Are you a strategic sales leader who thrives in the fast-paced, hands-on world of an SME rather than the layered structure of a corporate giant? Hays in Lincoln is exclusively partnering with an innovative client to recruit a Head of Sales and Marketing to d…",70000,75000,contract,2025-03-18T18:51:59Z,https://www.adzuna.co.uk/jobs/land/ad/5099292376?se=Bu4TejEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=F5A953061F5816C4463CF067DAAB80CF8DC214D4,Sales Jobs,business
Marketing Manager - Content & Services,Forvis Mazars,"Penn Fields, Wolverhampton","Forvis Mazars cares about your career progression, offering individually designed career paths that help you pursue your interests, match your changing needs, and explore your true potential. We work with diverse, prestigious clients across a range of sectors and geographies, giving you the opportunity to constantly update and grow your skills for lifelong professional development. About the team Our Business Services team is a collective of creative, strategic, forward-thinking business enable…",37696.02,37696.02,,2025-03-24T14:43:04Z,https://www.adzuna.co.uk/jobs/land/ad/5108875903?se=Bu4TejEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=06C5D1FB55085DB6095B23E0CEB65AA3F396A295,"PR, Advertising & Marketing Jobs",business
Marketing Manager - Content & Services,Forvis Mazars,"Bermuda Park, Nuneaton","Forvis Mazars cares about your career progression, offering individually designed career paths that help you pursue your interests, match your changing needs, and explore your true potential. We work with diverse, prestigious clients across a range of sectors and geographies, giving you the opportunity to constantly update and grow your skills for lifelong professional development. About the team Our Business Services team is a collective of creative, strategic, forward-thinking business enable…",37191.56,37191.56,,2025-03-24T14:42:59Z,https://www.adzuna.co.uk/jobs/land/ad/5108875756?se=Bu4TejEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=3164E0C3D977F0042233A7D94ED1044DCAD2EA41,"PR, Advertising & Marketing Jobs",business
Marketing Manager - Content & Services,Forvis Mazars,"Birmingham, West Midlands","Forvis Mazars cares about your career progression, offering individually designed career paths that help you pursue your interests, match your changing needs, and explore your true potential. We work with diverse, prestigious clients across a range of sectors and geographies, giving you the opportunity to constantly update and grow your skills for lifelong professional development. About the team Our Business Services team is a collective of creative, strategic, forward-thinking business enable…",39745.73,39745.73,,2025-03-19T13:46:49Z,https://www.adzuna.co.uk/jobs/land/ad/5101164746?se=Bu4TejEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=82C2A7F5738263A2057EA671242686FD6CF9842A,"PR, Advertising & Marketing Jobs",business
Marketing Manager,Airbus Protect Limited,"Bristol, South West England","Job Description: Are you a seasoned B2B marketeer familiar with security topics? Elevate your career by joining Airbus Protect, a subsidiary of Airbus delivering risk management services to improve the level of safety, cybersecurity and sustainability of our customers. As part of our marketing and communications team, you will work in a dynamic, transnational team to generate leads and increase our visibility. Your role would involve replacing our UK marketing lead during her maternity leave wi…",52052.11,52052.11,contract,2025-04-14T03:15:22Z,https://www.adzuna.co.uk/jobs/land/ad/5143741563?se=Bu4TejEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=F84C624E54C53E2428502B61755B94B17A0DF5AD,"PR, Advertising & Marketing Jobs",business
Marketing Executive,Get Recruited  Ltd,"West Harnham, Salisbury","MARKETING EXECUTIVE SALISBURY Up to £27,000  TRAINING & DEVELOPMENT THE OPPORTUNITY: We're exclusively recruiting on behalf of leading and highly successful business who is looking to expand their operation due to the continued success of the company. After a record breaking year in 2024, including the opening of several new sites, thy are looking to expand their Marketing team. If you are an experienced Digital Marketing Executive, Marketing Executive, Campaign Marketing Executive, Digital Mar…",26000,26000,permanent,2025-04-05T13:32:28Z,https://www.adzuna.co.uk/jobs/details/5131042672?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",business
Marketing Executive,Get Recruited  Ltd,"Yorkshire And The Humber, UK","MARKETING EXECUTIVE YORK UPTO £30,000  GREAT CULTURE  BENEFITS THE OPPORTUNITY: Our client is seeking a Marketing Executive to join their dynamic team. This role is ideal for a marketing professional with a strong digital skillset, a flair for content creation, and a proactive mindset. This is a great opportunity for someone from a Marketing Executive, Digital Marketing Executive, Marketing, Social Media, Marketing Assistant or similar role. REQUIREMENTS: Proven experience in a marketing execut…",30000,30000,permanent,2025-04-11T13:48:18Z,https://www.adzuna.co.uk/jobs/details/5140477679?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",business
Marketing Manager,Symmetric Recruitment Ltd,"Barnstaple, Devon","Marketing Manager Barnstaple, North Devon | Full Time, Permanent Salary: From £50,000  Performance Bonus & Benefits Option to move to a condensed 4-day working week after probation Ready to take ownership of marketing for an established market leader in the luxury brand space? This is a rare opportunity to step into a senior marketing role with a globally recognised design-led brand admired for its craftsmanship, creativity, and commitment to excellence. Operating at the top end of their market…",50000,50000,permanent,2025-04-20T10:04:39Z,https://www.adzuna.co.uk/jobs/details/5154273731?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",business
Marketing Manager,Meridian Business Support,"Smithincott, Cullompton","Marketing Manager The Opportunity: As a seasoned Marketing Manager , your role will be to drive the brand awareness of this well respected supplier to the defence sector. This well established firm of manufacturing engineers have customers throughout the UK and overseas. Your creative flair, energy and enthusiasm will be fully relied upon in this 360 Marketing and Communications role. Whilst the whole business supports the sales and marketing function, this a stand-alone Marketing Managers posi…",50000,50000,permanent,2025-04-19T10:08:05Z,https://www.adzuna.co.uk/jobs/details/5152950445?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",business
Marketing Manager,Freight Personnel,"Blackburn, Lancashire",We are now recruiting for a strategic and creative Marketing Manager to drive their network of over 160 franchise partners through lead generation and campaign collateral to continue the group's accelerated growth. The main focus is to align campaign verticals that drive engagement throughout the conversion funnel for our franchise networks. Each campaign vertical will provide a specific product and service collateral targeting B2B and B2C customers for the network to capitalise from. This role…,40000,40000,permanent,2025-04-12T09:46:48Z,https://www.adzuna.co.uk/jobs/details/5141915650?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",business
Marketing Lead,Cottrell Moore Limited,"Wherstead, Ipswich","Marketing Lead Join Our Team in Suffolk Location: Wherstead, Suffolk Salary: £39,000 - £42,000 (including bonus) Benefits Competitive Salary:£39,000 - £42,000 (including bonus) 28 days holiday includingbank holidays Extra day off each year you work for us Free parking and beautiful office location in Suffolk Clear KPIs to help you thrive Role Overview As the Marketing Lead, youll drive digital marketing for theleisure brands. Youll manage PPC campaigns, create engaging content, optimise SEO, an…",40000,40000,permanent,2025-04-01T17:07:45Z,https://www.adzuna.co.uk/jobs/details/5121750674?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",business
Marketing Coordinator,Gleeson Homes,"Burn Banks, Penrith","Job Introduction The role of the Marketing Coordinator is to assist the regional Sales team, RMD and National Marketing Manager in executing the marketing strategy and Community Matters programme, as well as coordinating customer communications, to support the region's business objectives and continued growth. There will also be elements in supporting other departments in the region occasionally. Main Responsibilities • Support the regional Sales team and National Marketing Manager amassing qua…",32836.93,32836.93,permanent,2025-04-12T01:45:11Z,https://www.adzuna.co.uk/jobs/details/5141493435?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",business
Growth Marketing Manager,Verisure,"Victoria, South West London","We are Verisure, a leading provider of monitored smart alarms and cameras for homes and small businesses. We deliver peace of mind to over 5.5 million customers worldwide. For more than 35 years, we have supported our customers with innovative, reliable technology and an immediate human response. Thanks to our employees best-in-class service, Verisure customers are among the most satisfied and loyal in the industry. As the fastest-growing security company in Europe and Latin America, we hold th…",41271.32,41271.32,permanent,2025-03-19T15:57:50Z,https://www.adzuna.co.uk/jobs/details/5101302488?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",business
Marketing Manager,MCS Group,"Belfast, Northern Ireland","Marketing Manager Belfast / Hybrid £35k - £40k MCS Group are delighted to be working alongside a growing Belfast based consultancy company to recruit a dynamic Marketing Manager to help refine and deliver the marketing plan across Europe. The successful candidate will have excellent communication and organisational skills with experience in B2B marketing, SEO and CRM systems. You will be responsible for adopting, refining, and delivering the Europe marketing plan in line with the go-to-market s…",40000,40000,,2025-04-02T07:09:28Z,https://www.adzuna.co.uk/jobs/land/ad/5123613240?se=Bu4TejEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=7F23287DFB682D5A5597D3987AF038CED94F62CB,"PR, Advertising & Marketing Jobs",business
