title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
E-Commerce Accountant,Hays Accountancy and Finance,"Bridgend, Bridgend County","Your new company A world leading manufacturer of an iconic product - a thriving growing business based in Bridgend. A very exciting time to join Your new role A challenging and varied accounting role specific to their e-commerce activities - mainly across Amazon and Shopify. Manage e-commerce financials Reconcile transactions and payment gateways Manage cash flow and working capital Collaborate with operational teams What you'll need to succeed Part Qualified(ACA, ACCA, CIMA) or strong QBE or Q…",37362.59,37362.59,permanent,2025-04-01T02:43:15Z,https://www.adzuna.co.uk/jobs/land/ad/5120633379?se=JrhL1TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=91BDE330C3AD300496D26EF7E3CDEE6853272B67,Accounting & Finance Jobs,e-commerce
Website and E-Commerce Developer,Talent Finder,"Platt, Sevenoaks","Website and E-Commerce Developer | Borough Green, Kent TN15 8JL | Full Time – Monday to Friday, 9:00 am – 5:00 pm | £35,000 - £40,000 per annum Our client has been supplying their branded vehicle security and vehicle safety systems to specialist auto-electrical installation companies since 1993. They are looking for an enthusiastic person who has a good basic sense of initiative and design capabilities in website design and development and is not afraid of taking on new challenges and learning …",40000,40000,permanent,2025-03-13T19:51:11Z,https://www.adzuna.co.uk/jobs/details/5091850319?utm_medium=api&utm_source=e1ad5111,IT Jobs,e-commerce
E-Commerce & Magento Specialist,Modus Personnel Ltd,"Newcastle-under-Lyme, Staffordshire","Job Description We are seeking a talented E-Commerce & Magento Specialist to join the dynamic and innovative marketing team of one of our prestigious clients near Keele If youre a detail-oriented professional with a passion for e-commerce, this is your chance to become part of a fast-paced, creative team where your skills in Magento 2 and digital marketing will thrive. This Full-Time, Permanent position offers excellent career progression opportunities What youll be doing Optimise digital chann…",26000,26000,permanent,2025-03-21T15:42:44Z,https://www.adzuna.co.uk/jobs/details/5104873278?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",e-commerce
E-Commerce Executive (Maternity Cover),phs Group,"Grimethorpe, Barnsley","About The Role E-Commerce Executive - 12 month Fixed Term Contract Based in the Barnsley area for over 28 years, Countrywide Healthcare are the leading specialist of healthcare consumables and equipment to the care sector and public. The business has an unrivalled reputation and has enjoyed fantastic sales growth to £38m in our last financial year. We are looking for a full-time eCommerce Executive Maternity Cover to support our ambitious growth plans across our websites and marketplaces. Worki…",24000,24000,permanent,2025-04-15T18:17:29Z,https://www.adzuna.co.uk/jobs/details/5145925975?utm_medium=api&utm_source=e1ad5111,IT Jobs,e-commerce
Amazon E-Commerce Executive,HIRING PEOPLE,"Nottinghamshire, East Midlands","MinsterFB is seeking an Amazon E-Commerce Executive. In this role, you will help create and maintain product listings on Amazon. As part of the operations team, you will collate data for new product lines and manage them through the Amazon process to get the lines listed. Additionally, you will oversee the look and feel of product listings, including uploading images and videos. Key Roles & Responsibilities: Duties will include, but are not limited to: Creating new lines, enhancing the digital …",24085.1,24085.1,,2025-04-19T12:02:45Z,https://www.adzuna.co.uk/jobs/details/5153150375?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,e-commerce
E-Commerce Supply Chain Coordinator,BRIGHTERBOX,"London, UK","At this company, we're not just simplifying the world of Social Commerce – we're revolutionising it, reshaping how brands thrive in the era of socially enabled transactions. We've curated a portfolio of exceptional brands, unlocking their potential for Social Commerce revenue growth. We provide an end-to-end solution that sees us manage everything from logistics and forecasting to affiliate management and Live Shopping. With a blend of unparalleled experience, expertise, and state-of-the-art te…",26000,32000,permanent,2025-04-18T11:18:12Z,https://www.adzuna.co.uk/jobs/details/5151456765?utm_medium=api&utm_source=e1ad5111,Retail Jobs,e-commerce
E-Commerce Specialist,Brampton Recruitment,UK,"Our client is a market-leading company in a niche sector who have been established for over 60 years. They specialise in the supply, manufacture, design, installation, and service of engineering equipment. An opportunity has arisen for an E-commerce Specialist to support a small marketing team to maintain the Magento 2 websites and support other aspects of their marketing, including sending email marketing and content creation. You must have a driving licence to apply for this role due to the l…",24000,26000,permanent,2025-03-31T11:53:59Z,https://www.adzuna.co.uk/jobs/details/5119725447?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",e-commerce
E-Commerce Manager,Searchability  Ltd,"The City, Central London","ECOMMERCE MANAGER My client is seeking an E-commerce Manager to join our fast-growing team. With these plans to grow an opportunity has come for a E-commerce Manager to come on board to optimise the website to help achieve a YoY growth. Salary up to £60,000. Office work in our London HQ. Fashion brand WHO ARE WE? We are a fashion company who supports ethical and sustainable fashion. Our goal is to provide stylish, high-quality stylish clothing for women and men. With loyalty programme and perks…",45000,60000,permanent,2025-03-25T07:05:19Z,https://www.adzuna.co.uk/jobs/details/5109719694?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",e-commerce
E-Commerce Executive,Major Recruitment,"Blackpool, Lancashire","E-Commerce Executive Location: Blackpool Salary: £30,000  excellent bonuses after a qualifying period Are you a driven and detail-focused e-commerce professional, ready to take ownership of key online marketplaces? Looking for a hands-on role with real growth potential in a fast-moving business? The Role This is a varied, fast-paced position where you will play a key role in scaling online sales across multiple regions. Your focus will be on Amazon Europe and helping to develop strategy and per…",35328.84,35328.84,permanent,2025-04-02T00:26:34Z,https://www.adzuna.co.uk/jobs/details/5123024875?utm_medium=api&utm_source=e1ad5111,IT Jobs,e-commerce
E-Commerce Accountant,Yolk Recruitment Ltd,"Bridgend, Bridgend County","Ecommerce Accountant - On-Site Role | Bridgend | Dynamic Scale-Up Business Are you an experienced accountant with a passion for Ecommerce ? Do you thrive in a fast-paced, dynamic environment? If so, we want to hear from you Our client are an ambitious and rapidly growing ecommerce business looking for a talented Ecommerce Accountant to join their team based in Bridgend . As they scale up, they need an individual who can bring their expertise and passion for numbers to support their continued an…",45000,50000,permanent,2025-04-05T00:35:47Z,https://www.adzuna.co.uk/jobs/details/5130220204?utm_medium=api&utm_source=e1ad5111,Accounting & Finance Jobs,e-commerce
