title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Civil Engineer,HAYS,"Leeds, West Yorkshire","Looking to progress within a dynamic and thriving consultancy? Look no further! Job Title: Civil Engineer Location: Leeds Company information: Join a fantastic consultancy, who are currently thriving in the market. They celebrate individuality, and work across a large variety of sectors within the Civil environment. Job Description: We are looking for several talented, self-motivated Civil Engineers, across all levels, to join a dynamic team. You will experience a diverse range of projects and …",0,60000,,2025-03-15T13:26:59Z,https://www.adzuna.co.uk/jobs/land/ad/5095324541?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=39BA440EEFAC25A8C1A0052B9E0F0895CBD7D2DF,Engineering Jobs,civil_engineering,gb,civil engineer,standard,False,False
Senior Civil Engineer,HAYS,"Enniskillen, Fermanagh","Senior Civil Engineer, Civil engineer, Senior Engineer Your new company Hays are currently recruiting for a Senior Engineer for our client based in Fermanagh. This role will be part of their Regional Management Team, Northern region operations.We are working in partnership with a world-leading design, engineering and project management organisation dedicated to engineering a better future for everyone. The company is committed to delivering end to end service to its clients across the whole lif…",45759.62,45759.62,,2025-04-25T19:56:08Z,https://www.adzuna.co.uk/jobs/land/ad/5162900649?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=8C7E18D89D57F87BA8EDA0EDDCF63183AD544694,Engineering Jobs,civil_engineering,gb,civil engineer,standard,False,False
Civil Engineer/Senior Civil Engineer,ALDWYCH CONSULTING LTD,"Norwich, Norfolk","Civil Engineer / Senior Civil Engineer Norwich (Full-Time, Office-Based) Deliver innovative infrastructure design in a consultancy where your ideas and expertise are truly valued. We're partnering with a well-established, design-led engineering consultancy based in Norwich that's recognised for its technical excellence and collaborative approach. Their portfolio spans major residential, retail, logistics, and tech sector projects across the UK and Europe. As their workload continues to grow, th…",50000,50000,permanent,2025-04-10T21:43:50Z,https://www.adzuna.co.uk/jobs/land/ad/5139646939?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5A39553948F66FC17284589D2B9531C725C8B2EA,Engineering Jobs,civil_engineering,gb,civil engineer,standard,False,False
Civil Engineer,ALDWYCH CONSULTING LTD,"Lambeg, Lisburn","Are you a Qualified Civil Engineer who's gained some on site experience but looking for a better work life balance? Are you looking for a role in the industry where you can grow professionally and develop new skills to those you've already gained. We have an excellent opportunity for our client and this could be the role for you. Our client are a growing civil engineering consultancy with a growing order book of work, based in the Greater Belfast area. They are looking to add to their team and …",50000,50000,permanent,2025-04-02T13:20:52Z,https://www.adzuna.co.uk/jobs/land/ad/5124072609?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=1570EF895C7DB8786BBEC035BEDD10443C792EB1,Trade & Construction Jobs,civil_engineering,gb,civil engineer,standard,False,False
Civil Engineer,Rise Technical Recruitment Limited,"Nottingham, Nottinghamshire","Civil Engineer (AutoCAD) £30,000 - £40,000  Bonus  Progression  Training  33 Days Holiday  Pension Mansfield, Nottinghamshire (Commutable from Nottingham, Grantham, Derby, Sleaford, Sutton-in-Ashfield, Chesterfield, Matlock, Newark-on-Trent, Hucknall, Alfreton, Kirby on Trent & Ilkeston) Are you a Civil Engineer with AutoCAD experience looking for opportunities to receive specialist industry training and opportunities for progression to Associate roles whilst working on a range of bespoke proje…",40000,40000,permanent,2025-04-11T13:47:40Z,https://www.adzuna.co.uk/jobs/land/ad/5140477303?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=ADC5C5BA2229B3367710D26A2CA2256DDB98F42F,Engineering Jobs,civil_engineering,gb,civil engineer,standard,False,False
Civil Engineer,Manpower,"Plymouth, South West England","Role: Resident Engineer Location: Plymouth Duration: 10 months Inside IR35 : Umbrella About our Client Our client is a leading global aerospace, defence, and security company specializing in delivering complex, mission-critical solutions. With a strong heritage in engineering and innovation, they provide essential services across aviation, marine, land, and nuclear sectors, supporting governments, armed forces, and commercial clients worldwide. Renowned for their commitment to safety, sustainab…",58205.38,58205.38,contract,2025-05-03T14:39:46Z,https://www.adzuna.co.uk/jobs/land/ad/5178633931?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9A43B96C129B643FFDEBC06800D8B4D3DA7A724F,Trade & Construction Jobs,civil_engineering,gb,civil engineer,standard,False,True
Civil Engineer,VickerStock,"Lisburn, Northern Ireland","Civil Engineer | County Down Vickerstock are continuing our relationship with a local Civil & Structural consultancy based in County Down to support in the recruitment of an experienced Civil Engineer. Founded in 2011, are now a well-established practice with a technical staff that includes Civil & Structural Engineers and Technicians at all levels. Under the guidance of the founding directors, the business continues to go from strength to strength and are now getting ready for the next phase o…",40000,40000,,2025-04-15T05:06:01Z,https://www.adzuna.co.uk/jobs/land/ad/5145041347?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=350E538896AA6BBC4403C80814C620E1C31E70C5,Engineering Jobs,civil_engineering,gb,civil engineer,standard,False,False
Civil Engineer,HAYS Specialist Recruitment,"Dungannon, County Tyrone","Your new company Hays Belfast are working in partnership with a well-established engineering consultancy in Dungannon, County Tyrone, to recruit a Civil Engineer. This consultancy is engaged in various projects across the retail, residential, industrial, and roads/highways sectors. They handle schemes from the feasibility stage through to completion, offering input at each phase and crafting solutions for their clients. The company is proud of its work on sporting projects and is amongst the fe…",35000,35000,permanent,2025-04-09T07:40:28Z,https://www.adzuna.co.uk/jobs/land/ad/5136893808?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=0EA8D388F9228ABEFED528C586A769B8B194B146,Engineering Jobs,civil_engineering,gb,civil engineer,standard,False,False
Principal Civil Engineer,ALDWYCH CONSULTING LTD,"Bristol, South West England","Principal Civil Engineer - Bristol Lead Growth | Shape a Team | Hybrid Working | Career Milestone Opportunity I'm working with an award-winning civil engineering consultancy with a strong reputation for delivering practical, imaginative solutions across sectors. With decades of experience and a proactive, people-first approach, they've built a trusted presence in the industry-and now they're investing in the next chapter of their Bristol office. With a new Regional Director in place, the busine…",60000,60000,permanent,2025-05-03T14:40:15Z,https://www.adzuna.co.uk/jobs/land/ad/5178634117?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=84F6C68C909563674C32CE070984073F0CE80010,Trade & Construction Jobs,civil_engineering,gb,civil engineer,standard,False,False
Senior Civil Engineer,Rise Technical Recruitment Limited,"Nottingham, Nottinghamshire","Civil Engineer £40,000 - £50,000  bonus  training  progression  excellent company benefits Nottingham, Nottinghamshire (Commutable from: Kimberly, Bingham, Hucknall, Kegworth, Melton Mowbray, Mansfield) Are you a Civil Engineer, looking to step up in to a senior role for this rapidly expanding consultancy offering further training and progression right up to Directorship? This is an excellent opportunity to take a technical lead on new build housing developments and mentor junior engineers. Thi…",50000,50000,permanent,2025-04-11T13:47:40Z,https://www.adzuna.co.uk/jobs/land/ad/5140477306?se=7h90lfAo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=4A5C5F716BF2EBD33E1B57A2DA5E3E4869A4C4D1,Engineering Jobs,civil_engineering,gb,civil engineer,standard,False,False
