title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Architectural Technologist,Bennett and Game,"Boston, Lincolnshire","We are currently on the lookout for an Architectural Technologist to join a well-established Architectural Practice based in Boston, Lincolnshire. This is an excellent opportunity for an Architectural Technologist to develop their career within a talented team that offer excellent progression and training. Architectural Technologists of all levels, including Senior, are encouraged to apply as our client can be flexible with their criteria. The successful individual will be able to produce and p…",40000,40000,permanent,2025-05-02T10:36:42Z,https://www.adzuna.co.uk/jobs/land/ad/5175786774?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=ED4381A43893C8C13E2CB66E730C360EA6E98792,Trade & Construction Jobs,architecture,gb,architecture,standard,False,False
Architectural Technician,Reactive Recruitment NI,"Cookstown, Northern Ireland","Role: Architectural Technician Location: Cookstown Hours: Full Time (9am - 5pm) Temporary 912-month maternity post (with possibility to progress into a permanent role). Pay: DOE An excellent opportunity has arisen for an Architectural Technician to join one of our clients, an exciting Architectural and Planning Consultancy Service from conception design stage to the finish-built product on-site. Benefits: Monday to Friday, Pension, Competitive Salary, Career advancement and great in-house train…",30000,30000,contract,2025-04-26T03:13:24Z,https://www.adzuna.co.uk/jobs/land/ad/5163297279?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=CBEBC5A3AE1DC5B78E7E64B6534E80D34669CA85,Trade & Construction Jobs,architecture,gb,architecture,standard,False,False
Architectural Technician/ Part II Architectural Assistant,Anderselite LTD,"Cardiff County, Wales","Are you an experienced Architectural Technologist, looking for your next challenge within the Cardiff area? Anderselite are offering an opportunity for someone eager to join a Cardiff based team and an individual with proven technical capability and experience in delivering projects to join them. You will have significant experience and be able to run several projects on site projects at the same time, clearly delegating to less experienced team members. The client are also looking for someone …",35000,35000,permanent,2025-04-27T10:22:01Z,https://www.adzuna.co.uk/jobs/land/ad/5165389377?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=8ADDBBAE2CA9407AED5D5F4B4C10213FDF53EF80,Trade & Construction Jobs,architecture,gb,architecture,standard,False,False
IT Design and Architecture,Together Financial Services,"Cheadle, Greater Manchester","We are seeking a motivated IT Design and Architecture Graduate to join our team, where you will play a pivotal role in shaping our systems and processes. In this role, you will utilise IT architectural tools and modelling software to define and document innovative solutions that impact our applications and reporting structures. You will guide project design direction by ensuring solutions are backed by clearly documented and prioritised requirements, adhering to our target architecture. Additio…",34169.63,34169.63,,2025-03-29T00:36:41Z,https://www.adzuna.co.uk/jobs/land/ad/5117019435?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=E3A154F3A09B733FB68EF20D91011CCEBD182CCE,IT Jobs,architecture,gb,architecture,standard,False,False
Lecturer in Architectural Technology,University of the West of England,"Stapleton, Bristol","UWE Bristols School of Architecture and Environment is an ambitious, interdisciplinary School spanning the architectural, built and natural environments. The Architecture subject area has a strong reputation for its interdisciplinary architectural programmes, its community-engaged, socially sustainable practices and its strong industry connections. Youll embody our values of inclusivity, sustainability and collaboration and will work alongside our programme teams to develop innovative curricula…",45000,45000,permanent,2025-05-02T10:36:54Z,https://www.adzuna.co.uk/jobs/land/ad/5175786821?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=E75416905789DBC8E8E1C8EAE277ABC418EFF0CD,Teaching Jobs,architecture,gb,architecture,standard,False,False
Estimator Architectural Ironmongery,Mitchell Maguire,"Allington, Maidstone","Estimator Architectural Ironmongery Job Title: Estimator Architectural Ironmongery Job Reference: 110393-1140-25114 Industry Sector: Estimator, Quoting, Estimates, Architectural Ironmongery, Handrails, Balustrades, Accessibility products, Door Closers, Hinges, Automatic Doors, Access Control, Door Hardware, Ironmongery, Locks, Latches, Door Furniture, Washrooms, Door hardware, Doorsets Location: Office is situated in Kent, hybrid / remote working available Remuneration: £35,000 - £40,000 Benefi…",40000,40000,permanent,2025-04-27T10:22:24Z,https://www.adzuna.co.uk/jobs/land/ad/5165389489?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=3CBF656B5C8511BAABBF1A495026872240541DB9,Trade & Construction Jobs,architecture,gb,architecture,standard,True,False
Senior Architectural Technologist,Bennett and Game,"Glasgow, Scotland","Our client, a well-established, award-winning architectural practice with Multiple offices are seeking a talented Senior Architectural Technologist to join their expanding their team. The successful Senior Architectural Technologist will be working collaboratively with their Glasgow office. Architectural Technologists based in Edinburgh are also encouraged to apply due to multiple sites & projects being based here. This role would also suit ambitious Architectural Technologists looking for a st…",50000,50000,permanent,2025-04-17T13:59:26Z,https://www.adzuna.co.uk/jobs/land/ad/5149650235?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=714464B882C91A34F0DF69B576C828CDAAEFBCD8,Trade & Construction Jobs,architecture,gb,architecture,standard,False,False
Architectural Technician or Technologist,Equals One Ltd,"Gargrave, Skipton","Architectural Technician or Technologist Salary dependent on experience  generous benefits package Gargrave, North Yorkshire office based Full time About Us: We are a dynamic, design-led architectural practice based in the picturesque village of Gargrave, North Yorkshire. We specialise in a diverse range of residential projects, including barn conversions, listed building renovations, house extensions, and new builds, with a strong emphasis on sustainability and quality design. Position Overvie…",34752.34,34752.34,permanent,2025-04-12T09:46:14Z,https://www.adzuna.co.uk/jobs/land/ad/5141915338?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=60228A91AA9B5CCD4EE9D5EDE3C7C7FED53D1E0A,Creative & Design Jobs,architecture,gb,architecture,standard,False,False
Senior Architectural Technologist,Rise Technical Recruitment Limited,"Kettering, Northamptonshire","Senior Architectural Technologist Kettering, Hybrid Available Up to £50,000  Annual Bonus  Medicash Scheme  Flexible Hours  Training  Progression to Partner  Benefits An exciting opportunity for an Architectural Technologist to join a well-established, growing architectural practice that values its people, offers fantastic career progression, and provides exposure to a diverse range of high-value projects. Are you an experienced Architectural Technologist looking to work on large-scale, multi-s…",50000,50000,permanent,2025-04-30T14:32:26Z,https://www.adzuna.co.uk/jobs/land/ad/5170490450?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=A912A98959D7134732AB9D0F66280CE61D3A4116,Trade & Construction Jobs,architecture,gb,architecture,standard,False,False
Senior Architectural Technician,Bennett and Game,"Newcastle Upon Tyne, Tyne & Wear","Bennett and Game are currently assisting a well-established, Revit using architectural practise based in Newcastle, with their search for a Senior Architectural Technician. Since establishing over 60 years ago, our client has developed a specialist team of Architects, Designers and Technologists, who prioritise the creative re-use of buildings as well as a focus on Sustainability. Our client are offering extensive progression, the opportunity to widen your portfolio, a salary ranging up to £55,…",55000,55000,permanent,2025-04-06T09:40:56Z,https://www.adzuna.co.uk/jobs/land/ad/5132214958?se=qnJKVfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=F147DF02C22F5EA80B5453E84656D134E081FE93,Creative & Design Jobs,architecture,gb,architecture,standard,False,False
