title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Electrical Build Engineer - Dorset - £Competitive,Bond Williams Limited,"Dorchester, Dorset","We are looking for an Electrical Build Engineer to join our clients growing team. The successful candidate will be responsible for building bespoke robot-based, electromechanical automation systems, reviewing technical drawings, and ensuring systems meet safety standards. You will work cross-departmentally to deliver high-quality electrical systems and troubleshoot faults. As Electrical Build Engineer essential Skills: HNC in electrical engineering or equivalent Experience with technical electr…",40451.25,40451.25,permanent,2025-05-01T22:35:14Z,https://www.adzuna.co.uk/jobs/land/ad/5174736487?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=3E867B56F98AA35F1E76A0E91B444E143F02BC63,Engineering Jobs,building engineer,gb,building engineer,standard,False,False
Build Engineer,Airband Community Internet,"Tiverton, Devon","Job Title: Build Engineer Location: Devon Job Type: Full-Time (40 hours per week) Salary £28,000 to £31,000 (depending on experience) Job Summary: We are looking for an experienced build engineer to join the Airband team. The Build Engineer is responsible for the planning, execution, and management of complex build and installation projects. This role ensures that all systems and infrastructure are built to meet stringent specifications and industry best practices, delivering high-quality and r…",34053.82,34053.82,,2025-04-21T03:48:39Z,https://www.adzuna.co.uk/jobs/land/ad/5154913321?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=2EC94A766A62C065835366D51A64C0F9112B941C,Engineering Jobs,building engineer,gb,building engineer,standard,False,False
Build Engineer - Contract,PLAYGROUND GAMES LTD,UK,"Playground Games is looking for a Build Engineer to join our Fable team on a contract basis. About us: As a first-party Xbox Game Studio, we are passionate about making genre-defining games that are accessible, beautiful, and, most of all, fun. We are excited to be rebooting the much-loved Fable franchise and are expanding our diverse team to create a new classic in the action RPG genre. About the role: As a Build Engineer you will be responsible for designing, implementing, and maintaining aut…",45522.14,45522.14,permanent,2025-04-16T03:13:25Z,https://www.adzuna.co.uk/jobs/land/ad/5146751198?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=74ADA72D1BCE4484E6972F91BB95163057E92E3E,IT Jobs,building engineer,gb,building engineer,standard,False,False
Mechanical Build Engineer,MET Recruitment UK Ltd,"Kingswinford, West Midlands","Mechanical Build Engineer Kingswinford Permanent £33,500 per annum We are working with a globally renowned manufacturer, who are currently looking for a Mechanical Build Engineer to join their team on a permanent basis. The Mechanical Build Engineer will be responsible for the build of sub-assembly units, and the integration of units including installs and upgrades on-site at customer sites UK-based and Worldwide. What’s on offer? £33,500 per annum Bonuses – dependent on group performance 38 ho…",33500,33500,permanent,2025-04-14T21:10:04Z,https://www.adzuna.co.uk/jobs/land/ad/5144688598?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=3EAA147C50CE8BAC9042D840D4CD8F7B67419C09,Engineering Jobs,building engineer,gb,building engineer,standard,False,True
Building Services Engineer,Keystone Engineering,"Birmingham, West Midlands","Mechanical Building Services Engineer Birmingham (Hybrid) £50,000 - £65,000  Tax Free Bonuses  Pension  Holiday Excellent opportunity to join an employee-owned organisation with a fantastic bonus structure, that always promote from within and invest heavily in training/development. On offer is an autonomous, hybrid working role where you will manage your own diary and work on a variety of interesting engineering projects where you can make a real impact. This company are a leading building serv…",65000,65000,permanent,2025-04-04T13:37:44Z,https://www.adzuna.co.uk/jobs/land/ad/5129243406?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=E4EAF5DAF93CD3FB5808D38EDD161D58B3AB7C4E,Engineering Jobs,building engineer,gb,building engineer,standard,False,False
Building Services Engineer,Lancer Scott Holdings Limited,"Redcliffe, Bristol","Based in one of Bristols most prestigious recently developed office buildings you as the successful applicant will be carrying out both reactive and planned maintenance working alongside our client. You will oversee contractors and a team of 1 2 engineers across other sites conducting supervisory duties such as; toolbox talks and engineer/van audits. Competitive salary, Contributory Pension, 25 Days Holiday, Company vehicle, On Site Parking, Monday to Friday 8am 5pm (flexible on start/finish) K…",45000,45000,permanent,2025-04-20T06:03:16Z,https://www.adzuna.co.uk/jobs/land/ad/5154165863?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=46FB2F682049EE66038D6F4F818350BE1C54A544,Engineering Jobs,building engineer,gb,building engineer,standard,False,False
BMS / Smart Buildings Engineer,Talent Motion,"London, UK","BMS / Smart Buildings Engineer – Client Side - £70,000 - £80,000  Package  c.20% Bonus  12% Pension With Intelligent Buildings becoming a reality in the industry, this consultancy’s clients are now expecting a level of integration of smart systems into their buildings. BMS is at the forefront and a key component to delivering Smart Buildings, and enabling the energy management that modern buildings seek to achieve EPCB and NZC. Talent Motion is working on a unique opportunity in the market to s…",74798.66,74798.66,,2025-04-12T05:06:17Z,https://www.adzuna.co.uk/jobs/land/ad/5141657626?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=46FD2E288FACB3BC794E0826B9A4DEA1455235D5,Engineering Jobs,building engineer,gb,building engineer,standard,False,False
Building Fabric Engineer,Bakkavor,"Carriden, Bo'ness","Building Fabric Engineer- Boness We rise to challenges together Salary : up to £33,000 Highly competitive reward package including life insurance, staff shop, MyBargains discount platform Location: Bo'ness Ways of Working Site based Hours of work: 8:30-17:00 ( 2 nights shifts per month) Contract Type - Permanent Why join us? We're ready for anything. We thrive on challenge and change. The undeniable pressure and pace of our 24/7 operation keeps us on our toes and offers a variety of career path…",34996.89,34996.89,permanent,2025-05-03T11:20:20Z,https://www.adzuna.co.uk/jobs/land/ad/5178361690?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=B951872D05B9F0E065B0090569ECC247C77ABF8F,Maintenance Jobs,building engineer,gb,building engineer,standard,False,False
Building Services Engineer,Cala Consulting Limited,"Belfast, Northern Ireland",Building Services Engineer (Mechanical or Electrical) With the commencement of their expansion this company are focused on attracting highly skilled Building Services Engineers who are keen to work on career defining projects. The company invests heavily in its workforce and offer employees the opportunity to develop their careers whilst fostering an environment of continuous professional development. A competitive salary and benefits package is on offer. The company are currently working in a …,60000,60000,,2025-04-11T04:50:28Z,https://www.adzuna.co.uk/jobs/land/ad/5139974066?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=90CDAB537632D026C8348376A07BE199DA8045E3,Engineering Jobs,building engineer,gb,building engineer,standard,False,False
Assembly Technician / Build Engineer (Mechanical),ARCA,"Bristol, South West England","Roles : Assembly Technician / Build Engineer - Mechanical bias Market : Automotive / F1 / Aero Location : Bristol Rate : £competitive Outside IR35 6 month contract x 2 ARCA is partnered with a rapidly scaling, world class motion simulation business seeking to expand its research and development engineering teams. We are looking to speak with experienced Assembly Technicians who will be helping to deliver mechanical sub assembles and full machine assemblies to a high standard. Having a good eye …",48600.8,48600.8,contract,2025-04-21T03:49:30Z,https://www.adzuna.co.uk/jobs/land/ad/5154915574?se=VPOlPfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=013241F9F0CA37461295A585700DB86B50BC4702,Engineering Jobs,building engineer,gb,building engineer,standard,False,False
