title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Product Manager - Construction Equipment,Finning International,"Cannock, Staffordshire",Company: Finning (UK) Ltd Number of Openings: 1 Worker Type: Permanent Position Overview: Finning is the world's largest Caterpillar dealer. We pride ourselves on delivering exceptional customer experiences and innovative solutions. Join our dynamic team as a Product Manager and be part of a company that values your contributions and supports your growth. Job Description: We are looking for a dynamic and experienced Product Manager for Construction Industries to join our team. This pivotal role…,41808.54,41808.54,permanent,2025-05-01T05:57:30Z,https://www.adzuna.co.uk/jobs/land/ad/5171852893?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=16E05B4733C2D6D117472E4243BBC3335A38106F,Sales Jobs,construction,gb,construction,standard,False,False
Construction Teacher/Unqualified Teacher,Outcomes First Group,"Lower Upton, Shifnal","How would you like to be paid for five days but only work four*? Our colleagues’ wellbeing is at the heart of everything we do at OFG, so we’re always looking for new ways to improve everyone’s work/life balance. We’re taking part in a trial of the 4-Day Working Week, meaning that you could be working one day less a week (or equivalent). If the trial is a success, we’ll be rolling the 4DWW out across the Group – so there’s never been a more exciting time to join teamOFG! Job Title: Construction…",28000,36000,permanent,2025-04-16T13:29:02Z,https://www.adzuna.co.uk/jobs/land/ad/5147345555?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=4BC85C4D8E941F469E2C84D26C3DA65C4D26AE7C,Teaching Jobs,construction,gb,construction,standard,False,False
Construction Administrator,HAYS,"Burnley, Lancashire","ADMINISTRATOR | CONSTRUCTION | IMMEDIATE START | BURNLEY | OFFICE BASED | 3 MONTH TEMP | SCOPE FOR EXTENSION  Please note: You must have Business Support/Administration experience within the Construction setting  Your New Company You will be joining a reputable construction firm based in Burnley, known for its commitment to quality and excellence in the industry. The company prides itself on delivering high-standard projects and fostering a collaborative and supportive work environment. Your Ne…",28080,,contract,2025-04-25T19:56:09Z,https://www.adzuna.co.uk/jobs/land/ad/5162900692?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=161E16899F2042FA6D843822B7AFCD11E67982E9,Admin Jobs,construction,gb,construction,standard,False,False
Construction Admin,HAYS,"Wigan, Greater Manchester","Construction Admin | Wigan | Full time – Permanent | 25 days holiday  Bank | £30,000 DOE Your new company A leading construction company are seeking to recruit an Construction Administrator to work within their open office Team. This company are search for a confident communicator who is professional, able to work well under pressure and contribute within a small team. This role is office-based in Wigan, offering tailored working hours and career progression, along with other great benefits. St…",30000,30000,permanent,2025-01-05T01:47:10Z,https://www.adzuna.co.uk/jobs/land/ad/4998274794?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=8FAA23D10653360A10C7D6777575EB387389E12B,Admin Jobs,construction,gb,construction,standard,False,False
Project Manager (Construction),Idverde,"Semilong, Northampton","Job Title: Project Manager (Construction) Location: Northampton based - Covering the Leicester to Newcastle Salary: £40,000 to £45,000 Contract type: Permanent Working hours:40 hours a week - can be flexible on start/finish times About the role Are you an experienced Contracts or Project Manager within the construction sector seeking a new opportunity that promises career growth, a supportive working atmosphere, and the chance to leverage established client relationships and stable projects? Wo…",40000,45000,permanent,2025-05-01T15:16:48Z,https://www.adzuna.co.uk/jobs/land/ad/5173103907?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=93A2C9B2E6D38CB0B11CF28583BBCF7F5F38B42D,Trade & Construction Jobs,construction,gb,construction,standard,False,False
Project Manager (Construction),HAYS,"Salford, Greater Manchester",Fantastic opportunity for an experienced Construction Project Manager to join this leading Contractor We are looking to recruit an experienced Construction Project Manager to lead a prestigious Commercial Build project on the outskirts of Manchester. This is a unique opportunity for a seasoned Construction Project Manager or a Senior Site Manager ready to take the next step in their career You’ll be working on the construction of an £8m RC Construction Build project in the Salford area. You wil…,70000,80000,,2025-03-07T22:12:05Z,https://www.adzuna.co.uk/jobs/land/ad/5081794500?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=7C973623FD49FB52278BADAAAD0E87C9D89A989E,Trade & Construction Jobs,construction,gb,construction,standard,False,False
Quantity Surveyor - Construction,HAYS,"Nottinghamshire, East Midlands","Quantity Surveyor - Construction - Nottinghamshire Your new company You will be working for an established and reputable contractor within the construction industry who specialises in house build projects across the UK. This company is an award-winning contractor who displays their commitment to creating long-lasting and sustainable constructed residences. Due to growth within the organisation, they are looking to onboard a Quantity Surveyor within the Nottingham area. Your new role Your role w…",44974.63,44974.63,,2025-02-22T22:17:31Z,https://www.adzuna.co.uk/jobs/land/ad/5060859410?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=3470882C6070FB85D3720A5633F9E0AAD37D2925,Trade & Construction Jobs,construction,gb,construction,standard,False,False
CONSTRUCTION SITE MANAGER,HAYS,"Nottingham, Nottinghamshire","CONSTRUCTION SITE MANAGER NEEDED IN NOTTINGHAM, PAYING UP TO £55,0000 Location: NG2 3AQ Salary: £50,000 - £55,000 Contract: FTC 12 MONTHS Work Hours: 40 HOURS PER WEEK Job Overview: We are seeking a dedicated and experienced Site Manager to lead the civil and electrical installation of a 132kV grid connection at a Solar PV site in Nottingham. This role is crucial for the successful execution of a new electrical grid connection, contributing to the development of renewable energy infrastructure.…",50000,55000,contract,2025-02-14T15:33:59Z,https://www.adzuna.co.uk/jobs/land/ad/5049891346?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=7AED9498436E7D1541046FB21466B30EECBE053F,Trade & Construction Jobs,construction,gb,construction,standard,False,False
(Construction) Office Manager,HAYS,"North West London, London","(Construction) Office Manager in NW London - £40k p.a. Your new company Join a growing family-owned construction business specialising in fast-track fit-out projects for the hospitality, food, and beverage industry. This company has built its reputation for its quality of delivery and prides itself on repeat business from clients. Your new role As an Office Manager based in North West London, you will play a crucial role in streamlining and improving operations and handling general administrati…",35000,40000,,2025-04-25T19:56:04Z,https://www.adzuna.co.uk/jobs/land/ad/5162900534?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=4397B8ED4FB06987B2EC4B3B592EA77A03A0121B,Admin Jobs,construction,gb,construction,standard,False,False
Construction Manager - Water,HAYS,"Shropshire, West Midlands",Construction Manager - Permanent - Main Contractor - Shropshire - Severn Trent Water - Civil Engineering Your new company You will be joining an industry-leading main contractor based in Worcestershire operating in the water industry. This multi-accredited contractor specialises in delivering clean water infrastructure solutions for major water providers and offers excellent opportunities for career progression and professional development. They have a strong pipeline of work with Severn Trent …,0,60000,permanent,2025-04-25T19:56:09Z,https://www.adzuna.co.uk/jobs/land/ad/5162900665?se=WrEA7fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=D050597550959184B7A5DF407223E2415612DDFE,Trade & Construction Jobs,construction,gb,construction,standard,False,False
