title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Planning Engineer,Bouygues Construction,"Bridgwater, Somerset","Spécialisé dans le génie civil et les ouvrages d'art, Bouygues Travaux Publics est l'un des leaders mondiaux dans les domaines de l'aménagement du territoire et de la construction d'infrastructures durables. Nous sommes engagés en faveur de la diversité et ouverts à tous les talents. Our Company Bouygues Travaux Publics (TP) and Laing O'Rourke, two of Europe’s most dynamic engineering and construction specialists, are working together in a joint venture named BYLOR to deliver the main civil eng…",50691.29,50691.29,,2025-04-22T08:49:16Z,https://www.adzuna.co.uk/jobs/details/5156050594?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,génie civil,gb,génie civil,standard,False,False
Mechanical Engineer,Bouygues Construction,"Bridgwater, Somerset","Spécialisé dans le génie civil et les ouvrages d'art, Bouygues Travaux Publics est l'un des leaders mondiaux dans les domaines de l'aménagement du territoire et de la construction d'infrastructures durables. Nous sommes engagés en faveur de la diversité et ouverts à tous les talents. Our Company Bouygues Travaux Publics (TP) and Laing O'Rourke, two of Europe’s most dynamic engineering and construction specialists, are working together in a joint venture named BYLOR to deliver the main civil eng…",50191.2,50191.2,,2025-04-22T08:49:15Z,https://www.adzuna.co.uk/jobs/details/5156050590?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,génie civil,gb,génie civil,standard,False,False
Directeur Travaux Génie Civil,Fed Group,US,"Vous avez de l'expérience en encadrement d'équipe et avez une expertise forte en Génie Civil, vous souhaitez une nouvelle aventure? Candidatez à cette offre : Je suis Lucas GIFFE, spécialisé en BTP et construction, et recherche le meilleur candidat pour mon client, un major du milieu de la construction, pour une de ses filiales spécialisée en Génie Civil. Cette structure souhaite intégrer dès maintenant un Directeur de Travaux GC (H/F) en CDI. L'entreprise est une agence dédiée aux projets de c…",70000,80000,permanent,2025-04-24T09:24:21Z,https://www.adzuna.com/details/5160138603?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Technicien routier et génie civil,DGRH,US,"Informations générales Référence 2023-227 Structure d'emploi DEQ Libellé du poste Technicien routier et génie civil Métier Construction et maintenance des infrastructures portuaires, aéroportuaires, VRD - Chargé d'opérations infrastructures Fonction Néant Filière Filière Technique Finalité / Descriptif synthétique Le technicien routier et génie civil est chargé de la conception et du suivi des études routières, de génie civil et de la délivrance des avis sur les dossiers routiers (raccordements…",42344.71,42344.71,,2025-03-23T19:27:10Z,https://www.adzuna.com/details/5108172573?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
technicien routier et génie civil,DGRH,US,"Informations générales Référence 2024-1496 Structure d'emploi DEQ Libellé du poste technicien routier et génie civil Métier Construction et maintenance des infrastructures portuaires, aéroportuaires, VRD - Chargé d'opérations infrastructures Fonction Néant Filière Filière Technique Finalité / Descriptif synthétique Le technicien routier et génie civil est chargé de la conception et du suivi des études routières, de génie civil et de la délivrance des avis sur les dossiers routiers (raccordement…",42491.8,42491.8,,2025-03-22T23:28:35Z,https://www.adzuna.com/details/5107227348?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Dessinateur,DGRH,US,"Informations générales Référence 2023-216 Structure d'emploi DEQ Libellé du poste Dessinateur Métier Construction et maintenance des bâtiments - Projeteur Filière Filière Technique Finalité / Descriptif synthétique Le dessinateur est chargé de réaliser des documents graphiques à l'aide de logiciels spécialisés, aux fins de contribuer à l'élaboration des projets relatifs à l'exécution de différents types d'ouvrages publics : génie civil, routier et hydraulique. Définition du poste Temps de trava…",48717.97,48717.97,,2025-03-21T19:54:43Z,https://www.adzuna.com/details/5105470275?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Chef de cellule - contrôleur de travaux - dessinateur - Projeteur,DGRH,US,"Informations générales Référence 2024-1494 Structure d'emploi DEQ Libellé du poste Chef de cellule - contrôleur de travaux - dessinateur - Projeteur Métier Construction et maintenance des bâtiments - Projeteur Fonction Chef de cellule Filière Filière Technique Finalité / Descriptif synthétique Le dessinateur est chargé de réaliser des documents graphiques à l'aide de logiciels spécialisés, aux fins de contribuer à l'élaboration des projets relatifs à l'exécution de différents types d'ouvrages p…",54450.04,54450.04,,2025-03-22T22:03:54Z,https://www.adzuna.com/details/5107186074?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Chef.fe de Projet IEG H/F,Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",45660.62,45660.62,,2025-04-07T23:50:10Z,https://www.adzuna.com/details/5134818635?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Chef.fe de Projet IEG H/F,Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",51068.21,51068.21,,2025-04-13T02:08:33Z,https://www.adzuna.com/details/5143032253?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Responsable des travaux infrastructures,DGRH,US,"Informations générales Référence 2023-219 Structure d'emploi DEQ Libellé du poste Responsable des travaux infrastructures Métier Construction et maintenance des infrastructures portuaires, aéroportuaires, VRD - Responsable de travaux infrastructures Filière Filière Technique Finalité / Descriptif synthétique Le responsable des travaux infrastructures est chargé de la maîtrise d'œuvre des travaux pour les opérations de construction et d'aménagement des infrastructures routières. Définition du po…",41293.4,41293.4,,2025-03-21T19:42:23Z,https://www.adzuna.com/details/5105445212?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
