title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
"Conducteur(rice) travaux réhabilitation sociale, expérimenté(e) - Habitat Social",Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",62780,62780,,2025-04-19T01:41:26Z,https://www.adzuna.com/details/5152794999?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,ingénieur civil,us,ingénieur civil,standard,False,False
"Conducteur(rice) travaux réhabilitation sociale, expérimenté(e) - Habitat Social",Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",70073.97,70073.97,,2025-04-17T23:07:47Z,https://www.adzuna.com/details/5150964709?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,ingénieur civil,us,ingénieur civil,standard,False,False
"Responsable travaux confirmé(e), Patron(ne) de chantier Habitat/TCE H/F",Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",63984.9,63984.9,,2025-03-23T20:41:10Z,https://www.adzuna.com/details/5108213375?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,ingénieur civil,us,ingénieur civil,standard,False,False
"Responsable travaux confirmé(e), Patron(ne) de chantier Habitat/TCE H/F",Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",57323.49,57323.49,,2025-03-23T19:34:56Z,https://www.adzuna.com/details/5108177144?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,ingénieur civil,us,ingénieur civil,standard,False,False
"Responsable travaux réhabilitation en sites occupés (93, 95) H/F",Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",65014.84,65014.84,,2025-03-23T22:23:54Z,https://www.adzuna.com/details/5108261451?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,ingénieur civil,us,ingénieur civil,standard,False,False
"Responsable travaux réhabilitation en sites occupés (93, 95) H/F",Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",58265.59,58265.59,,2025-03-25T19:53:13Z,https://www.adzuna.com/details/5111398293?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,ingénieur civil,us,ingénieur civil,standard,False,False
Senior HVDC Application Engineer,GE Vernova,"Fox Valley Facility, DuPage County",Job Description Summary The Senior HVDC Application Engineer is an established leader in their respective engineering team. He or she drives business strategy through detailed technical and economic understanding of the marketplace and takes the initiative to drive business leaders to provide customers with the best solutions that positively impact business. The Senior HVDC Application Engineer Serve as the technological point person for the business for the entire Inquiry to Order (ITO) phase.…,69235.66,69235.66,,2025-03-11T09:39:11Z,https://www.adzuna.com/details/5087078039?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,ingénieur civil,us,ingénieur civil,standard,False,False
Ingénieur Génie Civil H/F,Aldebaran Group,"Pyrénées-Atlantiques, Nouvelle-Aquitaine","Ingénieur Génie Civil - ref. JOB-1328 Récapitulatif Prêt à relever des défis passionnants dans le domaine de l'Energie ? Nous recherchons un ingénieur génie civil (et structure) pour intervenir sur des projets de processus de production de gaz ou fluides dans le domaine des énergies. Vous assurez la conception, la validation et le suivi des études de génie civil afin de garantir la conformité technique et réglementaire des infrastructures. Vos missions * Contribuer à la définition et à la réali…",60000,80000,,2025-04-29T05:50:35Z,https://www.adzuna.fr/land/ad/5167804375?se=mOwBtPAo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=2AED17DEE10EFD85276E662D57B6E36AE5C01750,Unknown,ingénieur civil,fr,ingénieur civil,standard,False,False
Ingénieur Génie Civil H/F,Assystem,"Rhône, Auvergne-Rhône-Alpes","Votre future équipe Sous la responsabilité de Ha, Pilote Technique, vous rejoignez l'équipe Génie Civil qui relève le défi de notre époque : le projet EPR2 ! Vos missions Explorez l'ingénierie nucléaire d'EDF, menée par Edvance pour le projet EPR2 et portée par Assystem au sein de l'équipe Mécanique/GC. En tant qu'Ingénieur(e) Génie Civil, vous concevez, analysez et supervisez la construction de structures nécessaires aux installations nucléaires, garantissant leur sûreté et leur durabilité. Vo…",,,,2025-05-03T07:04:35Z,https://www.adzuna.fr/land/ad/5177914532?se=mOwBtPAo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=927E994684FC4EAAF09647668152DB2074310913,Unknown,ingénieur civil,fr,ingénieur civil,standard,False,False
Ingénieur Génie Civil (H/F),PRIME ENGINEERING,"Provence-Alpes-Côte d'Azur, France","Prime Engineering est une société de conseil en management de projet et en ingénierie. Créée en 2013, nous intervenons dans les métiers de l’Energie, des Industries, des Infrastructures de transport et du Bâtiment. Fort de notre croissance nous souhaitons renforcer notre Prime Team, qui compte plus de 700 collaborateurs répartis sur nos 9 agences ! Labélisée « Great Place To Work » depuis 2016, Prime Engineering représente aujourd’hui l’un des acteurs majeurs du conseil opérationnel en ingénier…",,,,2025-04-11T05:27:21Z,https://www.adzuna.fr/land/ad/5139961357?se=mOwBtPAo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=42F2D6760A4FE6A9954429625215D15E9DBD3F4E,Unknown,ingénieur civil,fr,ingénieur civil,standard,False,False
