title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Project Manager,Outcomes First Group,"Over Hulton, Bolton","We are really proud to say that in 2024, Outcomes First Group were officially certified as a ‘Great Place to Work’ for the fifth year running. *You’ll work 80% of your contractual hours for 100% of your pay, giving you more time to do the things that make you happy. 4DWW is subject to successful completion of probation and is not a contractual benefit* JOB TITLE: Project Manager LOCATION: Bolton HYBRID WORKING: On average 2 days per week – Bolton Office REPORTS TO: Commercial Project Portfolio …",0,50000,,2025-05-01T18:08:40Z,https://www.adzuna.co.uk/jobs/land/ad/5173613595?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=BB6F46F6D70F3242B3456AE9216427F91AABC00E,IT Jobs,project manager,gb,project manager,standard,False,False
Project Manager,HAYS,"Aylesbury, Buckinghamshire","Project Manager/ Construction education projects Job Title: Project Manager/ Construction education projects Reporting to: Senior Building surveyor The Organisation:You will become part of a culture dedicated to creating inspiring and sustainable environments. The organisation excels in building strong relationships by understanding the challenges their clients face, aligning with their vision, and helping them turn potential into reality. Due to ongoing success and growth, the team is expandin…",35000,35000,,2024-10-26T13:50:49Z,https://www.adzuna.co.uk/jobs/land/ad/4914973704?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=FB981B1E9D6D9CA68B7DBD8AA49C8411C6403410,Admin Jobs,project manager,gb,project manager,standard,False,False
Project Manager (Construction),Idverde,"Semilong, Northampton","Job Title: Project Manager (Construction) Location: Northampton based - Covering the Leicester to Newcastle Salary: £40,000 to £45,000 Contract type: Permanent Working hours:40 hours a week - can be flexible on start/finish times About the role Are you an experienced Contracts or Project Manager within the construction sector seeking a new opportunity that promises career growth, a supportive working atmosphere, and the chance to leverage established client relationships and stable projects? Wo…",40000,45000,permanent,2025-05-01T15:16:48Z,https://www.adzuna.co.uk/jobs/land/ad/5173103907?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=93A2C9B2E6D38CB0B11CF28583BBCF7F5F38B42D,Trade & Construction Jobs,project manager,gb,project manager,standard,False,False
Senior Project Manager,HAYS,"Norwich, Norfolk","Senior Project Manager (Gas) Job Title: Senior Project Manager Location: Bacton Salary: Negotiable, circa £55-70K per annum Job Description: We are seeking an experienced and dynamic Senior Project Manager to oversee operations on all Bacton projects. The ideal candidate will have a strong understanding of the role and permit process, and will be responsible for managing client relationships and ensuring project success. Key Responsibilities: Oversee operations on all Bacton projects Manage cli…",55000,70000,,2025-02-28T08:31:24Z,https://www.adzuna.co.uk/jobs/land/ad/5066552898?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=10CF483D5CB860F1BB3802E1D80E9BD1D17741B5,Engineering Jobs,project manager,gb,project manager,standard,False,False
Project Manager (EHv),HAYS,"Norwich, Norfolk","Project Manager (EHv) Project Manager with EHv experience required in Norwich (£60,000/annum) Starting ASAP in Norwich, where we are installing all the below ground ducting that will feed a new BESS and Solar farm linking back to the Norwich grid substation. The project will need an experienced Project Manager/ Site Manager to run the operations on site and feed into a senior project manager. The role will be based in Norwich full-time and will manage the teams on site (between 5-10 men). The c…",60000,60000,,2025-02-15T09:45:37Z,https://www.adzuna.co.uk/jobs/land/ad/5051041633?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=DF7A90635AF9EB229158AF85EB9C5306ABB6FC97,Trade & Construction Jobs,project manager,gb,project manager,standard,False,False
Electrical Project Manager,HAYS,"Poole, Dorset","Opportunity to join a leading family-run Electrical Contractor Building Services Electrical Project Manager Location: Dorset Project Management: Define scope, develop plans, manage budgets and schedules. Team Coordination: Collaborate with electricians, engineers, and other professionals. Installation and Maintenance: Oversee electrical systems installation and repair. Safety and Compliance: Ensure compliance with safety standards and regulations. Client Communication: Liaise with clients and p…",50000,60000,,2025-05-01T05:03:01Z,https://www.adzuna.co.uk/jobs/land/ad/5171794271?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=27CCD116F0371AC458008917AA2E11A608DFC485,Engineering Jobs,project manager,gb,project manager,standard,False,False
Project Manager (Construction),HAYS,"Salford, Greater Manchester",Fantastic opportunity for an experienced Construction Project Manager to join this leading Contractor We are looking to recruit an experienced Construction Project Manager to lead a prestigious Commercial Build project on the outskirts of Manchester. This is a unique opportunity for a seasoned Construction Project Manager or a Senior Site Manager ready to take the next step in their career You’ll be working on the construction of an £8m RC Construction Build project in the Salford area. You wil…,70000,80000,,2025-03-07T22:12:05Z,https://www.adzuna.co.uk/jobs/land/ad/5081794500?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=7C973623FD49FB52278BADAAAD0E87C9D89A989E,Trade & Construction Jobs,project manager,gb,project manager,standard,False,False
Civils Project Manager,HAYS,"Sheffield, South Yorkshire","Civils Water Project Manager - Sheffield and Yorkshire area, Up to £75k  Package  Benefits Fantastic opportunity for an experienced Water biased Project Manager to join this business. Your new company Hays Civil Engineering are delighted to be working with an established National Civil Engineering Contractor to recruit a Project Manager to join the businessWorking on Water projects across Yorkshire, you’ll be joining this highly experienced team to support the delivery of streams of work on the…",59085.01,59085.01,,2025-03-20T23:14:23Z,https://www.adzuna.co.uk/jobs/land/ad/5103597598?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=2BDB24E3FBD6B8C769A677D1C0668B878A339F83,Trade & Construction Jobs,project manager,gb,project manager,standard,False,False
Senior project manager,HAYS,"Nottinghamshire, East Midlands","Senior Project Manager, Nottinghamshire, MRICS, MAPM, construction consultancy, Your new company You will work for a leading multi-disciplinary consultancy firm with a rich history, offering a range of services including architecture, civil engineering, project management, cost management and HS. With nearly 1000 members of staff working across the UK, they pride themselves on exceptional service delivered to their clients. You will work in their Nottingham office, as a Senior PM. Your new role…",50666.74,50666.74,,2025-03-18T18:51:59Z,https://www.adzuna.co.uk/jobs/land/ad/5099292377?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=A198EB3C33DE82BEBF3F7FB95A9F4D4C171EFECC,Trade & Construction Jobs,project manager,gb,project manager,standard,False,False
Senior Project Manager,Hays,UK,"Senior Project Manager - Construction - Competitive Salary & Package Your new company One of the UK’s leading contractors with over a 100 years of experience. Operating across the UK in a number of sectors including: Construction, Residential, Fit Out, Maintenance and Engineering Your new role Senior Project Manager required for a major construction project in the Suffolk area. They require someone with proven technical skills whilst bringing fresh ideas to the table. As Senior Project Manager …",62440.26,62440.26,,2025-05-02T07:26:31Z,https://www.adzuna.co.uk/jobs/land/ad/5175532370?se=KEQCivEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=B723512487282EC952320524F89CC6A5F84D200A,Trade & Construction Jobs,project manager,gb,project manager,standard,False,False
