title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Senior Lecturer (Urban Planning),University College of Estate Management,"Caversham, Reading","Senior Lecturer (Urban Planning) Full time (35 hrs/wk), permanent Remote place of work Salary range £50,000 to £60,000 pa plus benefits Applicants are required to submit a current CV, cover letter or email, and a Recruitment Check Form which can be found on our website. UCEM is proud to be an online university. Online learning, done well, is every bit as inclusive, engaging and successful as traditional learning. To support our growth and future development, we need you to join our team, enhanc…",60000,60000,permanent,2025-05-02T10:36:55Z,https://www.adzuna.co.uk/jobs/land/ad/5175786834?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=B72B830A2C2A59C10DCB4A8497002CA6FB274524,Teaching Jobs,urban planning,gb,urban planning,standard,True,False
Senior Lecturer (Urban Planning),UNIVERSITY COLLEGE OF ESTATE MANAGEMENT,"Caversham, Reading","Senior Lecturer (Urban Planning) Full time (35 hrs/wk), permanent Remote place of work Salary range £50,000 to £60,000 pa plus benefits Applicants are required to submit a current CV, cover letter or email, and a Recruitment Check Form which can be found on our website. UCEM is proud to be an online university. Online learning, done well, is every bit as inclusive, engaging and successful as traditional learning. To support our growth and future development, we need you to join our team, enhanc…",50000,60000,permanent,2025-05-02T05:06:51Z,https://www.adzuna.co.uk/jobs/land/ad/5175239298?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=DB324609EE0848A9379E1D399DB7278AA8FA7611,Teaching Jobs,urban planning,gb,urban planning,standard,True,False
PhD Research Writers (Real Estate & Urban Planning),Upwork,"London, UK","Job Description As a PhD Research Writer (Real Estate & Urban Planning), you will; Conduct in-depth research on various topics to generate factually accurate, high-quality content for LLM training Writing, editing, and refining instructional datasets, including dialogues, summaries, explanations, and multi-turn conversations Ensuring linguistic clarity, coherence, and adherence to ethical AI guidelines Reviewing, validating, and refining model-generated outputs for accuracy and relevance Collab…",40169.62,40169.62,,2025-04-07T02:00:34Z,https://www.adzuna.co.uk/jobs/details/5132961685?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,urban planning,gb,urban planning,standard,False,False
Professor (of practice) Urban Development,The University of Manchester,"Manchester, Greater Manchester","Job Title: Professor of Urban Development / Professor of Practice in Urban Development Location: Oxford Road, Manchester Salary: Competitive Job type: Full Time (1 FTE), Permanent (to start from 1st June 2025 and by 1 December 2025 at the latest) Closing date: 23/05/2025 The University of Manchester seeks to appoint a senior colleague as Professor of Urban Development or Professor of Practice in Urban Development on a permanent contract within the Global Development Institute (GDI). We envisage…",42583.19,42583.19,permanent,2025-04-27T10:22:46Z,https://www.adzuna.co.uk/jobs/land/ad/5165389577?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=B1555B653E0A9BE1F3EAFFC2976A9245A6B4E671,Teaching Jobs,urban planning,gb,urban planning,standard,False,True
"EV Site Planning Assistant – EV Charging (Hybrid – London HQ) - £28,000 – £32,000  10% Bonus",EVEREC,"London, UK","EV Site Planning Assistant – EV Charging (Hybrid – London HQ) £28,000 – £32,000  10% Bonus Location: London (Hybrid) Company Overview Our client is a fast-growing company in the electric vehicle (EV) charging sector, helping drive the UK’s transition to clean, sustainable energy. As part of their expansion, they’re looking for a detail-oriented and tech-savvy Graduate EV Site Planning Assistant to join their team. This is an office-based, entry-level administrative and research role - ideal for…",31480.16,31480.16,,2025-04-30T15:56:09Z,https://www.adzuna.co.uk/jobs/land/ad/5170680713?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=39B2B52D3AD3D4D5745F1E4F355F989756303BCA,Admin Jobs,urban planning,gb,urban planning,standard,False,False
Chartered Quantity Surveyor,TRS Staffing Solutions,"Eastern England, UK","Position: Chartered Quantity Surveyor Duration: 15-18 months Location: Hawalli, Kuwait About the client Our client is a leading multidisciplinary consultancy based in Kuwait, specializing in architecture, engineering, and urban planning. The firm has been involved in numerous prestigious projects, including infrastructure, high-rise buildings, healthcare, and educational institutions. Responsibilities Manage and oversee all cost management and quantity surveying activities for construction proj…",63632.75,63632.75,,2025-04-30T15:55:25Z,https://www.adzuna.co.uk/jobs/land/ad/5170677833?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=AE0C4B6FC962803C4C8BB90D1DBC8F82976A5B85,Trade & Construction Jobs,urban planning,gb,urban planning,standard,False,False
Planning Assistant,Planning Resolution Ltd,"Leatherhead, Surrey",We are a small niche planning practise with a range of interesting clients and projects - seeking a motivated and enthusiastic Assistant Town Planner to join us in Surrey. This role offers a fantastic opportunity to be part of a collaborative environment where you will contribute to the successful delivery of planning projects and gain valuable experience in the field. Key Responsibilities: Site visits and client meetings Assist in the preparation and submission of planning applications. Conduc…,30369.66,30369.66,permanent,2025-04-22T14:34:43Z,https://www.adzuna.co.uk/jobs/land/ad/5156189398?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=75C49BCC5A87758C4E62C75083B340022B9C69DC,Creative & Design Jobs,urban planning,gb,urban planning,standard,False,False
Area Manager – Development Management (North & West),CRA GROUP RECRUITMENT AND PAYROLL LTD,"Isle Brewers, Taunton","3 months contract with local authorities Job Description We are seeking an experienced and dedicated Area Manager for Development Management to oversee the North & West regions. As an integral part of our Public Sector and Government team, you will be responsible for leading and managing the development management functions in the designated areas. Your role will involve ensuring compliance with regulations, providing strategic guidance, and fostering positive relationships with stakeholders. T…",54799.48,54799.48,contract,2025-04-25T04:55:23Z,https://www.adzuna.co.uk/jobs/details/5161681121?utm_medium=api&utm_source=e1ad5111,Social work Jobs,urban planning,gb,urban planning,standard,False,False
Professor (of practice) Urban Development,Bluetownonline,"Manchester, Greater Manchester","Job Title: Professor of Urban Development / Professor of Practice in Urban Development Location: Oxford Road, Manchester Salary: Competitive Job type: Full Time (1 FTE), Permanent (to start from 1st June 2025 and by 1 December 2025 at the latest) Closing date: 23/05/2025 The University seeks to appoint a senior colleague as Professor of Urban Development or Professor of Practice in Urban Development on a permanent contract within the Institute. We envisage that the role can be undertaken by eit…",42768.74,42768.74,permanent,2025-04-29T09:24:40Z,https://www.adzuna.co.uk/jobs/land/ad/5168212565?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=FF863865590F614C1C308873F05FA2B7DF40489B,Teaching Jobs,urban planning,gb,urban planning,standard,False,False
Town Planner,Penguin Recruitment,"Farringdon, Central London","REF: NE45454 Town Planner - London - £competitive Are you passionate about shaping vibrant, sustainable communities? Do you possess the creativity and expertise to design cities of tomorrow? If so, we may have the opportunity for you! Our client are on the lookout for a skilled Town Planner who thrives in: Urban Development: Drive strategic planning initiatives, envisioning dynamic city layouts, and optimizing land use. Sustainability: Implement eco-friendly solutions, integrating green spaces …",35000,45000,,2025-04-20T23:14:10Z,https://www.adzuna.co.uk/jobs/details/5154785866?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,urban planning,gb,urban planning,standard,False,False
Design Director - Landscape,Bespoke Careers,"London, UK","As the new Design Director of Landscape Architecture, you’ll be leading on the cutting edge of creative landscape architecture in the UK and internationally. Your role will see you manage a growing team of talented landscape architects and designers across a series of projects, typologies, locations and scales. You will operate as the key client contact for the team, helping to drive new business and client relationships. Along with being an important member of the company’s management and grou…",56774.81,56774.81,,2025-05-04T08:57:06Z,https://www.adzuna.co.uk/jobs/land/ad/5179918276?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=CB5853593448F85EE4E1DD96F84A53614294F0C9,Trade & Construction Jobs,urban planning,gb,urban planning,standard,False,True
Senior Urban Planner,Auxeris,"London, UK","Senior Planner (RTPI) - Multidisciplinary Urban Planning Consultancy Sector: Town Planning / Urban Development Location: London (Hybrid – 2–3 days/week in office) Salary: Competitive  Bonus  Benefits Are you a talented and proactive Urban Planner looking to join a respected and growing consultancy that’s making an impact across the built environment? About the Opportunity We’re recruiting on behalf of a highly regarded, multidisciplinary planning consultancy based in Central London. The firm is…",51987.91,51987.91,,2025-04-30T15:54:56Z,https://www.adzuna.co.uk/jobs/land/ad/5170676092?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=95B9E8D0AC387B330375DB2122F7A1195C062BF2,Trade & Construction Jobs,urban planning,gb,urban planning,standard,False,False
"Graduate Town Planner, Central London",Cobalt Recruitment,"London, UK","Have you gained over 12 months of professional town planning experience? You may be ready to apply your planning experience to assist on a more challenging portfolio of major projects and advance your career? We are currently working closely with a boutique planning consultancy based in central London, who are eager to welcome a talented Graduate Town Planner to their team. You would have the opportunity to accelerate your progression alongside a collaborative, dynamic and social team. Our clie…",31211.42,31211.42,,2025-05-04T08:59:42Z,https://www.adzuna.co.uk/jobs/land/ad/5179919074?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=0101A4A4F0030295E4D35632B75BB60BC9651244,Graduate Jobs,urban planning,gb,urban planning,standard,False,False
"Town Planner, Central London",Cobalt Recruitment,"London, UK",Do you have over 12-18 months professional planning experience? You might be seeking greater exposure to a healthy pipeline of major projects or simply a fresh environment to further your career progression? We are currently working closely with a highly revered planning consultancy that is eager to welcome a talented Graduate Town Planner or Town Planner to their team. Our client has an enviable roster of clients and a track record of delivering exceptional results on flag ship projects across…,30378.93,30378.93,,2025-05-04T08:59:36Z,https://www.adzuna.co.uk/jobs/land/ad/5179918831?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=6D1FEE8443DA1D3F12EDEE987A82DA0984A88DE4,Consultancy Jobs,urban planning,gb,urban planning,standard,False,False
Planning Lead (Town/Environmental Planner),Balance Power,"St. Helens, Merseyside","Main Duties Balance Power are thrilled to announce an exciting opportunity within our growing Planning Team as a Planning Lead. As a member of the Planning & Design Team, you will be managing planning applications, engaging with stakeholders, and supporting the delivery of energy development projects. This is an exciting opportunity for a skilled professional with at least three years of experience in town planning within a local authority, consultancy, or developer environment. Your responsibi…",49480.68,49480.68,,2025-05-03T07:26:58Z,https://www.adzuna.co.uk/jobs/land/ad/5178019782?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=E6086D73A01E98FA77FFCD554209149A3DCE9DB8,Engineering Jobs,urban planning,gb,urban planning,standard,False,False
Associate Town Planner,TipTopJob,"Rugby, Warwickshire","REF: NE0980787 Associate Town Planner : Rugby: GBPCompetitive Are you passionate about shaping the future of communities and creating vibrant, sustainable spaces? Do you have a keen eye for urban planning and a desire to make a positive impact on the built environment? If so, we invite you to be part of our clients dynamic team as an Associate Town Planner Our client is committed to fostering thriving communities through innovative and thoughtful urban planning. They pride themselves on their c…",36132.24,36132.24,,2025-04-29T08:59:33Z,https://www.adzuna.co.uk/jobs/details/5168160187?utm_medium=api&utm_source=e1ad5111,Creative & Design Jobs,urban planning,gb,urban planning,standard,False,False
Associate Town Planner,Penguin Recruitment,"Long Lawford, Rugby","REF: NE(phone number removed) Associate Town Planner - Rugby- £Competitive Are you passionate about shaping the future of communities and creating vibrant, sustainable spaces? Do you have a keen eye for urban planning and a desire to make a positive impact on the built environment? If so, we invite you to be part of our client's dynamic team as an Associate Town Planner! Our client is committed to fostering thriving communities through innovative and thoughtful urban planning. They pride themse…",50000,60000,,2025-04-28T01:27:33Z,https://www.adzuna.co.uk/jobs/details/5166169661?utm_medium=api&utm_source=e1ad5111,Creative & Design Jobs,urban planning,gb,urban planning,standard,False,False
Town Planner,Penguin Recruitment Ltd,"London, UK","Town Planning Consultant Location: London | Sector: Planning Consultancy | Competitive Salary  Benefits Are you ready to take your planning career to the next level with one of London's most prestigious and impactful planning consultancies? Our client - a leading independent planning consultancy with a long-standing reputation for delivering some of the most high-profile and complex development projects in London and the South East - is seeking talented, driven individuals to join their excepti…",26000,45000,permanent,2025-05-02T11:33:27Z,https://www.adzuna.co.uk/jobs/land/ad/5175960788?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=9F99D6954BBC1AF202CA766ECAE9170584EE4B3F,Trade & Construction Jobs,urban planning,gb,urban planning,standard,False,False
Graduate Town Planner,TipTopJob,"Milton Keynes, Buckinghamshire","Ne Graduate Town Planner : Milton Keynes : GBPCompetitive Are you passionate about shaping vibrant communities and envisioning the cities of tomorrow? Were seeking a talented and ambitious graduate town planner to join our innovative client. About Us: Our client are dedicated to creating sustainable, inclusive, and thriving urban environments. Their team is at the forefront of urban planning, utilising cutting:edge strategies to design spaces that enhance quality of life for residents while emb…",29209.9,29209.9,,2025-04-29T08:59:35Z,https://www.adzuna.co.uk/jobs/details/5168160305?utm_medium=api&utm_source=e1ad5111,Graduate Jobs,urban planning,gb,urban planning,standard,False,False
Graduate Town Planner,Penguin Recruitment,"Rhydcymerau, Llandeilo","REF: NE(phone number removed) Graduate Town Planner - Lampeter - £Negotiable Are you passionate about shaping the future of urban spaces? Do you have a keen eye for sustainable development and community planning? If so, we have the perfect opportunity for you! Position: Graduate Town Planner Location: Lampeter Company Overview: Join our dynamic client , a leading urban planning firm dedicated to creating vibrant, sustainable communities. With a focus on innovative solutions and community engage…",25000,30000,,2025-04-20T23:09:19Z,https://www.adzuna.co.uk/jobs/land/ad/5154784345?se=itZCKPEo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=C733926FD5F5E19C8ED86FEB9E742A48C0382FCA,Graduate Jobs,urban planning,gb,urban planning,standard,False,False
Graduate Town Planner,Gattaca PBS Bullhorn,"Macclesfield, Cheshire","Key Responsibilities: Assisting in the preparation and submission of planning applications Supporting the development management process by liaising with clients, stakeholders, and local authorities Conducting research and analysis to inform planning decisions Preparing reports and documents to assist senior planners Participating in site visits and surveys to gather necessary information Contributing to the development of planning strategies and policy reviews Maintaining up-to-date knowledge …",22000,26000,permanent,2025-05-01T01:21:52Z,https://www.adzuna.co.uk/jobs/details/5171518490?utm_medium=api&utm_source=e1ad5111,Graduate Jobs,urban planning,gb,urban planning,standard,False,False
