title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
AI Engineer,Ocho,"Belfast, Northern Ireland","AI Engineer Are you an AI Engineer ready to design and deploy cutting-edge AI systems in a secure, regulated, cloud-first environment? My client is expanding with a multi-million-pound investment in new infrastructure and a significant recruitment drive. As part of this growth, they're looking for a skilled AI Engineer to take the lead in building secure, compliant, and high-performing AI solutions-particularly around Retrieval-Augmented Generation (RAG), Large Language Models (LLMs), and respo…",80000,80000,,2025-04-24T05:39:29Z,https://www.adzuna.co.uk/jobs/land/ad/5159514671?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=75CDCBDE939576292E3C7AC54FDB9917808E67AD,IT Jobs,AI engineer,gb,AI engineer,standard,False,False
AI Engineer,ARC Regulatory Ltd,"Belfast, Northern Ireland","ARC's purpose is to expedite access to precision medicine clinical trials for patients globally. We fulfil our purpose through our dedicated team of experts with unparalleled domain knowledge, and the important relationships we have developed with our global clients. We are a Belfast-based Clinical Research Organisation that specialises in delivering compliance excellence for companies in the precision medicine sector. We support many of the world's leading pharmaceutical R&D companies in imple…",60000,60000,,2025-04-26T03:13:44Z,https://www.adzuna.co.uk/jobs/land/ad/5163297396?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=3B1C1373C56644F934FBA7D0D5D3820F02EBCF8A,IT Jobs,AI engineer,gb,AI engineer,standard,False,True
AI Engineer (Embedded Systems),Chroma Recruitment Ltd,"Low Prudhoe, Prudhoe","This innovative company in the Electronics and Embedded industry are looking for an AI Engineer to join their team. The primary responsibility for the AI Engineer will be to improve their product range through the application of real time AI, this will be a mix of computer vision and real-time data streams. AI Engineer requirements: Degree qualified in Computer Science/Electronics (or equivalent) 5 years industry experience (flexibility on this) Embedded Systems experience Real Time Application…",65000,65000,permanent,2025-04-24T10:26:05Z,https://www.adzuna.co.uk/jobs/land/ad/5159742207?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=3478D90D766FAB67AC1B3091A2366428B9A17D8A,Engineering Jobs,AI engineer,gb,AI engineer,standard,False,False
AI Engineer Python LLM,Client Server,"The City, Central London","AI Engineer / Developer (Python LLM) London / WFH to £65k Want to work on intellectually and technically challenging AI systems at the cutting edge of what is possible, whilst learning and collaborating with an amazing team and enjoying flexible working and a range of other perks? You could be progressing your career as an AI Engineer at a well-established AI company acting as tech incubator within the World Economic Forum to tackle issues like climate change, AI adoption, battery technology an…",65000,65000,permanent,2025-04-30T18:38:03Z,https://www.adzuna.co.uk/jobs/land/ad/5170880930?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=559E9FEDF68B4610A3DE1C719E684339CD1C7318,IT Jobs,AI engineer,gb,AI engineer,standard,False,False
AI Engineer,Harnham,UK,"AI Engineer / ML Engineer - CRYPTO - REMOTE We are collaborating with a cryptocurrency analytics firm that assists clients in identifying market opportunities, conducting due diligence, and protecting portfolios. The company is expanding its strategic capabilities in AI & ML. They are seeking a skilled and driven Senior AI/ML Engineer to join their team. In this position, you will design and manage AI models to process extensive blockchain data, identifying patterns and insights that guide deci…",53724.19,53724.19,,2025-04-30T15:57:40Z,https://www.adzuna.co.uk/jobs/land/ad/5170691665?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=B1B04E81E70169A42D5C0B4A499D3562F23F8373,IT Jobs,AI engineer,gb,AI engineer,standard,True,False
AI Engineer,Understanding Recruitment,"London, UK","AI Software Engineer | FinTech We are searching for an AI Engineer to join a Series A startup on a mission to modernise outdated financial infra! They're using cutting-edge tech to build smarter, faster systems that rethink how finance works from the ground up. This collaborative, forward-thinking team, are building powerful, AI-driven solutions using open-source LLMs , replacing outdated systems with sleek, scalable tech within Asset Management. They’re now hiring an AI Software Engineer with…",66409.34,66409.34,,2025-04-27T05:52:54Z,https://www.adzuna.co.uk/jobs/land/ad/5165173239?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=905525C67E9C48FA7AA6675C60DF07CF2393FD41,IT Jobs,AI engineer,gb,AI engineer,standard,False,False
AI Engineer,In Technology Group,"Leeds, West Yorkshire","Job Title: AI Engineer Location: Leeds (Hybrid 2 days on-site) Salary: £55,000 – 65,000 D.O.E About Us: Join a leading Business Intelligence (BI) consultancy that has just secured Series C funding. Our mission is to revolutionise the way businesses leverage data to drive strategic decisions. We are a dynamic team of professionals dedicated to innovation, excellence, and delivering top-notch solutions to our clients. Role Overview: We are seeking a talented and passionate AI Engineer to join our…",60351.8,60351.8,,2025-05-04T08:56:49Z,https://www.adzuna.co.uk/jobs/land/ad/5179917760?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=1D7C61B885F9035B3E3EB7A0969EE3B0C274EE4F,IT Jobs,AI engineer,gb,AI engineer,standard,False,False
AI Engineer,numi,"London, UK","numi are incredibly proud to have this new partnership with not just another tech company; they're on a mission to fundamentally change how organisations understand the world around them. They're tackling the ""understanding gap"" head-on, using cutting-edge AI to deliver insights that truly matter. They're looking for an AI Engineer who's not just passionate about writing code, but about building something that makes a real difference. If you're someone who thrives on solving complex problems an…",47838.46,47838.46,,2025-04-02T16:17:33Z,https://www.adzuna.co.uk/jobs/land/ad/5124370526?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=CA9892B7B27A3F02375B5E89B27C971737D14995,IT Jobs,AI engineer,gb,AI engineer,standard,False,False
AI Engineer (Automation),Future Publishing,UK,"What you'll be doing Future are looking for and AI & Automation Engineer to design and implement smart solutions that improve manual business processes. You'll work with modern tools like Temporal.io, n8n.io, Make.com, and various programming languages (Python, Go, Typescript, PHP, and Java) to create custom automations. In this role, you'll collaborate with teams across Sales, Product, Editorial, IT, and Engineering to identify inefficiencies, understand requirements, and build AI-driven solut…",50000,60000,permanent,2025-04-24T05:43:52Z,https://www.adzuna.co.uk/jobs/land/ad/5159519357?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=8D8F5835635D6DD4469AE300B21EC420246240B0,IT Jobs,AI engineer,gb,AI engineer,standard,False,False
AI Engineers,Ubique Systems,UK,"AI Engineers Bournemouth, UK Contract 6 month -Inside IR35 role Hybrid Mode-2-3 days from office JD: Use Generative AI tools to automate and optimize SDLC tasks. Use Augmented AI to meet specific project requirements. Evaluate model outputs for quality and relevance Explore and implement innovative solutions using Generative AI. Solve complex development challenges with AI-enhanced approaches Generative Ai tool and services implementation Python with OpenAi implmentation expereince Familiarity …",85670.43,85670.43,contract,2025-05-01T06:56:16Z,https://www.adzuna.co.uk/jobs/land/ad/5171939748?se=mMCIBe8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=862D0835A604C8210548B6EFB234F2621AA32EA3,IT Jobs,AI engineer,gb,AI engineer,standard,False,False
