title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Big Data Architect,InterEx Group,"London, UK","For this role, you will be responsible for providing the framework that appropriately replicates the Big Data needs of a company utilizing data. Essential requirements: More than 3 years of presales experience in the design of Big Data and Data analytics solutions according to customer requirements Previous experience with the preparation of high-quality engaging customer presentations, excellent communication skills, experience in conversations at CxO level, ability to adapt the message to the…",45292.11,45292.11,,2025-04-21T03:49:06Z,https://www.adzuna.co.uk/jobs/land/ad/5154914403?se=oPVS6u4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=4C75855D38C368BEA403FF43DA0E9D8C48D4FC5E,IT Jobs,big data,gb,big data,standard,False,False
Senior Big Data Engineer,"Luxoft Holding, Inc.","London, UK","Project description ACQA is built on Microsoft Azure cloud computing technology. It aims to deliver: • Scalable cost-efficient infrastructure, using cloud PaaS components. • Single core platform, open architecture, designed for change, itemised $cost metrics, automated data lineage. • Shared across Front Office, Finance and Risk, improving regulatory compliance. • One-Platform / One-Experience -fast to train, easy to operate, retaining talent. The ACQA platform is made up of a series of compone…",66136.36,66136.36,,2025-04-26T15:23:08Z,https://www.adzuna.co.uk/jobs/land/ad/5164212827?se=oPVS6u4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=8F27A4CD845931EBA85BA9C1BAFA091E5D601305,IT Jobs,big data,gb,big data,standard,False,False
Big Data Architect (Open source contributor),HCLTech,"London, UK","HCLTech is a global technology company, home to 219,000 people across 54 countries, delivering industry-leading capabilities centered on digital, engineering and cloud, powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services. Consolidated revenues as of $13 bill…",47249.12,47249.12,,2025-04-30T15:56:26Z,https://www.adzuna.co.uk/jobs/land/ad/5170682749?se=oPVS6u4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=C50E7257AFFFFBCFD985D19563196015CDD8CC53,IT Jobs,big data,gb,big data,standard,False,True
Big Data Engineer,Gaming Innovation Group,"Manchester, Greater Manchester","As part of the Big Data Team, you will be using cutting edge technologies to work on collating data across different sources within GiG. Sources are all in real time, and you will be supporting an event driven micro service lambda architecture. Your focus is to work with the current agile team and contribute to the platform’s objectives and continue being an enabler to many other data technology stakeholders such as the Business Intelligence, Data Science and Quality Assurance teams. You will b…",42644.97,42644.97,,2025-03-26T16:19:50Z,https://www.adzuna.co.uk/jobs/details/5112261666?utm_medium=api&utm_source=e1ad5111,IT Jobs,big data,gb,big data,standard,False,False
Big Data Analyst,Nexus Jobs Limited,"London, UK",Job Description Big Data Scientist - Docklands London Our Client an international organisation is looking to recruit a Big Data Expert with 2 to 5 years expertise as a Big Data Scientist. You will have Natural Language Processing (NLP) knowledge and experience and understand and analyse large data sets to discover new insights. Working in a multi-disciplinary team within a highly technical and complex environment. Well versed in scalable data mining and machine learning techniques (using comput…,300,450,permanent,2025-05-01T21:58:04Z,https://www.adzuna.co.uk/jobs/details/5174665629?utm_medium=api&utm_source=e1ad5111,IT Jobs,big data,gb,big data,standard,False,True
Big Data Engineer,Cloud Bridge,"Bisham, Marlow","We are seeking a talented Big Data Engineer to join our data engineering team. In this role, you will be responsible for designing, developing, and optimising scalable big data pipelines and architectures. You will work closely with data scientists, data analysts, and business stakeholders to ensure that high-volume data is processed, stored, and made accessible for analytical and operational use Key Responsibilities: Architect and maintain scalable data pipelines using AWS services like S3, Re…",71060.68,71060.68,,2025-04-11T13:22:55Z,https://www.adzuna.co.uk/jobs/details/5140459165?utm_medium=api&utm_source=e1ad5111,IT Jobs,big data,gb,big data,standard,False,False
Big Data Engineer,ibm,UK,"Introduction In this role, you'll work in our IBM Client Innovation Center (CIC), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. These centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You'll work with visionaries across multipl…",43663.63,43663.63,,2024-10-29T11:51:51Z,https://www.adzuna.co.uk/jobs/details/4917516605?utm_medium=api&utm_source=e1ad5111,IT Jobs,big data,gb,big data,standard,False,False
Big Data Developer,infosys,UK,"Primary skills:Bigdata->Hadoop,Bigdata->Hive,Bigdata->Pyspark,Bigdata->Python,Bigdata->Scala,Bigdata->Spark,Opensource->Apache Kafka A day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and Support activities, to assure that our clients are satisfied with the high levels of service in the technology domain. You will gather the requirements and specifications to understand the client requirements in…",50564.31,50564.31,,2023-11-13T22:00:42Z,https://www.adzuna.co.uk/jobs/details/4430365647?utm_medium=api&utm_source=e1ad5111,IT Jobs,big data,gb,big data,standard,False,False
Big Data Engineer - AWS Redshift  Kafka - to £100k ID37553,Humand Talent,"London, UK","Are you ready to level up your career and work on projects that really matter? This role is all about you – growing your skills, taking on new challenges, and making a real difference every day. Why This Role is Perfect for You: • Learn and Grow: Get stuck into using the latest AWS tools like Redshift, S3, and Kafka. You will be designing data models and building ETL pipelines, which means you are always learning something new and adding valuable skills to your toolkit. • Make a Real Impact: Yo…",52751.94,52751.94,,2025-04-02T16:15:18Z,https://www.adzuna.co.uk/jobs/land/ad/5124358204?se=oPVS6u4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=D37FB3519A4B5B82A79EFC4D4C505F822964834F,IT Jobs,big data,gb,big data,standard,False,False
Big Data Systems Engineer,Northrop Grumman,"London, UK","UK CITIZENSHIP REQUIRED FOR THIS POSITION: Yes RELOCATION ASSISTANCE: Relocation assistance may be available CLEARANCE TYPE: UK-Highest Level of Government Clearance TRAVEL: Yes, 10% of the Time Salary: £77,400 - £116,000 Define Possible at Northrop Grumman UK At Northrop Grumman UK, our mission is to solve the most complex challenges by shaping the technology and solutions of tomorrow. We call it Defining Possible. This mind-set goes beyond our customer solutions; it’s the foundation for your …",77400,116000,,2025-04-14T09:23:53Z,https://www.adzuna.co.uk/jobs/details/5143982982?utm_medium=api&utm_source=e1ad5111,IT Jobs,big data,gb,big data,standard,False,False
