title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Business Intelligence Executive,English Heritage,"London, UK","Title : Business Intelligence Executive Location : Homeworker or office based in Bristol, London, or Swindon Salary : From £40,852 per annum, depending on skills, experience and location / 36 hours per week / Permanent Job type : Permanent Ref : 15990 Heritage is for everybody, and we are here for heritage. Heritage lives in places and people, memories and stories, artefacts and traditions. It can connect us all to the past, and to each other. It can make us happier, strengthen every community,…",40000,40000,permanent,2025-04-25T18:25:46Z,https://www.adzuna.co.uk/jobs/land/ad/5162484021?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=D6322E91865940B30AD4EA854683AFCE3E4EEEF4,Charity & Voluntary Jobs,business intelligence,gb,business intelligence,standard,False,False
Business Intelligence Engineer,Ridge & Partners LLP,"Bladon, Woodstock","We are recruiting a new Business IntelligenceEngineer position in the team to accommodate the delivery of our expanding workload in support of the broader growth of the business. Linked to the steady growth of the business, we are evolving our data architecture to offer a modern data service with new data sources coming online and redeveloping our data warehouse to align with our projected growth. The current team is small so the role will have exposure to colleagues across Ridge, including ext…",36754.16,36754.16,permanent,2025-04-29T22:41:18Z,https://www.adzuna.co.uk/jobs/land/ad/5169465001?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=51CA8125211C53C6C5BDABBBCC46712AA487C97D,IT Jobs,business intelligence,gb,business intelligence,standard,False,False
Data and Business Intelligence Manager,Chroma Recruitment Ltd,"Handforth, Wilmslow","Chroma are currently recruiting for a Data and Business Intelligence Manager to join a leading European technical product specialist who are going through an exciting tech and digital transformation. This role is offering up to £80K with hybrid working based out of their Wigan and Wythenshawe sites. Benefits of the role include : 25 days holiday  bank holidays, 8% pension, life assurance scheme, employee assistance program, discretionary bonus scheme. As The Data and Business Intelligence Manag…",80000,80000,permanent,2025-04-04T13:39:30Z,https://www.adzuna.co.uk/jobs/land/ad/5129249274?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=4498D7C166C747FDC8A5C6498CD7E6BC55408138,IT Jobs,business intelligence,gb,business intelligence,standard,False,False
Business Intelligence and Reporting Analyst,Hallmark,"Bradford, West Yorkshire","Location: BD4 6HN Division: Finance Contract Type: Permanent Salaried Become a key member of Hallmark UK Data & Analytics centre of excellence as our new BI and Reporting Analyst. We are transforming our analytics capabilities and you will play a vital role in this by contributing to our analytical reporting and supporting the development of Tableau to bring value to the business at pace. This is an opportunity for you to make a real impact, demonstrate and build upon your existing strong MI ab…",38867.11,38867.11,permanent,2025-04-28T18:47:51Z,https://www.adzuna.co.uk/jobs/land/ad/5166949373?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=18D0018DC91124297197D42B22E723106DA0F7A3,IT Jobs,business intelligence,gb,business intelligence,standard,False,False
Head of Client Insight and Business Intelligence,Carey Olsen Group Services Limited,"St Paul's, Central London","We are looking for a Head of Client Insight and Business Intelligence to join our Marketing & Business Development team. The successful candidate will develop and implement a comprehensive client insight and business intelligence strategy and function to support data-driven business development, marketing and client engagement initiatives in support of Carey Olsen's strategy and growth targets. Key duties include : Lead on the collection, analysis, interpretation and reporting of client, busine…",42257.21,42257.21,permanent,2025-05-02T20:05:15Z,https://www.adzuna.co.uk/jobs/land/ad/5177150998?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=5B8FF6F7A74EA1200EE7692642D7883CBDEAEC17,"PR, Advertising & Marketing Jobs",business intelligence,gb,business intelligence,standard,False,False
Business Intelligence Analyst,Maples Group,"Leeds, West Yorkshire","Our distinction flows from our carefully curated team: 2,500 professionals characterised by tenacity, ethics and exacting excellence. Operating in key financial centres across the Americas, Asia, Europe and the Middle East, our international presence offers a unique springboard for career development and cross-cultural immersion. Our side-by-side financial and legal services are similarly ripe for interdisciplinary learning and growth. The Maples Group looks to add a Leeds based Business Intell…",42230.58,42230.58,,2025-03-14T12:57:37Z,https://www.adzuna.co.uk/jobs/land/ad/5093378834?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=8FCAE6BC89D3DCB44700A64BEE85D9F1674F9BD7,IT Jobs,business intelligence,gb,business intelligence,standard,False,True
Business Intelligence Analyst,In Technology Group,"Nottingham, Nottinghamshire","Job Title: Business Intelligence Analyst (BI) Location: Nottingham On-site (Local Candidates Only) Salary Range: £30,000 – £50,000 (DOE) Employment Type: Full-time, Permanent About Us My client is a leading manufacturer committed to innovation, precision, and quality. With a strong focus on operational efficiency and digital transformation, we're looking for a Business Intelligence (BI) Analyst to help drive data-informed decisions across our shop floor and wider business operations. Role Overv…",47001.44,47001.44,permanent,2025-05-04T08:48:57Z,https://www.adzuna.co.uk/jobs/land/ad/5179915909?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=8E9C18983F4BE3F96FDF72063BB6D18134814293,IT Jobs,business intelligence,gb,business intelligence,standard,False,False
Business Intelligence Developer,Harnham,"London, UK","BI Developer London – Hybrid (2 to 3 days in office) £40,000 – £45,000 A leading UK fashion retailer is looking for a passionate Business Intelligence Developer to help transform how the business uses data. With a motivated workforce, strong tech partnerships, and tools already in place, this is your chance to shape the data culture across a well-established brand. What’s the opportunity? Working closely with the BI Manager, you will support the rollout and adoption of Power BI across the busin…",48553.08,48553.08,,2025-04-30T15:57:57Z,https://www.adzuna.co.uk/jobs/land/ad/5170693073?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=BD9A97EB78462C146203C58C14B098C3F770B351,IT Jobs,business intelligence,gb,business intelligence,standard,False,False
Business Intelligence Analyst,TMC Pharma Services Ltd,"Hartley Wintney, Hook","Position: Reporting directly to the Chief Commercial Officer, the Business Intelligence Analyst will play a vital role in supporting the company's commercial activities. This position involves analysing market data, identifying key segments and targets, performance reporting and providing actionable insights to support strategic decision-making and commercial strategies. The ideal candidate will have a strong analytical background, proficiency in segmentation and targeting techniques and the ab…",43620.35,43620.35,,2025-04-30T15:57:37Z,https://www.adzuna.co.uk/jobs/land/ad/5170691343?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=709536B5B794C486B23985A1828AF0C636EBD2C1,IT Jobs,business intelligence,gb,business intelligence,standard,False,False
Business Intelligence Analyst,Harnham,"Leicester, Leicestershire","BI Analyst Leicester (Hybrid - 3x Days a Week in Office) £40,000-£50,000 THE COMPANY A leading fashion retailer is rapidly expanding both its domestic & international presence and is seeking a BI Analyst to join their Financial Analytics team! THE ROLE As the BI Analyst, you will use your SQL experience to work on a range of projects within the Finance space. You will be comfortable providing insight & recommendations back to both technical and non-technical stakeholders in the process, using P…",40909.12,40909.12,,2025-04-30T15:57:17Z,https://www.adzuna.co.uk/jobs/land/ad/5170688695?se=slAPYe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=724E01E974C82BB0E48467A59DD6D66E92DB3E44,IT Jobs,business intelligence,gb,business intelligence,standard,False,True
