title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Senior Data Engineer,Mars Petcare UK,"St James's, South West London","Job Description: Are you passionate about Data and Analytics (D&A) and excited about how it can completely transform the way an enterprise works? Do you have the strategic vision, technical expertise, and leadership skills to drive data-driven solutions? Do you want to work in a dynamic, fast-growing category? If so, you might be the ideal candidate for the role in the Data and Analytics function for Global Pet Nutrition (PN) at Mars. Pet Nutrition (PN) is the most vibrant category in the FMCG …",55148.07,55148.07,,2025-05-04T01:48:19Z,https://www.adzuna.co.uk/jobs/land/ad/5179583600?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=6EC0C3E101E9689224F048ACBBC06CEE886B338A,IT Jobs,data engineer,gb,data engineer,standard,False,True
Data Engineer,Chroma Recruitment Ltd,"Handbridge, Chester","Chroma are currently recruiting for a Data Engineer to join a technologically innovative and growing financial services company based in Chester. Offering up to £45K per annum and hybrid working options , this is an excellent opportunity for someone with 2-4 years of commercial experience in data engineering looking to take their next step. Benefits of the role include hands-on training, life insurance, pension scheme, on-site gym and personal trainer, share options, and more! As a Data Enginee…",45000,45000,permanent,2025-04-08T17:38:47Z,https://www.adzuna.co.uk/jobs/land/ad/5135582023?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=9A86F097352E2B4817CEB99531D49B9321CFB7F9,IT Jobs,data engineer,gb,data engineer,standard,False,False
Data Engineer,Hireful,"Manchester Science Park, Manchester","Are you an experienced Data Engineer looking to join a leading B Corp organisation in the financial services industry? Keen to join accompany offering a hybrid 3-day office working week? You will be joining a company who work very hard to enable long term financial well-being by providing tailor made lending solutions. Data is key to our success, and that's where you come in! You will be working hard to enable effective data driven decisions using your experience of data warehousing and Busines…",55000,55000,permanent,2025-05-01T22:40:07Z,https://www.adzuna.co.uk/jobs/land/ad/5174739762?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=950B798D88B32249BBC719C6A163E1CFA3ED30C8,IT Jobs,data engineer,gb,data engineer,standard,False,False
Data Engineer,Skills for Care,"Holbeck, Leeds","Job Title: Data Engineer Hours: Full-time, 36 hours Job Status: Permanent Location: Leeds (with the option of agile/hybrid working) Salary : £52,575.15 per annum Closing Date: 18 May 2025 Interview Date(s): 27 and 28 May 2025 Skills for Care is the strategic workforce development and planning body for adult social care in England. We work with employers, Government and partners to ensure social care has the right people, skills and support required to deliver the highest quality care and suppor…",50000,50000,permanent,2025-05-02T20:05:11Z,https://www.adzuna.co.uk/jobs/land/ad/5177150771?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=DC617488C3F47344B524711E62E0110D62D94069,IT Jobs,data engineer,gb,data engineer,standard,False,False
Data Engineer,La Fosse,"Moorgate, Central London","Data Engineer (Tech for Good) Hybrid – London Office & Home-Based Up to £68,000 per annum Are you a skilled data engineer looking to make a real-world impact? Join a fast-growing tech-for-good company using data to drive positive change for people and the planet. We're looking for a mid-level Data Engineer with 3–4 years of experience to help shape and scale our data platform, supporting socially responsible projects across the organisation. Your Role: Develop and maintain cloud-based data pipe…",65000,65000,permanent,2025-05-02T20:05:12Z,https://www.adzuna.co.uk/jobs/land/ad/5177150835?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=09F09ED2674D84AC38117F0142BAF7AD48767AA7,IT Jobs,data engineer,gb,data engineer,standard,True,False
Data Engineer,Ibstock PLC,"Donington Le Heath, Coalville","WE ARE 200 years of history and over 2,300 employees strong. WE ARE a business loaded with opportunity and career progression. WE ARE innovators, designers, makers and engineers who manufacture and provide smart, efficient, and effective building products and solutions. Through our customer relationships, diverse building product range and solutions, we enable the creation of inspirational homes, places and spaces for us all to live and work better. With eight core product categories, underpinn…",41175.19,41175.19,permanent,2025-04-29T22:41:18Z,https://www.adzuna.co.uk/jobs/land/ad/5169465000?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=9444E50DE71745AB22A000C91DE36BD9668A02C3,IT Jobs,data engineer,gb,data engineer,standard,False,False
Data Engineer,Evri,"Tingley Common, Morley","We have an exciting opportunity for a Data Engineer to join our evolving team. We're always on the lookout for top talent to join our growing business. In fact, we never stand still, we work hard, make quick decisions and deliver to our ambitious goals every day. As a Data Engineer at Evri, you will play a crucial role in transforming our logistics and delivery data into actionable insights. Primarily working on our Databricks Common Data Platform, you will build and maintain data pipelines tha…",30000,30000,permanent,2025-04-04T21:23:48Z,https://www.adzuna.co.uk/jobs/land/ad/5129909451?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=2FD37469EA6373CB2CDB07FE253A01BD4BCE214C,IT Jobs,data engineer,gb,data engineer,standard,False,False
Data Engineer,LA International Computer Consultants Ltd,"Southwark, South East London","We are currently looking for a Data Engineer who can work fully onsite London 5 days per week DV Clearance long term work Palantir would be nice to have Please send latest CV Due to the nature and urgency of this post, candidates holding or who have held high level security clearance in the past are most welcome to apply. Please note successful applicants will be required to be security cleared prior to appointment which can take up to a minimum 18 weeks. LA International is a HMG approved ICT …",104000,156000,contract,2025-04-28T18:47:55Z,https://www.adzuna.co.uk/jobs/land/ad/5166949733?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=A67C09B06BD4CB92F291CEA0CF8645E51EC60260,IT Jobs,data engineer,gb,data engineer,standard,False,True
Data Engineer,Hays,"Cardiff County, Wales","JOB DETAILS - £445 PER DAY - INSIDE IR35 - 7 WEEK CONTRACT - IMMEDIATE START - 1 PER WEEK IN CARDIFF OFFICE SKILLS - Strong cloud experience in GCP, (Azure experience is desirable). - Strong skills in SQL, SQL Server, SSMS, SSIS, and building ETL pipelines. - Experience of using PowerBI to create dashboards and visualisations. - Knowledge of Python, R and AzureDevOps. RESPONSIBILITIES - Excellent communication skills. - Ability to lead multidisciplinary work. - Extensive skills in understanding…",0,115700,contract,2025-04-15T17:55:37Z,https://www.adzuna.co.uk/jobs/land/ad/5145908430?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=14600778658E279DB18FB05A0CEAD67B1C656A7A,IT Jobs,data engineer,gb,data engineer,standard,False,False
Data Engineer,Anson McCade,"Belfast, Northern Ireland","Role: Data Engineer Work Type & Location: Belfast (Hybrid flexibility available) Role Type: Permanent Start Date: ASAP Anson McCade are a leading recruitment and transformation consultancy, working with an innovative and forward-thinking client in the data and cloud technology space. With a robust project pipeline across multiple sectors, were seeking a Data Engineer to join a growing Belfast-based team, supporting high-impact data-driven solutions and cutting-edge cloud architecture. We are lo…",55000,55000,permanent,2025-04-17T05:16:54Z,https://www.adzuna.co.uk/jobs/land/ad/5148930115?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=D3FFE414CF58673468E85660B3765EC7AB807A33,IT Jobs,data engineer,gb,data engineer,standard,False,False
Data Engineer,Enso Recruitment,"Belfast, Northern Ireland","Enso Recruitment are proud to be working exclusively with one of NI's leading software houses on the search for a Senior Data Engineer to join their team. The Data Engineer will be part of a local team in NI, responsible for improving and optimizing data architecture and pipelines. The ideal candidate will have experience building and optimizing data pipelines and enjoy creating data solutions from the ground up. The role involves supporting developers, database architects, data analysts, and d…",65000,65000,,2025-04-30T06:03:23Z,https://www.adzuna.co.uk/jobs/land/ad/5169935931?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=5D022B7F8A769712218DCF22CF66A6DB6C858A3E,IT Jobs,data engineer,gb,data engineer,standard,False,False
Data Engineer,Hayward Hawk,"Belfast, Northern Ireland","HAYWARD HAWK is excited to be working with a global tech leader that's expanding its Belfast office. Were helping them find a talented Data Engineer to join their growing data team. The Role: Youll build and maintain data pipelines, work with modern cloud tools, and help deliver reliable data to drive key business decisions. Its a hands-on role with plenty of variety and collaboration across teams. What Youll Be Doing: Building scalable data pipelines with modern ETL tools Managing cloud-based …",50000,50000,,2025-05-02T06:13:27Z,https://www.adzuna.co.uk/jobs/land/ad/5175373274?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=E78F3B34BDCC2872D8FE3722759DF99220FE41AB,IT Jobs,data engineer,gb,data engineer,standard,False,True
Data Engineer,PA Consulting,"Belfast, Northern Ireland","Company description We believe in the power of ingenuity to build a positive human future. As strategies, technologies, and innovation collide, we create opportunity from complexity. Our teams of interdisciplinary experts combine innovative thinking and breakthrough technologies to progress further, faster. Our clients adapt and transform, and together we achieve enduring results. We are over 4,000 strategists, innovators, designers, consultants, digital experts, scientists, engineers, and tech…",63033.53,63033.53,,2025-04-30T18:09:20Z,https://www.adzuna.co.uk/jobs/land/ad/5170822153?se=UH7Omu4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=387AFD58CFF91AC28E8452DA61A3454EED1E23B8,IT Jobs,data engineer,gb,data engineer,standard,False,False
