title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Mining Massive Data Sets,Stanford University,UK,"We introduce the participant to modern distributed file systems and MapReduce, including what distinguishes good MapReduce algorithms from good algorithms in general. The rest of the course is devoted to algorithms for extracting models and information from large datasets. Participants will learn how Google's PageRank algorithm models importance of Web pages and some of the many extensions that have been used for a variety of purposes. We'll cover locality-sensitive hashing, a bit of magic that…",56669.86,56669.86,,2023-09-10T16:04:22Z,https://www.adzuna.co.uk/jobs/details/4305362125?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,data mining,gb,data mining,standard,False,False
Data Warehouse Manager,Shortlist Recruitment,"Chester, Cheshire","Data Warehouse Manager £60,000 Chester ShortList Recruitment are working with an excellent Chester-based client who are recruiting for a Data Warehouse Manager to join their growing team. The Data Warehouse Manager will ensure the data warehouse team is managed appropriately, scheduled jobs run without error and are delivered within SLA. This is a hands-on role which will primarily support the business with SAS, being used as the primary tool for analytics, data mining, data warehousing and pro…",60000,60000,permanent,2025-04-04T21:23:47Z,https://www.adzuna.co.uk/jobs/land/ad/5129909444?se=FNO-Me8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=D6D75AAF1CCEFC174A92C1F8CAD98617A83BA378,IT Jobs,data mining,gb,data mining,standard,False,False
Senior Data Scientist,ADLIB Recruitment,"South East London, London","Investment Firm Build cutting-edge investment signals with real-world impact. Work at the intersection of quant, sustainability, and tech. Combine research, engineering, and publishing in one role. This is a fantastic opportunity to join a growing, tech-forward quant research team. As a Senior Data Scientist, youll be joining a collaborative and innovation-focused environment where youll help solve complex problems using modern AI and machine learning techniques. Youll work on designing intelli…",100000,100000,permanent,2025-05-01T14:40:08Z,https://www.adzuna.co.uk/jobs/land/ad/5173067951?se=FNO-Me8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=31B73D2AE299BA579CF992880B3F87C2D243B16F,IT Jobs,data mining,gb,data mining,standard,False,False
Senior Data Engineer,JSS Transform,"London, UK","Senior Data Engineer - Contract - London A Senior Data Engineer is required by a Reinsurance broker to design, implement, and maintain data solutions in their Azure cloud platforms. You will need extensive experience in SQL, NoSQL, Data Lakes, Data Mining, DML, DQL, Data Modelling, and Scripting. This is a hybrid contract role. Sound like a bit of you? Then get involved.",45631.85,45631.85,contract,2025-05-03T07:28:58Z,https://www.adzuna.co.uk/jobs/land/ad/5178024568?se=FNO-Me8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=F57CAD4AE03948E896459C6CD4CCAA262B974850,IT Jobs,data mining,gb,data mining,standard,False,False
Senior Credit Data Analyst,JSS Search,"London, UK","My client is an established corporate bank, looking to expand their London team with the addition of a Senior Credit Risk Analyst. This role is data-driven and will have clear influence on credit strategy and the bank's risk appetite. The ideal candidate will have a minimum of 4 years of experience in credit risk, with a particular focus on data/analytics. Experience with SAS, SQL, Python or Tableau is also beneficial. Responsibilities Analysis of credit risk profile for the bank's property por…",44517.52,44517.52,,2025-04-28T03:28:40Z,https://www.adzuna.co.uk/jobs/land/ad/5166316440?se=FNO-Me8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=C424D6232D7D2ED6C9AD1148A498CA17F647E927,Accounting & Finance Jobs,data mining,gb,data mining,standard,False,False
Data Engineer,Anson McCade,"Belfast, Northern Ireland","Data Engineer Shape the Future of Data Innovation Belfast, Northern Ireland (Hybrid) Competitive Salary - Up to £55,000 An exciting opportunity has opened for an experiencedData Engineer to design and build large-scale data solutions in a fast-paced, high-impact environment. This role is ideal for someone with a strong background in AWS cloud technologies, ETL pipelines, data warehousing, and big data architectures. The Role As a Data Engineer, you will: Design and deploy production data pipeli…",55000,55000,,2025-04-16T20:30:19Z,https://www.adzuna.co.uk/jobs/land/ad/5148200758?se=FNO-Me8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=A6A28AB560C763EF8A252465290CB0E48C9DD34A,IT Jobs,data mining,gb,data mining,standard,False,False
"Data Product Intern, Gaming",Tencent,"London, UK","Level Infinite is Tencent’s global gaming brand. It is a global game publisher offering a comprehensive network of services for games, development teams, and studios around the world. We are dedicated to delivering engaging and original gaming experiences to a worldwide audience, whenever and wherever they choose to play while building a community that fosters inclusivity, connection, and accessibility. Level Infinite also provides a wide range of services and resources to our network of develo…",27045.75,27045.75,contract,2025-04-21T03:49:06Z,https://www.adzuna.co.uk/jobs/land/ad/5154914400?se=FNO-Me8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=774A471114502CA285D8D0824A1635382A82700A,IT Jobs,data mining,gb,data mining,standard,False,True
Data Warehouse Manager,ShortList Recruitment Limited,"Chester, Cheshire","Data Warehouse Manager £60,000 Chester ShortList Recruitment are working with an excellent Chester-based client who are recruiting for a Data Warehouse Manager to join their growing team. The Data Warehouse Manager will ensure the data warehouse team is managed appropriately, scheduled jobs run without error and are delivered within SLA. This is a hands-on role which will primarily support the business with SAS, being used as the primary tool for analytics, data mining, data warehousing and pro…",51242.18,51242.18,,2025-04-28T03:43:54Z,https://www.adzuna.co.uk/jobs/land/ad/5166328288?se=FNO-Me8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=DB1EFD10B1B165DCA2E877D23E097F3884EE0B2A,IT Jobs,data mining,gb,data mining,standard,False,False
"AVP, Text Mining/NLP - Data Science and Insights-COR027184",genpact,UK,"Now, we’re calling upon the thinkers and doers, those with a natural curiosity and a hunger to keep learning, keep growing. People who thrive on fearlessly experimenting, seizing opportunities, and pushing boundaries to turn our vision into reality. And as you help us create a better world, we will help you build your own intellectual firepower. Welcome to the relentless pursuit of better. Inviting applications for the role of AVP, Text Mining/NLP - Data Science and Insights. The candidate shou…",52613.52,52613.52,,2023-11-22T22:05:45Z,https://www.adzuna.co.uk/jobs/details/4448449254?utm_medium=api&utm_source=e1ad5111,IT Jobs,data mining,gb,data mining,standard,False,False
"AVP, Text Mining/NLP - Data Science and Insights-COR027182",genpact,UK,"Now, we’re calling upon the thinkers and doers, those with a natural curiosity and a hunger to keep learning, keep growing. People who thrive on fearlessly experimenting, seizing opportunities, and pushing boundaries to turn our vision into reality. And as you help us create a better world, we will help you build your own intellectual firepower. Welcome to the relentless pursuit of better. Inviting applications for the role of AVP, Text Mining/NLP - Data Science and Insights. The candidate shou…",52613.52,52613.52,,2023-11-22T16:19:23Z,https://www.adzuna.co.uk/jobs/details/4447482958?utm_medium=api&utm_source=e1ad5111,IT Jobs,data mining,gb,data mining,standard,False,False
