title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Data Scientist,Spectrum It Recruitment Limited,"Maidenhead, Windsor & Maidenhead","Data Scientist Maidenhead - 3 Days On Site Up to £64,000  Bonus & Benefits Our client is a global leader in enterprise management software solutions, specialising in helping businesses across the retail and consumer services sectors to optimise operations, manage data, and drive customer loyalty. They are seeking a talented Data Scientist to analyse complex data sets, develop predictive models, and deliver actionable insights that support their cutting-edge solutions. This is an exciting opport…",65000,65000,permanent,2025-05-01T14:40:08Z,https://www.adzuna.co.uk/jobs/land/ad/5173067963?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=46EE6AEE3D6473DAB6EC400CCCA965A58B3762FF,IT Jobs,data scientist,gb,data scientist,standard,False,True
Data Scientist,Robert Walters,"Edinburgh, Scotland","Biotech start up Business On behalf of an innovative biotech startup, I am currently seeking a talented Data Scientist to join a growing team that's tackling one of the most exciting intersections of biology and technology. This startup has spent several years developing proprietary software capable of interpreting IR spectra. After building the foundational tech, they embarked on an ambitious mission to collect validated spectral data from a wide variety of organisms. The result? A robust, clo…",55000,55000,permanent,2025-04-12T01:46:38Z,https://www.adzuna.co.uk/jobs/land/ad/5141494135?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=E68FC6F596A5DEEB271FAD407BB0E8F3E56B0B73,IT Jobs,data scientist,gb,data scientist,standard,False,False
Data Scientist,Executive Recruit,UK,"Job Title: Data Scientist Drug Discovery Location: Bath, United Kingdom Salary: £45,000 £65,000 per annum, depending on experience Employment Type: Full-time, Permanent Industry: Biotechnology / Pharmaceutical R&D About the Company Join a pioneering biotech company at the forefront of drug discovery. The mission is to accelerate the development of novel therapeutics through cutting-edge data science and machine learning approaches. Based in the historic city of Bath, a collaborative environment…",55000,55000,permanent,2025-05-02T20:05:11Z,https://www.adzuna.co.uk/jobs/land/ad/5177150768?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=13F8E80445C7359D9C72C1553D60D7D071A7C4D7,Scientific & QA Jobs,data scientist,gb,data scientist,standard,False,False
Data Scientist,Travel Counsellors,"The Trafford Centre, Manchester","Want to solve real-world challenges with data? As a Data Scientist at Travel Counsellors, you'll use ML and AI to develop data-driven solutions to optimise pricing strategies and operational efficiency and enhance customer experiences. Your insights will shape the future of travel! This Data Scientist role involves collaborating closely with cross-functional teams, including commercial, product, and engineering, to build automated ML/AI solutions that will provide tangible benefits for Travel C…",42835.36,42835.36,permanent,2025-05-01T14:40:08Z,https://www.adzuna.co.uk/jobs/land/ad/5173067959?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=36F931398F769111188102EFBB6889647FB101C8,IT Jobs,data scientist,gb,data scientist,standard,False,False
Data Scientist,Hargreaves Lansdown Asset Management Limited,"Bristol, South West England","Excited to grow your career? Our purpose is to make it easy for people to save and invest for a better future. We are looking for great people to join us, so please come and invest in YOUR future at HL. We know that sometimes people can be put off applying for a job if they don't tick every box. If you're excited about working for us and have most of the skills or experience we're looking for, please go ahead and apply. We'd love to hear from you! About the role At Hargreaves Lansdown (HL) we'r…",43635,43635,permanent,2025-05-02T20:05:12Z,https://www.adzuna.co.uk/jobs/land/ad/5177150850?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=D58D6C0DCEFD786905D3D1059833577BBCC96EE0,IT Jobs,data scientist,gb,data scientist,standard,False,False
Data Science Manager,ADLIB Recruitment,"South East London, London","Shape the future of AI in healthcare & lead a talented data science team Work on cutting-edge GenAI, ML, and traditional AI projects. Lead and grow a collaborative and technically strong team. Blend hands-on coding with team leadership. Were working with a market-leading health-focused organisation thats using cutting-edge data science and AI to reshape how people access and experience healthcare currently scaling their AI capabilities across a number of exciting workstreams. Theyve built a str…",90000,90000,permanent,2025-05-01T14:40:08Z,https://www.adzuna.co.uk/jobs/land/ad/5173067956?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=1824CAF7EC22BF802A91899D6878F5F0732B0D8F,IT Jobs,data scientist,gb,data scientist,standard,False,False
Data Science Manager,IO Associates,"Leicester, Leicestershire","Data Science Manager / Up to £100,000 / Permanent / 2 days a week onsite We are looking for a Data Science Manager to join a growing Data Science team within a leading eCommerce organisation. This is an exciting opportunity to drive significant commercial value in a fast-paced environment. This role will focus on optimising how we present content to customers-ensuring the right products are surfaced at the right time and through the right channels. We are looking for a highly skilled data scien…",100000,100000,permanent,2025-05-01T22:40:07Z,https://www.adzuna.co.uk/jobs/land/ad/5174739751?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=A96CF7E466F4219F81344D42D2822F87C2B48F94,IT Jobs,data scientist,gb,data scientist,standard,False,False
Senior Data Scientist,Saga Group Limited,"North West London, London","Senior Data Scientist Salary from £60,000 to £70,000 depending on experience Permanent Hybrid / London Here at Saga, we are embarking on a data transformation journey across all our established business units, Cruise, Insurance, Travel, Financial Services and Saga Magazine. This is a unique opportunity to make a group level impact with an access to rich data across all business units. You will be joining a high performing in-house Data Science team that specifically focusses on Marketing domain…",70000,70000,permanent,2025-03-27T23:54:28Z,https://www.adzuna.co.uk/jobs/land/ad/5114666472?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=795AB46E57FFFC8941DE4502060D675F4D281E8C,IT Jobs,data scientist,gb,data scientist,standard,False,False
Senior Data Scientist,La Fosse,"Cheshunt, Waltham Cross","Senior Data Scientist (Mid and/or Senior) Location: Camden, London (4 days in-office) Salary: £70,000 - £110,000  generous equity Cutting edge start-up. La Fosse have partnered with a well-funded SaaS company that is transforming workforce management through cutting-edge AI-driven forecasting and predictive models. The platform helps businesses optimise staffing based on predicted sales, leveraging data from multiple sources such as weather patterns, events, and historical trends. With strong i…",100000,100000,permanent,2025-04-04T05:38:44Z,https://www.adzuna.co.uk/jobs/land/ad/5128566573?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=96EBAC3CF6A5782C5948C9438B4D9E4A3213DF09,IT Jobs,data scientist,gb,data scientist,standard,False,False
Data Scientist - Manchester,Circle Group,"Manchester, Greater Manchester","Data Scientist - Manchester Data Scientist with experience of creating financial models, machine learning, SQL, Python and forecasting experience is required by a leading company in Manchester. As the Data Scientist, you will be responsible for defining & shaping of all financial modelling and forecasting to enhance decision making, deliver more targeted acquisition, and deliver profitable growth. Tools wise they are using SQL, Python & R, so you should ideally have strong experience in these a…",70000,70000,permanent,2025-04-17T22:00:33Z,https://www.adzuna.co.uk/jobs/land/ad/5150602378?se=zL3Of-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=0049436F9B47C948BDFBDDB878DA934F73519B57,IT Jobs,data scientist,gb,data scientist,standard,False,False
