title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Datawarehouse Developer,Candour Solutions,"London, UK","Job Description Datawarehouse Developer – SQL – ETL – London (hybrid / remote) TeamCandour are on the hunt for an accomplished Datawarehouse Developer to work on hybrid / remote basis out of the London office of our global client. On top of an unrivalled career opportunity at time of huge global expansion, our client offers: Personal bonus Company bonus 10% pension contributions Private health / dental care Share scheme The role: The right candidate would be an experienced Microsoft data wareho…",54546.4,54546.4,,2025-05-01T17:27:29Z,https://www.adzuna.co.uk/jobs/details/5173499592?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,True,True
Business Intelligence Datawarehouse Lead,Enorth Staffing Limited,UK,"Our Current Infrastructure Landscape and Needs My CLient currently use SiSense as an MI tool. It is connected to our core platform for the enablement of temporary recruitment - CR.net. SiSense is used by both Customers and Matrix employees. My Clients employees use it for internal reporting, analysis and dashboards across all customers on CR.net. Customers also use it for similar, but obviously only see their specific data rather than any other customers. The solution is multi tenanted in that …",48870.09,48870.09,,2025-03-31T12:24:53Z,https://www.adzuna.co.uk/jobs/details/5119755377?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
"Datawarehouse Manager (ERP, Manufacturing, Azure, Cloud)",Jumar Solutions,"Wolverley Village, Wolverley","Job Title: Data Warehouse Manager Location: Dudley, West Midlands - Hybrid Working Job Type: Full time, Permanent Salary: £70k - £90K Base Per Annum DOE, Plus Standard Company Benefits (Pension etc) Our leading, Midlands based manufacturing client is seeking a hands on, technical Data Warehouse Lead/Manager with ERP experience, to oversee the design, development and maintenance of their data hub, as part of their corporate data warehouse solutions. As well as being responsible for the design an…",50000,90000,permanent,2025-04-07T13:26:39Z,https://www.adzuna.co.uk/jobs/land/ad/5133480936?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=58A7707452F40CF82C05CE9FF783ACEA2160DAD6,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
"Datawarehouse Manager ERP, Manufacturing, Azure, Cloud",Jumar Solutions,"Dudley, West Midlands","Job Title: Data Warehouse Manager Location: Dudley, West Midlands - Hybrid Working Job Type: Full time, Permanent Salary: £70k - £90K Base Per Annum DOE, Plus Standard Company Benefits (Pension etc) Our leading, Midlands based manufacturing client is seeking a hands on, technical Data Warehouse Lead/Manager with ERP experience, to oversee the design, development and maintenance of their data hub, as part of their corporate data warehouse solutions.As well as being responsible for the design and…",50000,90000,permanent,2025-04-07T18:29:16Z,https://www.adzuna.co.uk/jobs/details/5133711087?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Datawarehouse Testing(5-9 years)-Pune,infosys,UK,"Service now A day in the life of an Infoscion As part of the Infosys consulting team, your primary role would be to get to the heart of customer issues, diagnose problem areas, design innovative solutions and facilitate deployment resulting in client delight. You will develop a proposal by owning parts of the proposal document and by giving inputs in solution design based on areas of expertise. You will plan the activities of configuration, configure the product as per the design, conduct confe…",45054.73,45054.73,,2023-11-13T15:51:36Z,https://www.adzuna.co.uk/jobs/details/4429846662?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
BI / Datawarehouse Lead / Manager Home / Prestigious Client,Integrity Recruitment Solutions Ltd,"Birmingham, West Midlands","BI / Datawarehouse Lead / Manager Home / Prestigious Client Prestigious in their sector, my client has an excellent market image and continues to make a significant impact. They are heavily involved in an ambitious business / systems transformation, and we have an excellent opportunity for an established Datawarehouse Lead to join their team. The successful candidate will play a lead role in the development and on-going management of their global Data Warehouse and supporting team. The successf…",61194.72,61194.72,,2025-03-28T05:07:18Z,https://www.adzuna.co.uk/jobs/details/5115228925?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,True
"Datawarehouse Lead (ERP, Informatica, Azure, ETL, SQL, BI)",Jumar Solutions,"Wolverley Village, Wolverley","Job Title: Data Warehouse Manager Location: Dudley, West Midlands - Hybrid Working (ideally 2 days a week onsite, rest remote) Job Type: Full time, Permanent Salary: £70k - £90K Base Per Annum DOE, Plus Standard Company Benefits (Pension etc) Our leading, Midlands based manufacturing client is seeking a hands on, technical Data Warehouse Lead/Manager with ERP and Azure Cloud experience, to oversee the design, development and maintenance of their data hub, as part of their corporate data warehou…",70000,90000,permanent,2025-04-15T14:20:00Z,https://www.adzuna.co.uk/jobs/land/ad/5145693274?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=17F4F61A00D6C61A7EFDCE63C60C4DE306E551ED,IT Jobs,datawarehouse,gb,datawarehouse,standard,True,False
"Datawarehouse Lead ERP, Informatica, Azure, ETL, SQL, BI",Jumar Solutions,"Dudley, West Midlands","Job Title: Data Warehouse Manager Location: Dudley, West Midlands - Hybrid Working (ideally 2 days a week onsite, rest remote) Job Type: Full time, Permanent Salary: £70k - £90K Base Per Annum DOE, Plus Standard Company Benefits (Pension etc) Our leading, Midlands based manufacturing client is seeking a hands on, technical Data Warehouse Lead/Manager with ERP and Azure Cloud experience, to oversee the design, development and maintenance of their data hub, as part of their corporate data warehou…",70000,90000,permanent,2025-04-15T13:01:35Z,https://www.adzuna.co.uk/jobs/details/5145630851?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,True,False
"Datawarehouse ERP Lead (Informatica, Azure Cloud, ETL, SQL, BI)",Concept Resourcing,"Dudley, West Midlands","Job Title: Data Warehouse Manager Location: Dudley, West Midlands - Hybrid Working (2 days a week onsite, rest remote) Job Type: Full time, Permanent Salary: £70k - £90K Base Per Annum DOE, Plus Standard Company Benefits (Pension etc) Our leading, Midlands based manufacturing client is seeking a hands on, technical Data Warehouse Lead/Manager with ERP experience, to oversee the design, development and maintenance of their data hub, as part of their corporate data warehouse solutions. As well as…",70000,90000,permanent,2025-04-08T00:55:25Z,https://www.adzuna.co.uk/jobs/details/5134486166?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,True,False
"Datawarehouse ERP Lead (Informatica, Azure Cloud, ETL, SQL, BI)",Jumar Solutions,"Wolverley Village, Wolverley","Job Title: Data Warehouse Manager Location: Dudley, West Midlands - Hybrid Working (2 days a week onsite, rest remote) Job Type: Full time, Permanent Salary: £70k - £90K Base Per Annum DOE, Plus Standard Company Benefits (Pension etc) Our leading, Midlands based manufacturing client is seeking a hands on, technical Data Warehouse Lead/Manager with ERP experience, to oversee the design, development and maintenance of their data hub, as part of their corporate data warehouse solutions. As well as…",70000,90000,permanent,2025-04-07T21:46:18Z,https://www.adzuna.co.uk/jobs/land/ad/5134154867?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=C024488FC25E6A0D8901334BE97D992329778659,IT Jobs,datawarehouse,gb,datawarehouse,standard,True,False
Senior Teradata Engineer,LA International Computer Consultants Ltd,"South East London, London","Our client is looking for a Senior Teradata Engineer to join their team on a transformation project, needing someone with hands on experience with Teradata and other Data warehouses and a deep understanding of Teradata architecture. This role is a six month initial contract, need a candidate that can go to site in London two days a week, with the rest of the days from home. Key Skills * Hands-on experience working with Teradata and other Datawarehouses. * Deep expertise in Teradata architecture…",104000,117000,contract,2025-04-10T13:55:44Z,https://www.adzuna.co.uk/jobs/land/ad/5138700289?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=4C90E1687673C507692E773CC379707621390DC2,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
QA Engineer (Datawarehousing),InterQuest Group,"Edinburgh, Scotland","QA Engineer (Datawarehousing) Edinburgh – Hybrid – 3 days pw on site £55,000 to £65,000 We are looking for an experienced and driven Datawarehouse QA Engineer to work for a UK leading customer centric business. As part of a centralised data function, you will work closely with Data Engineers in a multi-disciplinary team. You will need to understand complex data flows and both business and technical requirements to develop ETL/ELT reconciliation scenarios and ensure all features are fully tested…",49768.99,49768.99,,2025-04-30T06:41:22Z,https://www.adzuna.co.uk/jobs/land/ad/5169971993?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=15378E51E7F6E839048D67F626DAC1D203D37E6C,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
QA Engineer (Data Warehousing),InterQuest Group,"Bristol, South West England","QA Engineer (Datawarehousing) Bristol – Hybrid – 3 days pw on site £60,000 to £65,000 We are looking for an experienced and driven Datawarehouse QA Engineer to work for a UK leading customer centric business. As part of a centralised data function, you will work closely with Data Engineers in a multi-disciplinary team. You will need to understand complex data flows and both business and technical requirements to develop ETL/ELT reconciliation scenarios and ensure all features are fully tested. …",50389.86,50389.86,,2025-04-28T03:36:48Z,https://www.adzuna.co.uk/jobs/land/ad/5166322853?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=683B9A72D2C81A62AC454AEF7DF6CCF8739D51CE,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Data Test Analyst - Bristol/Edinburgh,TEN10 SOLUTIONS LIMITED,"Bristol, South West England","Data Tester Opportunity at Ten10 Join a Leading Tech Consultancy! Hybrid | Bristol or Edinburgh Fixed Term Contract Start date May 2025 Ten10, one of the UKs top Quality Engineering consultancies, is expanding! We are seeking an experienced Data Warehouse Quality Engineer to support multiple analytics projects for a prestigious client. About You: Youll bring technical excellence, hands-on experience, and the ability to manage multiple test activities simultaneously. Were looking for: Expertise …",47621.52,47621.52,contract,2025-04-04T21:23:32Z,https://www.adzuna.co.uk/jobs/land/ad/5129909280?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=DC88D12F49D2EA889C92A8E0473A1DF4AF3C08DF,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Data & Analytics Data Quality Engineer,Motability Operations,"Leith, Edinburgh","Description We use innovation to shape data, so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. As part of a centralised data function, you will work closely with Data Engineers in a multi-disciplinary team. You will need to understand complex data flows and both business and technical requirements to develop ETL/ELT…",57976.8,57976.8,permanent,2025-05-04T06:49:34Z,https://www.adzuna.co.uk/jobs/land/ad/5179848594?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=B098DA5135EC6BE7616CDEA109E19925DF44BB4F,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Data Engineer,Maxwell Bond,"Wigan, Greater Manchester","Azure Data Engineer Location- Wigan Area Salary: Up to £50K Maxwell Bond have partnered with a SaaS and market-leading company in their sector, driving innovation with products that support multi-sites, cashless payments and ethical enforcement. After growing success, the company is continuing its growth and looking to expand its Data Engineering team. Key Responsibilities: Working in a 20 strong IT, Software & Data team. Building the future of their data systems (data pipelines, reporting, Dat…",45934.86,45934.86,,2025-05-04T08:48:58Z,https://www.adzuna.co.uk/jobs/land/ad/5179915927?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=0F8E480BA505DCE8A5DCE9409BB4CE8404DA8F1D,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
GCP Data Lead,N Consulting Ltd,"The City, Central London","Role – GCP Data Lead Duration: Permanent Location – London Job Description: Engineering Lead - GCP Data Key Responsibilities: 12 years of overall IT experience with 10 years in building datawarehouse / datamart solution. Experience in implementing an end-to-end data platform for analytics on cloud from ingestion to datamart. 4 years of experience in GCP services namely Dataflow, Big Query, GCS. 4 years of experience in Python. 2 years of experience in PySpark. Knowledge on GCP Kubernetes would …",61746.71,61746.71,permanent,2025-03-24T11:50:15Z,https://www.adzuna.co.uk/jobs/details/5108704140?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Senior Teradata Engineer,La International,"Farringdon, Central London","Our client is looking for a Senior Teradata Engineer to join their team on a transformation project, needing someone with hands on experience with Teradata and other Data warehouses and a deep understanding of Teradata architecture. This role is a six month initial contract, need a candidate that can go to site in London two days a week, with the rest of the days from home. Key Skills * Hands-on experience working with Teradata and other Datawarehouses. * Deep expertise in Teradata architecture…",104000,117000,contract,2025-04-10T11:55:11Z,https://www.adzuna.co.uk/jobs/land/ad/5138570424?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9C4D0768D053E5AA9EC64F4889457ECFE808EA72,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
REF036 - Data Test Analyst - Bristol/Edinburgh,Ten10,"St. James, Bristol","Data Tester Opportunity at Ten10 – Join a Leading Tech Consultancy! Hybrid | Bristol or Edinburgh Fixed Term Contract Start date – May 2025 Ten10, one of the UK’s top Quality Engineering consultancies, is expanding! We are seeking an experienced Data Warehouse Quality Engineer to support multiple analytics projects for a prestigious client. About You: You’ll bring technical excellence, hands-on experience, and the ability to manage multiple test activities simultaneously. We’re looking for: Exp…",45840.6,45840.6,contract,2025-04-09T18:15:47Z,https://www.adzuna.co.uk/jobs/details/5137377653?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
"Data Warehouse Lead (ERP, SQL, BI, ETL)",Jumar Solutions,"Wolverley Village, Wolverley","Job Title: Data Warehouse Manager Location: Dudley, West Midlands - Hybrid Working Job Type: Full time, Permanent Salary: £70k - £90K Base per annum (Depending on experience) Plus Standard Company Benefits Our leading, Midlands based manufacturing client is seeking a hands on, technical Data Warehouse Lead/Manager to oversee the design, development and maintenance of their data hub, as part of their corporate data warehouse solutions. As well as being responsible for the design and development …",50000,90000,permanent,2025-04-07T13:27:00Z,https://www.adzuna.co.uk/jobs/land/ad/5133481081?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=128E863F923DE74189DB2CC717AA80D0F70B4F59,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Senior Data Scientist - Customer Profiling / EV Fleet Modelling,Attis Global,"Leeds, West Yorkshire","Job Description Senior Data Scientist required to join a well-known transport brand in Leeds who on the verge of an cutting edge rebrand and pivot to incorporate Electric Vehicle offerings into their current service - exciting times! As well as a competitive salary of £60k-£70k per year, you will also get: Solid career growth opportunities (multiple examples of management who joined the company as a junior) Benefits package (pension, life assurance etc) Support from a diverse team of both tech …",60000,70000,,2024-07-31T15:07:15Z,https://www.adzuna.co.uk/jobs/details/4802552211?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
"Data Warehouse Lead ERP, SQL, BI, ETL",Jumar Solutions,"Dudley, West Midlands","Job Title: Data Warehouse Manager Location: Dudley, West Midlands - Hybrid Working Job Type: Full time, Permanent Salary: £70k - £90K Base per annum (Depending on experience) Plus Standard Company Benefits Our leading, Midlands based manufacturing client is seeking a hands on, technical Data Warehouse Lead/Manager to oversee the design, development and maintenance of their data hub, as part of their corporate data warehouse solutions.As well as being responsible for the design and development o…",50000,90000,permanent,2025-04-07T14:18:47Z,https://www.adzuna.co.uk/jobs/details/5133507769?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Financial Planning and Analysis,Azenta UK,"Manchester, Greater Manchester","Azenta UK, Ltd. At Azenta, new ideas, new technologies and new ways of thinking are driving our future. Our customer focused culture encourages employees to embrace innovation and challenge the status quo with novel thinking and collaborative work relationships. All we accomplish is grounded in our core values of Customer Focus, Achievement, Accountability, Teamwork, Employee Value and Integrity Job Title Financial Planning and Analysis Job Description Financial Planning and Analysis This posit…",45772.76,45772.76,,2025-04-28T17:11:14Z,https://www.adzuna.co.uk/jobs/details/5166834567?utm_medium=api&utm_source=e1ad5111,Accounting & Finance Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Financial Planning Analyst,Azenta Life Sciences,"Carrington, Manchester","Financial Planning and Analyst This position is within Sample Management Solutions FP&A team and will be responsible for day-to-day activities including data analysis for financial reporting, forecasting, and planning. Support data-driven decision making by providing management reports & analysis of monthly results and forecasts. Perform work to assist in the analysis of cost structure, profitability, and key performance metrics. Support the development of budgets and forecasts for functional s…",44129.31,44129.31,,2025-04-16T20:56:42Z,https://www.adzuna.co.uk/jobs/land/ad/5148252598?se=Ogm3S-8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9D2F61DF1FFB87E5A9768EF9752D78B4B24E4F4E,Accounting & Finance Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Data Engineer,Parkingeye Limited,"Buckshaw Village, Chorley","Parkingeye’s company culture is amazing and our Great Place to Work® Certifications proves it If you would like to join a Great Place to Work® continue reading and find out what we have to offer. We operate more car parks in the UK than anyone else for our clients, ensuring they get maximum benefit from the parking space. We’ve been doing this in the UK for over 15 years and with over 300 staff. Now we are on a mission to expand into new markets, opening up operations across Europe including, G…",40000,50000,permanent,2025-04-09T17:42:04Z,https://www.adzuna.co.uk/jobs/details/5137288316?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Senior Data Engineer,Insurance Office of America,"Northern Ireland, UK","Insurance Office of America (IOA) is the fourth largest privately held insurance brokerage in the United States. Founded in 1988, IOA is a recognized leader in providing property and casualty, employee benefits, and personal lines insurance and risk management solutions as well as insurtech innovation. Headquartered in Longwood, Florida, part of the greater Orlando community, IOA has more than 1,300 associates located in over 60 offices in the U. S. and United Kingdom. In California, dba IOA In…",49987.09,49987.09,permanent,2025-04-23T17:06:01Z,https://www.adzuna.co.uk/jobs/details/5158214848?utm_medium=api&utm_source=e1ad5111,Accounting & Finance Jobs,datawarehouse,gb,datawarehouse,standard,False,False
Report Writer (Oracle Fusion & OAC Reporting Tools),Axiom Software Solutions Limited,"London, UK","Role: Report Writer (Oracle Fusion & OAC Reporting Tools) Job Type: Contract Duration: 6 Months Work Location: London, United Kingdom Job Purpose: The Report Writer (Oracle Fusion) is responsible for designing, developing, and maintaining reports and dashboards across all Oracle Fusion reporting tools. The individual will work closely with business stakeholders to understand reporting requirements, analyse data sources, and deliver actionable insights. The role requires proficiency in Oracle Fu…",62768.75,62768.75,contract,2025-02-18T14:03:14Z,https://www.adzuna.co.uk/jobs/details/5054963493?utm_medium=api&utm_source=e1ad5111,IT Jobs,datawarehouse,gb,datawarehouse,standard,False,False
