title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Field Service Engineer UK H/F,Pellenc St,"Birmingham, West Midlands","Informations générales Entité de rattachement Pellenc ST conçoit et fabrique des machines de tri intelligent, destinées à l'industrie du recyclage. Engagés dans un monde en pleine évolution, nos ambitions se tournent aujourd'hui vers les nouvelles technologies telles que l'intelligence artificielle ou encore l'industrie 4.0 et les machines connectées. Fort de plus de 2500 machines à travers le monde, nous œuvrons et contribuons chaque jour, à la valorisation de nos déchets ainsi qu'à un environ…",50950.64,50950.64,,2025-03-22T11:52:18Z,https://www.adzuna.co.uk/jobs/details/5106288729?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,intelligence artificielle,gb,intelligence artificielle,standard,False,False
Stage Pré-Embauche : Graphic Designer Job at Offre Emploi in Jupiter,Offre Emploi,"Jupiter, Palm Beach County","Stage Pré-Embauche : Graphic Designer - Rejoignez SMART Conseil ! SMART Conseil, éditeur de logiciels spécialisé en Intelligence Artificielle , est à la recherche d’un(e) Graphic Designer pour rejoindre son équipe de communication digitale. Responsabilités : Concevoir des publications pour les réseaux sociaux. Collaborer avec l'équipe technique pour atteindre les objectifs fixés. Préparer des visuels graphiques : affiches, flyers, logos, chartes graphiques, brochures, catalogues. Utiliser des l…",57328.57,57328.57,,2025-04-01T15:27:56Z,https://www.adzuna.com/details/5122693391?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",intelligence artificielle,us,intelligence artificielle,standard,False,False
stage pré ambauche Graphic Designer Job at Offre Emploi in Jupiter,Offre Emploi,"Jupiter, Palm Beach County","Smart Conseil est un éditeur de logiciels en forte croissance dans le domaine de l'intelligence Artificielle. Nous travaillons avec de grands comptes dans plusieurs domaines : Industrie, Banque & assurance, énergie, télécommunication. Dans le cadre de son développement, Smart Conseil est à la recherche d’un(e) Graphic designer pour intégrer son équipe de communication digitale. Nous recherchons un/une Designer passionné(e), organisé(e) et autonome, qui sera capable de travailler en équipe. Vos …",53873.44,53873.44,,2025-02-21T12:49:59Z,https://www.adzuna.com/details/5059380104?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,False
Technicien SAV Itinérant H/F,Pellenc St,"Macon, Bibb County","Informations générales Entité de rattachement Pellenc ST conçoit et fabrique des machines de tri intelligent, destinées à l'industrie du recyclage. Engagés dans un monde en pleine évolution, nos ambitions se tournent aujourd'hui vers les nouvelles technologies telles que l'intelligence artificielle ou encore l'industrie 4.0 et les machines connectées. Fort de plus de 2500 machines à travers le monde, nous œuvrons et contribuons chaque jour, à la valorisation de nos déchets ainsi qu'à un environ…",49801.46,49801.46,,2025-03-22T00:42:31Z,https://www.adzuna.com/details/5105683159?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,False
Stage : Appels d'Offres H/F,Groupama,"Paris, Washington County","Informations générales Entité de rattachement Groupama Asset Management, filiale de Groupama, est l'un des principaux acteurs français de la gestion d'actifs pour le compte d'une clientèle composée d' entités du groupe, d'investisseurs institutionnels, d'entreprises et de distributeurs. Référence 2025-59592 Localisation Paris Intitulé du poste Stage : Appels d'Offres H/F Description de la mission Vos principales missions seront les suivantes : Participer aux réponses aux appels d’offres et à la…",47719.44,47719.44,,2025-04-02T20:39:23Z,https://www.adzuna.com/details/5125575357?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,False
Alternance : Spécialiste Produits et Appels d'Offres H/F,Groupama,"Paris, Washington County","Informations générales Entité de rattachement Groupama Asset Management, filiale de Groupama, est l'un des principaux acteurs français de la gestion d'actifs pour le compte d'une clientèle composée d' entités du groupe, d'investisseurs institutionnels, d'entreprises et de distributeurs. Référence 2025-59706 Localisation Paris Intitulé du poste Alternance : Spécialiste Produits et Appels d'Offres H/F Description de la mission Missions Appels d’offres Vos principales missions seront les suivantes…",50637.86,50637.86,,2025-04-27T23:02:52Z,https://www.adzuna.com/details/5166343792?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,False
"Programmeur sénior en jouabilité IA, UEFN",Epic Games,"Cary, Wake County","PROGRAMMATION Ce que nous faisons Grâce à notre équipe de programmeurs experts de plus en plus nombreuse, les projets conçus avec Unreal sont à l'avant-garde du divertissement en temps réel. Nous cherchons en permanence à améliorer les outils et les technologies qui optimiseront les moyens des développeurs de contenus du monde entier. Ce que vous ferez Epic Games est à la recherche d’un programmeur expérimenté en jouabilité propulsée par l’intelligence artificielle (IA) pour rejoindre l’équipe …",51024.79,51024.79,,2025-04-27T00:25:47Z,https://www.adzuna.com/details/5165165073?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,False
Directeur du centre de compétences DAGA H/F,SPIE,US,Informations générales Entité SPIE accompagne la transition énergétique et la transformation numérique. Notre ambition ? Développer un monde toujours plus smart et responsable grâce au savoir-faire reconnu d'une communauté de passionnés qui aiment se réinventer et transmettre. Des audacieux qui entreprennent chaque jour. Des professionnels qui se révèlent dans la diversité de leurs missions et de leurs métiers. Leader européen indépendant des services multi-techniques dans les domaines de l'éne…,53923.41,53923.41,contract,2025-03-23T22:28:56Z,https://www.adzuna.com/details/5108263776?utm_medium=api&utm_source=e1ad5111,IT Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,False
Attaché audiovisuel (F/H) - Institut français des Etats-Unis - Villa Albertine - New York,Choisir le Service Public,"New York City, New York",Informations générales Organisme de rattachement Ministère de l'Europe et des Affaires étrangères Référence MAE_483da4e4-7b0d-416d-9901-7c1e323ff45e Date de début de diffusion 28/04/2025 Date de parution 29/04/2025 Date de fin de diffusion 14/05/2025 Localisation Paris Date limite de candidature 14/05/2025 Versant Fonction Publique de l'Etat Catégorie Catégorie A (cadre) Nature de l'emploi Emploi ouvert aux titulaires et aux contractuels Domaine / Métier International - Conseillère / Conseiller…,66422.82,66422.82,contract,2025-04-30T23:30:37Z,https://www.adzuna.com/details/5171753778?utm_medium=api&utm_source=e1ad5111,Healthcare & Nursing Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,True
AI Research Scientist: AEC. Remote US or Canada,Autodesk,"Plano, Collin County","Job Requisition ID  25WD85985 French job description to follow/La description de poste en français se trouve plus bas Position Overview As an Applied AI Research Scientist at Autodesk Research, you will be doing applied research that will help our customers imagine, design, and make a better world. We are a team of scientists, researchers, engineers, and designers working together on projects that range from learning-based design systems, computer vision, graphics, robotics, human-computer inte…",100566.05,100566.05,,2025-02-23T09:36:13Z,https://www.adzuna.com/details/5061389756?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,intelligence artificielle,us,intelligence artificielle,standard,True,False
APG Leader Maintenance en Gigafactory (H/F),,US,"Verkor est une entreprise industrielle française qui a pour objectif d'être le pionnier de la fabrication de batteries à faible émission de carbone en France. Avec le soutien d'entreprises industrielles de premier plan telles que le groupe Renault, Plastic Omnium et Schneider Electric, Verkor entend électrifier l'avenir de la mobilité européenne. Avec plus de 750 experts de 36 pays différents, notre objectif est de réunir des talents mondiaux exceptionnels pour donner vie à ce projet ambitieux …",60766.47,60766.47,,2025-04-30T12:03:25Z,https://www.adzuna.com/details/5170780345?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,False
Principal Machine Learning: Generative AI,Autodesk,"Atlanta, Fulton County","Job Requisition ID  25WD85983 French job description to follow/La description de poste en français se trouve plus bas Position Overview Autodesk is leading the transformation of the AEC industry, integrating AI technology into our products. We're enhancing our applications with cloud-native capabilities, including data at scale, edge computing, AI-based solutions, and advanced 3D modeling and graphics. This innovation is happening across our flagship products-AutoCAD, Revit, and Construction Cl…",104368.89,104368.89,,2025-02-21T10:01:50Z,https://www.adzuna.com/details/5059217285?utm_medium=api&utm_source=e1ad5111,IT Jobs,intelligence artificielle,us,intelligence artificielle,standard,False,False
