title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Principal Statistician,Warman O'Brien,"Oxfordshire, South East England","Niche Opportunity  Principal Biostatistician - Innovative Biopharma - Oncology - UK I am currently looking for a talented and motivated, expert statistician to join an exciting Pharma company based in Oxford. This gives you the opportunity to work as the sole statistician, within a growing team and is offered remote / hybrid. Excellent opportunity if you are looking for your next step in your career. Key Requirements: Stand alone role with team growth expected in 2025 Solid stats working exper…",51808.94,51808.94,,2025-04-30T15:56:59Z,https://www.adzuna.co.uk/jobs/land/ad/5170686897?se=GpGHfO8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=80C6A451A75C626B343F14209D0F798528308B12,IT Jobs,statistician,gb,statistician,standard,True,False
Statistician,Costello Medical,"London, UK","Responsibilities: You will be responsible for devising and performing statistical analysis plans and then communicating the methodologies and results of these to our clients in the healthcare sector Salary: £42,000 per annum Benefits: Discretionary profit share bonuses paid twice per year, hybrid and flexible working options, generous holiday allowance, private medical insurance, critical illness cover, income protection, full funding for external training and more Role Type: Full-time, permane…",42000,42000,permanent,2025-05-01T20:04:27Z,https://www.adzuna.co.uk/jobs/details/5174370882?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,False
Statistician II,Quanticate,UK,"At Quanticate, we're pioneers in providing top-tier statistical and data management support to our clients. We're seeking a dedicated Statistician who's committed to upholding the highest standards, following procedures, and ensuring compliance with regulations, all while providing exceptional customer care. As a Statistician your role will be playing a crucial role in supporting our clients and managing assigned project work. Here's what you'll be doing on a day to day basis: Handle statistica…",31000,36000,,2025-04-24T16:23:59Z,https://www.adzuna.co.uk/jobs/details/5160240165?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,False
Statistician Internship,Costello Medical,"London, UK","Role Summary Responsibilities: In this role, you will gain hands-on experience in critically appraising and interpreting complex statistical analyses, planning and performing analyses of clinical trial data and synthesising evidence alongside our experienced team who will provide one-to-one training and mentoring throughout the internship Salary: A monthly stipend of £2,150 Benefits: Hybrid working options, statutory holiday allowance, flexible working hours, employer pension contributions, as …",25800,25800,contract,2025-05-01T20:04:30Z,https://www.adzuna.co.uk/jobs/details/5174370952?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,False
Pharmaceutical Statistician,VRS-UK,UK,"Fantastic opportunity for an accomplished Statistician in the pharmaceutical industry! Based from home, you will work for a leading contract testing organisation, in conjunction with their client, a leading big pharma company, as well as a number of external manufacturing partners, providing expert statistical applications and technical support to their products, within a GMP environment. Your primary duties will include: * Supporting statistical activities to ensure delivery to standards, qual…",40000,60000,permanent,2025-01-20T22:14:04Z,https://www.adzuna.co.uk/jobs/land/ad/5017831028?se=GpGHfO8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=7BB117FAA8761724ECF64FABB167EB81E316B93C,Scientific & QA Jobs,statistician,gb,statistician,standard,False,False
Football Statistician,Genius Sports,UK,"Love sports? We are looking for someone like you. Job type - Contract-based (Not part-time or full-time) Get to know us - https://www.geniussports.com/ Genius Sports Statisticians are responsible for attending Football events in Elgin, Scotland , and reporting all the action directly from the venue using our state-of-the-art Mobile Interface and short key-phrase reports. This is a great part-time position, and as such, students are very welcome to apply. No prior reporting knowledge is required…",32099.34,32099.34,contract,2025-04-09T08:39:50Z,https://www.adzuna.co.uk/jobs/details/5136928291?utm_medium=api&utm_source=e1ad5111,Customer Services Jobs,statistician,gb,statistician,standard,False,False
Principal Statistician,,"Bloomsbury, Central London","Job description Site Name: Home Worker - USA, Home Worker - GBR Posted Date: Apr 18 2025 Details: We need exceptionally talented and committed Statisticians to apply quantitative skills and innovative statistical methodology to drive key contributions in the marketed product support of new medicines in the fight against cancer. You will provide global statistical support in non-registrational data generation, secondary publications and scientific congress support, and ISR review to support deli…",49247.13,49247.13,,2025-04-29T18:38:52Z,https://www.adzuna.co.uk/jobs/details/5168916371?utm_medium=api&utm_source=e1ad5111,Healthcare & Nursing Jobs,statistician,gb,statistician,standard,False,True
Statistician II,Abbott,"Witney, Oxfordshire","Bring your passion, ideas, and purpose to life in a company that can help you shape your career as you shape the future of healthcare. We currently have opportunities for a R&D Statistician to join our Clinical Affairs team, working on site from our state of the art facility in Witney, Oxfordshire. You Will Be Involved In End-to-end clinical trials for a variety of global projects lasting from 4 to 18 months. All stages of clinical studies, from study set-up, programming and analysis, to writin…",33449.51,33449.51,,2025-05-02T09:08:55Z,https://www.adzuna.co.uk/jobs/details/5175694636?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
Senior Statistician,Abbott,"Witney, Oxfordshire","Abbott is about the power of health. For more than 135 years, Abbott has been helping people reach their potential — because better health allows people and communities to achieve more. With a diverse, global network serving customers in more than 160 countries, we create new solutions — across the spectrum of health, around the world, for all stages of life. Whether it’s next-generation diagnostics, life-changing devices, science-based nutrition, or novel reformulations, 114,000 of us are work…",42299.83,42299.83,,2025-04-18T08:44:05Z,https://www.adzuna.co.uk/jobs/details/5151256840?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
"Senior Medical Statistician/Medical Statistician, RWE",Holmusk,"London, UK","Holmusk, a 2019 World Economic Forum Technology Pioneer, is building a leading real-world evidence platform in mental health. We leverage data and advanced analytics to accelerate research and improve outcomes in psychiatry across pharma, healthcare providers, and payers. We are looking for a (Senior) Medical Statistician to contribute to and lead projects that leverage our real-world mental health database and advanced analytics to generate real-world evidence (RWE) in psychiatry. Responsibili…",52508.81,52508.81,,2025-03-24T11:49:44Z,https://www.adzuna.co.uk/jobs/details/5108703562?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,False
Principal Statistician II,Quanticate,UK,"We are seeking an experienced Principal Statistician to join our growing team. The successful applicant will work as part of global teams, supporting pharmaceutical, biotechnology and medical device companies across many therapeutic areas. Quanticate values quality first, integrity, care, people, commitment to delivery, and inspiration. As such, employees are offered flexible and friendly working conditions, competitive pay, industry-leading benefits, and opportunities for progression, in an en…",50000,70000,,2025-04-24T16:23:59Z,https://www.adzuna.co.uk/jobs/details/5160240169?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
Principal Statistician - Remote,Labcorp,UK,"Are you an experienced Statistician looking for your next career move? Do you want to apply your knowledge in a new area with more variety or are you looking for a position which will set you on the path of managing a team? If so, read on Labcorp is a global, world-leading Life Sciences Contract Research Organization that provides dedicated and fully comprehensive laboratory testing and drug development services to the pharmaceutical, crop protection and chemical industries. We strive to make a…",48158.52,48158.52,,2025-02-20T11:09:28Z,https://www.adzuna.co.uk/jobs/details/5057408597?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,True,True
Senior Statistician II,Quanticate,UK,"As a Senior Statistician you will be managing projects, providing high quality statistical support to clients and leading statisticians in the team. This could be direct line management or from a mentoring position. We are looking for technical candidates with a passion for statistics. You will have a key role in the company both for now and the future. You will be working with a global team of experts to provide bespoke quality data to clients and bring new medicines to those who need it. You …",35000,55000,,2025-04-08T15:46:28Z,https://www.adzuna.co.uk/jobs/details/5135498571?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
Data Scientist/Statistician,RSMB,"London, UK","RSMB is looking for an enthusiastic Data Scientist/Statistician who has an interest in media research to join their team based in Central London. You will join them on a full-time, permanent basis, and in return, you will receive a competitive salary of £28,000 per annum for graduate entry level, rising to £35,000 depending on degree of relevant post-graduate experience. RSMB is a leading company specialising in media measurement solutions. We work with various clients, including industry measu…",28000,35000,permanent,2025-04-16T20:55:25Z,https://www.adzuna.co.uk/jobs/land/ad/5148249073?se=GpGHfO8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=06F00EFD722F58B168CDB45859F23F5C2EEB0439,IT Jobs,statistician,gb,statistician,standard,False,False
Senior Medical Statistician,Observational and Pragmatic Research Institute,"Norwich, Norfolk","Global Job Type Full or Part Time About the Role Does supporting world-class research and improving lives of patients excite you? Our dynamic and internationally recognised research company Observation & Pragmatic Research Institute, (OPRI) is looking for a highly motivated and dynamic member for our statistics team. The role can be based in one of our Singapore, Cambridge or Brisbane offices. For experienced individuals, remote working may also be considered. The successful candidate will work…",43464.09,43464.09,,2025-04-15T08:38:47Z,https://www.adzuna.co.uk/jobs/details/5145304356?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,True,True
Statistician - AI Trainer,DataAnnotation,"Warrington, Cheshire","We are looking for a *statistician* to join our team to train AI models. You will measure the progress of these AI chatbots, evaluate their logic, and solve problems to improve the quality of each model. In this role you will need to hold an expert level of statistical/mathematical reasoning- a completed or in-progress Masters/PhD is preferred but not required. Other related fields include, but are not limited to: Applied Math and/or Computer Science. Benefits: * This is a full-time or part-tim…",62358,62358,,2025-05-02T18:37:59Z,https://www.adzuna.co.uk/jobs/details/5176658812?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,False
"Lead Statistician, Evidera",ThermoFisher Scientific,UK,"Work Schedule Standard (Mon-Fri) Environmental Conditions Office Job Description Lead Statistician, Evidera At Thermo Fisher Scientific, you'll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to life - enabling our customers to make the world healthier, cleaner and safer. We provide our teams with the resources needed to achieve individual career goals while taking science a step beyond through research, development and delive…",57054.34,57054.34,,2025-04-14T20:24:33Z,https://www.adzuna.co.uk/jobs/details/5144604744?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
"Lead Statistician, Evidera",Thermo Fisher Scientific,"London, UK","Work Schedule Standard (Mon-Fri) Environmental Conditions Office Job Description Lead Statistician, Evidera At Thermo Fisher Scientific, you’ll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to life - enabling our customers to make the world healthier, cleaner and safer. We provide our teams with the resources needed to achieve individual career goals while taking science a step beyond through research, development and delive…",61016.75,61016.75,,2025-01-24T10:39:35Z,https://www.adzuna.co.uk/jobs/details/5022444105?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
Medical Affair Statistician Specialist,ThermoFisher Scientific,UK,"Work Schedule Standard (Mon-Fri) Environmental Conditions Office Job Description Job Title: Statistician Team: Modeling & Simulation Location: U.K, Spain, Greece At Thermo Fisher Scientific, you'll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to life - enabling our customers to make the world healthier, cleaner and safer. We provide our teams with the resources needed to achieve individual career goals while taking science …",45971.11,45971.11,,2025-04-02T20:02:44Z,https://www.adzuna.co.uk/jobs/details/5124882851?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
Medical Affair Statistician Specialist,Thermo Fisher Scientific,"London, UK","Work Schedule Standard (Mon-Fri) Environmental Conditions Office Job Description Job Title: Statistician Team: Modeling & Simulation Location: U.K, Spain, Greece At Thermo Fisher Scientific, you’ll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to life - enabling our customers to make the world healthier, cleaner and safer. We provide our teams with the resources needed to achieve individual career goals while taking science …",48803.39,48803.39,,2025-04-03T16:28:33Z,https://www.adzuna.co.uk/jobs/details/5126497269?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
Senior Statistician - Team Lead,Abbott,"Witney, Oxfordshire","JOB DESCRIPTION: Senior Statistician , Technical Services Department Abbott is about the power of health. For more than 135 years, Abbott has been helping people reach their potential — because better health allows people and communities to achieve more. With a diverse, global network serving customers in more than 160 countries, we create new solutions — across the spectrum of health, around the world, for all stages of life. Whether it’s next-generation diagnostics, life-changing devices, sci…",43260.26,43260.26,,2025-02-25T12:05:33Z,https://www.adzuna.co.uk/jobs/details/5062902709?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
Senior Statistician - UK/EU,Worldwide Clinical Trials,"Eastern England, UK","Who we are We’re a global, midsize CRO that pushes boundaries, innovates and invents because the path to a cure for the world’s most persistent diseases is not paved by those who play it safe. It is built by those who take pioneering, creative approaches and implement them with quality and excellence. We are Worldwide Clinical Trials, and we are a global team of over 3,500 experts, bright thinkers, dreamers and doers and, together, we are changing the way the world experiences CROs – in the bes…",39312.88,39312.88,,2025-02-28T16:49:41Z,https://www.adzuna.co.uk/jobs/details/5067171674?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,True
"Principal Statistician, Statistical Sciences",Johnson & Johnson,UK,"Qualifications/Experience Requirements: Ph.D. in Statistics or related field with strong relevant experience, or Master’s in Statistics or related field with commensurate years of relevant experience. Proficient in SAS or R programming. good written, oral, and interpersonal communication skills. Ability to work independently Demonstrated ability to work in interdisciplinary contexts outside statistics. We are an equal opportunity employer and value diversity at our company. We do not discrimina…",47757.41,47757.41,,2024-07-31T15:00:30Z,https://www.adzuna.co.uk/jobs/details/4802487705?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,statistician,gb,statistician,standard,False,False
