title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Backend Engineer,AJ BELL BUSINESS SOLUTIONS LIMITED,"Old Trafford, Manchester","We are recruiting a Backend Engineer within our Enterprise Architecture team to help us build event-driven solutions and democratise data access across our technology teams. Your first task will be to become proficient in cloud-native data and event streaming solutions. The next challenge for our team is to safely replace legacy workflows with event-driven architecture. You will join a vibrant Enterprise Architecture team, collaborating with Platform Engineers, Architects and Agile Delivery pro…",60000,60000,permanent,2025-04-16T17:58:41Z,https://www.adzuna.co.uk/jobs/details/5147555939?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Senior Backend Engineer,Plexus Resource Solutions Ltd,"London, UK","Senior Backend Engineer DeFI Remote (CET) $100K We are a leading DeFi platform focused on delivering cutting-edge financial solutions. Our mission is to build secure, efficient, and user-friendly blockchain-based products. By combining advanced technology with a deep understanding of staking mechanics, we empower users to maximize their digital asset potential. Join us to shape the future of decentralized finance We are seeking a Senior Backend Engineer to lead the development of innovative liq…",75000,75000,permanent,2025-03-25T19:59:37Z,https://www.adzuna.co.uk/jobs/details/5111238788?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,backend
Senior Backend Developer,Bright Purple Resourcing,UK,"Senior Backend Developer - UK Remote - Up to £75,000 Unlock your potential with a role that promises growth, innovation, and a collaborative environment. A leading software company, renowned for its dynamic and ever-evolving nature, is seeking a Senior Backend Developer to join their team. This permanent position offers a competitive salary of up to £75,000. What is in it for you: Remote working within the UK, with quarterly visits to the vibrant city of Glasgow. 33 days annual leave 9 day fort…",75000,75000,permanent,2025-03-31T21:04:25Z,https://www.adzuna.co.uk/jobs/details/5120361093?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Backend .NET Engineer,Rebel Recruitment,"Nottingham, Nottinghamshire","Backend .NET Engineer Tech for Good Renewable Energy Salary up to £60k Nottingham Hybrid, 3 days per week in office with flexibility around working hours Join a growing private equity-backed company at an exciting time of investment and transformation. With a new CTO driving innovation, theyre enhancing their product suite and launching greenfield projects. As a Backend Engineer, youll work as part of an established product team, contributing to the development of scalable and high-performance …",60000,60000,permanent,2025-03-28T15:55:26Z,https://www.adzuna.co.uk/jobs/details/5116064474?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Senior Backend Engineer,Plexus Resource Solutions Ltd,"London, UK","Senior Backend Engineer Layer 3- Dapps Remote £140-180k Plexus has another fantastic opportunity with a client in the dapps Crypto community. Our client has brought high quality, accurate insights on decentralised applications to a global audience, rapidly becoming the go-to, trusted industry source. With thousands of dapps, our client acts as a funnel through which dapp users, researchers, journalists, analysts and investors can easily access actionable market data and make informed decisions.…",100000,100000,permanent,2025-03-17T23:26:56Z,https://www.adzuna.co.uk/jobs/details/5097955072?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Backend Engineer,Anson Mccade,"Bristol, South West England","Back End Engineer Bristol, UK £55,000 £70,000 DOE Hybrid Our client is a recognised digital solutions provider supporting secure, large-scale programmes across government, defence, and public service domains. Theyre currently scaling their engineering capability and looking to bring on a Back End Engineer who is highly proficient in Java and Spring Boot. As a Back End Engineer , youll be embedded within a multidisciplinary agile delivery team, responsible for building secure, scalable, and high…",70000,70000,permanent,2025-04-10T14:04:19Z,https://www.adzuna.co.uk/jobs/details/5138703980?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Senior Backend Developer/DevOps,ADLIB Recruitment,"Hulme, Manchester","An award-winning, full-service agency with over 15 years in the industry, is looking to add a talented and driven Backend Developer to their team, if youre looking for that next step, get in touch What youll be doing We are looking for an experienced and talented Senior Backend Developer with strong experience with DevOps and Adobe Commerce Cloud to join my clients development team. Youll be working on existing client stores and new builds using Magento 2 (Adobe Commerce). The role is a full-ti…",60000,60000,permanent,2025-03-13T19:51:13Z,https://www.adzuna.co.uk/jobs/details/5091850424?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Backend Developer,SAGE GROUP PLC,"Newcastle Upon Tyne, Tyne & Wear","The Software Engineer Backend is responsible for building, enhancing and maintaining products and/or systems to enable Sage’s business plans and long-term objectives using the identified architecture. The Software Engineer Backend will contribute and lead in the design, development and delivery of high-quality products and/or systems and services that exceed customers’ or business partners’ expectations and will proactively share their own knowledge for specific technical solutions and business…",48078.9,48078.9,,2025-03-19T13:32:24Z,https://www.adzuna.co.uk/jobs/land/ad/5101134855?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=94E701266E5FC0D7DDA5AC6788190F1EE9CBE0C2,IT Jobs,backend
Senior Backend Developer,Bright Purple,"Glasgow, Scotland","Senior Backend Developer - UK Remote - Up to £75,000 Unlock your potential with a role that promises growth, innovation, and a collaborative environment. A leading software company, renowned for its dynamic and ever-evolving nature, is seeking a Senior Backend Developer to join their team. This permanent position offers a competitive salary of up to £75,000. What is in it for you: Remote working within the UK, with quarterly visits to the vibrant city of Glasgow. 33 days annual leave 9 day fort…",75000,75000,permanent,2025-03-25T00:04:25Z,https://www.adzuna.co.uk/jobs/details/5109447001?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Senior Backend Developer,Bright Purple,"Reading, Berkshire","Senior Backend Developer - UK Remote - Up to £75,000 Unlock your potential with a role that promises growth, innovation, and a collaborative environment. A leading software company, renowned for its dynamic and ever-evolving nature, is seeking a Senior Backend Developer to join their team. This permanent position offers a competitive salary of up to £75,000. What is in it for you: Remote working within the UK, with quarterly visits to the vibrant city of Glasgow. 33 days annual leave 9 day fort…",75000,75000,permanent,2025-03-26T12:17:32Z,https://www.adzuna.co.uk/jobs/details/5112115402?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
