title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Atlas Developer,Barclays Bank PLC,"Fenchurch St, Central London","Join us as an Atlas Developer at Barclays, where you`ll be a member of the global team responsible for building and enhancing the next generation of Barclays’ Atlas Platform. You will be responsible for the development and timely delivery of new and/or existing software, working with project managers and software engineers, both internal and external to the Atlas Trade team. You'll also be responsible for interacting with the end users in London from time to time to understand issues/feedback a…",32584.19,32584.19,permanent,2025-04-14T23:28:07Z,https://www.adzuna.co.uk/jobs/land/ad/5144760370?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=E6DCC2D4851FF9BD4F401DCA2AABEB2975AE6DE3,IT Jobs,developer
Oracle Technical Developer (Payroll),IBM - Avature,"Rownhams, Southampton","In this role, you’ll work in one of our IBM Consulting Client Innovation Centres (Delivery Centres), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centres offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You’ll work with …",53509.03,53509.03,contract,2025-04-15T07:12:21Z,https://www.adzuna.co.uk/jobs/land/ad/5145243273?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=DC6FB80AF14F2DB3B13A88C472632CD30FB17DF7,IT Jobs,developer
UI Developer Lead,Barclays Bank PLC,"Toft, Knutsford","Join us as a UI Developer Lead at Barclays, where you'll take part in the evolution of our digital landscape, driving innovation and excellence. You'll harness cutting-edge technology to revolutionise our digital offerings, ensuring unparalleled customer experiences. To be successful in this role you should have: Strong experience in front-end development with React Typescript, React Native, Angular framework, Html5 , JavaScript and CSS with Responsive grid framework Experience in Java, JSP, St…",35766.67,35766.67,permanent,2025-04-17T23:56:06Z,https://www.adzuna.co.uk/jobs/land/ad/5150674276?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=2ABF4389F22BC58F0985D508D9CDF6BB5BC1FA44,Accounting & Finance Jobs,developer
Development Surveyor,HAYS,"Manchester, Greater Manchester","Associate Development Surveyor opportunity, based out of Manchester, non-corporate office environment, hybrid. Job Title: Development Surveyor (Commercial Real Estate Consultancy)Location: Manchester (1 -2 days a week working from home). Salary: £65,000-£75,000 basic salary  excellent bonuses  additional benefits package We have an exciting new opportunity to join an existing team with ambitious growth plans in the North West as an Associate Development Surveyor in a multidisciplinary Mancheste…",0,75000,,2025-02-22T22:17:31Z,https://www.adzuna.co.uk/jobs/land/ad/5060859393?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=930E11CDC9FC855072215AC128DAEB8C52BF8445,Trade & Construction Jobs,developer
Reference Data Java Developer,Barclays Bank PLC,"Fenchurch St, Central London","Join us as a Reference Data Java Developer at Barclays, where you would participate on the development of a new strategic Reference Data System on cloud-based infrastructure . You would be involved in all stages of software development, focusing on gathering business requirements, features implementation and data analysis. To be successful as a Reference Data Java Developer, you should have experience with Hands-on software development on Goldensource EDM platform Developing/implementing Instru…",34224.03,34224.03,permanent,2025-04-14T03:51:46Z,https://www.adzuna.co.uk/jobs/land/ad/5143763261?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=1E03DDFE49C1417FEE28CB4DEF0811DF08763548,Accounting & Finance Jobs,developer
UI Developer - Trading Platform,Barclays Bank PLC,"Fenchurch St, Central London","Join us as a Core UI Platform Developer at Barclays, where you will be performing activities related to the design, development, unit testing, deployment, support, and maintenance of an exciting transformational enterprise project with high visibility. This ambitious initiative leverages a modern tech stack, offering a unique opportunity to make a significant impact on our MarketsOne trading platform. To be successful as a UI Developer within this team, you should have: Strong proficiency in Ja…",38403.3,38403.3,permanent,2025-04-14T03:51:46Z,https://www.adzuna.co.uk/jobs/land/ad/5143763269?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=79406629AAF52C7A3B650343A2560A5DE249FF84,IT Jobs,developer
Channel Development Manager,"Arrow Electronics, Inc.",UK,"Position: Channel Development Manager Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arrow…",54463.12,54463.12,,2025-03-25T19:52:02Z,https://www.adzuna.co.uk/jobs/land/ad/5111220272?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=3709A51B4E7DD19F467DE36C8F71989AAB034737,Sales Jobs,developer
Business Development Manager,"Arrow Electronics, Inc.",UK,"Position: Business Development Manager Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arro…",50979.46,50979.46,,2025-03-14T18:32:26Z,https://www.adzuna.co.uk/jobs/land/ad/5093847784?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=1F87BFB5E8B893E85DEAA9FB49C016005DA1A69C,Sales Jobs,developer
Business Development Manager,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Business Development Manager Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arro…",50306.26,50306.26,,2025-03-14T18:32:26Z,https://www.adzuna.co.uk/jobs/land/ad/5093847785?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=6B846790FBB412F7072F7742EEBEBA26E4D9FD9E,Sales Jobs,developer
Business Development Manager,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Business Development Manager Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arro…",51332.57,51332.57,,2025-03-11T19:48:47Z,https://www.adzuna.co.uk/jobs/land/ad/5087543618?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=6F9D42900005D0575C5DED5511C43091A2BF2FCB,Sales Jobs,developer
Business Development Manager,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Business Development Manager Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arro…",48995.71,48995.71,,2025-03-07T19:55:44Z,https://www.adzuna.co.uk/jobs/land/ad/5081546283?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=ED444BEC0B56C789191BE1228C88220852DC761D,Sales Jobs,developer
Business Development Manager,"Arrow Electronics, Inc.",UK,"Position: Business Development Manager Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arro…",49651.42,49651.42,,2025-03-07T19:55:44Z,https://www.adzuna.co.uk/jobs/land/ad/5081546262?se=JvTjazAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5089F7D37B0A01991893D278018D552097BC84B1,Sales Jobs,developer
