title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Frontend Developer,Money Advice Trust,"Ladywood, Birmingham","Frontend Developer Birmingham (hybrid) Salary: £40,755 per annum 1 year fixed term contract (maternity cover) This is a maternity cover position expected to last up to 12 months, with the possibility of an earlier end date depending on the return of the post-holder Closing Date: Thursday 1st May 2025 About the Role Were looking for a talented Frontend Developer to join our team If you love coding, designing great user experiences, and working on meaningful projects, this could be the perfect ro…",40000,40000,contract,2025-04-18T18:01:16Z,https://www.adzuna.co.uk/jobs/details/5151840246?utm_medium=api&utm_source=e1ad5111,IT Jobs,frontend
Lead Frontend Engineer,Assa Abloy,"Blythe Valley Park, Shirley","Can you bring your experience to our team at ASSA ABLOY, Biosite? Join our team based in Solihull, UK and enjoy a collaborative culture that empowers you to build a career you can be proud of. This is a fully remote UK role. Biosite is a tried and trusted partner for the construction industry, specialising in biometric access control and workforce management software solutions since 2010. Additional, integrated solutions for fire safety, site management software and site surveillance technology…",52269.79,52269.79,permanent,2025-04-15T17:55:29Z,https://www.adzuna.co.uk/jobs/details/5145908355?utm_medium=api&utm_source=e1ad5111,IT Jobs,frontend
Frontend Developer - Angular,VANRATH,"Belfast, Northern Ireland","An opportunity for a talented developer to join a well-known insurance company in Belfast. This is the chance to lead the frontend development of an award-winning product. You have 3 years of experience with JavaScript and Angular/React Can work independently, but also a team player You have excellent communication and collaboration skills Experience with AWS is a bonus Experience contributing to server-side deployment is a bonus What's on offer Salary up to £60k Hybrid and Remote Working Compa…",60000,60000,,2025-04-04T07:08:04Z,https://www.adzuna.co.uk/jobs/land/ad/5128718442?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=EB2ADC5D19B337A07FDC7CFB7E98553F1CB5CA4E,IT Jobs,frontend
Frontend Magento Developer,InterQuest Group  Limited,"Manchester, Greater Manchester","Frontend Magento Developer - Up to 50k - UK Remote - eCommerce ECOM are delighted to have partnered with an eCommerce agency with extensive experience in delivering complex digital solutions for a wide range of national and international clients. Established over a decade ago, our client have become a trusted partner for implementing advanced eCommerce platforms and delivering strategic digital marketing campaigns. Their expertise lies in platforms like Adobe Commerce (Magento), and they are se…",50000,50000,permanent,2025-04-04T13:43:31Z,https://www.adzuna.co.uk/jobs/details/5129253230?utm_medium=api&utm_source=e1ad5111,IT Jobs,frontend
Senior Frontend Engineer,InterQuest Group  Limited,"Manchester, Greater Manchester","Senior Frontend Engineer - Tech4Good - Up to 60k - Manchester (2 days p/w, 3 days WFH) ECOM are delighted to have teamed up with a Tech4Good organisation based in Manchester on their search for a Senior Frontend Engineer, which will be the first dedicated frontend hire into the organisation. They're a Tech for Good organisation that are using technology to help people save money on their energy consumption and in turn, helping the environment - so a win win for everyone. As the first Frontend h…",60000,60000,permanent,2025-04-15T22:16:11Z,https://www.adzuna.co.uk/jobs/details/5146527742?utm_medium=api&utm_source=e1ad5111,IT Jobs,frontend
Senior Frontend Developer,SAGE GROUP PLC,"Newcastle Upon Tyne, Tyne & Wear","The Senior Frontend Software Engineer is responsible for building, enhancing and maintaining products and/or systems to enable Sage’s business plans and long-term objectives using the identified architecture. This role is hybrid three days a week in the office in Newcastle. The Senior Frontend Software Engineer will contribute and help lead in the design, development and delivery of high-quality products and/or systems and services that exceed customers’ or business partners’ expectations and w…",48712.49,48712.49,,2025-03-18T13:24:24Z,https://www.adzuna.co.uk/jobs/land/ad/5098887498?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5BCE5D7623B4C4A44B316A301491BA57C766D287,IT Jobs,frontend
Frontend Developer,Bluebird,UK,"Our client is a rapidly growing tech company revolutionising MS365 security policy management solutions for Managed Service Providers (MSPs) worldwide  What’s in it for you? Competitive salary between £65k – £100k Remote-first working environment with monthly meet-ups in the London office Flexible work hours, pension contributions and bonus structures Continuous career development & mentoring opportunities within a no-ego, close-knit team It would be fantastic if you React is second nature to y…",54163.84,54163.84,,2025-04-08T09:31:55Z,https://www.adzuna.co.uk/jobs/land/ad/5135270203?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F333E5DEC733797C61649959A07554734D30669F,IT Jobs,frontend
Frontend Developer,Phantom Hire,"Birmingham, West Midlands","We are looking for a Frontend Developer to lead the development of high-end, visually stunning, and high-performing websites. This role is ideal for someone who thrives on crafting pixel-perfect, fast-loading, SEO-optimised websites that deliver seamless user experiences. While some back-end experience is beneficial, this is a frontend-first role , focusing primarily on responsive website development, headless CMS integration (ButterCMS, Contentful, etc.), WordPress customisation, and performan…",35787.28,35787.28,permanent,2025-04-02T16:18:08Z,https://www.adzuna.co.uk/jobs/land/ad/5124373241?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=22ED2D9A54D9E23BA0164CF18B7CCF27D5857009,IT Jobs,frontend
Frontend Developer,Arrows,"London, UK","Frontend Developer - React & React Native – Up to £500/day (Outside IR35) – Hybrid (London Bridge) – 2 month contract We’re a mission-driven tech company that builds products to help people make confident decisions about their finances and everyday services. From switching energy providers to finding the right mortgage, we use data, design, and smart tech to make complex choices simpler and more transparent for millions of users. Essential Skills: Strong commercial experience with React and Rea…",72368.45,72368.45,contract,2025-04-11T04:27:27Z,https://www.adzuna.co.uk/jobs/land/ad/5139961620?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5AD3DD719E4F96AB2BC7B91397A5E26ADCF4380D,IT Jobs,frontend
Frontend Developer,Harnham,"Liverpool, Merseyside","Frontend Developer Retail, Liverpool £45,000  Benefits OVERVIEW Harnham are currently working with a loved UK retailer based in Liverpool that is looking to hire 2x Software Developers to their engineering team. They have a current team of 3 engineers/developers (including a Team Lead) and due to internal demand are looking to expand the team As a team they have been tasked with rebuilding an essential internal platform responsible for merchandising and supply chain. As they look to modernise t…",39746.41,39746.41,,2025-04-02T16:17:37Z,https://www.adzuna.co.uk/jobs/land/ad/5124370865?se=Tlv8ljAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=3B704331F8B438BF06D34722E20E264596B59282,IT Jobs,frontend
