title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Fullstack Node Developer,Circle Group,"North West England, UK","Fullstack Node Developer Key skills - Node JS, Javascript, React, GIT, Typescript  Due to Security Clearance we need candidates to have 5 years work experience in the UK  A Manchester based software house with over 35 years of history is growing a number of their development teams and currently has a a new opportunitiy for a mid-level Node JS Developer to join at a time where they are embarking on new platform development. From a skill set, you'll be working within the following technical envir…",60000,60000,permanent,2025-04-12T01:46:29Z,https://www.adzuna.co.uk/jobs/details/5141494000?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Fullstack Developer,Teksystems,"Birmingham, West Midlands","Full Stack Developer- 100% Remote- Contract Join our dynamic Development team to support and develop our internal platform, which comprises CoTS products (Salesforce, Survey.js, and Sendgrid) and two bespoke systems (Client Area and SRP). This platform facilitates our daily operations, including automated analysis and reporting of large data sets that our clients rely on for crucial business decisions. You will drive continuous improvements to the user experience of our products, establish stan…",34378.53,34378.53,,2025-04-01T16:06:24Z,https://www.adzuna.co.uk/jobs/land/ad/5121615847?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=0ACDB6282BB436FCF16F9C4F7FC3E3DA18ED9550,IT Jobs,fullstack
Fullstack Developer,McGregor Boyall,"London, UK","Full Stack Developer A leading asset manager is hiring a Full Stack Developer to join their fixed income team in London. Paying up to £80k per annum, with a package worth up to 105k, you will be joining a newly formed team. You will be working closely with US teams to build a next generation platform. You will gain valuable skills, understanding of the business and contribute towards achieving significant efficiencies and new capabilities that result in higher returns for their clients. The ide…",76101.8,76101.8,,2025-03-26T20:45:11Z,https://www.adzuna.co.uk/jobs/land/ad/5112721139?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=360AD6AAFDB536F119285048E4D5DB038D46AD3B,IT Jobs,fullstack
Fullstack Engineer,SR2 | Socially Responsible Recruitment | Certified B Corporation™,UK,Fullstack Software Engineer – Tech for Good - Government - £50k Are you are currently scrolling through jobs that all look the same? Are you looking for a business that is going to enable you to use your skills to improve the lives of the most vulnerable people in the UK? Do you want to be part of a truly citizen centric organisation? If the answer is yes to at least 2 out of the 3 then this role could be a great fit. Having grown 20% in the last 12 months they are looking to continue that by m…,48642.11,48642.11,,2025-04-02T16:16:28Z,https://www.adzuna.co.uk/jobs/land/ad/5124366174?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=4725F432C26C19300F29589987D4EF192D57673D,IT Jobs,fullstack
Fullstack Software Engineer - Personalisation,Algolia,"London, UK","Introduction: At Algolia, we are passionate about helping developers & product teams connect their users with what matters most in milliseconds Our APIs are used by thousands of customers in more than 100 countries. Billions of search queries are answered every month thanks to the code we push into production every day. The Team: Join our dynamic, cross-functional team dedicated to redefining search personalization We’re building an intelligent personalization engine that understands users by a…",59041.41,59041.41,,2025-02-21T16:34:50Z,https://www.adzuna.co.uk/jobs/land/ad/5059317846?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=E27D5B37BECC4CE9AA1373B8FA88A8E367ED11CE,IT Jobs,fullstack
Software Engineer Fullstack - Core,Dataiku,"London, UK","At Dataiku, were not just adapting to the AI revolution, were leading it. Since our beginning in Paris in 2013, weve been pioneering the future of AI with a platform that makes data actionable and accessible. With over 1,000 teammates across 25 countries and backed by a renowned set of investors, were the architects of Everyday AI, enabling data experts and domain experts to work together to build AI into their daily operations, from advanced analytics to Generative AI. Why Engineering at Datai…",80222.91,80222.91,,2025-03-25T13:58:04Z,https://www.adzuna.co.uk/jobs/land/ad/5110235830?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=E7FA01A8A40429277EDFB59004FDC25781FB505E,IT Jobs,fullstack
Founding Fullstack Engineer,Explore Group,"London, UK","Position: Founding Engineer Location: London, United Kingdom I am currently working with an early-stage healthcare technology startup dedicated to enhancing patient care through innovative solutions. Their mission is to seamlessly integrate technology into healthcare practices, improving efficiency and patient outcomes.​ Role Overview: As a Founding Engineer, you will play a pivotal role in shaping our product's direction and significantly impacting the future of healthcare technology. You will…",52244.92,52244.92,,2025-04-12T05:07:46Z,https://www.adzuna.co.uk/jobs/land/ad/5141659045?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=4931D518C410A5CDECED09BFAFD8A71ACB0B2C48,IT Jobs,fullstack
Fullstack Software Engineer - Dataiku Cloud,Dataiku,"London, UK","At Dataiku, were not just adapting to the AI revolution, were leading it. Since our beginning in Paris in 2013, weve been pioneering the future of AI with a platform that makes data actionable and accessible. With over 1,000 teammates across 25 countries and backed by a renowned set of investors, were the architects of Everyday AI, enabling data experts and domain experts to work together to build AI into their daily operations, from advanced analytics to Generative AI. Why Engineering at Datai…",75399.26,75399.26,,2025-03-25T13:58:22Z,https://www.adzuna.co.uk/jobs/land/ad/5110236096?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=FFABFB2AB09D6BA90E25BAB8A64885ECC83384E3,IT Jobs,fullstack
Senior Fullstack Developer – Angular / .NET,Tria,"Winchester, Hampshire","Senior Fullstack Developer – Angular / .NET Hybrid – Winchester or Worcester (2 days onsite) £60,000 - £65,000  5% Bonus  Benefits Are you a Fullstack Developer looking for a clear path to a Tech Lead role in the near future? Do you want to work in a supportive and growing SaaS company where your work makes a real impact? We’re partnered with a leading SaaS provider in the insurance tech space that are looking for a Senior Fullstack Developer to join their expanding team. With recent acquisitio…",67362.88,67362.88,,2025-04-05T07:37:19Z,https://www.adzuna.co.uk/jobs/land/ad/5130857338?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=0C860DBA427D9DAA987D08E251BF8E2ED79CEA4D,IT Jobs,fullstack
Fullstack Solutions Engineer | Founding Team,Kulipa,"London, UK","At Kulipa, our mission is to enhance financial inclusivity and efficiency by issuing stablecoin-powered debit cards, ensuring that card payments function optimally: Instant Payments: Merchants receive payments instantly, eliminating traditional delays. User Autonomy: End users can pay with their preferred currencies, maintaining full custody of their assets. Poised for growth: This is a critical inflection point on our journey and you’ll get a front row seat to a scaling start-up As the first F…",55516.56,55516.56,,2025-04-02T16:17:39Z,https://www.adzuna.co.uk/jobs/land/ad/5124371097?se=eklusDAe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=0FF7096F70D0DCE85CA824F4CF2E218FD1FCC297,IT Jobs,fullstack
Fullstack Engineer,SR2 REC LTD,"London, UK",Fullstack Software Engineer – Tech for Good - Government - £50k Are you are currently scrolling through jobs that all look the same? Are you looking for a business that is going to enable you to use your skills to improve the lives of the most vulnerable people in the UK? Do you want to be part of a truly citizen centric organisation? If the answer is yes to at least 2 out of the 3 then this role could be a great fit. Having grown 20% in the last 12 months they are looking to continue that by m…,40000,50000,permanent,2025-03-27T12:06:37Z,https://www.adzuna.co.uk/jobs/details/5113412789?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Fullstack Engineer,Blink - The Employee App,"London, UK","Blink is an employee app for frontline workers, with industry-leading engagement and a DAU of 99%. We’re scaling our platform through innovation, precision, and automation. As part of our world-class engineering team, you’ll play a pivotal role in building intuitive, impactful user interfaces that support frontline workers globally.  What will you be doing? We are seeking a highly skilled Solutions Engineer with a strong background in full-stack development to join our team. You will leverage y…",63943.18,63943.18,,2024-12-05T12:36:31Z,https://www.adzuna.co.uk/jobs/details/4964250390?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
Fullstack Developer,Gattaca PBS,"London, UK","About My Client Welcome to the future of sales collaboration My client has integrated the sales stack into a unified platform, making it easier than ever for sellers and customers to collaborate. By streamlining CRM, video calls, note-taking, media management, sales rooms, sentiment analysis, and more, their AI-powered insights deliver richer data for better decision-making and stronger customer relationships. This leads to faster sales at a significantly reduced cost. Backed by top investors a…",49769.7,49769.7,permanent,2025-04-08T18:58:00Z,https://www.adzuna.co.uk/jobs/details/5135686944?utm_medium=api&utm_source=e1ad5111,IT Jobs,fullstack
