title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Principal Power Systems Electrical Engineer,BAE Systems,"Inverkeithing, Fife","Job Title: Principal Power Systems Electrical Engineer Location: Barrow-In-Furness, Filton, Brough, Portsmouth, Weymouth, Frimley or Manchester – We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role Salary: Competitive What you’ll be doing: Conducting load flow, short circuit, and stability analysis of an electrical power system Management and analysis of the electrical load budget Developing and validating elec…",49032.08,49032.08,,2025-02-12T17:55:22Z,https://www.adzuna.co.uk/jobs/land/ad/5047449789?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=805558508A540E4DA01236F47EE1B3349AF31519,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Senior Electrical Engineer,BAE Systems,"Branksome, Poole","Job title: Senior Engineer – Electrical Engineering Location: Weymouth, Filton, Frimley – We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role Salary: Up to £52,000 depending on experience What you’ll be doing: Reviewing combat design’s and providing Electrical design and EMC feedback in the Naval/Marine domain Taking ownership of specific Electrical design issues and managing Integrated Combat Systems Liaising …",51176.11,51176.11,,2025-03-25T00:47:45Z,https://www.adzuna.co.uk/jobs/land/ad/5109469085?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=CB7C5AA093A485F4D13EF6BC40F180819B545E30,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Mobile Electrical Engineer,HAYS,"Oxfordshire, South East England","A PERMANENT electrical engineer is needed for our reputable facilities management client. Join Our Dynamic Engineering Team NOW! Job Title: Mobile Electrical Engineer Location: Oxfordshire Contract: Permanent, Full-time, 40 hours per week Salary: Up to £43,000 per annum. We are excited to welcome an experienced Electrician to our expanding Engineering family as a Mobile Electrical Engineer. This role offers a variety of tasks and challenges, ensuring that no two days are the same. As a Mobile E…",0,43000,permanent,2025-05-04T11:55:25Z,https://www.adzuna.co.uk/jobs/land/ad/5180046568?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=493053CF8BD43C0FB970EFECC94EA97EEA5C8FF6,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Graduate Electrical Engineer,HAYS,"Liverpool, Merseyside","Graduate Electrical Engineer - Liverpool Job Title: Junior Electrical Engineer Location : Liverpool, UK Job Summary: They are looking for a recent graduate with a strong foundation in electrical and electronic systems to join our dynamic engineering team. This role is ideal for an ambitious individual eager to launch their career and make a meaningful impact. You'll have the opportunity to work on advanced technology solutions, gaining hands-on experience and contribute to exciting projects in …",31458.79,31458.79,,2025-04-11T16:41:51Z,https://www.adzuna.co.uk/jobs/land/ad/5140567559?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=E0AEB348570AE849FAE76580821A90D12F9F335C,Graduate Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Electrical Engineer,Kier Group,"Plymouth, South West England","KierBAM are a Joint Venture (KBJV) partnership between Kier and Bam Nuttall. We are currently delivering the redevelopment project at a Royal Navy site located in Plymouth and we are seeking a Electrical Engineer Due to the site being a high Security Military Naval base, additional security checks will need to be made – BPSS level of security clearance is required. These checks can take up to 8 weeks to process. Only candidates holding EU, NATO, 5 Eyes, or MISWG member passports and have been a…",55079.48,55079.48,permanent,2025-04-30T02:40:33Z,https://www.adzuna.co.uk/jobs/land/ad/5169702415?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=AAD54DB15C88D773607DA531D002A20848832919,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Mobile Electrical Engineer - 66890,HAYS,"Perth & Kinross, Scotland","Job Opportunity_Mobile Electrical Engineer Your new company We are one of the UK’s leading facilities management and professional services companies, and we work with a range of household names who are instantly recognisable in banking, critical government sites as well as hospitals and sectors. Your new role You will be working on PPM and reactive, installing, updating, and performing maintenance, inspections, and fault-finding tasks. What you'll need to succeed You will be qualified as Level …",42553.03,42553.03,,2025-02-05T13:41:48Z,https://www.adzuna.co.uk/jobs/land/ad/5038501660?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=EBFC0EAEE7941B2D40720994590BD168A02BC21B,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Multi-Skilled Electrical Engineer,HAYS,"Stockport, Greater Manchester","We want to speak with experienced electricians to work with an exciting client based in Stockport. Job Title: Multi-skilled Engineer – Electrical Bias. Location: Stockport Contract: Permanent. Hours: Full-time, 40 hours per week. Salary: Up to £38,000 per annum. Hays are looking for an experienced multi-skilled engineer with an electrical bias to work on a static site for a leading defence contractor, conducting work that provides a multi-skilled maintenance service that covers multiple discipl…",36000,38000,permanent,2025-04-25T19:56:08Z,https://www.adzuna.co.uk/jobs/land/ad/5162900635?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=8CF2C93F2E5DC33EB52808EA8E8325A7B0C33207,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Consultant Engineer – Electrical Engineering (Power),BAE Systems,"Heysham, Morecambe","Job Title: Consultant Engineer – Electrical Engineering Location: Barrow-in-Furness, Filton – we offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role Salary: Competitive What you’ll be doing: Acting as the electrical SME providing technical leadership and guidance to a range of cross discipline internal and external stakeholders including equipment suppliers Managing the electrical interface with the electrical pow…",47030.01,47030.01,permanent,2025-05-01T03:00:41Z,https://www.adzuna.co.uk/jobs/land/ad/5171623942?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=BEBD766C99F4373985F872C914A1C7F58366997C,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Mobile Electrical Engineer,Kier Group,"Basingstoke, Hampshire","We're looking for a Mobile Electrical Engineer to join our FM Hard Services Team based in South London and Kent. Location: Mobile - South London and Kent What will you be responsible for? As a Mobile Electrical Engineer, you'll be working within the FM Hard Services Team, supporting them in all FM-related works with a bias towards electrical maintenance across a variety of sites. Your day-to-day will include: PPM tasks across multiple sites on the contract Reactive maintenance tasks Liaison wit…",41972.93,41972.93,permanent,2025-04-30T06:43:32Z,https://www.adzuna.co.uk/jobs/land/ad/5169974937?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=B2F1D9DBCF71B26E167D9EB17E28E27D734C1D15,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Electrical Engineer,Winner Recruitment,"York, North Yorkshire","Electrical Engineer £35,000 - £38,000 Mon – Friday (8am – 5pm) Temp to Permanent Join a Global Leader in Facilities Management – Electrical Engineer Wanted! Are you ready to power your career with a global service provider at the forefront of innovation and excellence? Here at Winner Recruitment, we are working with a leading Service Provider who are seeking a skilled Electrical Engineer to join our dynamic team and help deliver world-class facilities management solutions on a single site. Resp…",35000,35000,permanent,2025-04-30T10:31:28Z,https://www.adzuna.co.uk/jobs/land/ad/5170152608?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=27427F7740ECFA78079963ACC8DA436D3D706A61,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,True
Electrical Engineer,E3 Recruitment,"Bradford, West Yorkshire","Electrical Engineer required to join an Engineering and Manufacturing leader of industrial products. The successful Electrical Engineer will be easily able to commute to Bradford from surrounding towns & cities, including Leeds, Brighouse, Halifax and Huddersfield. Key Responsibilities of the Electrical Engineer will include: Design of bespoke electrical systems and Products (AutoCAD) Produce electrical schematics, BOM, GA drawing to produce control panel and machinery Speaking with Customers t…",55000,55000,permanent,2025-05-02T10:41:41Z,https://www.adzuna.co.uk/jobs/land/ad/5175787175?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=23ED37BAF9678ECE3E0BA79DC0C0D7D9BDB5ABF8,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
Electrical Engineer,Pioneer Selection,"Overdale Park, Skipton","Electrical Engineer Salary: £50,000 Shift: Days and Nights- No Friday or Saturday shifts Location: Skipton We are recruiting for an Electrical Engineer looking to join a dynamic industrial manufacturing company. Our client, a leading manufacturer, is seeking an electrical engineer to join their team. As an electrical engineer you will perform maintenance, repair, and troubleshooting on electrical and mechanical equipment. Fault-find and repair three-phase electrical systems, motors and inverter…",50000,50000,permanent,2025-04-23T22:15:29Z,https://www.adzuna.co.uk/jobs/land/ad/5159099769?se=OB_Hqe8o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=28E78EF94C2F0BF1C347CCD3AF9EC13C38A673C2,Engineering Jobs,electrical_engineering,gb,electrical engineer,standard,False,False
