title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
AI Engineer (Embedded Systems),Chroma Recruitment Ltd,"Low Prudhoe, Prudhoe","This innovative company in the Electronics and Embedded industry are looking for an AI Engineer to join their team. The primary responsibility for the AI Engineer will be to improve their product range through the application of real time AI, this will be a mix of computer vision and real-time data streams. AI Engineer requirements: Degree qualified in Computer Science/Electronics (or equivalent) 5 years industry experience (flexibility on this) Embedded Systems experience Real Time Application…",65000,65000,permanent,2025-04-24T10:26:05Z,https://www.adzuna.co.uk/jobs/land/ad/5159742207?se=yGyvPfAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=3478D90D766FAB67AC1B3091A2366428B9A17D8A,Engineering Jobs,embedded systems,gb,embedded systems,standard,False,False
Electronics and Embedded Systems Engineer,Noir,"Wokingham, Berkshire","Electronics and Embedded Systems Engineer - Engineering Company – Wokingham, Berkshire (Tech stack: Electronics and Embedded Systems Engineer, Electronics and Embedded Systems Engineer, Developer, Architect, Electronics and Embedded Systems Engineer) Are you ready to be part of a company that is shaping the future of high-performance electronic systems? Our client is a global engineering leader with over 10,000 employees worldwide, delivering cutting-edge technology solutions across industries …",49758.55,49758.55,,2025-05-01T06:56:35Z,https://www.adzuna.co.uk/jobs/land/ad/5171940424?se=yGyvPfAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=6B80D7C961F5928F9F761F34B0B3073CD9A9F382,Engineering Jobs,embedded systems,gb,embedded systems,standard,False,True
Software Engineer (Embedded systems),Head Resourcing,"Edinburgh, Scotland","Software Engineer (Embedded Systems) Chinese/ English bilingual  Location: Edinburgh, Scotland (Office-Based)  Experience Level: Entry to Mid-Level Are you ready to shape the future of mobile security? Or innovative, award winning tech client is looking for a Software Engineer with a passion for embedded systems and mobile security. This is an exciting opportunity to work on cutting-edge technology, researching how mobile apps interact with operating systems to enhance security solutions. If yo…",50149.62,50149.62,,2025-04-30T15:57:33Z,https://www.adzuna.co.uk/jobs/land/ad/5170691033?se=yGyvPfAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=659CE88B0524F4009AB88220B57399A4AFE94335,IT Jobs,embedded systems,gb,embedded systems,standard,False,False
IP KVM Engineer/Developer - Embedded Systems,Prospero Integrated,"Cambridge, Cambridgeshire","IP KVM Engineer/Developer - Embedded Systems (£60,000 - £70,000  Excellent Benefits) Job Description Excellent opportunity for an experienced IP KVM Engineer to join our Client's growing team. You will have a deep understanding of embedded systems development including design and implementation of IP-based KVM (Keyboard, Video, Mouse) functionality for embedded hardware platforms. You will work on developing low-level software for video capture, compression, streaming, and input redirection to …",70000,70000,permanent,2025-04-19T18:26:00Z,https://www.adzuna.co.uk/jobs/land/ad/5153423455?se=yGyvPfAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=D7E5850719AF7FFF9C889146037A536CD3ED588A,Engineering Jobs,embedded systems,gb,embedded systems,standard,False,False
Embedded Systems Engineer,Everfox,"London, UK","Intelligent. Dynamic. Resilient. Everfox, formerly Forcepoint Federal, has been defending the world’s most critical data and networks against the most complex cyber threats imaginable for more than 25 years. As trailblazers in defense-grade, high assurance cyber security, we have been leading the way in developing and delivering innovative cyber security technology. We protect data wherever it resides. Our unwavering dedication and commitment to our customers and the critical missions they serv…",33200,48100,permanent,2025-03-07T11:03:48Z,https://www.adzuna.co.uk/jobs/details/5080686541?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,embedded systems,gb,embedded systems,standard,False,False
Embedded Systems Engineer,Vantage Consulting,"Pickering, North Yorkshire","Job Purpose: To provide engineering design and support functions, and to be responsible for small projects or sub-sections of larger projects under instruction of more senior engineers. Key Responsibilities: (Key Tasks) Manage design projects from initial concept/enquiry through detailed design to manufacturing handover. Provide design input on projects, using the technical competencies listed below. Generation of ideas for developments and new products. Be responsible for small projects, or su…",0,10000,permanent,2025-04-19T20:04:13Z,https://www.adzuna.co.uk/jobs/details/5153800737?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,embedded systems,gb,embedded systems,standard,False,False
Embedded Systems Engineer,Owen Daniels,"Slingsby, York","Do you have software development experience using C, C++ and testing with C#? Are you confident designing analogue and digital circuitry? Our client is a global leader in manufacturing vehicle systems and are looking for an Embedded Systems Engineer to join on a permanent basis! Embedded Systems Engineer Permanent Site based position (8.30am to 4.30pm Mon-Thurs and 8.30am to 4pm Friday) Slingsby Embedded Systems Engineer Job Description Responsible for software development. This would involve b…",40000,48000,permanent,2025-04-28T13:31:44Z,https://www.adzuna.co.uk/jobs/land/ad/5166664499?se=yGyvPfAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=70F95A95D85CD9D08F1999E22952EFE96236EAEB,IT Jobs,embedded systems,gb,embedded systems,standard,False,True
Embedded Systems Engineer,Platform Recruitment,"Wytham, Oxford","Embedded Systems Engineer - £ 40 - 65k – Oxford - Hybrid 2/3 days in office My client is a rapidly growing company in their niche researching and manufacturing groundbreaking products for market launch. Due to sustained success, they’re growing their product teams. Main duties:  Oversee productization of quantum technologies.  Design and develop electronics and microsystems, encompassing various subsystems and I/O interfaces.  Program firmware as needed, and create software for interfacing with…",40000,65000,,2023-11-06T23:18:48Z,https://www.adzuna.co.uk/jobs/land/ad/4417597072?se=yGyvPfAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=288BCEA85F4CA31551FFC91A026303C4CDDAA0DB,Engineering Jobs,embedded systems,gb,embedded systems,standard,False,False
Embedded Systems Engineer - experienced,Everfox,"London, UK","Intelligent. Dynamic. Resilient. Everfox, formerly Forcepoint Federal, has been defending the world’s most critical data and networks against the most complex cyber threats imaginable for more than 25 years. As trailblazers in defense-grade, high assurance cyber security, we have been leading the way in developing and delivering innovative cyber security technology. We protect data wherever it resides. Our unwavering dedication and commitment to our customers and the critical missions they serv…",51300,69600,permanent,2025-03-31T12:25:42Z,https://www.adzuna.co.uk/jobs/details/5119758823?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,embedded systems,gb,embedded systems,standard,False,False
Senior Embedded Systems Engineer,IONATE,"London, UK","£65-80K – Full-time – London/Hybrid IONATE is a deep technology start-up building the technology backbone for smart grids. Our team is looking for a Senior Embedded Software Engineer who will be responsible for developing and implementing real time software, taking concepts through to commercial product for customers. Requiring extensive knowledge and experience in embedded software development, this position will involve working with our hardware and software team. With a focus on real-time em…",65000,80000,,2025-04-08T20:27:02Z,https://www.adzuna.co.uk/jobs/details/5135824789?utm_medium=api&utm_source=e1ad5111,IT Jobs,embedded systems,gb,embedded systems,standard,False,False
Senior Embedded Systems Developer,Platform Recruitment,"Englefield, Reading","Senior Embedded Systems Developer - £55k - £65k – Reading - Hybrid My client is an established company in their niche providing end-to-end solutions for a range of sectors. Due to sustained success, they’re expanding their development team. Main duties:  Creating, implementing, and managing software programmes  Continuous integration and development of software.  Collaborating with a multi-skilled team of managers and developers.  Mentoring and guiding junior developers.  Meeting with quality t…",55000,65000,,2023-11-01T23:00:35Z,https://www.adzuna.co.uk/jobs/land/ad/4407844325?se=yGyvPfAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=7F12A5F344AEA256E2A4AFD801F08F77E19C34DA,IT Jobs,embedded systems,gb,embedded systems,standard,False,False
