title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Responsable Technique Logiciels,Groupe Bouygues,US,"Informations générales Référence Equans_60781 Date de parution 01/05/2025 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Responsable Technique Logiciels Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez Equans, nos équipes Ineo Defense interviennent sur des projets critiques et stratégiques de la Défense Nationale en concevant et produisant des solutions complexes, innovantes et uniques afin de répondre aux besoins stratégiques des…",59757.66,59757.66,,2025-03-03T19:05:15Z,https://www.adzuna.com/details/5072847462?utm_medium=api&utm_source=e1ad5111,IT Jobs,ingénieur électronique,us,ingénieur électronique,standard,False,False
Responsable Technique Logiciels,Mobyclic,US,"Informations générales Référence Equans_60781 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Responsable Technique Logiciels Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez Equans, nos équipes Ineo Defense interviennent sur des projets critiques et stratégiques de la Défense Nationale en concevant et produisant des solutions complexes, innovantes et uniques afin de répondre aux besoins stratégiques des forces armées ? Ineo Défens…",53237.62,53237.62,,2025-03-03T19:08:24Z,https://www.adzuna.com/details/5072853773?utm_medium=api&utm_source=e1ad5111,IT Jobs,ingénieur électronique,us,ingénieur électronique,standard,False,False
Responsable Système d'Offres (H/F),Mobyclic,US,"Informations générales Référence Equans_70653 Filière Métier Réf métier Bouygues SA - TRAVAUX Intitulé du poste Responsable Système d'Offres (H/F) Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez EQUANS France, nos équipes interviennent dans le secteur des projets d’infrastructure de transport en France et dans le monde ? Responsable Système d’Offres (H/F), Neuville sur Oise (95) Le Marché Transport d’EQUANS offre des solutions techniques innovantes pour…",50257.78,50257.78,,2025-04-18T03:00:09Z,https://www.adzuna.com/details/5151240899?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,ingénieur électronique,us,ingénieur électronique,standard,False,False
Responsable Système d'Offres (H/F),Groupe Bouygues,US,"Informations générales Référence Equans_70653 Date de parution 14/04/2025 Filière Métier Réf métier Bouygues SA - TRAVAUX Intitulé du poste Responsable Système d'Offres (H/F) Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez EQUANS France, nos équipes interviennent dans le secteur des projets d’infrastructure de transport en France et dans le monde ? Responsable Système d’Offres (H/F), Neuville sur Oise (95) Le Marché Transport d’EQUANS offre des solution…",56041.8,56041.8,,2025-04-08T03:51:27Z,https://www.adzuna.com/details/5135214704?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,ingénieur électronique,us,ingénieur électronique,standard,False,False
Ingénieur électronique H/F,Hays France,"La Flèche, Sarthe","Nous recherchons un Ingénieur Électronique pour rejoindre une société industrielle à La Flèche, en Sarthe, en CDI. En tant qu'Ingénieur Électronique, vous êtes responsable de la conception, du développement et de la mise en œuvre de solutions électroniques innovantes.Missions : - Proposer",,,permanent,2025-05-01T12:09:25Z,https://www.adzuna.fr/land/ad/5172646413?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=164C0F803C60B6D91A68132368B6BE65B7BD86BC,Emplois Ingénierie,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Electronique H/F,Elsys Design,"Villeurbanne, Lyon","Pour participer au développement de notre pôle Hardware, ELSYS Design vous propose de rejoindre notre équipes en tant qu'ingénieur(e) en électronique. Vous serez emmené à participer à des projets innovants et variés où vous pourrez mettre en oeuvre vos compétences et votre créativité. Tu seras amené à : - Réaliser des specifications de cartes - Choisir des composants - Saisir ou modifiers des schémas - Calcul de fiabilité (mtbf), analyse des modes de défaillance - Mettre en place un environneme…",35000,50000,,2025-04-30T12:01:19Z,https://www.adzuna.fr/land/ad/5170306752?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9599F4C043B5A39B9C94F1D04776705026705CFF,Emplois Comptabilité et Finance,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Électronique (h/f) (CDI),LHH,France,"Poste : LHH Recruitment Solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition et évaluation d'expert.e.s, cadres et dirigeant.e.s, recrute pour son client situé à Angoulême (16), acteur industriel spécialisé dans la conception et la fabrication de détecteurs pour les automatismes industriels, un Ingénieur électronique H/F pour son site basé à Angoulême. Rattaché(e) au Responsable du bureau d’études électroniques vous serez responsable de la conception, du dé…",,,permanent,2025-04-22T04:09:29Z,https://www.adzuna.fr/land/ad/5155804403?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=1F17513B7D0147779DA9D5899B2E1AE10237F136,Unknown,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Electronique Analogique H/F,NEO2,"Loire-Atlantique, Pays de la Loire","Pour accompagner la croissance du groupe, nous cherchons à renforcer notre équipe étude. Devenir consultant chez NEO2 c'est : Être acteur de sa carrière en ayant des possibilités d'évolutions multiples (métier, secteur, région). Pouvoir travailler sur des projets avec une dimension environnementale (30% de nos projets participent à rendre l'industrie plus durable) Avoir un suivi managérial fort En rejoignant nos équipes en tant qu'Ingénieur Electronique analogique. Vous interviendrez sur une pr…",,,,2025-04-13T05:43:33Z,https://www.adzuna.fr/land/ad/5142923544?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=A06419303F3E5A2C2A86EAF2A121D43D1DE2143D,Emplois Informatique,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Électronique de Puissance H/F,NEO2,"Loire-Atlantique, Pays de la Loire","Pour accompagner la croissance du groupe, nous cherchons à renforcer notre équipe étude. Devenir consultant chez NEO2 c'est : Être acteur de sa carrière en ayant des possibilités d'évolutions multiples (métier, secteur, région). Pouvoir travailler sur des projets avec une dimension environnementale (30% de nos projets participent à rendre l'industrie plus durable) Avoir un suivi managérial fort En rejoignant nos équipes en tant que Ingénieur électronique de puissance. Vous interviendrez sur une…",20000,150000,,2025-04-10T06:50:14Z,https://www.adzuna.fr/land/ad/5138223071?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=0481306DC085ED7A716723CF048A91145E3D14FF,Emplois Informatique,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Électronique Hardware H/F,Randstad Digital,"Issy-les-Moulineaux, Boulogne-Billancourt","Randstad Digital est un partenaire technologique de référence qui facilite la transformation digitale des entreprises en fournissant des talents, des capacités de production et des solutions packagées dans des domaines spécialisés. Nos services s'articulent autour des quatre domaines d'expertise suivants : l'expérience client (UX/UI), l'ingénierie numérique et l'ingénierie produit, les datas & analytics et la transformation vers le cloud. Lancée le 30 août 2023, Randstad Digital possède une con…",,,,2025-05-01T06:31:06Z,https://www.adzuna.fr/land/ad/5171821455?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=E6DBF3FCCDE367759DF6961C6FFB36A0A5049975,Emplois Autres/Général,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Electronique Analogique H/F,Ametra,"Rangueuil, Toulouse","Dans le cadre de projets industriels du secteur de l'Aéronautique et de la Défense, vous contribuerez à la conception de produits et de cartes en Electronique Analogique pour des systèmes critiques. Missions : A ce titre, vos missions seront les suivantes : · Proposer des solutions d'architecture électronique en accord avec le responsable technique et le projet client · Etudier et concevoir des produits et des cartes électroniques analogiques et de puissance · Rédiger les documents de spécifica…",,,,2025-02-06T07:29:50Z,https://www.adzuna.fr/land/ad/5039538734?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=26D74B55320E551B5A7D2D5E8F8A07D85279EF33,Emplois Informatique,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur électronique,TEMPORIS,"Vic-en-Bigorre, Tarbes","TEMPORIS Experts et cadres, c'est une team impliquée! Chez nous, on fouille, on scrute, et surtout on remarque, on identifie, on découvre et on met en lumière de supers talents ! Si ça vous dit de faire parti de l'aventure, rejoignez-nous vite Le talent recherché est un(e) Ingénieur électronique F/H. Vous serez en charge de: - la conception et le développement de cartes et circuits électroniques complexes. - le routage de cartes électroniques - la programmation C microcontrôleur - la programmat…",,,contract,2025-05-02T12:27:28Z,https://www.adzuna.fr/land/ad/5175955455?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=1628DFC13C885B6DE1E9CCD7A26DDFEDF4A67217,Unknown,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Electronique de Puissance H/F,Ametra,"Clamart, Antony","Intégré(e) au sein d'un projet stratégique chez l'un de nos clients grands comptes, vos principales missions seront de : - Participer à la définition des architectures fonctionnelles et physiques des sous-ensembles électroniques, - Réaliser la conception et le développement des sous-ensembles et / ou équipements de conversion de puissance, - Assurer le suivi technique, - Participer aux différentes revues de conformité.",,,,2025-02-04T19:41:57Z,https://www.adzuna.fr/land/ad/5037110227?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=35651EEC72327CF96FC7D4C91AB5143092D307F3,Emplois Informatique,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur électronique,Silkhom,"Crolles, Isère","Rattaché(e) au responsable du bureau d’études et en collaboration avec 2 ingénieurs électroniques expérimentés, vous participerez à la conception de cartes électroniques variées (alimentation, connectique, fond de panier, HIM, porteuse COMe, etc.). Vos principales missions : - Concevoir des cartes électroniques : choix des composants, participation à l’approvisionnement et respect des spécifications. - Réaliser la saisie des schémas sous Cadstar. - Rédiger le cahier des charges pour les sous-tr…",,,permanent,2025-05-02T20:54:47Z,https://www.adzuna.fr/land/ad/5177131634?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=E6CC3359E23A65957FE245CD608E66468C871D85,Unknown,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Electronique H/F,AXIOME Groupe,"Fuveau, Trets","Axiome Ingénierie, filiale de Axiome Groupe, recrute pour un de ses clients dans le domaine Défense et Robotique sous marine, un Ingénieur Electronique (H/F) L'ingénieur électronique est responsable de la conception, du déploiement, de l'intégration et de la maintenance de dispositifs électroniques intégrés dans des produits et systèmes. En tant qu'expert de son domaine, l'ingénieur électronique est le point d'entrée du responsable bureau d'études et des équipes projets/systèmes pour tous les s…",,,,2025-04-30T13:00:52Z,https://www.adzuna.fr/land/ad/5170350893?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=AA5ACE880DBE3F3860FF359099B538A0E0E6A72E,Emplois Autres/Général,ingénieur électronique,fr,ingénieur électronique,standard,False,False
Ingénieur Électronique H/F,OneSide Technologies,"Levallois-Perret, Nanterre","Vous aurez la charge de la conception, du développement et de l'optimisation des systèmes électroniques pour des systèmes de surveillance. Vous travaillerez sur la création et l'intégration de solutions innovantes en électronique et robotique, depuis la conception jusqu'à la validation des prototypes. Missions principales : - Conception et développement - Concevoir des systèmes électroniques embarqués pour des robots industriels en fonction des contraintes techniques et des besoins fonctionnels…",,,,2025-04-30T13:00:52Z,https://www.adzuna.fr/land/ad/5170350890?se=xA9J2O8o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=BE4A142C830D671FAA964AE1C5BF4F2E427E7ECB,Emplois Informatique,ingénieur électronique,fr,ingénieur électronique,standard,False,False
