title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Principal Power Systems Electrical Engineer,BAE Systems,"Inverkeithing, Fife","Job Title: Principal Power Systems Electrical Engineer Location: Barrow-In-Furness, Filton, Brough, Portsmouth, Weymouth, Frimley or Manchester – We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role Salary: Competitive What you’ll be doing: Conducting load flow, short circuit, and stability analysis of an electrical power system Management and analysis of the electrical load budget Developing and validating elec…",49032.08,49032.08,,2025-02-12T17:55:22Z,https://www.adzuna.co.uk/jobs/land/ad/5047449789?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=805558508A540E4DA01236F47EE1B3349AF31519,Engineering Jobs,power systems,gb,power systems,standard,False,False
Electrical Power Systems Support Engineer,HAYS,"Nottingham, Nottinghamshire","We are currently seeking to appoint a junior electrically biased candidate. Your new company We are currently seeking to appoint an electrical-biased candidate for an exciting role based in Nottingham for a busy electrical support team. The ideal candidate will be a time-served electrician or service engineer who is looking to move into an office-based role in a busy support team. Their business is to support clients who own Data Centres by monitoring the thermal environment and power usage, pr…",42277.41,42277.41,,2025-04-11T16:41:49Z,https://www.adzuna.co.uk/jobs/land/ad/5140567449?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=F8AA072E8A39DDB403082A09DA95DABE1135AADA,Trade & Construction Jobs,power systems,gb,power systems,standard,False,False
Power Systems Engineer,Camlin,"Lisburn, Northern Ireland","Company Description: Camlin is a global technology leader that operates with the vision of bringing revolutionary products to life for a wide range of industries, including power and rail, and also has interests in a number of R&D projects in a variety of scientific sectors. At Camlin we believe in high quality engineering and design, allowing us to develop market leading products and services. In short, we love creating value for our customers by solving difficult problems. As of today, the Ca…",50000,50000,,2025-04-30T06:03:08Z,https://www.adzuna.co.uk/jobs/land/ad/5169935096?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=6BC6BC2E21AC989428A4B8098EE855E515680906,Engineering Jobs,power systems,gb,power systems,standard,False,True
Power System Design Lead,JAM Recruitment Ltd,"South East London, London","Are you an experienced electrical power systems engineer, looking for an opportunity to step up into the position of a lead engineer? Would you like to work on cutting edge technologies implemented in some of the most advanced engineering projects in the world? If the answer to those questions is yes, then please read on! I am currently recruiting for two Lead Power Systems Engineers to work on behalf of a long standing client of ours, a world leader in Defence. Key responsibilities: Design of …",65000,65000,permanent,2025-04-04T05:37:04Z,https://www.adzuna.co.uk/jobs/land/ad/5128565238?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=396C21D6BC8B47D14D43A499DB5F7E983B6E2DDA,Engineering Jobs,power systems,gb,power systems,standard,False,False
Power Systems Key Account Manager,On Target Recruitment,"Datchet, Slough","Company Overview The company is a leading provider of power generation solutions, delivering power systems. It operates in multiple international territories, supporting businesses in Africa and the Middle East. The company values collaboration, business development, and customer-driven solutions. It offers market-leading products and services tailored to industrial and commercial power needs. Benefits of the Role £60,000 - £70,000 £120,000 - £140,000 OTE 25 Days A/L Pension Private Health Care…",70000,70000,permanent,2025-04-30T18:34:35Z,https://www.adzuna.co.uk/jobs/land/ad/5170860636?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=9BB304D3C69A0E8ECA79D1D012CC5F67F22D5D58,Sales Jobs,power systems,gb,power systems,standard,False,True
Power System Engineer,Deploy Recruitment Group,"Cardiff County, Wales","Independent, specialist power engineering consultancy requires a Power Systems Engineer to work on a range of exciting projects, including renewable energy grid integration, at both transmission (132kV - 400kV) and distribution (11kV - 132kV) voltage levels. The Power Systems Engineer will be responsible for: Performing power systems studies, network modelling, load flow, short circuit, transient stability, harmonic studies Carry out protection coordination Offer technical expertise to overcome…",56257.93,56257.93,,2025-04-30T15:57:26Z,https://www.adzuna.co.uk/jobs/land/ad/5170690096?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=30AF7F0C98CEDE88A2422085F22533005E5DDC69,Engineering Jobs,power systems,gb,power systems,standard,False,False
Head of Power Systems and Networks,SLR CONSULTING-1,"London, UK","Job Title Head of Power Systems and Networks Vacancy No VN4935 Employment Type Permanent Contract Type Full-Time Advert SLR Consulting is a leading consultancy specialising in grid connection, power system studies, and energy transition solutions. We support clients across renewable energy, data centres, and Power-to-X sectors in understanding and accessing the UK electrical grid. Our expertise enables projects to navigate complex grid connection processes, optimise network design, and ensure c…",67138.79,67138.79,permanent,2025-04-12T03:32:25Z,https://www.adzuna.co.uk/jobs/land/ad/5141588628?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=759D5B068466F8C95CB18A21224043D1C08DD8CC,Engineering Jobs,power systems,gb,power systems,standard,False,False
Senior Power System Engineer,MOTT MACDONALD-4,"Tyne & Wear, North East England","Location/s: Altrincham, Glasgow, Brighton Recruiter contact: Laura Kennedy Mott MacDonald We’re a global engineering, management, and development consultancy. Our purpose is to improve society by considering social outcomes in everything we do, relentlessly focusing on excellence and digital innovation, transforming our clients’ businesses, our communities and employee opportunities. A fundamental part of this is respecting each person’s differences and striving to meet their needs. We are prou…",47584.47,47584.47,permanent,2025-04-17T04:00:58Z,https://www.adzuna.co.uk/jobs/land/ad/5148820893?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=E09C2ED67D73D88B3E1D49743C84F1F65D794D17,Engineering Jobs,power systems,gb,power systems,standard,False,True
Power System Engineer,Camlin Group,"Scotland, UK","Company Description: Camlin is a global technology leader that operates with the vision of bringing revolutionary products to life for a wide range of industries, including power and rail, and also has interests in a number of R&D projects in a variety of scientific sectors. At Camlin we believe in high quality engineering and design, allowing us to develop market leading products and services. In short, we love creating value for our customers by solving difficult problems. As of today, the Ca…",59118.49,59118.49,,2025-04-11T04:29:03Z,https://www.adzuna.co.uk/jobs/land/ad/5139963481?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=B9CCDB3346C9D8271E10401666F386AE1D6EA32F,Engineering Jobs,power systems,gb,power systems,standard,False,True
Power Systems Engineer,Camlin Group,"Eastern England, UK","Company Description: Camlin is a global technology leader that operates with the vision of bringing revolutionary products to life for a wide range of industries, including power and rail, and also has interests in a number of R&D projects in a variety of scientific sectors. At Camlin we believe in high quality engineering and design, allowing us to develop market leading products and services. In short, we love creating value for our customers by solving difficult problems. As of today, the Ca…",56395.33,56395.33,,2025-04-11T04:27:27Z,https://www.adzuna.co.uk/jobs/land/ad/5139961626?se=uI7F4-8o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=A0EA88DF56E299A189D973F364566E75D2459653,Engineering Jobs,power systems,gb,power systems,standard,False,True
