title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Responsable Technique Système Guerre Electronique – F/H,Mobyclic,US,"Informations générales Référence Equans_57499 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Responsable Technique Système Guerre Electronique – F/H Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez Equans, nos équipes Ineo Defense interviennent sur des projets critiques et stratégiques de la Défense Nationale en concevant et produisant des solutions complexes, innovantes et uniques afin de répondre aux besoins stratégiques des for…",47180.59,47180.59,,2025-03-03T18:38:16Z,https://www.adzuna.com/details/5072798516?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,systèmes embarqués,us,systèmes embarqués,standard,False,False
Responsable Technique Système Guerre Electronique – F/H,Groupe Bouygues,US,"Informations générales Référence Equans_57499 Date de parution 28/04/2025 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Responsable Technique Système Guerre Electronique – F/H Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez Equans, nos équipes Ineo Defense interviennent sur des projets critiques et stratégiques de la Défense Nationale en concevant et produisant des solutions complexes, innovantes et uniques afin de répondre aux …",52759.99,52759.99,,2025-03-03T20:45:25Z,https://www.adzuna.com/details/5073132013?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,systèmes embarqués,us,systèmes embarqués,standard,False,False
Responsable Technique Logiciels,Groupe Bouygues,US,"Informations générales Référence Equans_60781 Date de parution 01/05/2025 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Responsable Technique Logiciels Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez Equans, nos équipes Ineo Defense interviennent sur des projets critiques et stratégiques de la Défense Nationale en concevant et produisant des solutions complexes, innovantes et uniques afin de répondre aux besoins stratégiques des…",59757.66,59757.66,,2025-03-03T19:05:15Z,https://www.adzuna.com/details/5072847462?utm_medium=api&utm_source=e1ad5111,IT Jobs,systèmes embarqués,us,systèmes embarqués,standard,False,False
Responsable Technique Logiciels,Mobyclic,US,"Informations générales Référence Equans_60781 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Responsable Technique Logiciels Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez Equans, nos équipes Ineo Defense interviennent sur des projets critiques et stratégiques de la Défense Nationale en concevant et produisant des solutions complexes, innovantes et uniques afin de répondre aux besoins stratégiques des forces armées ? Ineo Défens…",53237.62,53237.62,,2025-03-03T19:08:24Z,https://www.adzuna.com/details/5072853773?utm_medium=api&utm_source=e1ad5111,IT Jobs,systèmes embarqués,us,systèmes embarqués,standard,False,False
Ouvrier Systèmes Embarqués H/F,Armée de l'Air et de l'Espace,"Pyrénées-Atlantiques, Nouvelle-Aquitaine","L'armée de l'Air et de l'Espace a pour mission d'assurer la sécurité du territoire et le maintien de la paix. Notre plan stratégique s'articule autour de 3 missions : Protéger, les français à l'intérieur de nos frontières et au-delà, Intervenir, par le déploiement d'actions immédiates, Dissuader, notamment par la mise en oeuvre de la composante aéroportée de la dissuasion nucléaire. L'armée de l'Air et l'Espace compte près de 40 500 militaires. Votre rôle d'ouvrier systèmes embarqués * Vous exé…",1980,1980,,2025-02-04T19:56:23Z,https://www.adzuna.fr/land/ad/5037292602?se=ln3eXPAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=A14569AD119EECA2AC37A6DC0446BD48400DC718,Unknown,systèmes embarqués,fr,systèmes embarqués,standard,False,False
Technicien Systèmes Embarqués H/F,Armée de l'Air et de l'Espace,"Vienne, Nouvelle-Aquitaine","L'armée de l'Air et de l'Espace a pour mission d'assurer la sécurité du territoire et le maintien de la paix. Notre plan stratégique s'articule autour de 3 missions : Protéger, les français à l'intérieur de nos frontières et au-delà, Intervenir, par le déploiement d'actions immédiates, Dissuader, notamment par la mise en oeuvre de la composante aéroportée de la dissuasion nucléaire. L'armée de l'Air et l'Espace compte près de 40 500 militaires. * Devenir technicien des systèmes embarqués au sei…",1980,2700,,2025-02-04T19:55:44Z,https://www.adzuna.fr/land/ad/5037289216?se=ln3eXPAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=EAB192989CF9EE205F5AA139D99A62E0178A880E,Unknown,systèmes embarqués,fr,systèmes embarqués,standard,False,False
Ingénieur Systèmes Embarqués,ALTEN,"Boulogne-Billancourt, Hauts-de-Seine","Envie de travailler chez un ""Top Employeur"" ? Rejoindre le Groupe ALTEN c'est intégrer une société au cœur de l'innovation au service de grands comptes et ceci dans des secteurs d'ingénierie variés tel que l’Aéronautique, le Spatial, l’Automobile, l’Energie, le Ferroviaire ou encore la Défense. Travailler chez ALTEN rime avant tout avec passion, technicité et proximité. La responsabilisation et l'intrapreneuriat sont à la base de nos méthodes de travail, chaque jour le groupe grandit avec ses c…",,,,2025-03-14T08:12:15Z,https://www.adzuna.fr/land/ad/5092714842?se=CjjbXvAo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=F8B53C6FE4C346798E550CA6A92817818BF9F6C3,Unknown,systèmes embarqués,fr,systèmes embarqués,standard,False,False
Candidature spontanée Systèmes Embarqués,Technology & Strategy,"Ile-de-France, France","Technology & Strategy est une société de conseil européenne de plus de 4000 collaborateurs présente en France et à l’international, en pleine expansion, spécialisée dans trois grands domaines d’expertise (Transformation Digitale, Conseil en performance opérationnelle et Conseil en ingénierie). T&S Engineering est la division de conseil en ingénierie expert dans l’électronique et systèmes embarqués, mais aussi dans le développement produit et la gestion de projet. Notre ambition est de nous appu…",,,,2025-01-16T05:42:08Z,https://www.adzuna.fr/land/ad/5012658466?se=CjjbXvAo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=72D4CE585A5405DF07DA25D8736182A48454AF07,Unknown,systèmes embarqués,fr,systèmes embarqués,standard,False,True
Ingénieur Systèmes Embarqués Expérimenté H/F,Ametra,"Equeurdreville-Hainneville, Cherbourg-Octeville","L'agence Ingénierie des Systèmes couvre les métiers de l'électronique et du développement embarqué dans les secteurs de la défense, du nucléaire, de l'aéronautique et du ferroviaire. Pour accompagner la croissance de notre bureau d'étude de Clamart, nous recherchons un ingénieur systèmes embarqués expérimenté. Vous serez rattaché au Responsable Projet, et aurez en charge : L'ingénieur système doit piloter et réaliser les activités systèmes en assurant la cohérence d'ensemble avec les différents…",,,,2025-02-06T08:23:06Z,https://www.adzuna.fr/land/ad/5039611112?se=CjjbXvAo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=8A0638F1E11480D1B0047C6BF691F03D83F875A0,Emplois Informatique,systèmes embarqués,fr,systèmes embarqués,standard,False,False
Architecte Systèmes Embarqués H/F,Michael Page,"Nogent-le-Roi, Dreux","Notre client conçoit et fabrique des équipements industriels sur mesure intégrant des logiciels de contrôle embarqués, assurant l'automatisation, la supervision et la traçabilité des opérations en temps réel. Le site de production et le siège social sont situés à Nogent-le-Roi. En tant qu",,,permanent,2025-05-02T18:10:10Z,https://www.adzuna.fr/land/ad/5176553199?se=CjjbXvAo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=EFFDE00446894C477B521CCAC85798998127F335,Emplois Informatique,systèmes embarqués,fr,systèmes embarqués,standard,False,False
