title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Telecommunications Engineer,Rise Technical,"Gloucestershire, South West England","Telecoms Engineer Gloucester £36,000 - £44,000  Progression  Development  Pension  Holidays  Fantastic Company Culture  Exciting Projects Excellent opportunity for a Telecommunications Support Engineer to join an established and growing technology integrator in the Specialist Telecommunications space. This company are a thriving global network solutions provider with a glowing industry reputation, who work alongside high end clients such as Fujitsu, Network Rail, BT and UK Power. They are growi…",36394.55,36394.55,,2025-04-08T09:31:52Z,https://www.adzuna.co.uk/jobs/land/ad/5135270176?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=3BA685C7BB29CDA6B15BE9587CD3E3E09038695A,IT Jobs,telecommunications,gb,telecommunications,standard,False,True
Telecommunications Engineer,In Technology Group,"Birmingham, West Midlands","Role: Telecommunications Engineer Location: Birmingham (Field & Office Based) Salary: £40,000  Van  Tools  Benefits Our client is looking for an experienced Telecommunications Engineer to join their team, supporting a wide range of telecoms projects across the Birmingham area and beyond . If you're hands-on, love problem-solving, and enjoy a mix of fieldwork and office-based tasks, we’d love to hear from you. This role will see you working on everything from installing and maintaining telecoms …",27947.5,27947.5,,2025-04-28T03:41:56Z,https://www.adzuna.co.uk/jobs/land/ad/5166326096?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=FEA02425DA9F7918308F35024EFAECAB8D923670,IT Jobs,telecommunications,gb,telecommunications,standard,False,False
Telecommunications Engineer,AGS Cyber,UK,"Unified Communications Engineer UK – Fully Remote Based Short-Term Contract Based Our client is an exciting, ambitious, rapidly growing AI powered Property Tech business that specialise in AI based sales enhancement software. Due to rapid start-up growth and urgent need, they now require a Unified Communications Engineer on a short-term contract. You’ll need to be an experienced Unified Engineer with excellent communication skills, with the ability to work fully remote. The successful candidate…",47954.94,47954.94,contract,2025-04-28T03:41:54Z,https://www.adzuna.co.uk/jobs/land/ad/5166325845?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=49083A733513E315ECEBF369D5C9FD02630FFEFA,IT Jobs,telecommunications,gb,telecommunications,standard,True,False
Telecommunications Engineer,Hott Source,"Potters Bar, Hertfordshire","Unified Communications (UC) Engineer Position: UC/Telecoms Support Engineer Location: Potters Bar, Hertfordshire, UK (Onsite) Salary : £28,000 - £30,000 A smaller, yet very successful, IT and Telecoms Service Provider in Hertfordshire has an exciting new opening for a UC Engineer. You will join their team in supporting telecoms services for high-profile customers. This business partners with leading vendors, offering a plethora of services and solutions across Telecoms (VoIP, Broadband, Etherne…",30055.03,30055.03,,2025-04-28T03:36:50Z,https://www.adzuna.co.uk/jobs/land/ad/5166323033?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=54506A579656FDD7DA19231ABBA8755917423697,IT Jobs,telecommunications,gb,telecommunications,standard,False,False
"Electrical, Instrumentation & Telecommunications Team Leader",Position 1 Recruitment Limited,"Norwich, Norfolk","EIT Engineering Team Leader | Norwich | Permanent Were looking for an experienced Electrical, Instrumentation & Telecommunications (EIT) Engineering Team Leader to join a leading offshore engineering firm, specialising in minimum facility fixed platforms (unmanned/wellhead/satellite installations). Youll lead multi-discipline engineering projects, ensuring safe, cost-effective, and regulation compliant EIT systems across all design phases, from concept through to commissioning. Key Responsibili…",43163.33,43163.33,permanent,2025-04-14T10:00:35Z,https://www.adzuna.co.uk/jobs/land/ad/5143995930?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=E6D6295191213EBCC5249A8D3479CBCA5224BAD4,Engineering Jobs,telecommunications,gb,telecommunications,standard,False,True
Network Telecommunications Engineer,JHL Communications Ltd,"Glasgow, Scotland","This role is ideal for a Senior Technician with extensive hosted VoIP knowledge, familiar with cloud-based communications solutions, experience in both fixed and mobile telecoms, wireless configuration and a knowledge of the challenges faced by businesses in relation to telecoms and connectivity. The role also offers an opportunity to develop into leading the fixed support team. The successful candidate will be responsible for technical support, and the configuration, installation & maintenance…",30637.17,30637.17,,2025-04-28T03:36:48Z,https://www.adzuna.co.uk/jobs/land/ad/5166322904?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=53888FE0EF6A3703A0576ECEA1AE3DC61C079CBA,IT Jobs,telecommunications,gb,telecommunications,standard,False,False
Telecommunications & Signalling Technician,Shorterm Group,"Wednesbury, West Midlands","Job Title: Infrastructure Signalling & Telecommunications (S&T) TechnicianLocation:Wednesbury, West MidlandsSalary: £42,887.52 per annumHours: Monday to Thursday 07.00am until 15.00pm Friday 07.00am until 14.00pmRole Purpose:* Support the mission to provide a safe, secure, reliable, and sustainable tramway.* Efficiently undertake tasks within the Signalling and Telecommunications Infrastructure team, ensuring maintenance and repair activities are performed safely and effectively, with all asset…",42800,42800,permanent,2025-04-24T15:32:12Z,https://www.adzuna.co.uk/jobs/land/ad/5160184238?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=55A795C0A0A8B9AB5292CED5789FBE7B740CBB1B,Engineering Jobs,telecommunications,gb,telecommunications,standard,False,False
Telecommunications Engineer,Rise Technical Recruitment Limited,"Gloucester, Gloucestershire","Telecoms Engineer Gloucester £36,000 - £44,000  Progression  Development  Pension  Holidays  Fantastic Company Culture  Exciting Projects Are you an experienced Telecoms Engineer with either Cisco or Cellular skills? Excellent opportunity for a Telecommunications Support Engineer to join an established and growing technology integrator in the Specialist Telecommunications space. This company are a thriving global network solutions provider with a glowing industry reputation, who work alongside …",40000,40000,permanent,2025-04-09T22:06:01Z,https://www.adzuna.co.uk/jobs/land/ad/5137764123?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=AE7C3F627F246D0D77282FEBFC7C69F2800FD336,IT Jobs,telecommunications,gb,telecommunications,standard,False,True
Internal Account Manager Telecommunications,PMA Sales Recruitment Ltd,"London, UK","Internal Account Manager Telecommunications £35k Base, £50k OTE Based Enfield London We provide businesses with a comprehensive solution for all of their communication needs. This includes internet, fixed phone line, VolP, mobile, professional services and hardware. Due to expansion, we currently have a requirement for an internal sales telecoms executive / Account Manager based in our London office, to sell our comprehensive range of services and products to our existing base of small business…",37625.48,37625.48,,2025-05-04T08:47:33Z,https://www.adzuna.co.uk/jobs/land/ad/5179915546?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=D85D183F8906C64A6B78926B310F2C6D34BF737A,Sales Jobs,telecommunications,gb,telecommunications,standard,False,False
Assembly Role Electrical Telecommunications,cms,"London, UK","Manufacturing Operator Greenwich Area Ongoing Long-term role £12.93 p/h We are currently recruiting Manufacturing Operators to work in a busy clean production environment on behalf of a global telecommunications company. We are looking for people who can produce high quality precision work, have an eye for detail and are willing to learn.Manufacturing Operators are responsible for following documented processes to enable the safe and accurate mechanical or electro-mechanical assembly of subsea …",26894,26894,contract,2025-04-30T16:12:22Z,https://www.adzuna.co.uk/jobs/land/ad/5170713344?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=7875ED4DF83BA7E0540FC51B934A7D34B91E7C47,Manufacturing Jobs,telecommunications,gb,telecommunications,standard,False,True
Telecommunications Engineer,Unity Recruitment,"London, UK","Our client, a large rail Telecom business are looking for Comms Engineers who are interested in working night shifts on the rail. The work will be commencing in April. Works: Installation, Termination, and Testing of CAT6A & Fibre Cabling. Installation, Termination, & Testing of Antennas & Racks, Cabling, and Equipment. Rate: £180 per shift. Shifts and hours: Sunday-Thursday nights working from 00:30am to 04:30am. Qualifications Mandatory; JIB Card or CSCS Skilled Card, ICI, DBS Check, Manual H…",33654.52,33654.52,,2025-04-24T19:44:49Z,https://www.adzuna.co.uk/jobs/details/5160739305?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,telecommunications,gb,telecommunications,standard,False,False
Telecommunications Engineer,Rise Technical Recruitment,"Arlingham, Gloucester","Telecoms Engineer Gloucester £36,000 - £44,000  Progression  Development  Pension  Holidays  Fantastic Company Culture  Exciting Projects Are you an experienced Telecoms Engineer with either Cisco or Cellular skills? Excellent opportunity for a Telecommunications Support Engineer to join an established and growing technology integrator in the Specialist Telecommunications space. This company are a thriving global network solutions provider with a glowing industry reputation, who work alongside …",36000,44000,,2025-04-09T20:20:27Z,https://www.adzuna.co.uk/jobs/land/ad/5137548498?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=AFD733D3C5776A6AB8855351F690D5ACDD3B1E04,IT Jobs,telecommunications,gb,telecommunications,standard,False,True
Telecommunications Support,Job consultancy,"Windle, St. Helens","Customer Support Specialist Telecommunications Monday to Friday 8:30am-5pm Salary negotiable up to £30k basic dependent on experience St. Helens based My client are a trusted and valued provider of telecommunications solutions to businesses across the UK. They offer business mobiles, broadband, landline phone systems and VoIP solutions to thousands of businesses. They are now seeking a UC Corporate Support Specialist to join their team in St. Helens. As a Corporate Support Specialist your prima…",30000,30000,permanent,2025-03-31T17:31:42Z,https://www.adzuna.co.uk/jobs/land/ad/5119934332?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9494C1861784B0BB1890450574D3694E0DCE8042,IT Jobs,telecommunications,gb,telecommunications,standard,False,False
Telecommunications Support,JOB Consultancy,"St. Helens, Merseyside","Customer Support Specialist Telecommunications Monday to Friday 8:30am-5pm Salary negotiable up to £30k basic dependent on experience St. Helens based My client are a trusted and valued provider of telecommunications solutions to businesses across the UK. They offer business mobiles, broadband, landline phone systems and VoIP solutions to thousands of businesses. They are now seeking a UC Corporate Support Specialist to join their team in St. Helens. As a Corporate Support Specialist your prima…",30000,30000,,2025-03-29T11:43:33Z,https://www.adzuna.co.uk/jobs/details/5117790569?utm_medium=api&utm_source=e1ad5111,IT Jobs,telecommunications,gb,telecommunications,standard,False,False
Telecommunication Engineer,In Technology Group,UK,"Job Opportunity: Telecoms Support Desk Specialist Location: Coleshill, UK Salary: £30,000 - £35,000 per annum We are looking for an experienced 2nd Line Telecoms Support Desk Specialist to join our technical support team in Coleshill. If you have a strong background in troubleshooting and supporting broadband, phone systems, Wi-Fi, VoIP, and other telecom technologies, this is the perfect opportunity to showcase your skills! Key Responsibilities: Provide second-line technical support for a wide…",30000,35000,,2025-04-11T20:28:45Z,https://www.adzuna.co.uk/jobs/land/ad/5141009193?se=ZqzFZ_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=EE518E3932992226279F70A10FBFC262F23AD3B3,IT Jobs,telecommunications,gb,telecommunications,standard,False,False
