title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Field Service Engineer,Finning International,"Glasgow, Scotland","Company: Finning (UK) Ltd Number of Openings: 1 Worker Type: Permanent Position Overview: As a Field Service Engineer you will respond to customer’s field repair and service requests diagnosing and providing comprehensive detail about the nature the problem to the customer and Finning to create a quote as per the request of the customer within a cost and time effective manner. Working within Finning’s industry leading field service department, and for the largest CAT dealer in the UK and Irelan…",32791.31,32791.31,permanent,2025-03-04T16:36:43Z,https://www.adzuna.co.uk/jobs/land/ad/5074973244?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9DEF090A4A65A6CC7ADFEB267B7C0EDD02068E85,Engineering Jobs,engineer
Field Service Engineer,Finning International,"Inverness, Highland","Company: Finning (UK) Ltd Number of Openings: 1 Worker Type: Permanent Position Overview: As a Field Service Engineer you will respond to customer’s field repair and service requests diagnosing and providing comprehensive detail about the nature the problem to the customer and Finning to create a quote as per the request of the customer within a cost and time effective manner. Working within Finning’s industry leading field service department, and for the largest CAT dealer in the UK and Irelan…",32685.5,32685.5,permanent,2025-04-09T20:10:45Z,https://www.adzuna.co.uk/jobs/land/ad/5137524525?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=525F84AA4E27B0DE9B06DBF96871FA565C5DC0D7,Engineering Jobs,engineer
Field Engineer - Diagnostics Experience,Finning International,"Glasgow, Scotland","Company: Finning (UK) Ltd Number of Openings: 1 Worker Type: Permanent Position Overview: As a Field Service Engineer you will respond to customer’s field repair and service requests diagnosing and providing comprehensive detail about the nature the problem to the customer and Finning to create a quote as per the request of the customer within a cost and time effective manner. Working within Finning’s industry leading field service department, and for the largest CAT dealer in the UK and Irelan…",33888.27,33888.27,permanent,2025-03-04T16:36:43Z,https://www.adzuna.co.uk/jobs/land/ad/5074973245?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=3587C89217C6934FB250FB4670DCC0B08422A513,Engineering Jobs,engineer
Field Engineer - Diagnostics Experience,Finning International,"Inverness, Highland","Company: Finning (UK) Ltd Number of Openings: 1 Worker Type: Permanent Position Overview: As a Field Service Engineer you will respond to customer’s field repair and service requests diagnosing and providing comprehensive detail about the nature the problem to the customer and Finning to create a quote as per the request of the customer within a cost and time effective manner. Working within Finning’s industry leading field service department, and for the largest CAT dealer in the UK and Irelan…",33778.95,33778.95,permanent,2025-04-09T20:10:46Z,https://www.adzuna.co.uk/jobs/land/ad/5137524538?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=ABB72793C78300AB94A7AE4487FC0612D87908A8,Engineering Jobs,engineer
Systems Engineer,BAE Systems,"Penwortham, Preston","Job title: Systems Engineers Location: Warton (Lancashire) – We offer a range of hybrid and flexible working arrangements. Please speak to your recruiter about the options for this particular role. Salary: £47,683 to £52,426 (Commensurate with skills and experience) What you’ll be doing: As a Systems Engineer you will take a leading role interfacing with our customers, understanding their requirements and keeping them involved during product development. The ability to influence a diverse and h…",47339.24,47339.24,,2025-02-12T17:55:19Z,https://www.adzuna.co.uk/jobs/land/ad/5047449653?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F74AA8DAFD5E5AC323181C78AADE487EF5F61FC4,Engineering Jobs,engineer
Systems Engineer,BAE Systems,"Warton, Carnforth","Job title: Systems Engineers Location: Warton (Lancashire) – We offer a range of hybrid and flexible working arrangements. Please speak to your recruiter about the options for this particular role. Salary: £47,683 to £52,426 (Commensurate with skills and experience) What you’ll be doing: As a Systems Engineer you will take a leading role interfacing with our customers, understanding their requirements and keeping them involved during product development. The ability to influence a diverse and h…",45149.36,45149.36,,2025-02-12T17:55:18Z,https://www.adzuna.co.uk/jobs/land/ad/5047449633?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=7319B37664867AA41678DA20E44850A4E2C545F2,Engineering Jobs,engineer
Systems Engineer,BAE Systems,"Padiham, Burnley","Job title: Systems Engineers Location: Warton (Lancashire) – We offer a range of hybrid and flexible working arrangements. Please speak to your recruiter about the options for this particular role. Salary: £47,683 to £52,426 (Commensurate with skills and experience) What you’ll be doing: As a Systems Engineer you will take a leading role interfacing with our customers, understanding their requirements and keeping them involved during product development. The ability to influence a diverse and h…",45077,45077,,2025-02-12T17:55:18Z,https://www.adzuna.co.uk/jobs/land/ad/5047449643?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=13A6A7D174CDCCB58260A38859791DCEFD657349,Engineering Jobs,engineer
Systems Engineer,BAE Systems,"Blackpool Airport, Blackpool","Job title: Systems Engineers Location: Warton (Lancashire) – We offer a range of hybrid and flexible working arrangements. Please speak to your recruiter about the options for this particular role. Salary: £47,683 to £52,426 (Commensurate with skills and experience) What you’ll be doing: As a Systems Engineer you will take a leading role interfacing with our customers, understanding their requirements and keeping them involved during product development. The ability to influence a diverse and h…",46885.72,46885.72,,2025-02-12T17:55:18Z,https://www.adzuna.co.uk/jobs/land/ad/5047449649?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=0627E0C4F89A97DFC4D79D44CC02EB9FFD6CFD29,Engineering Jobs,engineer
Systems Engineer,BAE Systems,"Ansdell, Lytham St. Annes","Job title: Systems Engineers Location: Warton (Lancashire) – We offer a range of hybrid and flexible working arrangements. Please speak to your recruiter about the options for this particular role. Salary: £47,683 to £52,426 (Commensurate with skills and experience) What you’ll be doing: As a Systems Engineer you will take a leading role interfacing with our customers, understanding their requirements and keeping them involved during product development. The ability to influence a diverse and h…",43729.73,43729.73,,2025-02-12T17:55:18Z,https://www.adzuna.co.uk/jobs/land/ad/5047449626?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=C77970BD5BF787799A06385B5033C0BDDD993A1F,Engineering Jobs,engineer
Electrical Engineer,Public Sector Resourcing,UK,"At Public Sector Resourcing we are looking to build our talent pools for up and coming opportunities. We are looking for Electrical Engineers for all contract durations based UK Wide . Please note that the position mentioned is not currently open for immediate hiring. We are currently assembling talent pools for prospective future vacancies. Should you wish to be included in this talent pool, we advise that you click the link to apply. Upon receipt of your application, we will update your infor…",47908.95,47908.95,contract,2025-04-09T16:36:02Z,https://www.adzuna.co.uk/jobs/land/ad/5137238608?se=wE1U0DAe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=54E090E58624E28ACF88A930C0EE19A5B0EA3893,Engineering Jobs,engineer
