title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Client Accounting Administrator,HAYS,"Edinburgh, Scotland","Client Accounts Administrator Opportunity Based in EdinburghHybrid Working£28000-£35000 Your new company Hays are proud to be working with a fast-growing and well established private sector organisation who are looking to add an enthusiastic client accounting administrator to their team. This is a brand-new position within the company where you can utilise your skills and develop alongside a supportive finance function. Your new role In your new role, you will be responsible for: Managing end-t…",28000,35000,,2025-03-24T11:00:03Z,https://www.adzuna.co.uk/jobs/land/ad/5108658217?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=AAD269F8130A740C04AFF20E0F1FA3014FAD724A,Accounting & Finance Jobs,accounting
Accounting Technician,VickerStock,"Armagh, Northern Ireland","Vickerstock are working in partnership with a Food Manufacturing business on the appointment of an Accounting Technician/PQ Accountant on a full-time permanent basis. This position is based in Armagh City, but occasional travel to Monaghan may be required. As the Accounting Technician, you will provide accurate financial administration to three divisions of the growing business, reporting to both the Management Accountant and Financial Controller. If you are looking for your next career move to…",40000,40000,permanent,2025-04-02T07:09:00Z,https://www.adzuna.co.uk/jobs/land/ad/5123611667?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=A3167B9F2BF0AC9FA96E156BC900BC4A9AF16696,Accounting & Finance Jobs,accounting
Accounting Technicians,Cartmill Stewart & Co Chartered Accountant,"Lisburn, Northern Ireland","Accounting Technicians - Looking for a career move? Were on the lookout for Full and Part-Time qualified Accounting Technicians to join our digital, forward thinking team If youre ready to take your career to the next level in a supportive environment, this could be the next move for you. Role Overview: Youll assist with and manage a portfolio of clients, handling: Accounts preparation (ST, Partnerships, Ltd) Bookkeeping VAT returns Payroll processing Self-Assessment Tax Returns What Were Looki…",30510.81,30510.81,,2025-04-17T22:48:38Z,https://www.adzuna.co.uk/jobs/land/ad/5150627275?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=83B05B3FEBF7C018637D701878FFB9406EDC13CF,Accounting & Finance Jobs,accounting
Accounting Teacher - September 2025 (Birmingham),HAYS,"Birmingham, West Midlands","Accounting Teacher for September 2025 - Birmingham Job Title: Accounting TeacherLocation: BirminghamSalary: £120 - £250 per day. Dependent on experience.Contract Type: 2 days a week, 8:30 AM to 3:30 PMStart Date:September 2025 About them: We are working on behalf of an academy located in Birmingham. It is a high performing specialist sixth form they are dedicated to providing the very best academic and technical education for successful and rewarding careers in engineering, science, health, and…",120,250,,2025-04-11T16:41:55Z,https://www.adzuna.co.uk/jobs/land/ad/5140567687?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=1C0C6200E7710DB7DACD504D2B1ECAA609BD0FD7,Teaching Jobs,accounting
Accounting Apprenticeship 2025,Dentons,"Glasgow, Scotland","In 2025 Dentons are excited to launch our first Accounting Apprenticeship Programme If you’re currently a year 13 student or a school leaver based in Scotland who isn’t going on to study a full-time degree in September 2025, we want to hear from you. As an Apprentice within Dentons Finance Team, you will be enrolled in an Accountancy Graduate Apprenticeship. Over the four-year programme you will work four days a week in our Scottish offices and study one day per week towards your degree. This a…",23000,23000,,2025-03-06T13:11:12Z,https://www.adzuna.co.uk/jobs/land/ad/5079204850?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=D1C244B166C117ED6A52F9653AF88DA796C28123,Accounting & Finance Jobs,accounting
Forensic Accounting Manager,Downey Osborne Limited,"Belfast, Northern Ireland","This unique role offers the opportunity to engage in intricate and stimulating assignments, ranging from litigation support to fraud investigations, all while collaborating with a dedicated team of professionals at a distinguished boutique advisory firm. Competitive Benefits Package Work-Life Balance Professional Growth Inclusive and Diverse Workplace About You Qualified Chartered Accountant with at least 2 years' experience in Forensic Accounting Strong analytical skills with the ability to qu…",55000,55000,,2025-04-02T07:09:01Z,https://www.adzuna.co.uk/jobs/land/ad/5123611741?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=28AFF8916B92FCC7C1A3A5F9315A2FAB4288EEA3,Accounting & Finance Jobs,accounting
Forensic Accounting Partner,Ward Simpson Ltd,"London, UK",We are currently conducting a search for a successfully growing and highly regarded Top 20 Accountancy Practice who are looking to appoint an additional Partner to their Forensic Accounting team. The ideal candidate is likely to be an experienced ACA / ACCA qualified Forensic Accounting Director seeking Partnership or an already established Partner who is looking for a collegiate team environment with all support and resources required to be successful. They are open to considering candidates w…,56147.72,56147.72,,2025-04-16T08:14:04Z,https://www.adzuna.co.uk/jobs/land/ad/5147003414?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=C8D0412EB1297C8290629673472690C3F14E0183,Accounting & Finance Jobs,accounting
"Accounting Technician (Belfast, Hybrid)",VANRATH,"Belfast, Northern Ireland","Are you an experienced Accounting Technician looking for a new opportunity that makes a positive impact? VANRATH are pleased to partnered with a leading charity an excellent opportunity for an Accounting Technician to join a committed team, contributing to effective financial management and supporting the organisation's ongoing success. If you're seeking a role where your skills can truly make an impact, this is the ideal opportunity. What you'll get In order to attract the very best talent on …",30000,30000,,2025-04-11T04:50:28Z,https://www.adzuna.co.uk/jobs/land/ad/5139974069?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=28A7E4CF55CDF28F7C87EFB4877A81EA4A89F193,Accounting & Finance Jobs,accounting
Accounting Internship,Legal & General,"Cardiff, Cardiff County","Company Description Legal & General is a leading UK financial services group and major global investor. We've been safeguarding people's financial futures since 1836, aiming to build a better society for the long term by investing our customers' money in things that make life better for everyone and create value for our shareholders. Legal & General looks after around 700,000 institutional customers who have their retirement benefits secured with us. Our Retail division helps people enjoy a mor…",38027.19,38027.19,contract,2025-03-05T13:26:03Z,https://www.adzuna.co.uk/jobs/land/ad/5076918999?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=EEF5C500664841422B5223CDCB325BB6029DE25E,Accounting & Finance Jobs,accounting
"Associate, Investment Accounting",BlackRock,"Edinburgh, Scotland","Are you an Investment Accounting professional searching for an exciting, significant, multi-faceted opportunity with the worlds largest asset manager? If you pride yourself on building positive relationships, developing process solutions and bringing strategic visions to fruition, then look no further BlackRock is pursuing an Associate to become a part of the team. We recognize that strength comes from diversity, and will accept rare skills, eagerness, and passion. All the while supporting the …",54999.64,54999.64,,2024-08-29T16:58:37Z,https://www.adzuna.co.uk/jobs/land/ad/4843998410?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=E5D98734A09747BDF6F783A6627CDC4339E2E683,Accounting & Finance Jobs,accounting
Investment Accounting Associate,BlackRock,"Edinburgh, Scotland","Are you an Investment Accounting professional searching for a rewarding, significant, multi-faceted opportunity with the worlds largest asset manager? Do you pride yourself on building positive relationships, developing process solutions and bringing strategic visions to fruition? Look no further. BlackRock is pursuing an Associate of Investment Accounting to become a part of the team. We recognize that strength comes from diversity, and will accept your rare skills, eagerness, and passion whil…",46502.8,46502.8,,2025-04-18T14:27:35Z,https://www.adzuna.co.uk/jobs/land/ad/5151657726?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=B287A1B5BC7A36723201CC882D52090C9BBFB0AF,Accounting & Finance Jobs,accounting
Institutional Accounting Associate,BlackRock,"Edinburgh, Scotland","Elevate your career by joining the worlds largest asset manager Thrive in an environment that promotes positive relationships and recognises outstanding performance. We know you want to feel valued every single day and be recognised for your contribution. At BlackRock, we strive to empower our employees and effectively engage your involvement in our success. With over USD $9 trillion of assets we have an outstanding responsibility: our technology and services empower millions of investors to sa…",56333.62,56333.62,,2025-04-18T14:27:35Z,https://www.adzuna.co.uk/jobs/land/ad/5151657725?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=D19059BE1856DFEF3EBDFA419BEF78EE92EC040B,Accounting & Finance Jobs,accounting
Corporate Accounting Manager,Jacobs,"Glasgow, Scotland","Corporate Accounting Manager We are seeking a highly motivated and detail-oriented Corporate Accounting Manager to join our team in Glasgow. Reporting to the UK Corporate Controller, the role will include responsibility for the filing of UK Statutory Financial Statements for a number of UK group companies. About the Opportunity Your day-to-day duties will include, but are not limited to, the following:  Ensuring all external statutory reporting requirements are fulfilled  Ensure all financial s…",45993.69,45993.69,,2025-03-11T13:37:25Z,https://www.adzuna.co.uk/jobs/land/ad/5087062091?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=534853236B273895BFBECC12142166F4E2BA31F8,Accounting & Finance Jobs,accounting
Accounting Manager - Hospitality - £60-75k,Hays Accountancy and Finance,"London, UK","Your new company: I am currently recruiting for an Accounting Manager to join an exciting and fast-growing Hospitality Company This is a newly created role, reporting into the FD and managing a direct report. This role will support building out the finance functions, taking ownership over month-end duties, and enhancing financial strategy. This role will be suited for someone ACA qualified, either coming straight from a Top 10 Accountancy Practice with Retail/Hospitality clients OR Top 10 train…",55315.62,55315.62,permanent,2025-04-01T06:44:08Z,https://www.adzuna.co.uk/jobs/land/ad/5120841080?se=8i4mOzEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=B72ACE072008F4856E910504C37119B56CFC65F9,Accounting & Finance Jobs,accounting
Finance Manager Accounting,Fair4All Finance,"London, UK","Finance Manager - Accounting Role: Finance Manager (Accounting) Employment Type: Full time (will consider compressed hours etc.) Location: Hybrid/London (travel to London on an approximately monthly basis and for some team meetings) Salary: £52,000 - £57,000 (excellent benefits, inc. 27 days holiday, 2:1 pension - up to 12% employer contribution and more) Closing: 5:00pm, 22nd Apr 2025 Did you know that there are at least 20.3m people in the UK in vulnerable financial circumstances, who are poo…",52000,57000,permanent,2025-04-11T03:12:52Z,https://www.adzuna.co.uk/jobs/details/5139891767?utm_medium=api&utm_source=e1ad5111,Accounting & Finance Jobs,accounting
