title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Management Accountant,City and County Healthcare Group Ltd,UK,"Company Description Management Accountant Hybrid role office based in Nottingham NG7 2SZ Monday - Friday 8.30am - 4.30pm Salary: £33,000 - £36,000 (depending on qualifications and experience) To be eligible for this role, you must have the right to work in the UK. Please note that we do not offer sponsorship. We’re creating brighter days. Fresh challenges. Exciting opportunities. Plenty of ups, downs and curveballs. With a career as a Management Accountant at CCH Group every day will be differe…",0,36000,,2025-04-11T13:27:12Z,https://www.adzuna.co.uk/jobs/land/ad/5140460980?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=059EA275D0A5104D31F7C98E0FAFFBA54D8109B1,Accounting & Finance Jobs,finance
Accounts Technician / Assistant Accountant,McKinty Associates,"Craigavon, Northern Ireland","Accounts Technician / Assistant Accountant Craigavon (BT67) Salary c.£28K - £30K DOE We are pleased to be working on behalf of one of Irelands Leading Distribution firms who have an immediate need for an experienced Accounts Technician / Assistant Accountant to join their join their accounts team. Key responsibilities: Assist in the preparation of monthly management accounts. Monthly accruals & prepayments. Processing of sales and purchase invoices as required. Supplier payments, bank reconcili…",30000,30000,permanent,2025-04-17T22:48:38Z,https://www.adzuna.co.uk/jobs/land/ad/5150627248?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=6B94025B9BFB991B5C7A137B948899693E409626,Accounting & Finance Jobs,finance
Accounts Technician/ Assistant Accountant,Morelli Ice Cream,"Coleraine, Northern Ireland","Morelli Ice Cream Ltd are recruiting an Accounts Technician/ Assistant Accountant to cover maternity leave. Company Overview: Morelli Ice Cream Ltd is hiring From our factory in Coleraine, we supply our ice cream to branded stores and a growing list of independent and multiple retailers across Northern Ireland, the Republic of Ireland, and Great Britain, including Marks & Spencer, Tesco Stores, Sainsburys and Dunnes Stores. Position: Accounts Technician/Assistant Accountant Maternity cover Loca…",35000,35000,contract,2025-04-17T22:48:39Z,https://www.adzuna.co.uk/jobs/land/ad/5150627302?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=1DD79E3D372653E8843C93DCCAADA50C00806557,Accounting & Finance Jobs,finance
Assistant Accountant,HAYS,"Burnley, Lancashire","Assistant Accountant, 08:00-17:00, Monday-Friday, based in Burnley, up to £30,000-£35,000 Your new company I am working with a thriving national business based in Burnley who are now looking to appoint an experienced Assistant Accountant to join their team on a permanent and full-time basis. Due to continued business expansion, they are looking to increase their headcount. Your new role As Assistant Accountant, you will manage the company cashbook and petty cash, and reconcile company bank acco…",30000,35000,permanent,2024-12-01T09:45:37Z,https://www.adzuna.co.uk/jobs/land/ad/4957668212?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=84C883429470A4FEF25C1409C604F469859B3328,Accounting & Finance Jobs,finance
Senior Financial Accountant,KP Snacks,"Chalvey, Slough","Senior Financial Accountant FTC until July 2026 Slough Hybrid - at least 2 days per week in the office. Join our snack-loving team We're looking for a Senior Financial Accountant to join our team at KP Snacks. Fancy being part of a group where your ideas matter and your growth is celebrated? Keep reading – this might just be your next adventure Our Finance team provides the insights and analysis that drive smart, strategic decision-making across the business. From budgeting and forecasting to f…",38407.18,38407.18,contract,2025-04-17T13:35:15Z,https://www.adzuna.co.uk/jobs/land/ad/5149593733?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=F616A920589722F3FBD2B7D103427ACDADE3F4FF,Accounting & Finance Jobs,finance
General Ledger Accountant,"Arrow Electronics, Inc.","Little Laver, Ongar","Position: General Ledger Accountant Job Description: As a General Ledger Accountant, you will be involved in General Ledger controlling and reporting, compliance, tax, statutory, and multiple general accounting and reporting activities, along with a range of other financial reconciliation and control tasks as required within the team. What You Will Be Doing at Arrow? Control and manage the accuracy of General Ledger for the assigned Arrow companies. Complete all relevant month-end financial clo…",35091.24,35091.24,contract,2024-11-05T13:47:31Z,https://www.adzuna.co.uk/jobs/land/ad/4927055644?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=95382F1518E96CCCAC9A0D1D7C70928B8522C2B2,Accounting & Finance Jobs,finance
Financial Reporting Accountant,BAE Systems,"Glascoed, Pontypool","Job Title: Financial Reporting Accountant Location : Glascoed, Wales. Preston or Frimley, Surrey will also be considered, with occasional travel to Glascoed approximately once per month. We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Salary: Circa £47,000 depending on experience What you’ll be doing: Prepare, review, and consolidate statutory financial statements, ensuring accuracy and timely completion M…",59039.38,59039.38,,2025-04-08T18:45:56Z,https://www.adzuna.co.uk/jobs/land/ad/5135673156?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=5174408165751D8A076ABCC4342F18F66E4EF2D9,Accounting & Finance Jobs,finance
Assistant Accountant,HAYS,"London, UK","Assistant Accountant - Global Consultancy Your new company Hays is partnered with a leading global consultancy firm with a reputation for delivering innovative solutions to clients worldwide. They specialise in providing expert advice and services across a range of industries, helping businesses navigate complex challenges and achieve sustainable growth. Your new role They are seeking a detail-oriented and proactive Accounts Assistant to join our dynamic finance team. The successful candidate w…",28000,33000,,2025-02-28T17:35:42Z,https://www.adzuna.co.uk/jobs/land/ad/5067223233?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=F65B39ACB471FE9EC1EE22E12F12F47D0BA16498,Accounting & Finance Jobs,finance
Assistant Accountant,HAYS,"Southampton, Hampshire","Experienced Accounts Assistant required for a local organisation in Southampton Your new company I am partnering exclusively with an organisation in Southampton who are seeking an Accounts Assistant to join their small team as a result of restructuring due to organisational growth. Your new role Supporting the small finance function through assisting in various accounting tasks and working closely with the Operations and Accounting Teams to ensure accuracy, compliance, and timely reporting. Rec…",28000,28000,,2025-02-28T17:35:42Z,https://www.adzuna.co.uk/jobs/land/ad/5067223225?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=83D6003F5774BBE8444DDCE857A0D17B6FD689D5,Accounting & Finance Jobs,finance
Account Executive,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Account Executive Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arrow.com/globa…",36975.72,36975.72,permanent,2025-02-28T22:15:24Z,https://www.adzuna.co.uk/jobs/land/ad/5067541618?se=vGMhGTEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=D79109E46D76CA6412DFC7E2B45A7E3BFCE9FCCF,Sales Jobs,finance
