title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
IT Auditor,Proactive Appointments Limited,UK,"IT Auditor Our client is urgently looking for an experienced IT Auditor to join their team on a permanent basis. Please note, this is a hybrid role with 2 days per week in the office. You will be rewarded with a good salary as well as a brilliant benefits package including annual leave, pension contribution, car scheme, on-site parking, gym and restaurant, private medical cover, income protection, hybrid working and many, many more perks IT Auditor – Key Skills: Strong experience in Audit – int…",70000,70000,permanent,2025-03-21T19:54:47Z,https://www.adzuna.co.uk/jobs/details/5105076761?utm_medium=api&utm_source=e1ad5111,IT Jobs,auditor
Internal Auditor,JW Lees,"Manchester, Greater Manchester","Internal Support Auditor Vacancy - Greater Manchester & North West JW Lees has an exciting opportunity for an Internal Support Auditor to join our team at the Brewery. The Internal Support Auditor is responsible for the correct risk audit scoring from each audit completed in our managed estate. You will then communicate this to General Managers, Area Managers & the Audit Manager and follow up on these actions on the following return visits. You will complete stock control audits, and report on …",35493.38,35493.38,,2025-04-11T07:32:48Z,https://www.adzuna.co.uk/jobs/land/ad/5140222238?se=wBxfVTEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=7E6FC871FACA58F7D2F3E0AE185C24C70CA060B8,Accounting & Finance Jobs,auditor
Night Auditor,Moxy Milton Keynes,"Milton Keynes, Buckinghamshire","Night Auditor (Night Crew Member) - MOXY Milton Keynes This position is based on a full-time contract. Gross Salary: £13.53 Who we are: Hotel Co 51 is a fast-growing, European hotel operator of Moxy Hotels, Courtyard By Marriott, Residence Inn, and AC Hotels by Marriott. At Hotel co 51, we recognise that people are the heart of our business. What is in it for you? Health Cash Plan Discounted room rates for you, as well as your Friends and Family, at Marriott hotels worldwide Discount on Food & …",28142,28142,,2025-04-18T07:24:59Z,https://www.adzuna.co.uk/jobs/land/ad/5151229113?se=wBxfVTEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=8B5C1F92B5AB9529F9120E5950A4C88C6759A91B,Hospitality & Catering Jobs,auditor
Night Auditor,Glasgow Marriott Hotel,"Glasgow City Centre, Glasgow","Marriott Hotels strive to elevate the art of hospitality, innovating at every opportunity while keeping the comfort of the oh-so-familiar all around the globe. As a host with Marriott Hotels, you will help keep the promise of ""Wonderful Hospitality. Always."" by delivering thoughtful, heartfelt, forward-thinking service that upholds and builds upon this living legacy. With the name that's synonymous with hospitality the world over, we are proud to welcome you to explore a career with Marriott Ho…",24225.69,24225.69,,2025-03-29T08:05:46Z,https://www.adzuna.co.uk/jobs/land/ad/5117660879?se=wBxfVTEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=57889149D3FE6352CB38F5CB9FF5E58760E8C5C3,Hospitality & Catering Jobs,auditor
Night Auditor,Moxy Edinburgh Fountainbridge,"Edinburgh Technopole, Milton Bridge","Confident communicator comfortable in a fast-paced service focused role. Proactive problem solver and team player, who builds a fun and relaxed environment that makes guests feel at home. Main Tasks and responsibilities Running the night audit and balancing the days accounts Prepare the hotel for the following day Helping guests and creating positive experiences Manage hotel room inventory and checking guests in/out the Moxy way Operate Food & Beverage outlets the Moxy way Manage all bills and …",25563,25563,,2025-03-27T19:55:11Z,https://www.adzuna.co.uk/jobs/land/ad/5114522689?se=wBxfVTEe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=39843E87580400E626F0ECA5D0F3E4861F099DFA,Hospitality & Catering Jobs,auditor
Auditor- Management Systems,Russell Taylor Group Ltd,"Manchester, Greater Manchester","Role:- Auditor - Management Systems Location: - Field based travel Salary & Benefits: - Company car, 25 days holiday plus BH- increases up to an additional 5 days with length of service, Pension (6%ER, 5% EE), Life Assurance, Health care cash plan (opticians etc), up to 6 free counselling sessions, frequent social events, Flexible working hours to fit in with lifestyle, discounts/retail vouchers & offer Lead Auditor course for free. Russell Taylor has a fantastic opportunity for a Technical Ass…",37995.44,37995.44,permanent,2025-03-16T11:54:53Z,https://www.adzuna.co.uk/jobs/details/5096354203?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,auditor
Internal Auditor,JW Lees,"Rusholme, Manchester","Internal Support Auditor Vacancy - Greater Manchester & North West JW Lees has an exciting opportunity for an Internal Support Auditor to join our team at the Brewery. The Internal Support Auditor is responsible for the correct risk audit scoring from each audit completed in our managed estate. You will then communicate this to General Managers, Area Managers & the Audit Manager and follow up on these actions on the following return visits. You will complete stock control audits, and report on …",35844.93,35844.93,,2025-04-11T11:10:08Z,https://www.adzuna.co.uk/jobs/details/5140325575?utm_medium=api&utm_source=e1ad5111,Accounting & Finance Jobs,auditor
Night Auditor,Moxy Milton Keynes,"Crownhill, Milton Keynes","Night Auditor (Night Crew Member) - MOXY Milton Keynes This position is based on a full-time contract. Gross Salary: £13.53 Who we are: Hotel Co 51 is a fast-growing, European hotel operator of Moxy Hotels, Courtyard By Marriott, Residence Inn, and AC Hotels by Marriott. At Hotel co 51, we recognise that people are the heart of our business. What is in it for you? Health Cash Plan Discounted room rates for you, as well as your Friends and Family, at Marriott hotels worldwide Discount on Food & …",23565.41,23565.41,,2025-04-18T12:42:08Z,https://www.adzuna.co.uk/jobs/details/5151508039?utm_medium=api&utm_source=e1ad5111,Hospitality & Catering Jobs,auditor
Senior Auditor,GIAA,"West Midlands, UK","This is an exciting time to join the Government Internal Audit Agency (GIAA). Our Senior Auditors are the essential day-to-day contacts for our clients. With access to high profile work, you will work alongside key decision makers, audit specialists and private sector contractors in the Agency, challenging and developing your skills and ensuring we meet our clients’ expectations. We provide internal audit services and support for the UK government. Our clients include all ministerial department…",38647.77,38647.77,,2025-04-01T22:42:09Z,https://www.adzuna.co.uk/jobs/details/5122924334?utm_medium=api&utm_source=e1ad5111,Accounting & Finance Jobs,auditor
Night Auditor,Glasgow Marriott Hotel,"Whiteinch, Glasgow","Marriott Hotels strive to elevate the art of hospitality, innovating at every opportunity while keeping the comfort of the oh-so-familiar all around the globe. As a host with Marriott Hotels, you will help keep the promise of ""Wonderful Hospitality. Always."" by delivering thoughtful, heartfelt, forward-thinking service that upholds and builds upon this living legacy. With the name that's synonymous with hospitality the world over, we are proud to welcome you to explore a career with Marriott Ho…",25472.27,25472.27,,2025-04-01T02:31:03Z,https://www.adzuna.co.uk/jobs/details/5120621914?utm_medium=api&utm_source=e1ad5111,Hospitality & Catering Jobs,auditor
