title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Financial Controller,HAYS,"Doncaster, South Yorkshire","Exciting NEW Manufacturing Financial Controller Role About the Role: We are working with an established manufacturing client, who are looking to expand their finance team due to their recent and expected rapid growth. We are seeking a highly skilled and motivated Finance Controller. This role is pivotal in managing the company's financial operations, ensuring accuracy and compliance with financial regulations, and providing strategic financial guidance to support our growth and sustainability. …",51677.34,51677.34,,2025-04-11T16:41:49Z,https://www.adzuna.co.uk/jobs/land/ad/5140567452?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=CCA0017BEABA6BEFF0DB2D53EE6EB0C4B2DA25C6,Accounting & Finance Jobs,banking
Senior Financial Accountant,KP Snacks,"Chalvey, Slough","Senior Financial Accountant FTC until July 2026 Slough Hybrid - at least 2 days per week in the office. Join our snack-loving team We're looking for a Senior Financial Accountant to join our team at KP Snacks. Fancy being part of a group where your ideas matter and your growth is celebrated? Keep reading – this might just be your next adventure Our Finance team provides the insights and analysis that drive smart, strategic decision-making across the business. From budgeting and forecasting to f…",38407.18,38407.18,contract,2025-04-17T13:35:15Z,https://www.adzuna.co.uk/jobs/land/ad/5149593733?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F616A920589722F3FBD2B7D103427ACDADE3F4FF,Accounting & Finance Jobs,banking
Financial Reporting Accountant,BAE Systems,"Glascoed, Pontypool","Job Title: Financial Reporting Accountant Location : Glascoed, Wales. Preston or Frimley, Surrey will also be considered, with occasional travel to Glascoed approximately once per month. We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Salary: Circa £47,000 depending on experience What you’ll be doing: Prepare, review, and consolidate statutory financial statements, ensuring accuracy and timely completion M…",59039.38,59039.38,,2025-04-08T18:45:56Z,https://www.adzuna.co.uk/jobs/land/ad/5135673156?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5174408165751D8A076ABCC4342F18F66E4EF2D9,Accounting & Finance Jobs,banking
Senior Finance Analyst,BAE Systems,"Preston, Lancashire","Job Title: Senior Finance Analyst Location: Flexible, UK. We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Salary: £60,000 What you’ll be doing: Managing a team of 1 to deliver a range of inputs & outputs to Business Processes in a variety of toolsets, across a range of finance deliverables Operating Business Processes to create/manage data/activities in Business ERP’s where a Financial Control role is nomi…",47116.02,47116.02,,2025-04-14T21:00:15Z,https://www.adzuna.co.uk/jobs/land/ad/5144671780?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=8F9DB9D311066DA7EBE02DC0B182376009FFEAD3,Accounting & Finance Jobs,banking
Finance Business analyst,Places Leisure,"Blackwater, Camberley","We are Places for People Group; we're a social enterprise that believes it's people that make a community. That's why we build homes and deliver services for everyone in the community to thrive. At Places Leisure we are changing lives by creating active places and healthy people for communities to thrive, and we want to be the UK's leading health and wellbeing enabler. We aren't your typical company. We apply the same philosophy to our People as we do to our communities, ensuring our team is ap…",0,40000,,2025-04-10T21:21:11Z,https://www.adzuna.co.uk/jobs/land/ad/5139632117?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=CA4374462E80FDFF880127189B6FB0B10EE4BA79,IT Jobs,banking
Finance Assistant,HAYS,"Preston, Lancashire","Finance Assistant | £25,000 | Hybrid Working (1 Day in the Office) Your new company I am assisting an ambitious Finance Manager at a rapidly expanding organisation in Preston with the recruitment of a Finance Assistant. This organisation prides itself on fostering a culture of continuous improvement and professional development, ensuring that employees have access to the latest tools and training to excel in their roles. With a strong focus on integrity and reliability, the company has built a …",25000,25000,,2025-04-11T16:41:59Z,https://www.adzuna.co.uk/jobs/land/ad/5140568187?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9153C0ADEA9E118C41CA69F37F7C1FF69144BFF5,Accounting & Finance Jobs,banking
Finance Administrator,HAYS,"Stockton-On-Tees, County Durham","Temporary Finance Assistant, Immediate Start - Stockton-based Temporary Finance AssistantLocation: Stockton, United KingdomSalary: £25,000 per annum (pro-rata)Job Type: Temporary ongoing Hays are seeking a motivated Temporary Finance Assistant to join a fast-paced company in Stockton. This role is ideal for someone looking to gain valuable experience in finance within a dynamic and supportive environment.Key Responsibilities: Assist with the preparation of financial statements and reports. Proc…",25000,25000,contract,2025-04-11T16:41:59Z,https://www.adzuna.co.uk/jobs/land/ad/5140568213?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=82BC3EF7E345FCD64C79BC8B88EFFC3E47909C43,Accounting & Finance Jobs,banking
Finance Assistant,HAYS,"Llantrisant, Holyhead",Finance Assistant - Llantrisant - Part-time Finance Assistant – 30 Hours Per Week | Study Support Available Are you a detail-oriented and proactive individual looking to grow your career in finance? We’re looking for a Finance Assistant to join our team on a 30-hour-per-week basis. What You’ll Be Doing:• Processing invoices and speaking with customers over the phone• Matching invoices against purchase receipts• Reconciling supplier statements and sending remittance advice• Supporting the wider …,16000,19000,,2025-03-06T19:57:29Z,https://www.adzuna.co.uk/jobs/land/ad/5079768910?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=033A0ECF15E896C6DD4CBBC478CC259799A1863D,Accounting & Finance Jobs,banking
Finance Administrator,HAYS,"Swansea, Wales","Perfect role for an administrator looking to step into finance Flexibility to work around family or study Financial Administrator Permanent & Full-Time Swansea £20-25,000 per annum This role is an awesome opportunity for a competent administrator to take on a role with some financial scope You will need to be a highly organised person and passionate about customer service and delivering excellence to clients & customers alike. You will be responsible for liaising with customers and suppliers to…",20000,24000,permanent,2025-03-24T11:00:03Z,https://www.adzuna.co.uk/jobs/land/ad/5108658232?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=7CE8A8CBD6B12EC5E30464CD488A6BDE06AD315D,Accounting & Finance Jobs,banking
Finance assistant,HAYS,"Bristol, South West England","Temporary finance assistant Temporary Finance Assistant - Bath Duration: 2 months Start Date: ASAP Working Hours: Monday to Friday, 08:30-16:30 Location: Bath, 2 days a week working from home Key Responsibilities: Assisting with day-to-day financial operations. Processing invoices and managing expense claims. Reconciling accounts and bank statements. Supporting month-end closing processes. Providing administrative support to the finance team. Requirements: Previous experience in a finance-relat…",29120,31200,contract,2025-04-11T16:41:57Z,https://www.adzuna.co.uk/jobs/land/ad/5140567978?se=nmKsYTEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=20FF019F13B84431B77A0D265844C9F78FBC44FB,Accounting & Finance Jobs,banking
