title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Credit Controller,Touchstone,"Southdown, Bath","At Places for People, we hire People, not numbers So, if you like the sound of one of our jobs, please apply - you could be just who we're looking for Of course, experience and track record are important, but we're more interested in hiring someone that embodies our People Promises. That's someone that does the right thing, is enthusiastic and motivated to grow, believes in Community spirit, is respectful and enjoys their work. As the UK's leading Social Enterprise we're dedicated to creating i…",14311,14311,,2025-04-07T12:14:03Z,https://www.adzuna.co.uk/jobs/land/ad/5133423276?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=6BEC3E3D020649168BBC27CFCFE02778D1E1D217,Customer Services Jobs,controller
Document Controller,HAYS,"Reading, Berkshire","Document control, construction Your new role The Quality Document Controller is responsible for overseeing the management of project documentation, supporting Project / Site Managers and Sub-Contractors in the delivery of all required quality documents, such as ITPs, checksheets and related records. This includes maintaining a system for tracking the submission, approval, and filing of documents, ensuring compliance with project milestones and regulatory standards. The Document Controller will …",31200,41600,,2025-03-14T10:36:52Z,https://www.adzuna.co.uk/jobs/land/ad/5093071362?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F0E534E19550A48B96EF9E29C624046A9A83BA6D,Admin Jobs,controller
Document Controller,HAYS,"Tonypandy, Rhondda Cynon Taff","Document Controller, Tonypandy area, 12 months , £14-15 p/h Your new company A nationally recognised construction company based in the Tonypandy area. Your new role As a valued member of our construction team, working as a Document Controller, your responsibilities will include: Overseeing all aspects of the document control process, such as technical documentation, drawings, and commercial correspondence. Entering document data into standardised registers, ensuring all information remains accu…",29120,31200,contract,2025-04-11T16:41:48Z,https://www.adzuna.co.uk/jobs/land/ad/5140567392?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=060C2AD04BC572C021A97F3085964B1B492CE54F,Admin Jobs,controller
Service Controller,HAYS,"Basingstoke, Hampshire","Service Controller, Permanent, Full time, Hybrid Working, Basingstoke, £26K PA plus excellent benefits Your new company You will be joining an exceptional business which has grown from strength to strength and has an exciting future ahead. Your new role You will be working within a professional, stable and friendly team who work to common goals and share success. The successful candidate will play a pivotal role in the success of the team and the role will be diverse, busy and rewarding. In the…",27000,27000,permanent,2024-06-18T11:48:31Z,https://www.adzuna.co.uk/jobs/land/ad/4741925603?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=D50C2B98F19899558B298755F90007C8C6896411,Accounting & Finance Jobs,controller
Document Controller,HAYS,"Omagh, Northern Ireland","Document controller, permanent position, based in Omagh Your new company A leading builder and contractor, who has an excellent reputation for successfully delivering projects in Ireland, the UK, and across Europe. They take pride in their commitment to innovation and technology. As a forward-thinking organisation, they offer fantastic career opportunities for their staff. This company has appointed Hays to recruit a document controller to join their team in Omagh. This is an office-based role.…",37061.58,37061.58,permanent,2025-02-19T16:07:56Z,https://www.adzuna.co.uk/jobs/land/ad/5056443652?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F7C3B18B4AF4BB25D0DDF8291776DCC748820130,IT Jobs,controller
Financial Controller,HAYS,"Doncaster, South Yorkshire","Exciting NEW Manufacturing Financial Controller Role About the Role: We are working with an established manufacturing client, who are looking to expand their finance team due to their recent and expected rapid growth. We are seeking a highly skilled and motivated Finance Controller. This role is pivotal in managing the company's financial operations, ensuring accuracy and compliance with financial regulations, and providing strategic financial guidance to support our growth and sustainability. …",51677.34,51677.34,,2025-04-11T16:41:49Z,https://www.adzuna.co.uk/jobs/land/ad/5140567452?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=CCA0017BEABA6BEFF0DB2D53EE6EB0C4B2DA25C6,Accounting & Finance Jobs,controller
Document Controller,HAYS,"Greenwich, South East London","Document Controller Opportunity - Canning Town (Construction Contractor) Your new company We are working with a close client, operating within the Highways Industry, specialising within the highway maintenance niche, with a focus on the A13 road network, ensuring that the ongoing reinstatement/streetworks/maintenance of this network is carried out to the exacting standards of local authorities and key stakeholders. Our client is a subsidiary of a major European civil contractor, however, their …",32000,32000,,2025-01-28T22:36:45Z,https://www.adzuna.co.uk/jobs/land/ad/5027456171?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=D6D9995BB9717D96815D1DF6701013F05C352ADF,Trade & Construction Jobs,controller
Credit Controller,HAYS,"Accrington, Lancashire","Permanent, Monday-Friday, 37.5 hours per week, £28,000 per annum, based in Accrington Your new company Your new company is a local and well-respected manufacturing company, who supply a range of customers across the UK and Europe. Due to an increase in workload and increased demand, they are now seeking an experienced Credit Controller to join the team for an initial period of 6 weeks to assist them through these busy periods. Your new role In your new role, you will be managing your own ledger…",28000,28000,permanent,2024-12-29T13:38:21Z,https://www.adzuna.co.uk/jobs/land/ad/4991689691?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=D9A88B412A7E487DAB416A8BBA0BC689A460F8DC,Accounting & Finance Jobs,controller
Control Systems Engineer,HAYS,"Liverpool, Merseyside","Control Systems Engineer - Liverpool - Up to £55k Your new company A leading company in the automotive manufacturing and advanced materials industry. The company is renowned for its high-performance products, which deliver exceptional performance for both road and track applications. Driven by a passion for innovation, the team thrives on challenging the impossible and finding solutions that drive growth. As the company expands to meet increasing demand, they are looking for a Control Systems E…",0,55000,,2025-03-02T12:18:37Z,https://www.adzuna.co.uk/jobs/land/ad/5070518410?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=D84F75D61D895AC031B4120B24308F8EEFC30DDA,Engineering Jobs,controller
Control Systems Engineer,HAYS,"Telford, Shropshire","Control Systems Engineer Your new company Working in close partnership with customers to solve complex engineering challenges, this company leverages the ingenuity of its people in the application of advanced control techniques. The engineering positions provide a challenging opportunity for the commissioning of automated systems. Your new role Reporting to the Manufacturing Director, your duties and responsibilities will include: PLC Programming: Writing and developing code for Allen Bradley R…",0,55000,permanent,2025-04-11T16:41:51Z,https://www.adzuna.co.uk/jobs/land/ad/5140567557?se=4GSpSDEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=EDAA67E5657AB49FBFC9F62C57C47C3F1C8AB10D,Engineering Jobs,controller
