title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,country,specialty
Ingénieur construction/Ingénieure construction,Groupe SOFLUX,"Pays de la Loire, France","À propos de SNEE Groupe Soflux : SNEE Groupe Soflux est une entreprise reconnue dans les domaines du génie électrique, génie climatique, plomberie et énergies renouvelables. Nous combinons savoir-faire, innovation et esprit d’équipe pour répondre à des projets ambitieux dans le respect des engagements qualité, sécurité et environnement. En tant que Conducteur de travaux (f/h) chez SNEE Groupe Soflux Agence de Nantes (44), et après quelques jours d'intégration, en collaboration direct avec Direc…",,,,2025-04-14T07:38:03Z,https://www.adzuna.fr/land/ad/5143868595?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=373550DE8365580474DCA7DE59171A8CBA7D3ABD,Unknown,fr,genie_civil_btp
Superviseur construction/Superviseuse construction,Anotech,France,"Rejoignez notre équipe de spécialistes dans un projet d’envergure Notre vision : façonner l'avenir grâce à notre expertise. Anotech se positionne en tant que partenaire stratégique en gestion de projets complexes et hautement techniques dans le secteur de l’énergie. Grâce à notre expertise dans ce domaine, nous proposons des solutions innovantes qui garantissent le succès de toutes les phases du projet, tout en maintenant des normes élevées de qualité et de sécurité. Nos compétences techniques …",,,,2025-04-03T08:04:27Z,https://www.adzuna.fr/land/ad/5125964959?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=7F9E29E764E23EC814B9B56565837FC06CD66D40,Unknown,fr,genie_civil_btp
Superviseur construction/Superviseuse construction,ARKADIA INGENIERIE,France,"Description de l'entreprise Filiale de l'ensemblier industriel Boccard, ARKADIA Ingénierie est spécialisée en prestations techniques d'ingénierie et d'assistance à maîtrise d'ouvrage. Nous apportons notre expertise technique pluridisciplinaire dans les secteurs du nucléaire et de l'industrie. Avec plus de 170 collaborateurs, répartis sur plusieurs sites en France, ARKADIA Ingénierie est une structure agile et dynamique en plein développement. Description du poste Notre client, spécialisé dans l…",,,,2025-03-03T06:48:20Z,https://www.adzuna.fr/land/ad/5071532173?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=91B05B5719A02996D0977DFA51A2FE9F98D439DF,Unknown,fr,genie_civil_btp
Superviseur construction/Superviseuse construction,Crit Experts & Cadres,"Dreux, Eure-et-Loir","Le cabinet CRIT Experts et Cadres Normandie recherche un(e) chargé(e) d'affaires en infrastructures des réseaux urbains en CDI, à Dreux, pour l’un de nos clients. À propos de l'entreprise : Notre client est une entreprise spécialisée dans le déploiement et la maintenance des réseaux de distribution pour les collectivités et les entreprises. Intervenant dans des domaines variés tels que les réseaux de fibre optique, la distribution électrique , l'éclairage public et l'électricité du bâtiment , c…",,,,2025-04-12T06:07:03Z,https://www.adzuna.fr/land/ad/5141658349?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=91734CA3F74D5CD582CC88B8B4C636BEB8ADB50C,Unknown,fr,genie_civil_btp
Superviseur construction/Superviseuse construction,OpenSuccess,"Valenciennes, Nord","OpenSuccess, recherche pour l'un de ses clients, une société de 80 salariés située à Valenciennes, spécialisée dans l’étanchéité et le bardage de bâtiments variés. Leurs chantiers présentent une forte technicité et impliquent de nombreuses rénovations énergétiques. Nous recherchons 1 conducteur de travaux principal et conducteur de travaux spécialisés dans le bardage/étanchéité. Description du poste : Le conducteur de travaux est le garant du bon déroulement des chantiers, dans le respect des d…",,,,2025-04-06T10:06:04Z,https://www.adzuna.fr/land/ad/5132204373?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=EF66D1D1FC8E289FBC2710834A5F836D923795F1,Emplois Industrie et Construction,fr,genie_civil_btp
Ingénieur construction/Ingénieure construction,Crit Experts & Cadres,"Le Havre, Seine-Maritime","Acteur majeur du secteur du BTP, cette entreprise est spécialisée dans les travaux de terrassement, d’assainissement, de VRD ainsi que dans la fabrication et l’application de revêtements routiers. Grâce à un réseau de plusieurs agences réparties en Normandie et dans le Centre, elle intervient sur des chantiers situés dans les régions du Grand Ouest, Centre-Val de Loire et Île-de-France. Afin de garantir un haut niveau de qualité et d’efficacité, l’entreprise s’appuie sur des équipes qualifiées …",,,,2025-04-03T08:04:56Z,https://www.adzuna.fr/land/ad/5125965772?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=E7B81EE575CDCF203FDB0A9D631C97305187AC9A,Unknown,fr,genie_civil_btp
Superviseur construction/Superviseuse construction,NEO2,"Lyon, Rhône","L'entreprise : Créé en 2008, NEO2 est une société de conseil et d'assistance technique, spécialisée dans les métiers de l’ingénierie de process et des infrastructures industrielles. Notre groupe compte plus de 600 collaborateurs et intervient auprès de grands comptes dans les secteurs de l’Energie, l’Environnement, la Pharmaceutique, la Santé, l'Agroalimentaire, etc sur des projets industriels ou digitaux. Comment ? Nous détachons nos consultants ingénieurs, experts techniques et chefs de proje…",,,,2024-07-24T06:59:22Z,https://www.adzuna.fr/land/ad/4792536655?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=D2E8A4C9DCCE576A339C34934A4C93A65F94D9D0,Unknown,fr,genie_civil_btp
Spécialiste de la construction,RANDSTAD,"Ile-de-France, France","Randstad Search, Cabinet Conseil en Recrutement et Approche directe, intervient dans la recherche et l'évaluation des profils Middle et Top Management. Le cabinet est présent dans les principales métropoles françaises. Les consultants du Pôle BTP mettent à votre service leur expertise métier pour vous accompagner au mieux dans votre évolution professionnelle Nous recherchons pour notre pluralité de clients basés en Île de France, plusieurs profils et domaines de compétences : Conducteur de trav…",,,,2025-03-23T03:03:16Z,https://www.adzuna.fr/land/ad/5107185427?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=F3940E5F24D8CC0E73CE193FE17315752F162CB4,Emplois Industrie et Construction,fr,genie_civil_btp
Économiste en construction,AConstruct,"Neuville-en-Ferrain, Tourcoing","À propos de l'entreprise - AConstruct est une société active dans la construction et l'expansion de sites industriels ou logistiques. Nous recherchons un Economiste de la construction qui adhère à nos valeurs : positivisme, partenariat, excellence, réactivité, orientation humaine et confiance. À propos du rôle - En tant qu’Économiste de la Construction vous êtes garant du respect des objectifs de programme, coûts, qualité et délais des projets. Vous effectuez les métrés, chiffrages, dossiers, m…",,,,2025-03-28T03:31:16Z,https://www.adzuna.fr/land/ad/5114758523?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=9C1D900CEB6BE33E7D9469CCE82A127A444808CF,Unknown,fr,genie_civil_btp
Construction Manager,Webuild,"Ile-de-France, France","Webuild est une entreprise internationale de construction spécialisée en ingénierie civile, pionnière dans son domaine depuis 120 ans. Acteur mondial aux racines italiennes, nous nous consacrons à la réalisation d’infrastructures complexes, innovantes et durables, visant à améliorer la qualité de vie des populations. Au fil des décennies, nous avons conçu et édifié certains des ouvrages les plus emblématiques au monde. Webuild imagine, conçoit et construit des infrastructures majeures dans les …",,,,2025-03-23T03:02:16Z,https://www.adzuna.fr/land/ad/5107184403?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=0ED326AAF29A1EBD6ABE2EA249C35D1464BA7BD5,Unknown,fr,genie_civil_btp
