title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,country,specialty
Job in Germany: Data Analyst - Chatbot & Voicebot (w/m/d),ING Deutschland,France,"Data Analyst - Chatbot & Voicebot (f/m/d) Data Analyst - Chatbot & Voicebot (f/m/d) at the Frankfurt location Do you turn data into information and knowledge? Even the most complex issues are a welcome challenge for your analytical skills? And would you like to work in an international company where empowerment is not just a buzzword, but a living principle of our corporate culture? Perfect At ING, the focus is on innovation and progress - are you in? Apply now, your CV is enough for us to get …",,,,2025-04-10T06:36:09Z,https://www.adzuna.fr/land/ad/5138207618?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=EA3F50C57A0F8C1D7AFA3C294C2EBE7743E6060B,Unknown,fr,genie_financier
Data Analyst - (H/F) - En alternance,OpenClassrooms,"1er Arrondissement, Paris",Description du poste Vos missions en tant que Data Analyst en alternance : Construire et maintenir des composants Microsoft BigData & BI Développer des rapports BI Interagir avec une équipe et le tech lead Ecrire et maintenir la documentation technique autour d’une application Mener de courtes missions en autonomie autour des besoins d’une application Poste basé à Paris (Île-de-France). Travail en hybride. Rythme d’alternance et présence en entreprise Du lundi au vendredi Périodes de travail de…,108000,192000,contract,2025-04-15T17:03:07Z,https://www.adzuna.fr/land/ad/5145807459?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=497F82C7C3F535F5F2A8180DC9F6FB18CF4D1A7C,Emplois Autres/Général,fr,genie_financier
Analyst Data - (H/F) - En alternance,OpenClassrooms,"Magny-les-Hameaux, Maurepas","Description du poste Vos missions en tant que Data Analyst - (H/F) - En alternance : - Récupérer les données auprès de partenaires internes et externes - Nettoyer, transformer et intégrer les données dans la base SQL du CRM Dynamics - Automatiser et améliorer les processus d’intégration et de traitement des données en utilisant Python, Powershell et d’autres outils pertinents - Assurer la qualité, l’intégralité et la pertinence des données des systèmes d’information - Traiter des anomalies et g…",108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807996?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=C2B4794D06137769FE93D3366436AA10CF8886FE,Emplois Autres/Général,fr,genie_financier
Analyst Data - (H/F) - En alternance,OpenClassrooms,"Gennevilliers, Nanterre","Description du poste Vos missions en tant que Data Analyst - (H/F) - En alternance : - Créer des outils de reportings bureau d’études et commerce - Analyser les tableaux de bord existants et avoir la capacité de les améliorer pour permettre un pilotage pertinent et efficace des activités - Construire des dashboards sous Power BI afin de synthétiser, analyser et visualiser des données client - Être en mesure de proposer des indicateurs de performance pour optimiser le pilotage de l’équipe bureau…",108000,192000,contract,2025-04-15T17:03:07Z,https://www.adzuna.fr/land/ad/5145807442?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=91D0BC3D1E7AD3D7B56EFC43909413E13B067529,Emplois Autres/Général,fr,genie_financier
Analyste commercial/Analyste commerciale,Visian,"Ile-de-France, France","POSTE EN CDI Visian, Société de conseil spécialisée en innovation , design produit , gestion de projet IT et développement Data. Recherche un Business Analyst IT pour un de ses clients dans le domaine des transports. Dans le cadre de la croissance de notre client, la DSI recrute un business analyst IT sur les outils commerciaux (plateformes de ventes, outils de Revenue Management, CRM ) pour soutenir le développement et le renforcement des différents systèmes, prendre part aux projets d’innovat…",,,,2025-03-28T03:32:20Z,https://www.adzuna.fr/land/ad/5114760944?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=EAFE6D5BD64631D3F6163266742D10937FE2E499,Unknown,fr,genie_financier
Business Intelligence Analyst - (H/F) - En alternance,OpenClassrooms,"Lille-Sud-Est, Lille","Description du poste Vos missions en tant que Business Intelligence Analyst - (H/F) - En alternance : - Construire et automatiser les tableaux de bord de la performance, améliorer leur pertinence et leur utilisation en particulier sur les thèmes suivants : analyse de marge, suivi du chiffre d’affaires géré, analyse des ventes omnicanales, analyse de la gamme et de son efficacité - Construire des requêtes “on demand” - Mettre à jour des tableaux de Bords & contrôler les données - Partager et for…",108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807983?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=5246D3076ADF8915BCC53B264947AD826BCD6B03,Emplois Autres/Général,fr,genie_financier
Supply Chain Analyst - (H/F) - En alternance,OpenClassrooms,"Sablé-sur-Sarthe, La Flèche",Description du poste Vos missions en tant que Supply Chain Analyst - (H/F) en alternance : - Harmonisation des unités de mesure - Déploiement des workflows - Gestion de l'information produit (PIM) - Autres missions Poste basé à Sable Sur Sarthe (Pays de la Loire). Travail en hybride. Rythme d’alternance et présence en entreprise Du lundi au vendredi Périodes de travail de 8 heures Repos le week-end Travail en journée En entreprise : 4 jours par semaine (jours au choix) avec présence réduite à 3…,108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807951?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=6FF24FD002895EA8F4A7865D57C6DA2F035EB38E,Emplois Autres/Général,fr,genie_financier
Supply Chain Analyst - (H/F) - En alternance,OpenClassrooms,"Javron-les-Chapelles, Villaines-la-Juhel","Description du poste Vos missions en tant que Supply Chain Analyst - (H/F) en alternance : Coordonner, suivre et contrôler l'activité de production. Formaliser et mettre à jour les process de production (standards). Participer à l'animation et la mise en place d'actions pour l'amélioration continue. Poste basé à Javron Les Chapelles (Pays de la Loire). Travail en hybride. Rythme d’alternance et présence en entreprise Du lundi au vendredi Périodes de travail de 8 heures Repos le week-end Travail…",108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807940?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=CC8EB65F7D325844400D6DE37917FE7F643ED162,Emplois Autres/Général,fr,genie_financier
Business Intelligence Analyst - (H/F) - En alternance,OpenClassrooms,"Lurcy-Lévis, Moulins","Description du poste Vos missions en tant que Business Intelligence Analyst - (H/F) en alternance : -Suit l’avancement des développements (définition du contenu et du planning des versions à déployer, coordination des activités en lien avec le déploiement des versions, suivi et contrôle des livraisons dans les différents environnements, …). -Réalise la recette des alimentations ETL et des rapports livrés par l’équipe de développement. -Rédige la documentation fonctionnelle -Participe au cadrage…",108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145808007?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=0BAB4CF78B9C337D43FB27348DF5CE2CBB6D8272,Emplois Autres/Général,fr,genie_financier
Supply Chain Analyst - (H/F) - En alternance,OpenClassrooms,"Cusset, Vichy","Description du poste Vos missions en tant que Supply Chain Analyst en alternance : - Gestion d’un Catalogue de Fournisseurs - Transmettre les besoins aux fournisseurs de matières premières selon les plans de production sur un catalogue défini. - Assurer le suivi des livraisons et alerter les différents interlocuteurs usine (plan, PCT, fabrication, pesée, flux…) des risques. - Mettre en œuvre la meilleure stratégie d’approvisionnement pour assurer l’agilité de l’usine en collaboration avec les a…",108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807965?se=7JgvBy8e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=9E27BC1363A81CEAF12E5A85A0B961B2FC84990D,Emplois Autres/Général,fr,genie_financier
