title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,country,specialty
Urbaniste Si Manufacturing H/F,Safran,"Evry-Nord, Evry","Au sein de la Direction du Système d'Information de Safran Aircraft Engines, l'Urbaniste SI garantit l'évolution cohérente de l'ensemble du système d'information dans le respect des objectifs de l'entreprise, du domaine fonctionnel et des contraintes externes et internes (de risques, de coûts, de délais), en exploitant au mieux les possibilités de l'état de l'art en relation avec l'Architecture SI. Il effectue un travail de veille sur son domaine et propose des évolutions qu'il juge nécessaires…",,,,2025-02-04T19:55:53Z,https://www.adzuna.fr/land/ad/5037290145?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=BBF56C120E36F54A6E22B748F60DE58082DA25D1,Emplois Fabrication,fr,genie_industriel
Manufacturing Manager EMEA,Mackinnon Bruce International,"Lyon, Rhône","Who We are We are a dynamic Agricultural recruitment and executive search agency that has evolved since our first establishment in 2012. We work with several high-profile clients, startups, and SMEs globally to help them source and retain top-tier talent. The Client Our client are a global leading Pesticides Developer and Manufacturer with a global presence. Headquartered in the US, their EMEA office is located in Lyon. Our client are at the forefront of the the Environmental Science industry a…",,,,2025-04-05T08:47:49Z,https://www.adzuna.fr/land/ad/5130860318?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=050C0D92A0B46C7D28FCCF0FA3C6FF711D7D8224,Unknown,fr,genie_industriel
Responsable Lean Manufacturing,Candidate First,"Niort, Deux-Sèvres","Candidate First recrute un Responsable Lean Manufacturing Femme/Homme pour l'un de ses clients localisé à Niort (79). Ce poste s'adresse à un manager confirmé expert en amélioration continue, dans le secteur industriel. Missions : Techniques: - Cadrer et assurer l'organisation et le pilotage des process de Lean Manufacturing - Assurer le pilotage et la cohésion du PCA et du plan de progrès - Structurer et animer les KPI relatifs à la performance industrielle du site - Formaliser le processus st…",,,,2025-04-09T04:55:41Z,https://www.adzuna.fr/land/ad/5136513297?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=8F017F34A96D02EC555D50A963DC226EE6337343,Unknown,fr,genie_industriel
Responsable Méthodes & Manufacturing,Recrutis,"Besançon, Doubs","L’opportunité Basé.e à Besançon et rattaché.e à la Directrice du programme Artus, vous êtes en charge du pilotage des activités de production, d’approvisionnement et méthodes. Vous assurez la fabrication des dispositifs médicaux dans le respect des réglementations et standards applicables, des délais, et des objectifs techniques et qualité. Vous managez une équipe de 2 personnes et pilotez également des projets en transverse, gestion des fournisseurs et gestion des achats. L’entreprise Rassembl…",,,,2025-03-19T03:14:34Z,https://www.adzuna.fr/land/ad/5100159414?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=4596FC8C428E452DFFAA511864C365E6CA2A4133,Unknown,fr,genie_industriel
Préparateur Manufacturing Engineering H/F,CT Ingénierie Paris,"Albert, Péronne","Dans le cadre de notre développement sur la Somme (80) nous sommes actuellement à la recherche d'un ou une préparateur.trice Méthodes F/H ayant une première expérience dans l'aéronautique. Vous aurez pour missions principales : - Participer au SQA Atelier - Réaliser des analyses techniques faisabilité - Créer ou mettre à jour des gammes sous SAP - Créer des fiches d'instructions (outillages, programmation) - Créer des nomenclatures - Etre support atelier - Traiter et suivre les avis qualité - E…",,,,2025-04-19T06:45:56Z,https://www.adzuna.fr/land/ad/5152717308?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=721863FD0B6E8F3B9F039F896DDCF25DFD7EB3C9,Emplois Fabrication,fr,genie_industriel
Chef de Projet Manufacturing & Energie H/F,Ingérop,"Cébazat, Clermont-Ferrand","Intégré(e) à l'unité Alpes Centre Est, vous ferez partie d'une équipe de 500 ingénieurs et techniciens, le poste est situé à l'Agence de Clermont-Ferrand au sein du département Défense, Manufacturing et Support (80 collaborateurs). Dans le cadre de nos activités industrielles, nous accompagnons plusieurs clients sur de grosses opérations, vous interviendrez en tant que chef de projet dans le cadre du déroulement d'opération en études et travaux. Vous travaillerez pour les donneurs d'ordres publ…",,,,2025-02-05T07:45:54Z,https://www.adzuna.fr/land/ad/5038188194?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=FC90475EB58939FB1D9B2E93D5578717FB95E529,Emplois Informatique,fr,genie_industriel
Souscripteur Senior Responsabilité Civile - Manufacturing,Spine,"Ile-de-France, France","Le cabinet Spine recherche pour l’un de ses partenaires assureurs un Souscripteur Senior Responsabilité Civile , basé à Paris, dans le cadre du développement d’une practice sectorielle dédiée à l’industrie manufacturière. Missions du poste : Souscrire des affaires nouvelles et renouveler les contrats RC, dans le respect des guidelines de souscription. Participer activement à la construction d’une offre sectorielle différenciante (luxe, défense, nucléaire, etc.). Collaborer avec les équipes domm…",,,,2025-04-05T08:47:50Z,https://www.adzuna.fr/land/ad/5130860325?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=6C3B81B01D285A3238F89FC2A3903DFB7C5F9AB0,Unknown,fr,genie_industriel
Ingénieur Support Manufacturing Stator H/F,Arabelle Solutions,"Territoire de Belfort, Bourgogne-Franche-Comté","L'ingénieur Support Manufacturing Stator supporte les usines alternateurs pour tous les sujets liés au design ou à la technique (répondre au NCR, dérogations, etc.). Il/Elle est aussi impliqué dans le design des alternateurs, participe aux actions d'améliorations and gère les études sous-traitées. L'ingénieur Support Manufacturing Stator fait partie de l'équipe Engineering Design Alternateur. Il/Elle supporte les usines alternateurs (Belfort ou Sanand) pour tous les sujets liés au design ou à l…",,,,2025-02-04T19:55:45Z,https://www.adzuna.fr/land/ad/5037289286?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=B111821F3718598BEA859A8CCC9D6360FC68E1A1,Unknown,fr,genie_industriel
Engineering and Manufacturing Business Manager,Ivy Partners,France,"Do you want to play an active role in understanding our clients' objectives and collaborate with them to achieve them? Provide them with customized and innovative solutions while giving them visibility on technological developments and the benefits they bring? This opportunity should interest you  Our mission: Ivy Partners is a Swiss advising company that contributes to the evolution of companies in their strategic, technological and organisational challenges. Our mission is to offer our employ…",,,,2025-04-11T05:27:36Z,https://www.adzuna.fr/land/ad/5139961797?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=204A61618BFB444C0F000E8ED22929E10D95F847,Unknown,fr,genie_industriel
Expert Lean Manufacturing Femme - Homme H/F,Candidate First,"Deux-Sèvres, Nouvelle-Aquitaine",Missions : Techniques : - Cadrer et assurer l'organisation et le pilotage des process de Lean Manufacturing - Assurer le pilotage et la cohésion du PCA et du plan de progrès - Structurer et animer les KPI relatifs à la performance industrielle du site - Formaliser le processus structuré relatif à la vie série Management : - Manager et fait monter en compétences une équipe de 3 collaborateurs - Incarner l'esprit d'amélioration continue du site - Cadrer la cohésion et la performance des animation…,55000,70000,,2025-04-17T04:55:13Z,https://www.adzuna.fr/land/ad/5148761922?se=jg4g6y4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=947506F1B50F841E4F3C4060DD3E98B65DFFDCB0,Emplois Autres/Général,fr,genie_industriel
