title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,country,specialty
Job in Germany: Data Engineer - Data Warehouse & ETL (w/m/d),ING Deutschland,France,"Data Engineer - Data Warehouse & ETL (f/m/d) Data Engineer - Data Warehouse & ETL (f/m/d) at the Frankfurt location Do you know what data needs to become really useful? Do you use your expertise, team spirit and communication skills to create solutions with real added value? That's perfect In our corporate culture, we value exactly that: respectful team play, personal and professional development and working together as equals. Apply now with your CV, your team is looking forward to hearing fro…",,,,2025-04-15T06:38:43Z,https://www.adzuna.fr/land/ad/5145057330?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=224CAFB0A2F474ED79F6CE837AE3B753D17B3F8D,Unknown,fr,ingenierie_informatique
Job in Germany: Data Analyst - Chatbot & Voicebot (w/m/d),ING Deutschland,France,"Data Analyst - Chatbot & Voicebot (f/m/d) Data Analyst - Chatbot & Voicebot (f/m/d) at the Frankfurt location Do you turn data into information and knowledge? Even the most complex issues are a welcome challenge for your analytical skills? And would you like to work in an international company where empowerment is not just a buzzword, but a living principle of our corporate culture? Perfect At ING, the focus is on innovation and progress - are you in? Apply now, your CV is enough for us to get …",,,,2025-04-10T06:36:09Z,https://www.adzuna.fr/land/ad/5138207618?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=EA3F50C57A0F8C1D7AFA3C294C2EBE7743E6060B,Unknown,fr,ingenierie_informatique
Data Engineer - (H/F) - En alternance,OpenClassrooms,"Seynod, Annecy",Description du poste Vos missions en tant que Data Engineer en alternance : - Analyser et créer des dashboards de BI à destination de l’ensemble des services de l’entreprise - Transformer et enrichir les données de notre dataplatform sur Bigquery - Documenter la structure Data et les process - … Poste basé à Saint Jorioz (Auvergne-Rhône-Alpes). Travail en hybride. Rythme d’alternance et présence en entreprise Du lundi au vendredi Périodes de travail de 8 heures Repos le week-end Travail en jour…,108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807941?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=A40572DA0D57F5A72B752344F8D62C665A088A9A,Emplois Autres/Général,fr,ingenierie_informatique
Data Engineer - (H/F) - En alternance,OpenClassrooms,"Seclin, Lille",Description du poste Vos missions en tant que Data Engineer en alternance : - Développer des pipelines de données en utilisant des technologies cloud modernes et des outils de data engineering - Participer à la conception et l'implémentation des processus d'ingestion et de transformation des données de paiement - Contribuer à l'optimisation des flux de données en appliquant les bonnes pratiques de qualité et de performance - Collaborer avec les équipes métier pour comprendre les besoins d'analy…,108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807985?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=18B33432B8426AE769A54623752EC5FAD9851B4C,Emplois Autres/Général,fr,ingenierie_informatique
Data Analyst - (H/F) - En alternance,OpenClassrooms,"1er Arrondissement, Paris",Description du poste Vos missions en tant que Data Analyst en alternance : Construire et maintenir des composants Microsoft BigData & BI Développer des rapports BI Interagir avec une équipe et le tech lead Ecrire et maintenir la documentation technique autour d’une application Mener de courtes missions en autonomie autour des besoins d’une application Poste basé à Paris (Île-de-France). Travail en hybride. Rythme d’alternance et présence en entreprise Du lundi au vendredi Périodes de travail de…,108000,192000,contract,2025-04-15T17:03:07Z,https://www.adzuna.fr/land/ad/5145807459?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=497F82C7C3F535F5F2A8180DC9F6FB18CF4D1A7C,Emplois Autres/Général,fr,ingenierie_informatique
Analyst Data - (H/F) - En alternance,OpenClassrooms,"Magny-les-Hameaux, Maurepas","Description du poste Vos missions en tant que Data Analyst - (H/F) - En alternance : - Récupérer les données auprès de partenaires internes et externes - Nettoyer, transformer et intégrer les données dans la base SQL du CRM Dynamics - Automatiser et améliorer les processus d’intégration et de traitement des données en utilisant Python, Powershell et d’autres outils pertinents - Assurer la qualité, l’intégralité et la pertinence des données des systèmes d’information - Traiter des anomalies et g…",108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807996?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=C2B4794D06137769FE93D3366436AA10CF8886FE,Emplois Autres/Général,fr,ingenierie_informatique
Analyst Data - (H/F) - En alternance,OpenClassrooms,"Gennevilliers, Nanterre","Description du poste Vos missions en tant que Data Analyst - (H/F) - En alternance : - Créer des outils de reportings bureau d’études et commerce - Analyser les tableaux de bord existants et avoir la capacité de les améliorer pour permettre un pilotage pertinent et efficace des activités - Construire des dashboards sous Power BI afin de synthétiser, analyser et visualiser des données client - Être en mesure de proposer des indicateurs de performance pour optimiser le pilotage de l’équipe bureau…",108000,192000,contract,2025-04-15T17:03:07Z,https://www.adzuna.fr/land/ad/5145807442?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=91D0BC3D1E7AD3D7B56EFC43909413E13B067529,Emplois Autres/Général,fr,ingenierie_informatique
Data Scientist Machine Learning - (H/F) - En alternance,OpenClassrooms,"Massy, Palaiseau","Description du poste Vos missions en tant que Data Scientist Machine Learning - (H/F) - En alternance en alternance : - Faire le lien entre les données des différents services financiers, et le département fidélité - Cerner et analyser les besoins métiers - Appliquer des solutions de data science sur des cas d’usages précis - Participer à la mise en œuvre du POC à la mise en production - Travailler avec différents profils data du groupe (data scientist, data engineer, data architect, data analy…",108000,192000,contract,2025-04-15T17:03:07Z,https://www.adzuna.fr/land/ad/5145807513?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=BF73C7BA40228E3884637A18765381692F820E57,Emplois Autres/Général,fr,ingenierie_informatique
Data Scientist Machine Learning - (H/F) - En alternance,OpenClassrooms,"La-Madeleine, Lille","Description du poste Vos missions en tant que Data Scientist Machine Learning - (H/F) - En alternance en alternance : - Prétraiter les données brutes collectées dans le Cloud : anonymisation, standardisation, réduction, etc - Explorer les données afin de découvrir des corrélations et des liens de causalité - Concevoir et développer le code de modèles et algorithmes d'optimisation - Comparer la performance, la précision, la consommation, etc, de différents modèles et algorithmes - Participer à l…",108000,192000,contract,2025-04-15T17:03:08Z,https://www.adzuna.fr/land/ad/5145807892?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=D26C136F54200DA2AE584A1440F83A589DFC9059,Emplois Autres/Général,fr,ingenierie_informatique
Data Scientist Machine Learning - (H/F) - En alternance,OpenClassrooms,"Suresnes, Nanterre",Description du poste Vos missions en tant que Data Scientist Machine Learning - (H/F) - en alternance : Suivi de la conversion (dashboard de conversion segmenté) ; Suivi de la rentabilité (dashboard de sinistralité) ; Modélisation de la conversion ; Optimisation à l’affaire nouvelle ; Implémentation des modèles sur les API de cloud Azure. Poste basé à Suresnes (Île-de-France). Travail en hybride. Rythme d’alternance et présence en entreprise Du lundi au vendredi Périodes de travail de 8 heures …,108000,192000,contract,2025-04-15T17:03:09Z,https://www.adzuna.fr/land/ad/5145807935?se=mjQaxC4e8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=05F5133E65CF42DBAA395622EF4D5E7AA49777F1,Emplois Autres/Général,fr,ingenierie_informatique
