title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Director – Value Realisation Office,Mars IS UK,"Eton, Windsor","Job Description: In this dynamic role, you'll have the opportunity to build fit for purpose strategic partner ecosystem to deliver 360 degree value to the enterprise. As a leader you will be responsible to unlock the potential of Mars and its partner ecosystem ,drive intentional partnerships, adopt leading edge technology, co-innovate and support and accelerate the Organization digital transformation journey. As a leader of the value realization office that is responsible for 4 key service line…",77773.77,77773.77,,2025-04-20T13:29:32Z,https://www.adzuna.co.uk/jobs/land/ad/5154401817?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=8554C7FDBB54DED1FB06EC0B6E84CC2FCBF56929,IT Jobs,director
Director – Value Realisation Office,Mars IS UK,"Chalvey, Slough","Job Description: In this dynamic role, you'll have the opportunity to build fit for purpose strategic partner ecosystem to deliver 360 degree value to the enterprise. As a leader you will be responsible to unlock the potential of Mars and its partner ecosystem ,drive intentional partnerships, adopt leading edge technology, co-innovate and support and accelerate the Organization digital transformation journey. As a leader of the value realization office that is responsible for 4 key service line…",82534.17,82534.17,,2025-04-20T13:29:32Z,https://www.adzuna.co.uk/jobs/land/ad/5154401812?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F976C3CB14C65BAF2E50F7A58A25AC6B8D3CE7D9,IT Jobs,director
Director – Value Realisation Office,Mars IS UK,"Holyport, Maidenhead","Job Description: In this dynamic role, you'll have the opportunity to build fit for purpose strategic partner ecosystem to deliver 360 degree value to the enterprise. As a leader you will be responsible to unlock the potential of Mars and its partner ecosystem ,drive intentional partnerships, adopt leading edge technology, co-innovate and support and accelerate the Organization digital transformation journey. As a leader of the value realization office that is responsible for 4 key service line…",79872.2,79872.2,,2025-04-20T13:29:32Z,https://www.adzuna.co.uk/jobs/land/ad/5154401816?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=EFE439950CB453E044CED034B674603ADCAD55B7,IT Jobs,director
"Director, Internal Events",ARM,"Chesterton, Cambridge","Director, Internal Events Job Overview: Are you an experienced and ambitious events professional? We’re looking for a creative, and strategic leader to craft the future of internal events at Arm. You’ll guide our high-performing team to design and deliver experiences that connect, inspire, and energise our people. This is a chance to lead with purpose, bringing our strategy and culture to life through memorable, people-first events. Based at our Cambridge headquarters, this role reports to the …",63877.11,63877.11,contract,2025-04-16T13:18:05Z,https://www.adzuna.co.uk/jobs/land/ad/5147331179?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=C099E4A1AE93908625595D1501B140C92A17B5BD,"PR, Advertising & Marketing Jobs",director
Compliance Director,Forvis Mazars,"London, UK","Forvis Mazars is an engine for rapid and consistent career progression, offering individually designed career paths with a culture to help you pursue your interests. We match your changing needs with hybrid working, and help you explore your true potential. We work with diverse, prestigious clients across a range of sectors and geographies, giving you the opportunity to constantly update and grow your skills for lifelong professional development. Forvis Mazars Financial Planning Ltd provides im…",58050.83,58050.83,,2025-03-19T13:46:50Z,https://www.adzuna.co.uk/jobs/land/ad/5101164751?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=CDFD6355627AC19764C0E4F15B9B528F7348F1E2,Accounting & Finance Jobs,director
Senior Director of Flows and Methodologies,ARM,"Chesterton, Cambridge","Join Arm and Shape the Future of Hardware Flows and Methodologies Arm’s Productivity Engineering team is looking for an experienced, collaborative, and people-focused Senior Director of Flows and Methodologies. In this high-impact leadership role, you will guide a world-class team of front-end and back-end engineers to deliver tools, flows, and standards that support innovation and scale across Arm’s IP and SoC teams. If you're excited about solving complex challenges, building high-performing …",96196.09,96196.09,,2025-04-14T03:12:03Z,https://www.adzuna.co.uk/jobs/land/ad/5143735142?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=99B1AE3F3F6384B7C505696026182B02C4F69F08,Engineering Jobs,director
"Senior Director, Program Management",ARM,"Chesterton, Cambridge","Technical Director – Solutions Engineering Help Lead the Delivery of Arm’s Next-Generation Solutions Job Description Arm’s Solutions Engineering team is seeking a Technical Director to lead the successful delivery of advanced SoC-based solutions. In this high-impact role, you’ll collaborate with Product Management, Engineering teams, and key partners to drive Core Subsystems (CSS), droplet, and SoC development from concept through to production. With deep expertise in SoC architecture, integrat…",96597.83,96597.83,,2025-04-17T13:17:57Z,https://www.adzuna.co.uk/jobs/land/ad/5149539568?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=E9E413445A88C291EB94B31C2FDE91CBE6B7D942,Engineering Jobs,director
VAT Associate Director,Forvis Mazars,"London, UK","At Forvis Mazars, we're agile enough to embrace change and deliver impact. This means we encourage people to grow , feel empowered and that they belong to the future direction of the firm. We're constantly improving the way we work, so that we enhance the solutions we offer. You'll have a big say in the way your role and your team works so you can make an impact on our business. Are you looking to make your mark as an Indirect Tax Associate Director? Are you looking to join our successful and r…",64384.37,64384.37,,2025-03-19T10:39:22Z,https://www.adzuna.co.uk/jobs/land/ad/5100728407?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=97968D6814C23ED4A3DA76E32089D7A62960B816,Accounting & Finance Jobs,director
Tax Associate Director,Forvis Mazars,"London, UK","Forvis Mazars is an engine for rapid and consistent career progression, offering individually designed career paths so you can grow within a culture that helps you pursue your interests. We match your changing needs with hybrid working, and help you explore your true potential in an environment where you belong . We work with diverse, prestigious clients across a range of sectors and geographies, giving you the opportunity to make an impact and continue to grow your skills for lifelong professi…",62162.19,62162.19,,2025-02-11T13:13:44Z,https://www.adzuna.co.uk/jobs/land/ad/5046059051?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9D4C375A2027E0B0937570BCBF3352727173FA1C,Accounting & Finance Jobs,director
Tax Associate Director,Forvis Mazars,"Balsall Heath, Birmingham","Forvis Mazars is an engine for rapid and consistent career progression, offering individually designed career paths so you can grow within a culture that helps you pursue your interests. We match your changing needs with hybrid working, and help you explore your true potential in an environment where you belong . We work with diverse, prestigious clients across a range of sectors and geographies, giving you the opportunity to make an impact and continue to grow your skills for lifelong professi…",62463.66,62463.66,,2025-03-19T17:03:28Z,https://www.adzuna.co.uk/jobs/land/ad/5101397050?se=TF6y7TEe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=88E0BB3BC7A032F36567F517A6CA0A8D5FCF686D,Accounting & Finance Jobs,director
