title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Account Executive,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Account Executive Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arrow.com/globa…",36975.72,36975.72,permanent,2025-02-28T22:15:24Z,https://www.adzuna.co.uk/jobs/land/ad/5067541618?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=D79109E46D76CA6412DFC7E2B45A7E3BFCE9FCCF,Sales Jobs,executive
Account Executive,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Account Executive Job Description: ABOUT THE ROLE The aim of the role is to provide your allocated customers a great customer experience by building strong trusting relationships with them. Understanding the market and been able to position products from Arrow's line card within their business to help develop and grow the account. The successful candidate will be a professional, self-motivated, focused individual who can build and maintain strong relationships with Partners and Vendor…",34780.62,34780.62,,2024-12-05T14:34:10Z,https://www.adzuna.co.uk/jobs/land/ad/4964333139?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=0FF2E4B1AF743A80333F3BDDD9277E70858C5A1E,Sales Jobs,executive
Account Executive,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Account Executive Job Description: ABOUT THE ROLE The aim of the role is to provide your allocated customers a great customer experience by building strong trusting relationships with them. Understanding the market and been able to position products from Arrow's line card within their business to help develop and grow the account. The successful candidate will be a professional, self-motivated, focused individual who can build and maintain strong relationships with Partners and Vendor…",34923.34,34923.34,,2025-04-16T22:18:17Z,https://www.adzuna.co.uk/jobs/land/ad/5148303653?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=78708DC7FA23735D8A96A50D400D9D64C5E01541,Sales Jobs,executive
Executive Assistant,HAYS,"Leeds, West Yorkshire","Executive Assistant Executive Assistant Leeds City Centre office Hybrid role £32,000 - £38,000 Your new role In this role, you will report directly to the MD of a fast-growing company and will play a crucial part in supporting the Senior Leadership Team. You will provide top-tier administrative assistance and contribute significantly to the company's overall success. This position requires outstanding organisational abilities, foresight, and a proactive problem-solving mindset. Your efforts wil…",38000,38000,,2025-01-23T17:19:18Z,https://www.adzuna.co.uk/jobs/land/ad/5021205151?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=ED67E2D6691928514CBBADCD9378D443A3DB1FF8,Admin Jobs,executive
Executive Assistant,HAYS,"Abingdon, Oxfordshire","An innovative company in Abingdon is looking for an Executive Assistant Your new company This company is at the forefront of their profession within the medical field. Due to continued expansion and investment in their office space, they're now looking for an Executive Assistant to take ownership of this as well as supporting the SLT. Your new role This role will be very varied. You will take responsibility for the office space, facilities and be the primary point of contact for this. You will …",35000,40000,,2025-02-23T23:34:14Z,https://www.adzuna.co.uk/jobs/land/ad/5061593224?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=FBA41287823EE6FF94326D5EEB4100BE73884027,Admin Jobs,executive
Sales Executive,HAYS,"Stoke-On-Trent, Staffordshire","Exciting Sales Executive opportunity in Stoke-on-Trent – Apply today for a rewarding career Sales Executive Stoke-on-Trent £25000-£28000 plus commission on-site Your new company Join a dynamic and forward-thinking organisation in Stoke-on-Trent, where your skills and ambition will be valued. This company is known for its innovative approach and supportive work environment, offering numerous opportunities for growth and development. Your new role As a Sales Executive, you will play a pivotal rol…",25000,28000,,2025-02-01T05:14:15Z,https://www.adzuna.co.uk/jobs/land/ad/5032153888?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=253D34D1A68F3D1F97D5A1376776F57FC8182A72,Sales Jobs,executive
Customer Executive,HAYS,"Bolton, Greater Manchester","Customer Executive | Bolton | Full time - Permanent | £28,000 Depending on experience Your new companyA leading construction company are seeking to recruit a Customer Executive to work within their open office Team. This company are search for a confident communicator who is professional, able to work well under pressure and contribute within a small team. This role is office-based in Bolton, offering career progression, self-development and along with other great benefits.Standard working hour…",28000,,permanent,2025-02-07T17:40:23Z,https://www.adzuna.co.uk/jobs/land/ad/5041633136?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=7F8E264B181E0A95584B89805214439C1E108C3C,Admin Jobs,executive
Digital Executive,HAYS,"Darlington, County Durham","digital marketing Your new company My client is a well-known, national brand who have a fantastic reputation for style and innovation.They are currently seeking a Marketing Administrator to provide support to their established, dynamic Marketing Team. This really is an outstanding opportunity for the right individual to join a forward-thinking organisation and become part of something exciting. Your new role Responsible for developing and executing marketing campaigns and communications across …",30000,30000,,2025-04-11T16:41:47Z,https://www.adzuna.co.uk/jobs/land/ad/5140567293?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5CEBDACDCCAC8E07EB569E86D030B64723B645CC,"PR, Advertising & Marketing Jobs",executive
Executive Assistant,HAYS,"Manchester, Greater Manchester","University Executive Assistant Your new company A higher education institution in central Manchester. Your new roleUniversity EA/ PA 35 hours, 5 Days a Week. 100% onsite Temporary – Immediate Start – ongoing £15.19 per hour plus holiday pay You will be required to provide senior EA/ PA administrative support to directors along with being able to prioritise tasks to support a busy HE department. The purpose of this role is to provide comprehensive and proactive administrative/ project management…",31595,31595,contract,2025-04-11T16:41:50Z,https://www.adzuna.co.uk/jobs/land/ad/5140567525?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=6C5FE7A7A9E551FB97CA8304E208EEE8D9377DAD,Admin Jobs,executive
Account Executive Junior,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Account Executive Junior Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arrow.co…",31496.02,31496.02,permanent,2025-02-28T22:15:24Z,https://www.adzuna.co.uk/jobs/land/ad/5067541617?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=36CE0EDD61852494746980744F2989B4647D5BF4,IT Jobs,executive
Account Executive Junior,"Arrow Electronics, Inc.","Woodditton, Newmarket","Position: Account Executive Junior Job Description: Arrow's Enterprise Computing Solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to the market to solve complex business challenges. We deliver value-added distribution, business consulting, and channel enablement services to the world's leading technology manufacturers and their channel partners that serve commercial and government markets. Find more information about us on our page: arrow.co…",31453.76,31453.76,permanent,2025-03-03T22:57:40Z,https://www.adzuna.co.uk/jobs/land/ad/5072734134?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=CEC06C10561DD0356794367E4831ECBC03494195,IT Jobs,executive
Compliance Executive,HAYS,"London, UK","Compliance Executive - Educational Instruction - Up to £52,000 Your new company This business will provide you with the chance to join one of the most prestigious educational organisations in the world. They have a truly global organisation operating across more than 20 countries and with over 50 institutions. Their use of technology has meant they have been able to modernise their approach and provide a 21st century experience for their students. Your new role As the Compliance Executive, you …",45000,52000,,2025-02-28T16:36:47Z,https://www.adzuna.co.uk/jobs/land/ad/5067159929?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9EB39B76A528960409DB5DB4E489E31D3A43EF5B,HR & Recruitment Jobs,executive
Audit Executive,HAYS,"Manchester, Greater Manchester",This is a fantastic opportunity for a qualified accountant looking to progress in their career. Your new firm A career defining opportunity has just opened at one of the UK’s leading accounting practices. They are looking for an ambitious and driven audit executive to join their team of highly skilled accounting professionals. This job opening has opened due to internal promotions within the firm. Your new role In this role you will be personally responsible for managing a portfolio of clients;…,0,45000,,2025-02-28T16:36:47Z,https://www.adzuna.co.uk/jobs/land/ad/5067159932?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=83B549D4AEB06F29CFA725982F7AA4D8FB7D9684,Accounting & Finance Jobs,executive
Payroll Executive,HAYS,"Glasgow, Scotland","Job Title: Payroll Executive | Job Location: Glasgow Your new company You will be working for this international accountancy firm, who offer a full range of accountancy services. The payroll team, based in Glasgow, is growing, and they are looking to hire three additional executives to join them on a permanent basis. The firm offers a fast-paced environment and excellent career progression. Your new role Within this busy role you will ensure the accurate and timely delivery of client payrolls, …",24000,30000,permanent,2025-02-28T16:36:47Z,https://www.adzuna.co.uk/jobs/land/ad/5067159934?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F7C9ED0A41BFAFA447ADC2713B1FB6B01936EBE1,Accounting & Finance Jobs,executive
Audit Executive,HAYS,"Cardiff County, Wales","Audit role? Your new company Hays Recruitment is working with a reputable accounting firm dedicated to providing high-quality audit services. With a strong focus on compliance and meeting deadlines, they strive to deliver exceptional results to their clients. As a leader in the industry, they are a supportive and dynamic work environment that encourages professional growth and development. Your new role As an Audit Executive, you will be responsible for overseeing a significant number of audit …",41751.96,41751.96,,2025-03-12T06:16:21Z,https://www.adzuna.co.uk/jobs/land/ad/5088204816?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=772AB6D43EE35EE580EFFF22B79E004BBA56D575,Accounting & Finance Jobs,executive
Payroll Executive,HAYS,"Fareham, Hampshire","Join a leading accountancy firm in Fareham as a Payroll Executive Are you interested in working for a rapidly evolving company? Do you want a career where no two days are the same? Our client offers a dynamic environment with excellent learning and development support. About the Role: Our client is a leading firm of Accountants and Business Advisers operating across the UK, Ireland, and the Nordics. They are a top ten accountancy firm in the UK and the largest SME practice. This role ensures th…",38845.17,38845.17,,2025-04-11T16:41:57Z,https://www.adzuna.co.uk/jobs/land/ad/5140567923?se=rtbuITIe8BG-i3PTGXcHCQ&utm_medium=api&utm_source=e1ad5111&v=C47AAA5CF66EB769026C9CD969E23A0DD3653EFA,Accounting & Finance Jobs,executive
