title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Dévelopeur mobile,Norman Alex,"Ile-de-France, France","Dans le cadre de la refonte déjà entamée d'une application mobile, nous recherchons un développeur mobile expérimenté, capable de travailler en Kotlin (y compris sur iOS via Kotlin Multiplatform) et en Swift. Le rôle au sein de ce projet consiste à reprendre et poursuivre les développements sur une base existante, en étant le seul développeur dédié au projet. Il s'agit d'une mission à temps partiel, à raison de 3 jours par semaine. Autonomie, rigueur et capacité à s'adapter à un environnement h…",,,,2025-05-08T07:47:25Z,https://www.adzuna.fr/land/ad/5187917323?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=D61813166253F07CF47FE9993B1D50989E033D15,Unknown,développeur mobile,fr,développeur mobile,standard,False,False
Développeur mobile H/F,GROUPE LR TECHNOLOGIES,France,"Bienvenue chez LR Technologies Rhône-Alpes « Toutes les Sociétés de Conseil se ressemblent », Toutes ? LR TECHNOLOGIES GROUPE c’est 600 Libelliens qui nous ont élus Great Place To Work en 2016, 2018 et à présent 3e France et Europe 2021. Nous sommes également la 99e société française labellisée B CORP pour notre engagement RSE. Depuis 2014 nous avons créé 11 implantations et 5 pôles d'activités complémentaires : Aéronautique / Spatial / Défense Drone / Robotique / IoT / Automobile/ Ferroviaire …",,,,2025-04-30T07:25:57Z,https://www.adzuna.fr/land/ad/5169961610?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=8583CD9245DD8E5001BA4E11588E6E82AF03EB79,Unknown,développeur mobile,fr,développeur mobile,standard,False,False
Développeur Mobile React Native,Sander,"Paris, Ile-de-France","Marre des files d’attente interminables ? Rejoignez notre partenaire ! Mon partenaire, une start-up en forte croissance, repense l’expérience d’achat physique avec une solution web et mobile qui allie fluidité, ergonomie et performance. Leur objectif : simplifier la vie des utilisateurs et leur faire redécouvrir le plaisir des courses en magasin… sans passer par la case file d’attente. Ils développent une application ultra-ergonomique permettant de scanner, payer et sortir en toute autonomie. C…",,,,2025-05-04T09:25:17Z,https://www.adzuna.fr/land/ad/5179912708?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=488B99805B54909917B031BAEA8C2EB645228862,Unknown,développeur mobile,fr,développeur mobile,standard,False,False
Développeur Mobile iOS Expert H/F,GROUPE ALLIANCE,"Paris, Ile-de-France","Si le Nokia 3100 n’a pas de secret pour toi, le job qui suit t’intéressera. Ce que tu recherches : • Evoluer au sein d’une équipe dynamique • Participer à des projets innovants d’envergure • Relever des défis • Donner un nouveau souffle à ta carrière Alors nous avons la mission idéale pour toi ! Au sein d’un acteur majeur du secteur des médias, tu participeras à des projets d’envergure, et à des évolutions majeures à mettre en œuvre : Analyse des besoins, tu feras Spécifications techniques, tu …",,,,2025-03-19T03:14:54Z,https://www.adzuna.fr/land/ad/5100160699?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=CFA68BA404FE9304E57306828804C1DE4EBB7AD5,Unknown,développeur mobile,fr,développeur mobile,standard,False,False
Lead Développeur Mobile KOTLIN-JAVA (H/F),Hub One,"Ecully, Lyon","Au sein de la division Mobility de Hub One constituée de 180 collaborateurs, au siège de Dardilly, nous vous proposons de rejoindre le service Business Line Solutions Logicielles vous intervenez au sein d’une équipe de 5 personnes qui prend en charge des projets innovants visant par exemple à faciliter l’accès des machines aux clients : projets d’IoT, application mobile, application vocale, projet AMR… et bien d'autres projets. Vous reportez directement au Responsable des opérations. Vous êtes …",,,,2025-03-13T07:09:16Z,https://www.adzuna.fr/land/ad/5090696591?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=A34D28BCF9F13784B7A25F7286352440C16E5A4B,Emplois Informatique,développeur mobile,fr,développeur mobile,standard,False,False
Développeur Mobile Ios H/F,Inetum,"Rhône, Auvergne-Rhône-Alpes","Vous participerez activement au développement des applications gérées par le chapitre digital front. Vous serez intégré(e) dans une équipe dynamique et multidisciplinaire, où la collaboration et l'innovation sont au coeur de nos projets. Attendu : - Participation active au projet - Mise en place des bonnes pratiques de développement - Contribution à la création d'un produit en méthodologie Agile - Analyse des besoins et des spécifications techniques - Développement des fonctionnalités et des ap…",,,,2025-05-13T06:13:08Z,https://www.adzuna.fr/land/ad/5195828823?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=F36DBF87E2B82364715EDAD53CC63538509E0D4C,Unknown,développeur mobile,fr,développeur mobile,standard,False,False
Développeur Mobile Flutter H/F,AK Recrutement,"Rillieux-la-Pape, Lyon","Au sein d'une société ETI spécialisé en IT dans les domaines de la bureautique, du cloud et du logiciels, vous rejoindrez l'équipe développement Web et Mobile et travaillerez en environnement Agile. Vous travaillerez sur une solution de portail WEB/MOBILE. De l'analyse au suivi du projet, en passant par la mise en ligne, vous serez moteur et force de proposition pour participer au succès des projets. Vous serez en charge de : - Participer aux différents tests (unitaires, recette). - Assurer la …",30000,45000,,2025-05-13T06:13:09Z,https://www.adzuna.fr/land/ad/5195828901?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=593F8D0EAE653B759D792DAD67AB86F0B96C045B,Emplois Informatique,développeur mobile,fr,développeur mobile,standard,False,False
Développeur Mobile Android H/F,Inetum,"Rhône, Auvergne-Rhône-Alpes","Contexte : Vous participerez activement au développement des applications gérées par le chapitre digital front. Vous serez intégré(e) dans une équipe dynamique et multidisciplinaire, où la collaboration et l'innovation sont au coeur de nos projets. Attendu : - Participation active au projet - Mise en place des bonnes pratiques de développement - Contribution à la création d'un produit en méthodologie Agile Tâches : - Analyse des besoins et des spécifications techniques - Développement des fonct…",,,,2025-05-13T06:13:08Z,https://www.adzuna.fr/land/ad/5195828828?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=03DED6E71C4EF539EDA6518176A4895C181B775F,Unknown,développeur mobile,fr,développeur mobile,standard,False,False
Développeur Windev Mobile H/F,Digit Value,"Nice 13e Canton, Nice","Mission Nous recherchons un Développeur WinDev Mobile (H/F) pour renforcer l'équipe de développement de l'un de nos clients composée de 25 développeurs. Votre enjeu sera de maintenir et de faire évoluer leur produit ERP, développé en partenariat avec les meilleurs professionnels du transport. Vous serez en binôme avec un référent technique, dont l'expérience vous permettra de monter en compétence sur le logiciel. Vous développerez en Windev Mobile et ferez évoluer les applications vers des plat…",,,,2025-02-04T19:55:32Z,https://www.adzuna.fr/land/ad/5037288423?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=37B2FD0C6DEDF66C412F7C828AD8966A049E96D4,Unknown,développeur mobile,fr,développeur mobile,standard,False,False
Lead Développeur Mobile React Native / Flutter H/F,ADSEARCH,"Grasse, Alpes-Maritimes","[NoESN/SSII] En bref : CDI - Lead Développeur Mobile React Native / Flutter H/F - Création de poste - Editeur de logiciel - Valbonne - 50/70K€ - télétravail hybride Adsearch recrute pour l'un de ses clients dans le secteur du logiciel un Lead Développeur Mobile React Native / Flutter H/F Tu souhaites rejoindre une entreprise ambitieuse à la tête de laquelle, un entrepreneur visionnaire gère d'une main de maitre son développement ? Tu as envie d'évoluer au sein d'une équipe en construction que t…",,,permanent,2025-05-07T12:31:18Z,https://www.adzuna.fr/land/ad/5184985918?se=9NtOYGMw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=7C24E0F85538A0388F47E16AE13A3E86EF731403,Unknown,développeur mobile,fr,développeur mobile,standard,True,False
