title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
"Video Streaming Engineer - Imaging, Playback and Review Tools",DNEG,UK,"Description Position at DNEG English version will follow Rédigé au masculin pour alléger le texte Résumé DNEG recherche un ingénieur logiciel C++ expérimenté pour rejoindre l’équipe derrière xSTUDIO , notre application open source de lecture vidéo et de revue d’images conçue pour les industries du VFX et de l’animation. Dans ce rôle, vous contribuerez au développement d’une solution de diffusion en temps réel de vidéo HD entre nos studios à l’international, avec l’objectif d’offrir une expérien…",51049.81,51049.81,,2025-04-27T17:16:56Z,https://www.adzuna.co.uk/jobs/details/5165760865?utm_medium=api&utm_source=e1ad5111,IT Jobs,ingénieur logiciel,gb,ingénieur logiciel,standard,False,True
Machine Learning: Performance Developer Remote or Hybrid Canada or United States,Autodesk,"SoMa, San Francisco","Job Requisition ID  25WD85972 25WD85972, Machine Learning : Développeur de performances French translation will follow!/La traduction en français suivra! Présentation du poste Le travail que nous faisons chez Autodesk touche presque chaque personne sur la planète. En créant des outils logiciels pour la construction de bâtiments, de machines et même des derniers films, nous influençons et donnons les moyens d'agir à certaines des personnes les plus créatives au monde. En tant qu'ingénieur en app…",123043.71,123043.71,,2025-02-24T09:15:08Z,https://www.adzuna.com/details/5062118834?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,ingénieur logiciel,us,ingénieur logiciel,standard,True,False
Responsable Technique Logiciels,Mobyclic,US,"Informations générales Référence Equans_60781 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Responsable Technique Logiciels Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez Equans, nos équipes Ineo Defense interviennent sur des projets critiques et stratégiques de la Défense Nationale en concevant et produisant des solutions complexes, innovantes et uniques afin de répondre aux besoins stratégiques des forces armées ? Ineo Défens…",53237.62,53237.62,,2025-03-03T19:08:24Z,https://www.adzuna.com/details/5072853773?utm_medium=api&utm_source=e1ad5111,IT Jobs,ingénieur logiciel,us,ingénieur logiciel,standard,False,False
Responsable Technique Logiciels,Groupe Bouygues,US,"Informations générales Référence Equans_60781 Date de parution 08/05/2025 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Responsable Technique Logiciels Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez Equans, nos équipes Ineo Defense interviennent sur des projets critiques et stratégiques de la Défense Nationale en concevant et produisant des solutions complexes, innovantes et uniques afin de répondre aux besoins stratégiques des…",59515.6,59515.6,,2025-03-03T19:05:15Z,https://www.adzuna.com/details/5072847462?utm_medium=api&utm_source=e1ad5111,IT Jobs,ingénieur logiciel,us,ingénieur logiciel,standard,False,False
Software Engineer (Jr to Sr Levels),nomic,US,"About us: Nomic was founded with the purpose of making biology easier to measure. To do this, we have untangled some of the most difficult problems in protein profiling. Our team is combining DNA nanotechnology, high-dimensional flow cytometry, laboratory automation, and machine learning to develop the world’s highest throughput proteomic platform: the nELISA. Since spinning out of McGill University, we have partnered with and provided platform access to dozens of drug discovery groups includin…",78663.91,78663.91,,2024-08-08T09:50:50Z,https://www.adzuna.com/details/4816981591?utm_medium=api&utm_source=e1ad5111,Scientific & QA Jobs,ingénieur logiciel,us,ingénieur logiciel,standard,False,False
Ingénieur logiciel Java,FINAXYS,"Nantes, Loire-Atlantique","Au sein de l’équipe de développement agile, votre rôle sera de participer aux développements afin de faire évoluer le produit au fil des besoins du projet. Vos tâches : · Vous participez activement à la vie de l’équipe et êtes autonomes sur l'attribution des tâches · Vous concevez des solutions pour répondre au besoin du Produit et contribuez au maintien des outils de l'équipe · Vous réalisez des estimations de charge ou de complexité d’une évolution et des tâches à effectuer, vous remontez les…",,,,2025-04-30T07:24:02Z,https://www.adzuna.fr/land/ad/5169960475?se=EiGGQ2Mw8BGJwwQk3LWCew&utm_medium=api&utm_source=e1ad5111&v=0AB094111F2B62ED421739C643D3EFED2C0224FA,Emplois Comptabilité et Finance,ingénieur logiciel,fr,ingénieur logiciel,standard,False,False
Ingénieur Logiciel Expert H/F,Docaposte,"Bouches-du-Rhône, Provence-Alpes-Côte d'Azur","Description de la mission Développeur polyvalent en capacité de modéliser clairement des problématiques métiers, parfois complexes, propre au logiciel EDT. Missions principales : - Modélisation et co-construction avec l'équipe design et les testeurs logiciels des nouvelles fonctionnalités de EDT. - Correction des anomalies remontées - Evolution de la base de données SCOLYS (requêtes, services, tests unitaires) - Refactoring et refontes diverses pour maintien à l'état de l'art technique. - Rédac…",,,,2025-03-28T08:32:40Z,https://www.adzuna.fr/land/ad/5115415430?se=EiGGQ2Mw8BGJwwQk3LWCew&utm_medium=api&utm_source=e1ad5111&v=6522FFA3776E3B2CBC38B59861C27A02763BE707,Emplois Autres/Général,ingénieur logiciel,fr,ingénieur logiciel,standard,False,False
Ingénieur logiciel/Ingénieure logiciel,Groupe DLSI,"Villebon-sur-Yvette, Palaiseau","Le Groupe DLSI et son agence d'Orsay recrutent pour un de leurs clients, un : Ingénieur Logiciel (h/f) Votre profil Titulaire d’un Bac 5 en informatique, électronique ou formation généraliste avec une spécialisation en développement logiciel 2 ans d'expérience minimum dans un domaine similaire Maîtrise des langages Python et C++ Connaissance de frameworks comme Django, Flask ou Pyramid Esprit de synthèse et sens de l'organisation Capacité à travailler en autonomie et en équipe Votre mission Dév…",,,,2025-05-07T04:12:16Z,https://www.adzuna.fr/land/ad/5184406365?se=EiGGQ2Mw8BGJwwQk3LWCew&utm_medium=api&utm_source=e1ad5111&v=830496974EC41FF91A428078E686C55E7388A7E2,Unknown,ingénieur logiciel,fr,ingénieur logiciel,standard,False,False
Ingénieur logiciel/Ingénieure logiciel,Paragon Western Europe,"Marcq-en-Baroeul, Lille","Type de contrat : CDI  Expérience requise : Minimum 3 ans  Qui sommes-nous ? Le Groupe Paragon, leader mondial de la transformation des process métiers, de la communication client omnicanale et de l'identification des produits et des personnes est présent à l'international dans 17 pays et emploie plus de 10 000 personnes à travers l'Europe pour un chiffre d'affaires annuel de plus d'1,5 milliards d'€. Notre région, Paragon Western Europe, représente 2000 collaborateurs et 300m€ de CA. Dans le …",,,,2025-04-30T07:25:47Z,https://www.adzuna.fr/land/ad/5169961398?se=EiGGQ2Mw8BGJwwQk3LWCew&utm_medium=api&utm_source=e1ad5111&v=AB56BF893D0B055DA20FD42CC2EB0FBE180ED91F,Unknown,ingénieur logiciel,fr,ingénieur logiciel,standard,False,True
Ingénieur logiciel/Ingénieure logiciel,Thales,France,"Nous recherchons un Ingénieur Full Stack (F/H) Quelques mots sur les activités numériques de Thales : Les activités numériques représentent une entité rattachée au groupe Thales, spécialisée dans l’IT et présente au national. L’agence de Montbonnot adresse divers sujets d’expertise : ingénierie logiciels, cybersécurité, infogérance des infrastructures et transformation digitale. Votre rôle et missions Travailler au sein d'une équipe Scrum avec d'autres développeurs de logiciels, en mode Agile C…",,,,2025-04-21T04:49:25Z,https://www.adzuna.fr/land/ad/5154914988?se=EiGGQ2Mw8BGJwwQk3LWCew&utm_medium=api&utm_source=e1ad5111&v=D4F3EB5F90F279E7484231F94B4BEB8EF508589C,Unknown,ingénieur logiciel,fr,ingénieur logiciel,standard,False,False
