title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Javascript Engineer,Zellis,"Croxley Green, Rickmansworth","About the role We have an exciting opportunity for a JavaScript Engineer to join the elementsuite team,whos passionate about creating engaging, high-quality products and tools. You'll be working closely with our Application Development team, contributing to our cutting-edge HR software platform. This is a hands-on role where youll build user-centric, performant interfaces while following modern engineering standards.If you're someone who thrives in a fast-paced, agile environment and enjoys wor…",67893.41,67893.41,permanent,2025-03-28T15:55:26Z,https://www.adzuna.co.uk/jobs/land/ad/5116064470?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=451638A9840CA31E9E259B0A9015826BF6364344,IT Jobs,javascript,gb,javascript,standard,False,False
Software Engineer - JavaScript / Web GL,Coburg Banks Limited,"Holbeck, Leeds","Role: Software Engineer - JavaScript / WebGL Location: Based in Central Leeds by the station, in amazing offices. Salary: £60,000 to £80,000 plus benefits This company is at the forefront of leveraging cutting-edge technology encompassing AR, VR, AI and 3D Rendering to redefine their sector. Started three years ago, they are fully funded and now have a major organisation as their majority shareholder. They have developed a Software as a Service (SaaS) platform that is currently at the MVP stage…",80000,80000,permanent,2025-04-28T18:47:32Z,https://www.adzuna.co.uk/jobs/land/ad/5166947936?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=13BC66C13E3B4D58F38C587175FF04DBEF5DF3E1,IT Jobs,javascript,gb,javascript,standard,False,False
Javascript Developer,Accelero,UK,"JavaScript Developer – Remote  Location: Remote (United Kingdom)  Employment Type: Full-Time We’re partnering with an innovative SaaS company delivering scalable, cloud-based solutions to clients worldwide. Their platform is used by thousands of businesses globally, and they’re now seeking a JavaScript Developer to help expand their web product offerings. About the Role: As a JavaScript Developer, you’ll be involved in building scalable front-end applications using modern frameworks. You’ll co…",44410.96,44410.96,,2025-05-01T06:56:46Z,https://www.adzuna.co.uk/jobs/land/ad/5171940771?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=2BB23705AC50B31036AEE18A8554671BEE357A4A,IT Jobs,javascript,gb,javascript,standard,True,True
Javascript Developer,Plan A Digital,"London, UK","Javascript Developer UI – React, Typescript - FinTech Remote First | London (UK) | Up to £115k  Benefits Are you a Javascript developer who thrives in a collaborative, test-driven environment? Do you believe in pair programming, continuous integration, and clean, maintainable code? If so, we’d love to hear from you. Our FinTech client could be the ideal role for you Skills: Full-time pair-programming mindset Commercial React, Typescript experience - (Java nice to have) as well as with an OOP la…",54284.07,54284.07,,2025-04-30T06:41:48Z,https://www.adzuna.co.uk/jobs/land/ad/5169972698?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=FE022AC0C27A9E64E604C871F90D5393239C8091,IT Jobs,javascript,gb,javascript,standard,True,False
Javascript Developer,Propel,"London, UK","Calling all React Native Engineer - 6 month Contract - Remote - MUST be based in the UK - Outside IR35 Job Description: You will be responsible for developing and maintaining high-quality mobile applications using React Native. You'll collaborate with cross-functional teams to deliver modern, performant software solutions that meet our clients' needs. This is a unique opportunity to contribute to meaningful projects while working remotely with a distributed team. Requirements: ● 2 years of exp…",63898.37,63898.37,contract,2025-04-12T05:07:33Z,https://www.adzuna.co.uk/jobs/land/ad/5141658748?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=4E6C4925BABF6FABAC22BFFDD5C01509C0D5580A,IT Jobs,javascript,gb,javascript,standard,True,False
Javascript Developer,Forward Role Recruitment,"Manchester, Greater Manchester","App Developer | Frontend Developer | Mid Level | Finance | FinTech | Scaleup | JavaScript | TypeScript | React | React Native | DDD | TDD | Manchester | Hybrid | £45,000 - £55,000 Are you a passionate JavaScript developer looking to put yourself on a better career trajectory? Are you happy in your current role but would prefer more stability and more opportunities for growth? If so, look no further  I have recently brought on a number of new roles with one of our longest standing Technology cli…",54727,54727,,2025-05-04T08:51:30Z,https://www.adzuna.co.uk/jobs/land/ad/5179916139?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=A36DABA938857EAFEBACB5F4DA879A12BD81F3F7,IT Jobs,javascript,gb,javascript,standard,False,False
Javascript Developer,Harrington Starr,"London, UK","Angular Software Engineer Angular Material, Angular, UI, HTML5, CSS, NgRX, RXJS, TypeScript, UX Design. London based role - Applicant must be based in the UK – Perm Role Fin-Tech - Portfolio management – £80000 plus bonus and benefits Harrington Starr has partnered with a Software Provider that is looking to hire a Software Engineer with experience using Angular and Angular Material to come and work on a Greenfield Project where you will take full ownership on a major UI project. This is a grea…",64301.77,64301.77,permanent,2025-05-01T06:53:18Z,https://www.adzuna.co.uk/jobs/land/ad/5171927299?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=6327347235BE4F2152DC5227A197721968AF8113,IT Jobs,javascript,gb,javascript,standard,False,False
Javascript Developer,Ncounter Technology Recruitment,"London, UK","TypeScript / React Developer – High-Performance Trading Platform Take ownership of automating and scaling a platform that is critical to the success of a cutting-edge high-frequency trading system, handling immense data volumes at extreme speeds. This is an opportunity to work at the forefront of Quantitative Investment Management, developing a new generation of order gateway processes that drive real-time decision-making. As part of a highly collaborative Data and Services team, you will desig…",83397.23,83397.23,,2025-04-30T06:41:33Z,https://www.adzuna.co.uk/jobs/land/ad/5169972398?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=EEA0B1E13C406AF56D70E1CE5B6428ACF3BD64D9,IT Jobs,javascript,gb,javascript,standard,False,False
Senior JavaScript Developer,Euronet Worldwide,"Billericay, Essex","We are looking for a highly motivated Senior Vue.js Developer to join our team. You will be responsible for evolving and scaling our existing platforms as well as working on new greenfield projects. Mentoring other developers, practising excellent communication and motivation within the team is essential. There is a lot of scope for responsibility and the individual should be comfortable taking ownership of and managing all aspects of the front-end stack. You will join a team of front-end, back…",56764.41,56764.41,,2025-04-02T15:32:56Z,https://www.adzuna.co.uk/jobs/land/ad/5124305045?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=BE4DF849A7870AB67BF3A32A3904F9F76B4C31A8,IT Jobs,javascript,gb,javascript,standard,False,False
Software Developer JavaScript Angular C# Azure,Client Server,"Sidlow, Reigate","Software Developer / Engineer (JavaScript Angular C# Azure) Reigate / WFH to £80k Are you a full stack technologist looking to work on complex and challenging systems with continual learning and career development opportunities? You could be progressing your career in a senior hands-on role at a global InsurTech. As a Software Developer you will join the team responsible for the flagship SaaS insurance platform that handles 4 billion requests per month, playing a key role in designing and devel…",80000,80000,permanent,2025-04-29T14:49:41Z,https://www.adzuna.co.uk/jobs/land/ad/5168665336?se=7AkFTO4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=E25DAB941ACDD9700D54BE16DC8D5FED6D38550B,IT Jobs,javascript,gb,javascript,standard,False,True
