title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Python Developer,Insight Recruitment Solutions,"London, UK",A global insurance company in the City of London seeks a Python Developer to assist the Actuaries in the build out and maintenance of the Underwriting and Pricing Platform to establish efficiencies with the team's underwriting and pricing workflows and support the development of cutting-edge technical solution using Python. You will be translating existing Excel rating models into the Underwriting and Pricing Platform and implement required changes and resolved bugs raised during development an…,35000,35000,permanent,2025-05-01T14:39:56Z,https://www.adzuna.co.uk/jobs/land/ad/5173067788?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=D8AB4CD88A516F6BF66B012981C523D1A5CB4399,IT Jobs,python,gb,python,standard,False,True
Python Developer,hireful,"Leeds, West Yorkshire","Are you looking to take your Python coding & Agile software engineering skills to the next level, working on AI focussed software solutions ? Interested in joining an ambitious AI tech start-up (established) & learning from software industry veterans, who have over 20 years in the Software Engineering & Tech world? If you are up for a challenging, yet very rewarding role at a company that provides an exceptional level of flexibility around technology & working practices, then we would like to h…",50000,50000,permanent,2025-04-11T13:49:45Z,https://www.adzuna.co.uk/jobs/land/ad/5140478563?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=EAA23A990F6E1C0F94963F91964D3D7E85C901E9,IT Jobs,python,gb,python,standard,False,False
Python Developer,Morson Talent,"Heap Bridge, Bury","Python Developer (Remote or Office-Based) We are seeking a skilled Python Developer to join our team. This role is available on either a temporary or permanent basis, offering flexibility based on the candidate's preferences. While this is a fully remote position, those who prefer an office environment are welcome to work from one of our locations. Role Overview As a Python Developer , you will be responsible for developing and maintaining business applications that streamline workflows. Your w…",90000,90000,permanent,2025-04-03T17:22:21Z,https://www.adzuna.co.uk/jobs/land/ad/5126915008?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=E99AA7C24A4D6D85887B2B2110DBACE099E4CB13,IT Jobs,python,gb,python,standard,True,False
Senior Python Engineer,Anson Mccade,"Leeds, West Yorkshire","Senior Python Engineer £55,000 to £70,000 Bonus Hybrid WORKING Location: United Kingdom (Yorkshire and the Humber - Hybrid Leeds) Type: Permanent Role: Senior Python Developer Work Type & Location: 1 Day Per Week in leeds Role Type: Permanent, £55,000 to £70,000 (DOE) Start Date: Immediately We are working with a leading digital consultancy, supporting a range of innovative transformation projects across both public and private sectors. They are known for delivering modern, scalable user-centre…",66660.29,66660.29,permanent,2025-05-03T14:39:34Z,https://www.adzuna.co.uk/jobs/land/ad/5178633881?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=D77F7EA4D0F02AA76D3B35DD477F27E143C97B25,IT Jobs,python,gb,python,standard,False,False
Integration Engineer / Python,Halian Technology Limited,"London, UK","My client is an Innovative Health Tech company on a mission to improve healthcare delivery through smart technology to streamline operations, enhance patient care and deliver better outcomes. As they grow, we're looking for a detailed-orientated Integration Developer to join their team and help them build and maintain high-quality, robust integrations. About the Role As an Integration Developer, you will be working on developing, testing, and maintaining integrations between our platform and ex…",65000,65000,permanent,2025-04-01T21:09:12Z,https://www.adzuna.co.uk/jobs/land/ad/5122810694?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=43F835C8B39E20EF2C25059E16D1F2B8DD92614C,IT Jobs,python,gb,python,standard,False,False
"Python Developer, Backend, Postgres, Python, Fully-remote, COR7230A",Corriculo Ltd,"Ardwick, Manchester","Python Developer, Backend, Postgres, Python, Fully-remote, COR7230A This is an excellent opportunity for a high-calibre, backend-focused Python Developer to join an exciting climate tech start-up, working on a fully-remote basis to develop a SaaS platform. What will I be doing? As a Python Developer, you will help define and shape new product features, using your skills in Python and Postgres to develop, test and release new functionality. The current tech stack comprises: Backend: Python expos…",85000,85000,permanent,2025-05-02T20:04:55Z,https://www.adzuna.co.uk/jobs/land/ad/5177150437?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=C40C83EB806769E05B9FB17C26654BD3C82C232F,IT Jobs,python,gb,python,standard,True,False
Senior Software Engineer (Python),McGregor Boyall Associates Limited,"Woking, Surrey","Senior Software Engineer (Python) Role Overview As a Senior Specialist Python Software Engineer, you will deliver key software projects using Python and its comprehensive ecosystem of tools and frameworks. You'll join a cross-functional Software & Data Science team, collaborating closely with data scientists, machine learning experts, and DevOps specialists. This role has opened due to ongoing growth and expansion, aiming to enhance the team's capability in delivering strategic and performance-…",95000,95000,permanent,2025-04-17T14:03:17Z,https://www.adzuna.co.uk/jobs/land/ad/5149656543?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=1748A1C3ED361A3508F2BD9D08E758EDC778D3E4,IT Jobs,python,gb,python,standard,False,False
Python Developer - Investment Bank,McGregor Boyall Associates Limited,"Glasgow, Scotland","Our client, a leading financial services firm, is seeking a Python Engineer for their Data Leakage Prevention team in Glasgow. The Role Join a global team implementing security controls across cloud and on-premises environments with a strong Agile/DevOps culture. Key Responsibilities: Develop and maintain Python applications, APIs, and connectors Automate cloud and on-premises security infrastructure Improve development practices (IaC, test automation, CI/CD) Collaborate with global teams on se…",117000,143000,contract,2025-04-09T13:39:00Z,https://www.adzuna.co.uk/jobs/land/ad/5137128087?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=7C95B38ACB58E1637A982169E49C28DF1567E7FD,IT Jobs,python,gb,python,standard,False,True
AI Engineer Python LLM,Client Server,"The City, Central London","AI Engineer / Developer (Python LLM) London / WFH to £65k Want to work on intellectually and technically challenging AI systems at the cutting edge of what is possible, whilst learning and collaborating with an amazing team and enjoying flexible working and a range of other perks? You could be progressing your career as an AI Engineer at a well-established AI company acting as tech incubator within the World Economic Forum to tackle issues like climate change, AI adoption, battery technology an…",65000,65000,permanent,2025-04-30T18:38:03Z,https://www.adzuna.co.uk/jobs/land/ad/5170880930?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=559E9FEDF68B4610A3DE1C719E684339CD1C7318,IT Jobs,python,gb,python,standard,False,False
Full Stack Engineer - Python,Rebel Recruitment,"Nottingham, Nottinghamshire","Role: Python/Django Full-Stack Software Engineer Location: Nottingham Working Arrangement: Hybrid 3 days a week in the office Salary: Up to £ 80,000  Benefits Are you a software engineering veteran? Can you showcase your battle scars from all the development projects that youre proud of over the years? Have you previously solved the problem of what many would see as a technical nightmare or impossibility? Do you dream of coding? If so, keep reading because Ive got a cracking role on! I'm on the…",80000,80000,permanent,2025-04-03T21:34:42Z,https://www.adzuna.co.uk/jobs/land/ad/5127858163?se=eoibF-4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=ED31F32F188E87577276A623D7991E07C74FB4B8,IT Jobs,python,gb,python,standard,False,False
