title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Software Developer,Alces Flight,"Bicester, Oxfordshire","SOFTWARE DEVELOPER / OXFORDSHIRE / UP TO £45,000 & GREAT BENEFITS Amazing new opportunity for a Software Developer to join a growing tech organisation. Excellent pay, flexible hours and ongoing training and support to ensure you realise your potential! Alces Flight designs and develops innovative software for AI & HPC/supercomputer systems across the UK. We are advocates of open-source software and strongly believe in community-driven development. We have a wide customer base in multiple market…",50000,50000,permanent,2025-04-16T17:58:44Z,https://www.adzuna.co.uk/jobs/land/ad/5147555969?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=2C3A01A8217649AFC9FF5A7A2BDE7592424F2F95,IT Jobs,software developer,gb,software developer,standard,False,False
Software Developer,Intertek,"Scotland, UK","ABOUT YOU We are seeking a talented Software Developer to join our dynamic team on a 12-month fixed term contract. The successful candidate will play a crucial role in designing, developing, and maintaining high-quality software. We are seeking someone who has experience and knowledge of developing applications using Python, C#, JavaScript, .Net, HTML and CSS. Required skills and experience: Demonstrable experience in application development and integration Familiarity with computing science, d…",43330.45,43330.45,permanent,2025-04-10T17:44:18Z,https://www.adzuna.co.uk/jobs/land/ad/5138977159?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=6D1647D29DDC0DC00D5E846CB5A32450F1A03CB7,IT Jobs,software developer,gb,software developer,standard,False,False
Software Developer,Guidant Global,"Portsmouth, Hampshire","Job Description The developer shall join a 7 member scrum team as part of a wider program to deliver a management systems for a new Satellite. The developer shall contribute to all stages of the software development lifecycle and thus have solid experience in design (particularly using UML), development (particularly using Java technologies) and test. The developer should have experience of working with microservices. Automated testing is a critical part of the project so any experience of this…",114400,114400,contract,2025-04-15T17:55:29Z,https://www.adzuna.co.uk/jobs/land/ad/5145908378?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=D00050CDC3A7CD21970DD880E5FAB958A3D1BE4C,IT Jobs,software developer,gb,software developer,standard,False,False
Software Development Manager,Franklin Bates Limited,"Manchester, Greater Manchester","Software Development Manager - AI Product Location: Fully Remote Salary: 70k About Us: Our client is a leading organization dedicated to revolutionizing business decision-making through cutting-edge AI technology. Their mission is to create innovative products that empower businesses to make faster, smarter, and more strategic decisions. Join us on our exciting journey of pushing boundaries in AI-driven solutions. Role Overview: We are seeking a skilled Software Development Manager to lead and …",80000,80000,permanent,2025-04-28T18:47:37Z,https://www.adzuna.co.uk/jobs/land/ad/5166948290?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=E2E65F38845A352DFDEF1B04596E6C2141DE5B02,IT Jobs,software developer,gb,software developer,standard,True,False
Senior Software Developer,Spectrum It Recruitment Limited,"Bracknell, Berkshire","Senior Software Developer - C# Senior Software Developer required by a leading Cloud Technology company based in Bracknell. The company are working on cutting-edge technology including AI and propensity modelling. This is a brand-new position due to growth and will join a well-established, high calibre development team. The company operate on a hybrid model which involves 3 days in the office and 2 days from home. Essential experience: Degree in Computer Science or other STEM subject ideally fr…",85000,85000,permanent,2025-05-09T02:55:24Z,https://www.adzuna.co.uk/jobs/land/ad/5189622326?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=E1BB47950DCF6B5610C2E4B12EACC45128E4EBF5,IT Jobs,software developer,gb,software developer,standard,False,False
Software Development Manager,ZENOVO LTD,"Bristol, South West England","Job Title: Software Manager Location : Bristol Salary : Up to £80,000 (Depending on experience) Working Arrangement: 3 Days On-Site Per Week Job Overview: As a Hands-On Software Manager, not only will you be overseeing a team of skilled Software Engineers and responsible for ensuring the team's productivity and efficiency, you will also be leading programming activities, ensuring projects remain on course and timescales are met. This role requires strong leadership skills, technical expertise, …",80000,80000,permanent,2025-05-13T20:09:54Z,https://www.adzuna.co.uk/jobs/land/ad/5197013564?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=B75CCD6582C565AD1AA0ADA44B5E0713596B4173,IT Jobs,software developer,gb,software developer,standard,False,False
Graduate Software Developer,Dorset Software,"Poole, Dorset",Did you realise that your STEM degree could lead directly to an incredible career in Software Development? Dorset Software is a leading provider of digital technology consultancy services. We deliver innovative software development programmes to a range of high-profile clients spanning multiple industries. We have rewarding opportunities for STEM graduates and PhDs to join our consulting team. No previous experience is needed as our unique 5-month training scheme covers everything you need to k…,30000,30000,,2025-03-28T23:58:12Z,https://www.adzuna.co.uk/jobs/land/ad/5117001375?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=AA5ECEE1D4929D741D198F9844A4527763F47611,Graduate Jobs,software developer,gb,software developer,standard,False,False
Lead Software Developer,Defence,"Bristol, South West England","Software Developer Location : Stevenage or Bristol Dynamic (hybrid) working : 3-4 days per week on-site due to workload classification Security Clearance : British Citizen (UKEYES Only) The opportunity: This is a hands on role working collaboratively with Project Leads, Simulation Architects and the wider project team, with the development of synthetic environments using the C family of programming languages. The role combines aspects of technical leadership, project management and team buildin…",54209.32,54209.32,permanent,2025-05-13T23:07:11Z,https://www.adzuna.co.uk/jobs/land/ad/5197198358?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=E493D0614215EDDFF103E7B6E1FB65DE2F20214F,IT Jobs,software developer,gb,software developer,standard,False,False
Senior Software Developer,Ascent,"Manchester, Greater Manchester","A bit about Ascent Ascent Performance Group Ltd is a highly successful legal and financial services company. Our clients include major UK banks and global blue-chip companies, we have extensive experience in debt recovery, collections, mediation, litigation, and related services. At Ascent we live by our five core values: Be pioneering Be approachable and caring Be tenacious Be efficient Show integrity The Team: Reporting into the Head of Continuous Improvement & Business Development, the team'…",55000,55000,permanent,2025-05-01T22:39:58Z,https://www.adzuna.co.uk/jobs/land/ad/5174739048?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=E8665B28C9BF32FF4875F2B3F2751F406C66121D,IT Jobs,software developer,gb,software developer,standard,False,True
Principle Software Developer,Solus Accident Repair Centres,"North West London, London","Overview As a Principle Software Developer, you will lead the technical direction and execution of software projects, ensuring alignment with the organization's strategic goals. Driving innovation, mentoring junior developers, and ensuring the successful delivery of scalable and maintainable systems. Responsibilities You play a key role in overseeing the development of our in-house Software, Evolve, which is hosted in cloud environment. You will collaborate closely with both our internal develo…",65000,65000,permanent,2025-04-18T18:01:15Z,https://www.adzuna.co.uk/jobs/land/ad/5151840238?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=1E44D47423F35758A38D6B0A55560680E78A67F5,IT Jobs,software developer,gb,software developer,standard,False,False
C# Software Developer,KO2 Embedded Recruitment Solutions LTD,"Farnworth, Bolton","C# Developer - Leading Industry Innovator - Exciting New Projects Are you a passionate and skilled C# Developer looking for your next challenge? Do you want to be part of a forward-thinking company at the forefront of their industry? Our client, a market leader in their field, is expanding their development team due to an influx of exciting new project work - and they want you on board. Location: Bolton Salary: Up to £50,000  benefits Position Type: Full-time / Permanent Key Skills & Experience…",50000,50000,permanent,2025-04-25T18:25:16Z,https://www.adzuna.co.uk/jobs/land/ad/5162483937?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=3D63292EBED6FEEC0E720B859C7F9B0FBBDABB93,IT Jobs,software developer,gb,software developer,standard,False,False
Software Developer - C#,KO2 Embedded Recruitment Solutions LTD,"Trafford Park, Manchester","Join KO2's Client - A Leader in Complex Automation Systems Using Novel AI Techniques Are you an ambitious developer looking to work at the cutting edge of access control technology? KO2's client, a leader in designing and developing complex automation systems, is seeking a talented developer to join their dynamic team. Specialising in novel AI techniques, this unique business creates highly intricate automation systems used in access control that run on embedded environments. This is a rare opp…",55000,55000,permanent,2025-04-28T18:47:38Z,https://www.adzuna.co.uk/jobs/land/ad/5166948349?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=C72C17B8BC7B17442EF75A14D60059291E973613,IT Jobs,software developer,gb,software developer,standard,False,False
Software Developer - C++,Redline Group Ltd,"Cowes, Isle Of Wight","Are you an Engineer with a background in C++? Are you a Software Engineer looking for a new challenge or to join global multi billion dollar company? If so I'd like to speak with you! An exciting opportunity has arisen for a Software Developer - C++ based in Isle of Wight to join a market leading technology organisation. Due to continued growth they are seeking a Software Developer - C++ in their Isle of Wight office to be responsible for research, design, implementation and testing of software…",40000,55000,permanent,2025-05-08T06:06:22Z,https://www.adzuna.co.uk/jobs/land/ad/5187873882?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=F0334E4C20964C1BCEECABD5D426BB6EF666BE4B,IT Jobs,software developer,gb,software developer,standard,False,True
Senior Software Developer Rust,Franklin Bates Limited,"Newland, Malvern","Senior Software Developer £80,000-£110,000 depending on experience and skillset Flexible hybrid set up (Worcestershire office anywhere from 5 days a week to monthly, as preferred) Do you have a Rust software development background? Drive development of an original Linux-based network security appliance as a Senior Developer, taking ownership for security software and systems development within a thriving technology organisation providing security solutions for regulated industries from governme…",100000,100000,permanent,2025-04-23T22:17:36Z,https://www.adzuna.co.uk/jobs/land/ad/5159099986?se=LriaJmMw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=C2AF859BCF3662210C1EA838F948964A81D32262,IT Jobs,software developer,gb,software developer,standard,True,False
