title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Software Engineer - Submarines,Rolls Royce,"Pear Tree, Derby","Job Description Software Engineer Full Time, 5 days in the Office Derby, Raynesway. An exciting opportunity has arisen for a Software Engi neer to join Rolls-Royce Submarine. This role will offer you the opportunity to work across all phases of the product life cycle, solving technical challenges across a wide range of digital, software, programmable hardware and electronics technologies, systems, and applications. You will be able to build the career you desire as an engineer, technical specia…",37498.16,37498.16,,2025-05-01T09:59:14Z,https://www.adzuna.co.uk/jobs/land/ad/5172383885?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=DD7B8F40E499D9449AED183A28D6D2591BF7A68D,IT Jobs,software engineer,gb,software engineer,standard,False,False
Software Engineer,KO2 Embedded Recruitment Solutions Ltd,"Manchester Science Park, Manchester","Position: Software Engineer Salary: Up to £60,000 Office Location: Manchester City Centre The Role: An exciting position has now been created for a Software Engineer to join one of the UK's leading design consultancies in their central Manchester based offices. The successful Software Engineer will be joining a growing team and be given the chance to contribute across a range of cutting-edge software solutions in the IoT, Automotive, Medical, Green Energy and industrial automation sectors. Skil…",60000,60000,permanent,2025-04-04T13:39:11Z,https://www.adzuna.co.uk/jobs/land/ad/5129247335?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=75FEA6EA0C00D2B7B7C9641964897F6CF1028EB9,IT Jobs,software engineer,gb,software engineer,standard,False,False
Software Engineer,Bennett and Game,"Wokingham, Berkshire","Software Engineer required for a pharmaceutical systems company based in Wokingham. The ideal candidate will be based locally and have experience in a similar role. The successful candidate will be in a team of software professionals responsible for the requirements, design, construction, integration, testing verification and maintenance of software products. Software Engineer Job Overview Development of Windows software in Visual Studio C++ and C# Utilise software engineering tools such as sou…",55000,55000,permanent,2025-04-28T18:47:31Z,https://www.adzuna.co.uk/jobs/land/ad/5166947867?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=825F99A295CA486331E63BCA9E15374E84DC01BC,IT Jobs,software engineer,gb,software engineer,standard,False,False
Software Engineer,Guidant Global,"London, UK","Software Engineer Contract onsite in London Day rate: £550 - £675 per day inside IR35 We're currently seeking an accomplished and highly ambitious Software Engineer to work with our exceptional client, a world class brand in a secure environment to drive major business transformation, process and technical change across this complex organisation. This contract roles will require you to conduct security clearance prior to assignment. The Software Engineer role is conducted in an environment that…",143000,175500,contract,2025-05-01T22:39:58Z,https://www.adzuna.co.uk/jobs/land/ad/5174739033?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=F62A2C1ADC6795ABE3065951D959E15FFC2F599E,IT Jobs,software engineer,gb,software engineer,standard,False,False
Software Engineer,Rebel Recruitment,"Sheffield, South Yorkshire","Role: Software Engineer Location: Hybrid, one day a week in Sheffield Salary: Up to £50k Are you the type of developer who loves having your autonomy and ownership over projects? Are you the type of developer who enjoys working in a collaborative environment with people you can learn from? Are you the type of developer who loves working on cutting-edge technology? If you like working in excitable, fast-moving start-ups where the tech and culture are amazing. There is a clear vison from the busi…",50000,50000,permanent,2025-04-23T14:15:20Z,https://www.adzuna.co.uk/jobs/land/ad/5158101156?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=04E58BB359D37A6BA4FA5FD5CB7D0B7E2CE376B5,IT Jobs,software engineer,gb,software engineer,standard,False,False
Software Engineer,The Thrive Team,"Newcastle Upon Tyne, Tyne & Wear","Software Engineer Newcastle upon Tyne, Tyne & Wear Competitive remuneration package offered. Salary negotiable and dependent on experience. An opportunity to join an exciting organisation as a Software Engineer. The Research and Development function is a multi-disciplined team that sits within the wider Engineering function. The teams primary responsibility is to track the latest technology and engineering advancements and create novel solutions to previously unsolved complex problems faced by …",60000,60000,permanent,2025-05-01T02:35:06Z,https://www.adzuna.co.uk/jobs/land/ad/5171590952?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=2656867817B1B3EC8F6DF6F3140798C92AAAA91A,IT Jobs,software engineer,gb,software engineer,standard,False,False
Software Engineer,Bright Purple Resourcing,"Bristol, South West England","Software Engineer -UK Remote This leading, remote-first healthcare data science/bio-informatics client have put everything in place to ensure their culture and environment at the very least matches, and in many areas exceeds, their competitors. Innovation isnt just about technology and product, its about listening to your staff and being attentive to their physical, mental and intellectual needs. What is in it for you: They have successfully implemented a condensed, 9-in-10 working fortnight, w…",55000,55000,permanent,2025-04-07T13:58:13Z,https://www.adzuna.co.uk/jobs/land/ad/5133496792?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=E75E7EB83E96C73F4B5233F767CBAFB20A5E754D,IT Jobs,software engineer,gb,software engineer,standard,True,False
Software Engineer,The Davies Group,"Stretton, Warrington","Are you passionate about new technologies and working in a positive culture? At Davies, you will be part of an innovative team that thrives on collaboration and independence to achieve our goals. We pride ourselves on our diverse and inclusive workplace, where 66% of senior positions are held by women. This is a remote role Why Davies? Dynamic Environment: We offer a fast-paced and growing work environment. Empowered Team: We trust our team to work independently while fostering strong teamwork.…",55000,55000,permanent,2025-03-26T11:51:58Z,https://www.adzuna.co.uk/jobs/land/ad/5112096338?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=A9F025C1868251D1F7FEADE8BD387D3EC20CAF1D,IT Jobs,software engineer,gb,software engineer,standard,True,False
Software Engineer,Saftronics,"Birchwood Park, Birchwood","What Are We Looking For? RSE Controls, a subsidiary of Saftronics, is looking to recruit a Software Design Engineer that will be responsible for the development, commissioning and support of automation and control systems. RSE Controls are a specialist business in the MCC and power control sector, and youll be working alongside an established team to deliver control system solutions to the water industry. Some of Your Key Duties Include: The design, specification, programming, simulation and te…",47508.11,47508.11,permanent,2025-05-01T14:39:56Z,https://www.adzuna.co.uk/jobs/land/ad/5173067766?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=19A231478D4056713CDC3E25ABE401519B790159,Engineering Jobs,software engineer,gb,software engineer,standard,False,False
Principal Software Engineer x 8,BAE Systems,"Carisbrooke, Newport","Job Title: Principal Software Engineer – x8 Location: Cowes – We offer flexible working arrangements – please speak to your recruiter about the options for this particular role Salary: Up to £68,000 (dependent on skills and experience) What you’ll be doing: Derive and maintain a set of software requirements from a baseline set of systems requirements Produce and maintain a software design to meet a set of software requirements Use a software design to produce a deliverable software solution Und…",62452.64,62452.64,,2025-04-25T10:11:41Z,https://www.adzuna.co.uk/jobs/land/ad/5162006179?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=072A1BBC7CDE32DB9E7C4B927F9BAEBE86D0F79E,IT Jobs,software engineer,gb,software engineer,standard,False,False
