title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Software Engineer,Bright Purple Resourcing,"Bristol, South West England","Software Engineer -UK Remote This leading, remote-first healthcare data science/bio-informatics client have put everything in place to ensure their culture and environment at the very least matches, and in many areas exceeds, their competitors. Innovation isnt just about technology and product, its about listening to your staff and being attentive to their physical, mental and intellectual needs. What is in it for you: They have successfully implemented a condensed, 9-in-10 working fortnight, w…",55000,55000,permanent,2025-04-07T13:58:13Z,https://www.adzuna.co.uk/jobs/land/ad/5133496792?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=E75E7EB83E96C73F4B5233F767CBAFB20A5E754D,IT Jobs,,gb,software engineer,standard,True,False
Software Engineer,The Davies Group,"Stretton, Warrington","Are you passionate about new technologies and working in a positive culture? At Davies, you will be part of an innovative team that thrives on collaboration and independence to achieve our goals. We pride ourselves on our diverse and inclusive workplace, where 66% of senior positions are held by women. This is a remote role Why Davies? Dynamic Environment: We offer a fast-paced and growing work environment. Empowered Team: We trust our team to work independently while fostering strong teamwork.…",55000,55000,permanent,2025-03-26T11:51:58Z,https://www.adzuna.co.uk/jobs/land/ad/5112096338?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=A9F025C1868251D1F7FEADE8BD387D3EC20CAF1D,IT Jobs,,gb,software engineer,standard,True,False
Software Engineer,ARC Regulatory Ltd,"Belfast, Northern Ireland","ARC's purpose is to expedite access to precision medicine clinical trials for patients globally. We fulfil our purpose through our dedicated team of experts with unparalleled domain knowledge, and the important relationships we have developed with our global clients. We are a Belfast-based Clinical Research Organisation that specialises in delivering compliance excellence for companies in the precision medicine sector. We support many of the world's leading pharmaceutical R&D companies in imple…",60000,60000,,2025-04-30T06:03:23Z,https://www.adzuna.co.uk/jobs/land/ad/5169935880?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=9B316548A8F2D41EB45C3B3EB505F92574FE831C,IT Jobs,,gb,software engineer,standard,False,True
Senior Software Engineer,SF Recruitment,"Ladywood, Birmingham","Senior Software Engineer with key skills in TDD, node.js, MySQL, JavaScript and angular is sought by a high growth scale up based near Cheltenham. Working at the forefront of B2B technology this senior Software Engineer will play a key role in improving the product portfolio using a wide range of technologies to deliver cutting edge solutions used internationally on a daily basis. This role would suit a software engineer with a broad range of technologies (ideally with an understanding of ML/AI…",80000,80000,permanent,2025-04-03T09:16:21Z,https://www.adzuna.co.uk/jobs/land/ad/5126033490?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=7DBEB40F720C0CA726A4931C90D8C114D59E25FC,IT Jobs,,gb,software engineer,standard,False,True
Embedded Software Engineer,ZENOVO LTD,"Sheffield, South Yorkshire","Contract Embedded Software Engineer Remote / Sheffield £60-70p/h Outside IR35 Location: Fully Remote (UK-based only), occasional visits to Sheffield Rate: £60-70 per hour (Outside IR35) Duration: 6-12 months IR35 Status: Outside IR35 An exciting contract opportunity has opened for an experienced Embedded Software Engineer to support the delivery of next-generation embedded platforms in the aerospace security and IoT sectors. The company is based near Sheffield but the role is predominantly remo…",124800,145600,contract,2025-05-03T19:47:30Z,https://www.adzuna.co.uk/jobs/land/ad/5179289558?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=3A0D3CD4B0F8249CFCB3DBC224C01C5FB64E7BB8,IT Jobs,,gb,software engineer,standard,True,False
Junior Software Engineer,Spectrum It Recruitment Limited,"Maidenhead, Windsor & Maidenhead","Junior Software Engineer C#, ASP.Net MVC, SQL, JavaScript Hybrid Working - 3 days per week in the Maidenhead office £30,000 - £35,000 We have an exciting opportunity to join a global digital technology company that fosters a culture of collaboration, growth, and innovation. Your skills and ideas will contribute to transforming the industry and making an impact on global brands and millions of customers worldwide. As a Junior Software Developer / Software Engineer in the team you will help devel…",35000,35000,permanent,2025-05-01T14:39:56Z,https://www.adzuna.co.uk/jobs/land/ad/5173067748?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=6114A2C81E6FE23E3F081AAE43CDA3F88C27ACBF,IT Jobs,,gb,software engineer,standard,False,True
Senior Software Engineer,Copello,"South East London, London","Role: Senior Backend Software Engineer - Golang Location: London Salary: £90-120k Copello is currently partnering with a global laser communications business. With technology acquired from Google, they are redefining how data moves across land, sea, air, space, and beyond. As a Backend Software Engineer, you will work on a powerful network orchestration platform designed for highly dynamic, global-scale connectivity systems. Your expertise in Golang will help shape a next-generation software st…",100000,100000,permanent,2025-04-30T18:38:05Z,https://www.adzuna.co.uk/jobs/land/ad/5170881168?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=E7245C3044C0178BB96919CC4BE1FD9FD6F12325,IT Jobs,,gb,software engineer,standard,False,True
Principal Software Engineer,Cathcart Technology,"Hillhead, Glasgow City Centre","Global Technology company that specialise in ensuring Software Security are looking for a Principal Software Engineer (C++) to join their Glasgow base. You'll have the opportunity to wok on a series of world-class products and gain experience with some really interesting development led security practices. Their software ensures security with data, communications, payments and protects content. The company have been operating successfully in Glasgow for over 20 years now, and they are well resp…",80000,80000,permanent,2025-04-07T09:45:15Z,https://www.adzuna.co.uk/jobs/land/ad/5133364597?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=810250A4B1A6D98538748084B261B3F40CDDE5BA,IT Jobs,,gb,software engineer,standard,False,True
Senior Software Engineer,InterQuest Group  Limited,"Newcastle Upon Tyne, Tyne & Wear","Full-Stack .NET Developer – Hybrid (Newcastle/Barnsley) – Up to £55K Ecom Recruitment are working with a fast-growing tech company looking to bring on an experienced Full-Stack .NET Developer. This is a hybrid role (3 days in-office, 2 remote) based out of our Newcastle or Barnsley hub. We're looking for developers who are confident across the full stack – with C#/.NET and MAUI experience being absolutely essential. If you have Elastic Search experience too, that's a bonus! The Role • Develop r…",55000,55000,permanent,2025-04-25T10:19:57Z,https://www.adzuna.co.uk/jobs/land/ad/5162007144?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=29F4ECD4FB61DB268E2D580E9A3C3A0DF24AC11B,IT Jobs,,gb,software engineer,standard,True,False
PLC Software Engineer,Mallaghan Engineering,"Dungannon, County Tyrone","Our Vision Together with our partners, we are driven to be the most respected, innovative & sustainable GSE manufacturer in the world. Company Overview Originally established as a Civil Engineering Firm by Terry Mallaghan in the 1960s, an ongoing dedication to excellence and innovation has seen Mallaghan evolve into a leading global manufacturer of GSE. Combining technical expertise with a deep understanding of customer requirements, Mallaghan designs and manufactures a comprehensive range of s…",50000,50000,,2025-04-15T14:04:01Z,https://www.adzuna.co.uk/jobs/land/ad/5145680066?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=7555C846675F23D675A400254D47540CA712A75B,Engineering Jobs,,gb,software engineer,standard,False,True
Software Engineer,BILFINGER,"Derbyshire, East Midlands","Software Engineer Location: chesterfield Bilfinger UK is a leading engineering and maintenance provider, supporting customers across the chemical & petrochemical, nuclear, oil & gas, pharmaceuticals & biopharma, power & energy, utilities, renewables and food & beverage markets. We enhance the efficiency of assets, ensuring a high level of availability and reducing maintenance costs. We have extensive experience in offshore and onshore facilities; specialising in asset management services throug…",45135.85,45135.85,permanent,2025-04-23T05:26:44Z,https://www.adzuna.co.uk/jobs/land/ad/5157413335?se=tkDX_Owo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=1E3A8135F61B6E73A870C96632D175B092F455E9,Engineering Jobs,,gb,software engineer,standard,False,True
Embedded Software Engineer - Remote,Saxon Recruitment Solutions,"Ulverston, Cumbria","Embedded Software Engineer - Remote with 4/5 days per month on site in Ulverston Are your Embedded Software Engineer, Embedded C/C++, Linux career goals not being met ? Are you working in a huge corporate, in a very large team on only a small module of an overall project ? Bored ? Are you frustrated by the bureaucracy ? Are you working in a dull, tired domain ? We are an exclusive partner to this exciting company having worked with them successfully for over 10 years. As an Embedded Software En…",60000,60000,permanent,2025-05-03T22:57:06Z,https://www.adzuna.co.uk/jobs/land/ad/5179460215?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=C1C81076677444A9D704095925B5E620DF030086,IT Jobs,,gb,software engineer,standard,True,False
Senior Network Software Engineer,Saxon Recruitment Solutions,"Edinburgh, Scotland","Permanent Senior Network Software Engineer C Linux x2. Remote or Hybrid Edinburgh Stuck ? Frustrated ? Know you're better than this ? Career goals not being met ? As a Senior Software Engineer in this Networking Technology company you'll have the opportunity to work on innovative, challenging projects where you'll learn something new in emerging Network technologies. You'll enjoy career growth opportunities, being a global business, taking on more complex and system wide responsibilities exerti…",95000,95000,permanent,2025-04-28T18:47:31Z,https://www.adzuna.co.uk/jobs/land/ad/5166947851?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=D1F814AA6BB9EE9C47FE33BD56C3AA04001C48A5,IT Jobs,,gb,software engineer,standard,True,True
Senior Embedded Software Engineer,Rise Technical Recruitment Limited,UK,"Senior Embedded Software Engineer Middlesbrough (Hybrid after probation) £50,000 - £62,000  32 days holiday  Profit Share Scheme  Healthcare Plan  Training  Flexible Working On offer is a rare opportunity for a Senior Embedded Software engineer to join an international business who are a world leader in both R&D and manufacturing. This company are pioneers in the production and development of electronic products which are popular in a range of market and industrial scenarios. Some include deep-…",60000,60000,permanent,2025-04-16T09:54:09Z,https://www.adzuna.co.uk/jobs/land/ad/5147031821?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=EB215C8806C629D1FF4572166B34ED88C6D629C0,IT Jobs,,gb,software engineer,standard,False,True
Software Engineer - Full-Stack,Spectrum It Recruitment Limited,"Ocean Village, Southampton","Mid - Snr Software Engineer - Tech for good Location: Remote/Hybrid (UK or Ireland-based, occasional in-person travel) Contract: 9-month fixed-term (Full-time, PAYE) Salary: Up to £65k Make an Impact, Tech That Matters Join a pioneering startup on a mission to break down digital barriers for the deaf community. This company is the first of its kind, using cutting-edge tech to translate digital and written content into sign language - making information truly accessible for everyone. They're sma…",65000,65000,permanent,2025-05-03T10:43:12Z,https://www.adzuna.co.uk/jobs/land/ad/5178221681?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=745777A2FC1D358EDC7FF7E7BF62D91A05E4BC0A,IT Jobs,,gb,software engineer,standard,True,False
Software Engineer,Third Bridge,"London, UK","Company Overview Third Bridge is a market-leading investment research firm. We provide integrated solutions for the world’s top investors and business leaders to help them make smarter and faster decisions. No other company in the world provides the same holistic investment offering: our superpower is the combination of human insights and unique investor-led content with a global expert network. We serve over 1,000 investment firms, offering clients 24/7 coverage through our team of 1500 employ…",55389.53,55389.53,,2024-07-30T15:17:41Z,https://www.adzuna.co.uk/jobs/land/ad/4800642873?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=FFFB05FC7C0F806ACBCEB1484F09FDD4F1930F1C,IT Jobs,,gb,software engineer,standard,False,True
Senior C++ Software Engineer Linux,Client Server,"The City, Central London","Senior C++ Software Engineer / Developer (Linux SQL C++17) London / WFH to £110k Global-leading FinTech is seeking a Senior C++ Software Engineer to take ownership of strategic enhancements on their core platform, as well as directly on bespoke client projects. The organisation is a pioneer in the field of cross-asset securities and derivatives post-trade processing technology, and have created ground-breaking, adaptable software that produces secure and scalable solutions for peak operational …",100000,100000,permanent,2025-05-01T02:35:06Z,https://www.adzuna.co.uk/jobs/land/ad/5171590951?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=BFBAF162BD56043EAA42F2934B275BCE91D723A0,IT Jobs,,gb,software engineer,standard,False,True
Automotive Software Engineer (Reverse Engineering),Ernest Gordon Recruitment,UK,"Automotive Software Engineer (Reverse Engineering) Letchworth - Hybrid £65,000 - £75,000  Hybrid  Private Medical  Bonus  International Travel (USA) Visa Sponsorship Available Are you a Software Engineer that has worked on reverse engineering of software back to binary level that has used tools like IDA Pro, GHIDRA or Binary Ninja? Do you want to work for one of the globes leading after market tuning product supplier, that has head hunted globally a team of exceptionally talented team of Engine…",75000,75000,permanent,2025-04-02T21:16:43Z,https://www.adzuna.co.uk/jobs/land/ad/5125066616?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=0AC9A7CC04E84269D8F20465ECF2A81182A437D6,IT Jobs,,gb,software engineer,standard,False,True
Software Engineer OO/PHP/C#,The Davies Group,"Stretton, Warrington","If youre ready to be part of a team that values innovation, diversity, and collaboration, wed love to hear from you. Apply now to join our award-winning IT team at Davies. This is a remote role Davies Group are looking for a talented and enthusiastic Software Engineer to join their team. The role is varied, and you will work on projects as diverse as creating new Claims Management Systems, continuous improvement of our existing Metrix systems and bespoke back-office systems. You will be primari…",55000,55000,permanent,2025-03-26T11:51:56Z,https://www.adzuna.co.uk/jobs/land/ad/5112096331?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=081F902A3E1B08783AE11593D7E566DB4768402C,IT Jobs,,gb,software engineer,standard,True,False
Senior Software Engineer Full Stack,Experian Ltd,"West Bridgford, Nottingham","Experian is a global data and technology company, powering opportunities for people and businesses around the world. We help to redefine lending practices, uncover and prevent fraud, simplify healthcare, create marketing solutions, and gain deeper insights into the automotive market, all using our unique combination of data, analytics and software. We also assist millions of people to accomplish their financial goals and help them save time and money. We operate across a range of markets, from …",58179.19,58179.19,permanent,2025-04-02T21:16:42Z,https://www.adzuna.co.uk/jobs/land/ad/5125066588?se=PO2x_uwo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=791CFB93BCF4D341BD262008457909E5A4800443,IT Jobs,,gb,software engineer,standard,False,True
Software Engineer,Oliver Bernard,"Newcastle Upon Tyne, Tyne & Wear","Software Engineer - Up to £150k 5-days a week in Newcastle Minimum of 2.1 from a Russell Group University or Top 300 ranked University globally MSc from a Russell Group University Mid & Senior Software Engineers - Up to £150k Oliver Bernard are partnered with a newly created joint venture between two industry leaders within their own fields, who have come together to create a consulting firm for the Financial Services and Alternative Investment markets. They pride themselves on hiring the best …",60755.23,60755.23,,2025-04-12T05:07:18Z,https://www.adzuna.co.uk/jobs/land/ad/5141658569?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=67E05BCE7BAB0A544E4E51FCD93EE25940085534,IT Jobs,,gb,software engineer,standard,False,True
Software Engineer,TEC Partners - Technical Recruitment Specialists,"Cambridge, Cambridgeshire","Software Engineer (C++/Embedded) Location: Cambridge | Hybrid Working (3 days in the office) Salary: £50,000 – £60,000 I’m working with an established technology company that designs and develops cutting-edge radar systems used across global security, surveillance, and defence sectors. With an ambitious product roadmap and an expanding portfolio, they’re investing heavily in software development to drive the next generation of their radar solutions. This is an exciting opportunity for an experi…",62334.71,62334.71,,2025-04-21T03:49:07Z,https://www.adzuna.co.uk/jobs/land/ad/5154914448?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=F267FE792F56D98C8FE9CBA0E0B7F1DE59DA1A32,IT Jobs,,gb,software engineer,standard,False,True
Software Engineer,Stanford Black Limited,"London, UK","Software Engineer - Portfolio Analytics A Globally-Renowned Systematic Trading Firm is looking for the top Python engineers in the city for an incredibly high-calibre group working across a number of desks. They've been tasked with building a market-leading, cross-asset portfolio management platform and the research, design, prototype and implementation of next-generation high-performance real-time analytics solutions. In order to achieve this, they are looking for someone who is very strong te…",81946.8,81946.8,,2025-04-21T03:49:07Z,https://www.adzuna.co.uk/jobs/land/ad/5154914495?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5EC0283C6CB2D6469FD1625DDBF94E8F01F9B42E,IT Jobs,,gb,software engineer,standard,False,True
Software Engineer,X4 Engineering,"London, UK","Software Engineer Industry: Software Development / Finance / Banking Location: London / Hybrid / Remote Salary: £50-100,000 Base Salary X4 Engineering are thrilled to partner with a fast-growing and ambitious organisation that’s transforming the online banking space. Already working alongside some of the world’s leading FinTech companies, the organisation are seeking a passionate Software/Reverse Engineer to help analyze and integrate mobile banking applications, enabling the continual addition…",57449.31,57449.31,,2025-05-03T07:27:52Z,https://www.adzuna.co.uk/jobs/land/ad/5178021413?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=A60A538F39627A81AEC13B41AC84CEEFCBA215AC,IT Jobs,,gb,software engineer,standard,True,False
Software Engineer,Akkodis,UK,"Job title: Onboard Software Engineer Location: Stevenage, UK Company Akkodis is a global leader in engineering, technology, and R&D, harnessing the power of connected data to drive digital transformation and innovation for a smarter, more sustainable future. As part of the Adecco Group, Akkodis combines the expertise of AKKA and Modis, with over 50,000 engineers and digital specialists across 30 countries in North America, EMEA, and APAC. Our teams bring extensive cross-sector knowledge in crit…",42898.56,42898.56,,2025-05-04T08:52:54Z,https://www.adzuna.co.uk/jobs/land/ad/5179916687?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=138EC9BBA6EA9C4841CBA5A6A7DEB6F3894C787B,Engineering Jobs,,gb,software engineer,standard,False,True
Software Engineer,Durlston Partners,"London, UK","C++ Software Engineer – Remote Join a high-performing quantitative trading firm and help shape the future of algorithmic trading. About the Company This elite trading firm is redefining market-making across traditional and emerging asset classes, including cryptocurrency. The company builds all its systems from scratch, free from legacy constraints. With under 200 employees, they are expanding rapidly, leveraging advanced machine learning and cutting-edge C++ engineering to drive their trading …",58099.57,58099.57,,2025-05-04T08:59:45Z,https://www.adzuna.co.uk/jobs/land/ad/5179919269?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=31C3842B3ED2746DE8E5A37695894025D4077D2A,IT Jobs,,gb,software engineer,standard,True,False
Software Engineer,Sapien Engineering Ltd,"Yeovil, Somerset","Sapien Engineering are looking for a Software Engineer to join an underwater electronic systems business on a permanent basis. This is a primarily remote working position with one site visit every 2 weeks in Yeovil, Somerset. The role is paying up to £45,000  benefits. Job requirements: 1-2 years’ experience within software development Full SDLC C#.NET (4.6 to 9.0) ASP.NET Azure/Cloud based experience highly beneficial Blazor extremely advantageous (Good UX experience also considered) Real time…",36781.09,36781.09,permanent,2025-05-03T07:27:34Z,https://www.adzuna.co.uk/jobs/land/ad/5178020504?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=260AD756232D5DEE0DA6A1D5C8DDE2F82FB02068,IT Jobs,,gb,software engineer,standard,True,False
Software Engineer,Realm,"London, UK","Backend Software Engineer (Golang & Node.js) A fast-growing tech company in the energy and data optimisation space, working with global partners to drive efficiency and reduce emissions, backed by several major investors across the energy, finance, and AI sectors. Technology Stack: Node.js, TypeScript, MongoDB, AWS (Serverless), Snowflake, Fly.io, Datadog, Tableau, and more. What You’ll Bring: This is a hands-on engineering role, ideal for someone who loves solving problems with code. Minimum 1…",66538.15,66538.15,,2025-04-21T03:49:05Z,https://www.adzuna.co.uk/jobs/land/ad/5154914372?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=C309BE576F15C2E8D5D171398A1D033404384C99,IT Jobs,,gb,software engineer,standard,False,True
Software Engineer,Ki,"London, UK","Who are we? Ki is the biggest global insurance tech company you've never heard of, unless you've been looking to insure a satellite, wind farm or music festival recently. We launched in 2021 on the back of a fundraise that delivered $500m of investment, making us one the largest fintech start-ups that year. Our investors were excited about the fact we were revolutionising the way a 333 year-old industry was working. We have rapidly scaled: In our first year we wrote over $400m of premium and in…",46519.25,46519.25,,2025-04-02T16:16:50Z,https://www.adzuna.co.uk/jobs/land/ad/5124367728?se=OD6QAO0o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5CC52E8B66E871B5C5892CF86F5793C91013EC7B,IT Jobs,,gb,software engineer,standard,False,True
