iter	RMSE
0	39136.00437
1	38650.58812
2	38157.13301
3	37810.14239
4	37416.61252
5	37106.38555
6	36843.91477
7	36561.88518
8	36390.31685
9	36215.69648
10	36011.96663
11	35885.37877
12	35779.04054
13	35669.80051
14	35596.42606
15	35493.97994
16	35395.76838
17	35314.64505
18	35268.74543
19	35237.52666
20	35185.75771
21	35146.8583
22	35077.09038
23	35050.53588
24	34986.96929
25	34927.7695
26	34869.35862
27	34835.86652
28	34779.98165
29	34763.22646
30	34720.3927
31	34703.72284
32	34671.57198
33	34648.95637
34	34614.82518
35	34603.94048
36	34580.25589
37	34552.78405
38	34523.63772
39	34501.16361
40	34492.77259
41	34491.04259
42	34467.47766
43	34422.94738
44	34391.15636
45	34362.11318
46	34345.52304
47	34336.82418
48	34329.78229
49	34307.23272
50	34284.85397
51	34254.10283
52	34231.74495
53	34207.93553
54	34193.96279
55	34183.84119
56	34168.30677
57	34166.55304
58	34151.90874
59	34141.56476
60	34139.37891
61	34130.8001
62	34104.42378
63	34093.46322
64	34069.72499
65	34059.41414
66	34054.0984
67	34050.97369
68	34050.33571
69	34047.86671
70	34028.15908
71	33999.29758
72	33990.26625
73	33985.82485
74	33971.78127
75	33963.12574
76	33959.99237
77	33956.1826
78	33953.71568
79	33947.07342
80	33940.83765
81	33919.70687
82	33907.64206
83	33898.69344
84	33889.56785
85	33878.54211
86	33868.25366
87	33846.92344
88	33824.03805
89	33812.14087
90	33804.96674
91	33803.02856
92	33794.85398
93	33790.50896
94	33777.47836
95	33761.24387
96	33753.25603
97	33748.37602
98	33743.87662
99	33724.46885
100	33723.05647
101	33716.81372
102	33709.57516
103	33693.61737
104	33684.10399
105	33673.18605
106	33658.95963
107	33656.20728
108	33648.10589
109	33638.91431
110	33628.98616
111	33623.24472
112	33604.17196
113	33601.20394
114	33597.91856
115	33590.91683
116	33580.50991
117	33572.17567
118	33560.47277
119	33552.58167
120	33534.46398
121	33532.37276
122	33513.93635
123	33498.90987
124	33497.78611
125	33497.0887
126	33482.91616
127	33472.52179
128	33466.04132
129	33465.39481
130	33454.44018
131	33443.65064
132	33439.45344
133	33433.51082
134	33431.52755
135	33425.78559
136	33422.07235
137	33412.71786
138	33410.00913
139	33409.32422
140	33400.06846
141	33393.81721
142	33393.34282
143	33390.4478
144	33377.00969
145	33376.08908
146	33375.68175
147	33373.21167
148	33371.1569
149	33370.6098
150	33370.23454
151	33366.67441
152	33363.81154
153	33360.02939
154	33359.54103
155	33359.2117
156	33356.30733
157	33355.9897
158	33346.8852
159	33346.59174
160	33345.51111
161	33342.37415
162	33339.03926
163	33338.76615
164	33333.14032
165	33329.49509
166	33328.93259
167	33325.08733
168	33316.19222
169	33310.07309
170	33300.61916
171	33297.02816
172	33296.66262
173	33282.73371
174	33282.50742
175	33277.92392
176	33269.67665
177	33264.45993
178	33264.24449
179	33258.88217
180	33254.41367
181	33247.13281
182	33241.22235
183	33237.37641
184	33233.2409
185	33230.92851
186	33229.50689
187	33224.52714
188	33209.84791
189	33208.63901
190	33208.45064
191	33199.1451
192	33197.36832
193	33197.17114
194	33191.10787
195	33183.63366
196	33183.20179
197	33182.93347
198	33177.84395
199	33172.0642
